Cites,Authors,Title,Publisher,Year,ArticleURL,Source,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
173,"OA Wahab, H Otrok, A Mourad",VANET QoS-OLSR: QoS-based clustering protocol for vehicular ad hoc networks,Elsevier,2013,https://www.sciencedirect.com/science/article/pii/S0140366413001710,Computer Communications,https://scholar.google.com/scholar?cites=13140349802194553768&as_sdt=2005&sciodt=2007&hl=en,1,2021-12-18 16:37,,,,,,,,,173,21.63,58,3,8,"In this paper, we address the problem of clustering in Vehicular Ad hoc Networks (VANETs) using Quality of Service Optimized Link State Routing (QoS-OLSR) protocol. Several clustering algorithms have been proposed for VANET and MANET. However, the mobility …",https://www.academia.edu/download/41990441/VANET_QoS-OLSR.pdf,https://scholar.google.com/scholar?q=related:qEsuSIbmW7YJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
142,"OA Wahab, J Bentahar, H Otrok, A Mourad","A survey on trust and reputation models for Web services: Single, composite, and communities",Elsevier,2015,https://www.sciencedirect.com/science/article/pii/S0167923615000809,Decision Support Systems,https://scholar.google.com/scholar?cites=5290994742990588926&as_sdt=2005&sciodt=2007&hl=en,2,2021-12-18 16:37,,,,,,,,,142,23.67,36,4,6,"Web service selection constitutes nowadays a major challenge that is still attracting the research community to work on and investigate. The problem arises since decision makers (1) cannot blindly trust the service or its provider, and (2) ignore the environment within …",https://www.academia.edu/download/39514781/Survey.pdf,https://scholar.google.com/scholar?q=related:_stplK9jbUkJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",ieeexplore.ieee.org,2021,https://ieeexplore.ieee.org/abstract/document/9352033/,… Surveys & Tutorials,https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=2007&hl=en,3,2021-12-18 16:37,,,,,,,,,41,41,10,4,1,The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …,http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf,https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
41,"A Mourad, A Srour, H Harmanai, ...",Critical impact of social networks infodemic on defeating coronavirus COVID-19 pandemic: Twitter-based study and research directions,ieeexplore.ieee.org,2020,https://ieeexplore.ieee.org/abstract/document/9223699/,… on Network and …,https://scholar.google.com/scholar?cites=12626121115852659893&as_sdt=2005&sciodt=2007&hl=en,4,2021-12-18 16:37,,,,,,,,,41,41,10,4,1,News creation and consumption has been changing since the advent of social media. An estimated 2.95 billion people in 2019 used social media worldwide. The widespread of the Coronavirus COVID-19 resulted with a tsunami of social media. Most platforms were used to …,https://arxiv.org/pdf/2005.08820,https://scholar.google.com/scholar?q=related:tdx0QUL-OK8J:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
105,"KHWJ Ten Tusscher, A Mourad, MP Nash, ...",Organization of ventricular fibrillation in the human heart: experiments and models,Wiley Online Library,2009,https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/expphysiol.2008.044065,Experimental …,https://scholar.google.com/scholar?cites=17198059615294228272&as_sdt=2005&sciodt=2007&hl=en,5,2021-12-18 16:37,,10.1113/expphysiol.2008.044065,,,,,,,105,8.75,26,4,12,"Sudden cardiac death is a major health problem in the industrialized world. The lethal event is typically ventricular fibrillation (VF), during which the co‐ordinated regular contraction of the heart is overthrown by a state of mechanical and electrical anarchy. Understanding the …",https://physoc.onlinelibrary.wiley.com/doi/pdf/10.1113/expphysiol.2008.044065,https://scholar.google.com/scholar?q=related:MIea0xnIq-4J:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
94,"OA Wahab, H Otrok, A Mourad",A cooperative watchdog model based on Dempster–Shafer for detecting misbehaving vehicles,Elsevier,2014,https://www.sciencedirect.com/science/article/pii/S0140366413002892,Computer Communications,https://scholar.google.com/scholar?cites=12448868073715799845&as_sdt=2005&sciodt=2007&hl=en,6,2021-12-18 16:37,,,,,,,,,94,13.43,31,3,7,"In this paper, we address the problem of detecting misbehaving vehicles in Vehicular Ad Hoc Network (VANET) using Quality of Service Optimized Link State Routing (QoS-OLSR) protocol. According to this protocol, vehicles might misbehave either during the clusters' …",https://tarjomefa.com/wp-content/uploads/2019/10/F1464-TarjomeFa-English.pdf,https://scholar.google.com/scholar?q=related:JReIXY5Dw6wJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
95,"N Munla, M Khalil, A Shahin, ...",Driver stress level detection using HRV analysis,ieeexplore.ieee.org,2015,https://ieeexplore.ieee.org/abstract/document/7323251/,… conference on advances …,https://scholar.google.com/scholar?cites=15632190219154355090&as_sdt=2005&sciodt=2007&hl=en,7,2021-12-18 16:37,,,,,,,,,95,15.83,24,4,6,This paper intends to investigate stress level detection of a driver during real world driving experiment. This detection is based on heart rate variability (HRV) analysis which is derived from ECG signal and reflects autonomic nervous system state of the human body. The …,https://www.researchgate.net/profile/Azzam-Mourad/publication/308831349_Driver_stress_level_detection_using_HRV_analysis/links/5bdd863b299bf1124fb6f5c7/Driver-stress-level-detection-using-HRV-analysis.pdf,https://scholar.google.com/scholar?q=related:kvMHci6y8NgJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
92,"OA Wahab, A Mourad, H Otrok, J Bentahar",CEAP: SVM-based intelligent detection model for clustered vehicular ad hoc networks,Elsevier,2016,https://www.sciencedirect.com/science/article/pii/S0957417415008088,Expert Systems with …,https://scholar.google.com/scholar?cites=7230263194545355940&as_sdt=2005&sciodt=2007&hl=en,8,2021-12-18 16:37,,,,,,,,,92,18.4,23,4,5,"The infrastructureless and decentralized nature of Vehicular Ad Hoc Network (VANET) makes it quite vulnerable to different types of malicious attacks. Detecting such attacks has attracted several contributions in the past few years. Nonetheless, the applicability of the …",https://www.researchgate.net/profile/Omar-Wahab/publication/288040297_CEAP_SVM-based_Intelligent_Detection_Model_for_Clustered_Vehicular_Ad_Hoc_Networks/links/5a74bd734585157306aa4bf9/CEAP-SVM-based-Intelligent-Detection-Model-for-Clustered-Vehicular-Ad-Hoc-Networks.pdf,https://scholar.google.com/scholar?q=related:pPx0XxEOV2QJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
78,"OA Wahab, J Bentahar, H Otrok, ...",Towards trustworthy multi-cloud services communities: A trust-based hedonic coalitional game,ieeexplore.ieee.org,2016,https://ieeexplore.ieee.org/abstract/document/7445255/,IEEE Transactions on …,https://scholar.google.com/scholar?cites=11703777650682109296&as_sdt=2005&sciodt=2007&hl=en,9,2021-12-18 16:37,,,,,,,,,78,15.6,20,4,5,"The prominence of cloud computing led to unprecedented proliferation in the number of web services deployed in cloud data centers. In parallel, service communities have gained recently increasing interest due to their ability to facilitate discovery, composition, and …",https://people.cs.vt.edu/~irchen/6204b/paper/Wahab-TSC17.pdf,https://scholar.google.com/scholar?q=related:cB0Ql8MrbKIJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
58,"OA Wahab, J Bentahar, H Otrok, ...",Optimal load distribution for the detection of VM-based DDoS attacks in the cloud,ieeexplore.ieee.org,2017,https://ieeexplore.ieee.org/abstract/document/7902208/,IEEE transactions on …,https://scholar.google.com/scholar?cites=11734616421905302260&as_sdt=2005&sciodt=2007&hl=en,10,2021-12-18 16:37,,,,,,,,,58,14.5,15,4,4,"Distributed Denial of Service (DDoS) constitutes a major threat against cloud systems owing to the large financial losses it incurs. This motivated the security research community to investigate numerous detection techniques to limit such attack's effects. Yet, the existing …",https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8317/(Postprint)%20Optimal.pdf?sequence=3,https://scholar.google.com/scholar?q=related:9IIhi3a72aIJ:scholar.google.com/&scioq=author:%22azzam+mourad%22&hl=en&as_sdt=2007
