Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"OA Wahab, J Bentahar, H Otrok, ...","Towards trustworthy multi-cloud services communities: A trust-based hedonic coalitional game",2016,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7445255/","https://scholar.google.com/scholar?cites=11703777650682109296&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 20:44:32","","","","",,,,,78,15.60,20,4,5,"The prominence of cloud computing led to unprecedented proliferation in the number of web services deployed in cloud data centers. In parallel, service communities have gained recently increasing interest due to their ability to facilitate discovery, composition, and …","https://people.cs.vt.edu/~irchen/6204b/paper/Wahab-TSC17.pdf","https://scholar.google.com/scholar?q=related:cB0Ql8MrbKIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"OA Wahab, J Bentahar, H Otrok, ...","Optimal load distribution for the detection of VM-based DDoS attacks in the cloud",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7902208/","https://scholar.google.com/scholar?cites=11734616421905302260&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 20:44:32","","","","",,,,,58,14.50,15,4,4,"Distributed Denial of Service (DDoS) constitutes a major threat against cloud systems owing to the large financial losses it incurs. This motivated the security research community to investigate numerous detection techniques to limit such attack's effects. Yet, the existing …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8317/(Postprint)%20Optimal.pdf?sequence=3","https://scholar.google.com/scholar?q=related:9IIhi3a72aIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
51,"X Wang, X Chen, W Wu, N An, ...","Cooperative application execution in mobile cloud computing: A Stackelberg game approach",2015,"IEEE Communications …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7348684/","https://scholar.google.com/scholar?cites=16810045256854021913&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 20:44:32","","","","",,,,,51,8.50,10,5,6,"In this letter, we consider the problem of cooperative application execution for mobile cloud computing. To encourage mobile devices to share their unused resources, we design an incentive scheme, which benefits both the owner of the tasks and the mobile devices …","","https://scholar.google.com/scholar?q=related:GScGARlHSekJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-18 20:44:32","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
40,"CT Do, NH Tran, EN Huh, CS Hong, D Niyato, ...","Dynamics of service selection and provider pricing game in heterogeneous cloud market",2016,"Journal of Network and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804516300625","https://scholar.google.com/scholar?cites=16491919318128731797&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 20:44:32","","","","",,,,,40,8.00,7,6,5,"This paper studies price competition in a heterogeneous cloud market formed by public providers and a cloud broker, all of which are also known as cloud service providers (CSPs). We formulate the price competition between CSPs as a two-stage noncooperative game. In …","http://bss.kyunghee.ac.kr/layouts/net/publications/data/2016)Final%20paper.pdf","https://scholar.google.com/scholar?q=related:lSZ37T0R3-QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
32,"OA Wahab, J Bentahar, H Otrok, ...","Resource-aware detection and defense system against multi-type attacks in the cloud: Repeated bayesian stackelberg game",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8675527/","https://scholar.google.com/scholar?cites=11481231161669133215&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 20:44:32","","","","",,,,,32,16.00,8,4,2,"Cloud-based systems are subject to various attack types launched by Virtual Machines (VMs) manipulated by attackers having different goals and skills. The existing detection and defense mechanisms might be suitable for simple attack environments but become …","https://www.researchgate.net/profile/Omar-Wahab/publication/332053178_Resource-Aware_Detection_and_Defense_System_Against_Multi-Type_Attacks_in_the_Cloud_Repeated_Bayesian_Stackelberg_Game/links/5ce7a79592851c4eabba3729/Resource-Aware-Detection-and-Defense-System-Against-Multi-Type-Attacks-in-the-Cloud-Repeated-Bayesian-Stackelberg-Game.pdf","https://scholar.google.com/scholar?q=related:nyNvT-mGVZ8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"M Huang, W Liu, T Wang, Q Deng, A Liu, M Xie, ...","A game-based economic model for price decision making in cyber-physical-social systems",2019,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8794542/","https://scholar.google.com/scholar?cites=17994956932017422599&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 20:44:32","","","","",,,,,25,12.50,4,7,2,"Cyber-physical-social (CPS) systems integrate Big Data Collectors (BDCs), Service Organizers (SOs) and users to build a unified data-centric computing framework. In CPS systems, BDCs leverage a vast variety of sensing devices to collect cyber-physical-social …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08794542.pdf","https://scholar.google.com/scholar?q=related:BwFaAf3tuvkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"M Kadadha, H Otrok, H Barada, M Al-Qutayri, ...","A stackelberg game for street-centric QoS-OLSR protocol in urban vehicular Ad Hoc networks",2018,"Vehicular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617302346","https://scholar.google.com/scholar?cites=6117213651501339873&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 20:44:32","","","","",,,,,18,6.00,4,5,3,"In this paper, we address the problem of routing in urban Vehicular Ad Hoc Networks (VANETs) using proactive Optimized Link State Routing (OLSR) protocol in the presence of passive malicious nodes. OLSR protocol routes through MultiPoint Relays (MPRs) that are …","","https://scholar.google.com/scholar?q=related:4VTo2Ge15FQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"JB Clempner, AS Poznyak","Negotiating transfer pricing using the Nash bargaining solution",2017,"International Journal of Applied …","yadda.icm.edu.pl","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-b2ffc5c7-4921-4bd3-b857-42dbe98d777e","https://scholar.google.com/scholar?cites=11991374431427198971&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 20:44:32","","","","",,,,,17,4.25,9,2,4,"This paper analyzes and proposes a solution to the transfer pricing problem from the point of view of the Nash bargaining game theory approach. We consider a firm consisting of several divisions with sequential transfers, in which central management provides a transfer price …","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-b2ffc5c7-4921-4bd3-b857-42dbe98d777e/c/15_clempner_poznyak_negotiating_transfer_pricing_2017_4.pdf","https://scholar.google.com/scholar?q=related:-3_rKYPraaYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
15,"M Taghavi, J Bentahar, H Otrok, ...","A blockchain-based model for cloud service quality monitoring",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8873576/","https://scholar.google.com/scholar?cites=2374911829170936911&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-18 20:44:32","","","","",,,,,15,7.50,4,4,2,"This paper introduces a novel blockchain-based decentralized federation model that embodies quality verification for cloud providers who lease computing resources from each other. The blockchain structure removes the barriers of a traditional centralized federation …","","https://scholar.google.com/scholar?q=related:T1ybzrlh9SAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
