Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
173,"OA Wahab, H Otrok, A Mourad","VANET QoS-OLSR: QoS-based clustering protocol for vehicular ad hoc networks",2013,"Computer Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140366413001710","https://scholar.google.com/scholar?cites=13140349802194553768&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 18:44:46","","","","",,,,,173,21.63,58,3,8,"In this paper, we address the problem of clustering in Vehicular Ad hoc Networks (VANETs) using Quality of Service Optimized Link State Routing (QoS-OLSR) protocol. Several clustering algorithms have been proposed for VANET and MANET. However, the mobility …","https://www.academia.edu/download/41990441/VANET_QoS-OLSR.pdf","https://scholar.google.com/scholar?q=related:qEsuSIbmW7YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"HR Arkian, RE Atani, A Pourkhalili, S Kamali","A Stable Clustering Scheme Based on Adaptive Multiple Metric in Vehicular Ad-hoc Networks.",2015,"J. Inf. Sci. Eng.","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.678.8933&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=7606481375355553739&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 18:44:46","PDF","","","",,,,,34,5.67,9,4,6,"ABSTRACT Vehicular Ad-hoc Networks (VANETs) are the special class of Mobile Ad-hoc Networks (MANETs) with high mobility and frequent changes of topology. Clustering is applied in VANETs to divide the network into smaller groups of mobile vehicles and improve …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.678.8933&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:y0exkIKmj2kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"OA Wahab, H Otrok, A Mourad","A dempster–shafer based tit-for-tat strategy to regulate the cooperation in vanet using qos-olsr protocol",2014,"Wireless personal communications","Springer","https://link.springer.com/article/10.1007/s11277-013-1443-y","https://scholar.google.com/scholar?cites=16193996903752628423&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 18:44:46","","10.1007/s11277-013-1443-y","","",,,,,30,4.29,10,3,7,"In this paper, we address the problem of cooperation among vehicles in VANET using QoS-OLSR protocol in the presence of selfish nodes. QoS-OLSR is a proactive protocol that considers the Quality of Service (QoS) of the nodes while electing the cluster-heads and …","https://www.academia.edu/download/41977854/A_Dempster-Shafer_Based_Tit-for-Tat_Strategy.pdf","https://scholar.google.com/scholar?q=related:x3jzbWKivOAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
28,"N Moati, H Otrok, A Mourad, JM Robert","Reputation-based cooperative detection model of selfish nodes in cluster-based QoS-OLSR protocol",2014,"Wireless personal …","Springer","https://link.springer.com/content/pdf/10.1007/s11277-013-1419-y.pdf","https://scholar.google.com/scholar?cites=11801726549674448916&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 18:44:46","","10.1007/s11277-013-1419-y","","",,,,,28,4.00,7,4,7,"The QOLSR is a multimedia protocol that was designed on top of the optimized link state routing (OLSR) protocol for mobile ad hoc network. It considers the quality of service (QoS) of the nodes during the selection of the multi-point relay (MPRs) nodes. One of the …","https://core.ac.uk/download/pdf/144963617.pdf","https://scholar.google.com/scholar?q=related:FFikycQnyKMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"KR Jothi, AE Jeyakumar","Optimization and quality-of-service protocols in VANETs: a review",2015,"Artificial intelligence and evolutionary algorithms …","Springer","https://link.springer.com/chapter/10.1007/978-81-322-2126-5_31","https://scholar.google.com/scholar?cites=17865260031368768682&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 18:44:46","","10.1007/978-81-322-2126-5_31","","",,,,,23,3.83,12,2,6,"Optimization and quality-of-service (QoS) protocols are very important for safety, emergency, and multimedia applications in vehicular ad hoc network (VANET). VANET requires real-time message propagation that is able to deliver data in a timely and accurate manner. For …","http://ndl.ethernet.edu.et/bitstream/123456789/19135/1/Artificial%20Intelligence%20and%20Evolutionary%20Algorithms%20in%20Engineering%20Systems%20Volume%201.pdf#page=278","https://scholar.google.com/scholar?q=related:qiy4JVgn7vcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"H Fatemidokht, MK Rafsanjani","QMM-VANET: An efficient clustering algorithm based on QoS and monitoring of malicious vehicles in vehicular ad hoc networks",2020,"Journal of Systems and Software","Elsevier","https://www.sciencedirect.com/science/article/pii/S0164121220300431","https://scholar.google.com/scholar?cites=17527930364280814139&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 18:44:46","","","","",,,,,18,18.00,9,2,1,"Vehicular ad hoc networks (VANETs) are considered as a subset of mobile ad hoc networks (MANETs) that can be used in the transportation field. These networks considerably improve the traffic safety and accident prevention. Because of the characteristics of VANETs such as …","","https://scholar.google.com/scholar?q=related:O7q9osy3P_MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"M Oche, AB Tambuwal, C Chemebe, RM Noor, ...","VANETs QoS-based routing protocols based on multi-constrained ability to support ITS infotainment services",2020,"Wireless …","Springer","https://link.springer.com/article/10.1007/s11276-018-1860-7","https://scholar.google.com/scholar?cites=360445403972623682&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 18:44:46","","10.1007/s11276-018-1860-7","","",,,,,17,17.00,3,5,1,"Vehicular ad hoc networks (VANETs) present an intriguing platform for several applications on eg, intelligent transportation system (ITS) and infotainment applications aspire to be the main pattern of communication among vehicles while travelling. This can significantly impact …","","https://scholar.google.com/scholar?q=related:Qt21aC-PAAUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"S Arisdakessian, OA Wahab, A Mourad, ...","FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory",2020,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9109632/","https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 18:44:46","","","","",,,,,14,14.00,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …","https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf","https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"H Sanadiki, H Otrok, A Mourad, ...","Detecting attacks in QoS-OLSR protocol",2013,"2013 9th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6583715/","https://scholar.google.com/scholar?cites=5090649499348103020&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 18:44:46","","","","",,,,,11,1.38,3,4,8,"In this paper, we detect two attacks targeting the QoS-OLSR protocol MANET. The Cluster-based model QoS-OLSR is a multimedia protocol designed on top of Optimized Link State Routing (OLSR) protocol. The quality of service (QoS) of the nodes is considered during the …","https://www.academia.edu/download/45857471/Detecting_attacks_in_QoS-OLSR_protocol20160522-29178-i0loln.pdf","https://scholar.google.com/scholar?q=related:bO-pjL-epUYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"D Al-Terri, H Otrok, H Barada, ...","Qos-olsr protocol based on intelligent water drop for vehicular ad-hoc networks",2015,"2015 International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7289279/","https://scholar.google.com/scholar?cites=15336002498050276626&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 18:44:46","","","","",,,,,10,1.67,3,4,6,"In this paper, we address the problem of MultiPoint Relay (MPR) node disconnection due to mobility in Vehicular ad-hoc networks (VANETs) using the cluster-based Quality of Service Optimized Link State Routing (QoS-OLSR) protocol. The protocol uses MPR nodes to …","https://www.researchgate.net/profile/Raed-Shubair-2/publication/308812461_QoS-OLSR_protocol_based_on_intelligent_water_drop_for_Vehicular_ad-hoc_networks/links/5fbea113299bf104cf7977a8/QoS-OLSR-protocol-based-on-intelligent-water-drop-for-Vehicular-ad-hoc-networks.pdf","https://scholar.google.com/scholar?q=related:Ej3KsgRt1NQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
