Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"C Zhang, K Chen, X Zeng, X Xue","Misbehavior detection based on support vector machine and Dempster-Shafer theory of evidence in VANETs",2018,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8490839/","https://scholar.google.com/scholar?cites=10906720217743956502&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 18:44:52","","","","",,,,,22,7.33,6,4,3,"Vehicular ad hoc networks (VANETs) support safety and comfortable driving through frequent information exchange among intelligent vehicles. As an open access environment, VANETs are vulnerable to security threats, such as electronic attack and privacy disclosure …","https://ieeexplore.ieee.org/iel7/6287639/6514899/08490839.pdf","https://scholar.google.com/scholar?q=related:Fhozc0B0XJcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"N Kushwah, A Sonker","Malicious node detection on vehicular ad-hoc network using Dempster Shafer theory for denial of services attack",2016,"2016 8th international conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8082682/","https://scholar.google.com/scholar?cites=1912346332440533224&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 18:44:52","","","","",,,,,8,1.60,4,2,5,"VANET is the network which monitoring the traffic on the road and share the information with neighbors. Movable nodes (vehicle) and fixed node (RSU) are used in VANET. This network is about the safety purpose of driver and sharing confidential information about traffic and …","","https://scholar.google.com/scholar?q=related:6JijeNsEihoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"X Li, J Wang","A generous cooperative routing protocol for vehicle-to-vehicle networks",2016,"KSII Transactions on Internet and Information …","koreascience.or.kr","https://www.koreascience.or.kr/article/JAKO201607959403848.page","https://scholar.google.com/scholar?cites=10155405643656116179&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 18:44:52","","","","",,,,,6,1.20,3,2,5,"In vehicle-to-vehicle (V2V) networks, where selfishness degrades node activity, countermeasures for collaboration enforcement must be provided to enable application of a sage and efficient network environment. Because vehicular networks feature both high …","https://www.koreascience.or.kr/article/JAKO201607959403848.pdf","https://scholar.google.com/scholar?q=related:07celKA_74wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"M Elloumi, R Dhaou, B Escrig, H Idoudi, ...","Traffic Monitoring on City Roads Using UAVs",2019,"… Conference on Ad-Hoc …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-31831-4_42","https://scholar.google.com/scholar?cites=9259996178318761679&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 18:44:52","","10.1007/978-3-030-31831-4_42","","",,,,,6,3.00,1,5,2,"Abstract Unmanned Aerial Vehicles (UAVs) based systems are a suitable solution for monitoring, more particularly for traffic monitoring. The mobility, the low cost, and the broad view range of UAVs make them an attractive solution for traffic monitoring of city roads. UAVs …","https://oatao.univ-toulouse.fr/26290/1/elloumi_26286.pdf","https://scholar.google.com/scholar?q=related:zx4qbnYdgoAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"P Waraich, N Batra","Performance Analysis of Ad hoc Routing Protocols over VANETs",2016,"International Journal of Computer …","researchgate.net","https://www.researchgate.net/profile/Neera-Batra/publication/306521865_Performance_Analysis_of_Ad_hoc_Routing_Protocols_over_VANETs/links/581984af08ae1f34d24ad063/Performance-Analysis-of-Ad-hoc-Routing-Protocols-over-VANETs.pdf","https://scholar.google.com/scholar?cites=5364870300316319284&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 18:44:52","PDF","","","",,,,,4,0.80,2,2,5,"ABSTRACT VANET is a large scale adhoc networks that has several performance issues ie Quality of Services, Security, Dynamic Topology and Mobile environment etc. Researchers have developed various solutions for these issues but each has its own limitations. Issues …","https://www.researchgate.net/profile/Neera-Batra/publication/306521865_Performance_Analysis_of_Ad_hoc_Routing_Protocols_over_VANETs/links/581984af08ae1f34d24ad063/Performance-Analysis-of-Ad-hoc-Routing-Protocols-over-VANETs.pdf","https://scholar.google.com/scholar?q=related:NL5lJB3Zc0oJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"B Suganthi, P Ramamoorthy","An advanced fitness based routing protocol for improving QoS in VANET",2020,"Wireless Personal Communications","Springer","https://link.springer.com/article/10.1007/s11277-020-07361-8","https://scholar.google.com/scholar?cites=6897943977630549823&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 18:44:52","","10.1007/s11277-020-07361-8","","",,,,,3,3.00,2,2,1,"The vehicular ad-hoc network (VANET) is the one Ad-hoc network in wireless which establishes sufficient communication between the vehicles. Improving the quality of service (QoS) in VANET is one of the demanding and crucial processes in recent days. For this …","","https://scholar.google.com/scholar?q=related:P8c2M4Brul8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Kadadha, H Otrok","A blockchain-enabled relay selection for QoS-OLSR in urban VANET: A Stackelberg game model",2021,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870521000615","https://scholar.google.com/scholar?cites=6939091684872928528&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 18:44:52","","","","",,,,,3,3.00,2,2,1,"In this paper, a blockchain-enabled Stackelberg game model is proposed for the Quality-of-Service Optimized Link State Routing (QoS-OLSR) protocol in urban VANET. While QoS-OLSR protocols introduce game models, Stackelberg in specific, to select stable relays, the …","https://www.researchgate.net/profile/Maha-Kadadha/publication/350611966_A_blockchain-enabled_relay_selection_for_QoS-OLSR_in_urban_VANET_A_Stackelberg_game_model/links/60abb32592851ca9dcde542e/A-blockchain-enabled-relay-selection-for-QoS-OLSR-in-urban-VANET-A-Stackelberg-game-model.pdf","https://scholar.google.com/scholar?q=related:EL23XB-bTGAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"K Adhikary, S Bhushan","Recent techniques used for preventing DOS attacks in VANETs",2017,"2017 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8229864/","https://scholar.google.com/scholar?cites=5503262689178032196&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 18:44:52","","","","",,,,,2,0.50,1,2,4,"VANETs are network of vehicle which is formed dynamically for short duration. Due to this they are susceptible to various types of attacks. This paper discusses the recent techniques used to counter various types of attacks that threaten the VANET. Researchers have …","","https://scholar.google.com/scholar?q=related:RBgeHkKEX0wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"A Temurnikar, P Verma, G Dhiman","A PSO enable multi-Hop clustering algorithm for VANET",2022,"International Journal of Swarm …","igi-global.com","https://www.igi-global.com/article/a-pso-enable-multi-hop-clustering-algorithm-for-vanet/284080","https://scholar.google.com/scholar?cites=14011742788758673621&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 18:44:52","HTML","","","",,,,,2,2.00,1,3,1,"Abstract VANET (Vehicle Ad-hoc Network) is an emerging technology in today's intelligent transport system. In VANET, there are many moving nodes which are called the vehicle running on the road. They communicate with each other to provide the information to driver …","https://www.igi-global.com/article/a-pso-enable-multi-hop-clustering-algorithm-for-vanet/284080",""
2,"S Sultan, Q Javaid, AJ Malik, F Al-Turjman, ...","Collaborative-trust approach toward malicious node detection in vehicular ad hoc networks",2021,"Environment …","Springer","https://link.springer.com/article/10.1007/s10668-021-01632-5","https://scholar.google.com/scholar?cites=4626379653553434926&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 18:44:52","","10.1007/s10668-021-01632-5","","",,,,,2,2.00,0,5,1,"Malicious node detection in vehicular ad hoc network (VANET) has always been a research hot spot. An efficient misbehavior detection scheme is needed to avoid and reduce the factor of selfishness and maliciousness especially in the case where the selfish beacons exploit …","",""
