Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
276,"Z Lu, G Qu, Z Liu","A survey on recent advances in vehicular network security, trust, and privacy",2018,"IEEE Transactions on Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8345196/","https://scholar.google.com/scholar?cites=10935788518298821384&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 18:44:59","","","","",,,,,276,92.00,92,3,3,"Vehicular ad hoc networks (VANETs) are becoming the most promising research topic in intelligent transportation systems, because they provide information to deliver comfort and safety to both drivers and passengers. However, unique characteristics of VANETs make …","https://fardapaper.ir/mohavaha/uploads/2021/08/Fardapaper-A-Survey-on-Recent-Advances-in-Vehicular-Network-Security-Trust-and-Privacy.pdf","https://scholar.google.com/scholar?q=related:CCP_k7e5w5cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
182,"C Cervantes, D Poplade, M Nogueira, ...","Detection of sinkhole attacks for supporting secure routing on 6LoWPAN for Internet of Things",2015,"2015 IFIP/IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7140344/","https://scholar.google.com/scholar?cites=5643297593317706415&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 18:44:59","","","","",,,,,182,30.33,46,4,6,"The Internet of Things (IoT) networks are vulnerable to various kinds of attacks, being the sinkhole attack one of the most destructive since it prevents communication among network devices. In general, existing solutions are not effective to provide protection and security …","https://www.researchgate.net/profile/Michele-Nogueira/publication/283782108_Detection_of_sinkhole_attacks_for_supporting_secure_routing_on_6LoWPAN_for_Internet_of_Things/links/570cfddc08ae3199889b4617/Detection-of-sinkhole-attacks-for-supporting-secure-routing-on-6LoWPAN-for-Internet-of-Things.pdf","https://scholar.google.com/scholar?q=related:r8qE-0IFUU4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
142,"OA Wahab, J Bentahar, H Otrok, A Mourad","A survey on trust and reputation models for Web services: Single, composite, and communities",2015,"Decision Support Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167923615000809","https://scholar.google.com/scholar?cites=5290994742990588926&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 18:44:59","","","","",,,,,142,23.67,36,4,6,"Web service selection constitutes nowadays a major challenge that is still attracting the research community to work on and investigate. The problem arises since decision makers (1) cannot blindly trust the service or its provider, and (2) ignore the environment within …","https://www.academia.edu/download/39514781/Survey.pdf","https://scholar.google.com/scholar?q=related:_stplK9jbUkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
107,"U Khan, S Agrawal, S Silakari","Detection of malicious nodes (DMN) in vehicular ad-hoc networks",2015,"Procedia computer science","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877050915000071","https://scholar.google.com/scholar?cites=17597629077283913610&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 18:44:59","","","","",,,,,107,17.83,36,3,6,"VANETs enable wireless communication among vehicles and vehicle to infrastructure. Its main objective is to render safety, comfort and convenience on the road. VANET is different from ad-hoc networks due to its unique characteristics. However, because of lack of …","https://www.sciencedirect.com/science/article/pii/S1877050915000071/pdf?md5=cdf634c3c3d01d4ccb1094a3225bf4ea&pid=1-s2.0-S1877050915000071-main.pdf","https://scholar.google.com/scholar?q=related:ir-X2GhWN_QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
99,"S Sharma, A Kaul","A survey on Intrusion Detection Systems and Honeypot based proactive security mechanisms in VANETs and VANET Cloud",2018,"Vehicular communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617302784","https://scholar.google.com/scholar?cites=13069351084350041558&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 18:44:59","","","","",,,,,99,33.00,50,2,3,"Vehicular ad-hoc Network (VANET) is an emerging type of Mobile ad-hoc Networks (MANETs) with excellent applications in the intelligent traffic system. Applications in VANETs are life critical since human lives are at stake and therefore, interaction among nodes …","","https://scholar.google.com/scholar?q=related:1u2MG5GpX7UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
94,"M Conti, C Boldrini, SS Kanhere, E Mingozzi, ...","From MANET to people-centric networking: Milestones and open research challenges",2015,"Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140366415003412","https://scholar.google.com/scholar?cites=7580900902539775136&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 18:44:59","","","","",,,,,94,15.67,19,5,6,"In this paper, we discuss the state of the art of (mobile) multi-hop ad hoc networking with the aim to present the current status of the research activities and identify the consolidated research areas, with limited research opportunities, and the hot and emerging research …","http://homes.di.unimi.it/~pagae/elena/articoli/COMCOM2015_INV.pdf","https://scholar.google.com/scholar?q=related:oExSnTTFNGkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
92,"OA Wahab, A Mourad, H Otrok, J Bentahar","CEAP: SVM-based intelligent detection model for clustered vehicular ad hoc networks",2016,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417415008088","https://scholar.google.com/scholar?cites=7230263194545355940&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 18:44:59","","","","",,,,,92,18.40,23,4,5,"The infrastructureless and decentralized nature of Vehicular Ad Hoc Network (VANET) makes it quite vulnerable to different types of malicious attacks. Detecting such attacks has attracted several contributions in the past few years. Nonetheless, the applicability of the …","https://www.researchgate.net/profile/Omar-Wahab/publication/288040297_CEAP_SVM-based_Intelligent_Detection_Model_for_Clustered_Vehicular_Ad_Hoc_Networks/links/5a74bd734585157306aa4bf9/CEAP-SVM-based-Intelligent-Detection-Model-for-Clustered-Vehicular-Ad-Hoc-Networks.pdf","https://scholar.google.com/scholar?q=related:pPx0XxEOV2QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
78,"OA Wahab, J Bentahar, H Otrok, ...","Towards trustworthy multi-cloud services communities: A trust-based hedonic coalitional game",2016,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7445255/","https://scholar.google.com/scholar?cites=11703777650682109296&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 18:44:59","","","","",,,,,78,15.60,20,4,5,"The prominence of cloud computing led to unprecedented proliferation in the number of web services deployed in cloud data centers. In parallel, service communities have gained recently increasing interest due to their ability to facilitate discovery, composition, and …","https://people.cs.vt.edu/~irchen/6204b/paper/Wahab-TSC17.pdf","https://scholar.google.com/scholar?q=related:cB0Ql8MrbKIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
62,"A Jesudoss, SVK Raja, A Sulaiman","Stimulating truth-telling and cooperation among nodes in VANETs through payment and punishment scheme",2015,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870514001929","https://scholar.google.com/scholar?cites=7519517151110540446&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 18:44:59","","","","",,,,,62,10.33,21,3,6,"This paper proposes a Payment Punishment Scheme (PPS) working along with various established models to encourage truth telling during election process of the nodes in a cluster, motivate individual nodes in a cluster to cooperate and stimulate the nodes to …","","https://scholar.google.com/scholar?q=related:nqxmQgKxWmgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
51,"U Khan, S Agrawal, S Silakari","A detailed survey on misbehavior node detection techniques in vehicular ad hoc networks",2015,"Information systems design and intelligent …","Springer","https://link.springer.com/chapter/10.1007/978-81-322-2250-7_2","https://scholar.google.com/scholar?cites=8192237304751220911&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 18:44:59","","10.1007/978-81-322-2250-7_2","","",,,,,51,8.50,17,3,6,"Communication in Vehicular ad hoc Network relies on exchange of information among different vehicular nodes in the network. This helps to improve the safety, driving efficiency and comfort on the journey for the travellers. In this network, information received from other …","","https://scholar.google.com/scholar?q=related:r2hmoWyssHEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
