Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
253,"F Sakiz, S Sen","A survey of attacks and detection mechanisms on intelligent transportation systems: VANETs and IoV",2017,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870517300562","https://scholar.google.com/scholar?cites=13601267723412168587&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 18:47:17","","","","",,,,,253,63.25,127,2,4,"Vehicular ad hoc networks (VANETs) have become one of the most promising and fastest growing subsets of mobile ad hoc networks (MANETs). They are comprised of smart vehicles and roadside units (RSU) which communicate through unreliable wireless media …","https://www.academia.edu/download/56223631/A_survey_of_attacks_and_detection_mechanisms_on_intelligent_transportation_systems__VANETs_and_IoV.pdf","https://scholar.google.com/scholar?q=related:i9_3jO5owbwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
142,"OA Wahab, J Bentahar, H Otrok, A Mourad","A survey on trust and reputation models for Web services: Single, composite, and communities",2015,"Decision Support Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167923615000809","https://scholar.google.com/scholar?cites=5290994742990588926&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 18:47:17","","","","",,,,,142,23.67,36,4,6,"Web service selection constitutes nowadays a major challenge that is still attracting the research community to work on and investigate. The problem arises since decision makers (1) cannot blindly trust the service or its provider, and (2) ignore the environment within …","https://www.academia.edu/download/39514781/Survey.pdf","https://scholar.google.com/scholar?q=related:_stplK9jbUkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
92,"OA Wahab, A Mourad, H Otrok, J Bentahar","CEAP: SVM-based intelligent detection model for clustered vehicular ad hoc networks",2016,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417415008088","https://scholar.google.com/scholar?cites=7230263194545355940&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 18:47:17","","","","",,,,,92,18.40,23,4,5,"The infrastructureless and decentralized nature of Vehicular Ad Hoc Network (VANET) makes it quite vulnerable to different types of malicious attacks. Detecting such attacks has attracted several contributions in the past few years. Nonetheless, the applicability of the …","https://www.researchgate.net/profile/Omar-Wahab/publication/288040297_CEAP_SVM-based_Intelligent_Detection_Model_for_Clustered_Vehicular_Ad_Hoc_Networks/links/5a74bd734585157306aa4bf9/CEAP-SVM-based-Intelligent-Detection-Model-for-Clustered-Vehicular-Ad-Hoc-Networks.pdf","https://scholar.google.com/scholar?q=related:pPx0XxEOV2QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
62,"A Jesudoss, SVK Raja, A Sulaiman","Stimulating truth-telling and cooperation among nodes in VANETs through payment and punishment scheme",2015,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870514001929","https://scholar.google.com/scholar?cites=7519517151110540446&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 18:47:17","","","","",,,,,62,10.33,21,3,6,"This paper proposes a Payment Punishment Scheme (PPS) working along with various established models to encourage truth telling during election process of the nodes in a cluster, motivate individual nodes in a cluster to cooperate and stimulate the nodes to …","","https://scholar.google.com/scholar?q=related:nqxmQgKxWmgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
49,"DT Hoang, X Lu, D Niyato, P Wang, ...","Applications of repeated games in wireless networks: A survey",2015,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7124400/","https://scholar.google.com/scholar?cites=4757018729218932504&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 18:47:17","","","","",,,,,49,8.17,10,5,6,"A repeated game is an effective tool to model interactions and conflicts for players aiming to achieve their objectives in a long-term basis. Contrary to static noncooperative games that model interactions among players in only one period, in repeated games, interactions of …","https://arxiv.org/pdf/1501.02886","https://scholar.google.com/scholar?q=related:GH_5mFRTBEIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
40,"OA Wahab, J Bentahar, H Otrok, A Mourad","A Stackelberg game for distributed formation of business-driven services communities",2016,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417415006764","https://scholar.google.com/scholar?cites=12298431435642060327&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 18:47:17","","","","",,,,,40,8.00,10,4,5,"With the advent of cloud computing and the rapid increase in the number of deployed services, the competition between functionally-similar Web services is increasingly governing the markets of services. For example, Amazon and Google are in an intense …","https://www.academia.edu/download/42396552/Stackelberg_Game.pdf","https://scholar.google.com/scholar?q=related:Jz7xFzvOrKoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"A Abusitta, M Bellaiche, ...","An SVM-based framework for detecting DoS attacks in virtualized clouds under changing environment",2018,"Journal of …","journalofcloudcomputing …","https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-018-0109-4","https://scholar.google.com/scholar?cites=1947349434122766651&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 18:47:17","HTML","10.1186/s13677-018-0109-4","","",,,,,30,10.00,10,3,3,"Cloud Computing enables providers to rent out space on their virtual and physical infrastructures. Denial of Service (DoS) attacks threaten the ability of the cloud to respond to clients requests, which results in considerable economic losses. The existing detection …","https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-018-0109-4","https://scholar.google.com/scholar?q=related:OwlyKv5fBhsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"LC Hua, MH Anisi, L Yee, M Alam","Social networking-based cooperation mechanisms in vehicular ad-hoc network—a survey",2017,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617300992","https://scholar.google.com/scholar?cites=13998128454142444707&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 18:47:17","","","","",,,,,22,5.50,6,4,4,"Abstract Vehicular Ad-hoc Network (VANET) is a sub-class of Mobile Ad-hoc Networks (MANETs) where it is built up by moving vehicles. VANET is getting increasingly popular in traffic management especially in some of the developed countries. It can be categorized into …","","https://scholar.google.com/scholar?q=related:o8Ry7alXQ8IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"B Subba, S Biswas, S Karmakar","A game theory based multi layered intrusion detection framework for wireless sensor networks",2018,"International Journal of Wireless …","Springer","https://link.springer.com/article/10.1007/s10776-018-0403-6","https://scholar.google.com/scholar?cites=16979918197941544194&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 18:47:17","","10.1007/s10776-018-0403-6","","",,,,,22,7.33,7,3,3,"Most of the existing intrusion detection frameworks proposed for wireless sensor networks (WSNs) are computation and energy intensive, which adversely affect the overall lifetime of the WSNs. In addition, some of these frameworks generate a significant volume of IDS traffic …","","https://scholar.google.com/scholar?q=related:AiV_N6PJpOsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"A Al-Hilo, M Samir, C Assi, ...","UAV-assisted content delivery in intelligent transportation systems-joint trajectory planning and cache management",2020,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9190025/","https://scholar.google.com/scholar?cites=6029044875796631760&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-18 18:47:17","","","","",,,,,22,22.00,6,4,1,"Unmanned Aerial Vehicles (UAVs) are gaining growing interests due to the paramount roles they play, particularly these days, in enabling new services that help modernize our transportation, supply chain, search and rescue, among others. They are capable of …","","https://scholar.google.com/scholar?q=related:0FC_DF94q1MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
