Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
57,"Y Roumani, JK Nwankpa, YF Roumani","Time series modeling of vulnerabilities",2015,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404815000358","https://scholar.google.com/scholar?cites=2915288043931629286&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 19:16:54","","","","",,,,,57,9.50,19,3,6,"Vulnerability prediction models forecast future vulnerabilities and can be used to assess security risks and estimate the resources needed for handling potential security breaches. Although several vulnerability prediction models have been proposed, such models have …","","https://scholar.google.com/scholar?q=related:5vZ8tAcvdSgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"JA Pavlich-Mariscal, SA Demurjian, LD Michel","A framework of composable access control features: Preserving separation of access control concerns from models to code",2010,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404809001382","https://scholar.google.com/scholar?cites=369116026872788455&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 19:16:54","","","","",,,,,30,2.73,10,3,11,"Modeling of security policies, along with their realization in code, must be an integral part of the software development process, to achieve an acceptable level of security for a software application. Among all of the security concerns (eg authentication, auditing, access control …","https://www.academia.edu/download/31175634/2013238525570.pdf","https://scholar.google.com/scholar?q=related:5_WnHhJdHwUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"A Mourad, S Ayoubi, H Yahyaoui, ...","New approach for the dynamic enforcement of Web services security",2010,"… Conference on Privacy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5593232/","https://scholar.google.com/scholar?cites=906576315459785865&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 19:16:54","","","","",,,,,18,1.64,5,4,11,"We propose in this paper a new approach for the dynamic enforcement of Web services security, which is based on a synergy between Aspect-Oriented Programming (AOP) and composition of Web services. Security policies are specified as aspects. The elaborated …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/5331/(Postprint)%20New.pdf?sequence=3","https://scholar.google.com/scholar?q=related:iVTDDFvOlAwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"B Cannon, E Wohlstadter","Enforcing security for desktop clients using authority aspects",2009,"Proceedings of the 8th ACM international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1509239.1509275","https://scholar.google.com/scholar?cites=7341975468561368466&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 19:16:54","","10.1145/1509239.1509275","","",,,,,17,1.42,9,2,12,"Desktop client applications interact with both local and remote resources. This is both a benefit in terms of the rich features desktop clients can provide, but also a security risk. Due to their high connectivity, desktop clients can leave a user's machine vulnerable to viruses …","https://www.researchgate.net/profile/Eric-Wohlstadter/publication/221014847_Enforcing_security_for_desktop_clients_using_authority_aspects/links/0deec516b929d35417000000/Enforcing-security-for-desktop-clients-using-authority-aspects.pdf","https://scholar.google.com/scholar?q=related:koU7Ccrv42UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
16,"JA Pavlich-Mariscal, SA Demurjian, LD Michel","A framework for security assurance of access control enforcement code",2010,"computers & security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404810000349","https://scholar.google.com/scholar?cites=767839602324900245&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 19:16:54","","","","",,,,,16,1.45,5,3,11,"Modeling of access control policies, along with their implementation in code, must be an integral part of the software development process, to ensure that the proper level of security in an application is attained. Previous work of the authors in this area yielded a framework …","https://sdcse.engr.uconn.edu/Cse5810/Pavlich_Journal2.pdf","https://scholar.google.com/scholar?q=related:lYkN1QzqpwoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"PF de Araujo-Filho, G Kaddoum, ...","Intrusion detection for cyber–physical systems using generative adversarial networks in fog environment",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9199878/","https://scholar.google.com/scholar?cites=6239621464334317466&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 19:16:54","","","","",,,,,11,11.00,4,3,1,"Cyber-attacks cyber–physical systems (CPSs) can lead to sensing and actuation misbehavior, severe damages to physical objects, and safety risks. Machine learning algorithms have been proposed for hindering cyber-attacks on CPSs, but the absence of …","","https://scholar.google.com/scholar?q=related:mreMsqmWl1YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"D Mouheb, M Debbabi, M Pourzandi, L Wang, M Nouh, ...","Aspect-oriented security hardening of UML design models",2015,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-319-16106-8.pdf","https://scholar.google.com/scholar?cites=17381841608590375039&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 19:16:54","BOOK","10.1007/978-3-319-16106-8","","",,,,,9,1.50,2,6,6,"In the coming years, information technology will continue to transform the way we think, work, communicate, and learn. The tremendous success of Internet-related technologies (web services, voice over IP, mobile telephony, etc.) coupled with advances both in …","","https://scholar.google.com/scholar?q=related:fzgintm0OPEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"A Mourad, H Otrok, H Yahyaoui, ...","Toward an abstract language on top of XACML for web services security",2011,"… Conference for Internet …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6148453/","https://scholar.google.com/scholar?cites=3025357685021669932&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 19:16:54","","","","",,,,,5,0.50,1,4,10,"We introduce in this paper an abstract language on top of XACML (eXtensible Access Control Markup Language) for web services security. It is based on the automatic generation of XACML security policies from abstract XACML profile (s). Our proposed approach allows …","https://www.researchgate.net/profile/Azzam-Mourad/publication/254051012_Toward_an_abstract_language_on_top_of_XACML_for_web_services_security/links/556986be08aefcb861d5d4e0/Toward-an-abstract-language-on-top-of-XACML-for-web-services-security.pdf","https://scholar.google.com/scholar?q=related:LPo2Fsk6_CkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"JA Pavlich-Mariscal, MC Franky, A Lopez","Towards security assurance in round-trip engineering: A type-based approach",2013,"Electronic Notes in Theoretical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1571066113000091","https://scholar.google.com/scholar?cites=8566634770857148086&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 19:16:54","","","","",,,,,5,0.63,2,3,8,"Security assurance is a property that ensures that the application code behaves consistently with the access control policy specified at the design level. Security assurance proofs are valid as long as software engineers do not modify the generated code. This assumption …","https://www.sciencedirect.com/science/article/pii/S1571066113000091/pdf?md5=a9e653d6a0949dcc95cbb0e9c3fb6eb0&pid=1-s2.0-S1571066113000091-main.pdf","https://scholar.google.com/scholar?q=related:tj5zpe_M4nYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Mourad, H Otrok, L Baajour","A novel approach for the development and deployment of security patterns",2010,"2010 IEEE Second International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5591424/","https://scholar.google.com/scholar?cites=11822063976596817815&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 19:16:54","","","","",,,,,4,0.36,1,3,11,"In this paper, we address the problems related to the applicability and useability of security patterns. In this context, we propose a new approach based on aspect-oriented programming (AOP) for security patterns development, specification and deployment. Our …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/5336/(Postprint)%20A%20Novel.pdf?sequence=3","https://scholar.google.com/scholar?q=related:l8f-_IxoEKQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
