Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
48,"S Abdulrahman, H Tout, H Ould-Slimane, ...","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9220780/","https://scholar.google.com/scholar?cites=2853040318860892567&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 19:56:38","CITATION","","","",,,,,48,48.00,12,4,1,"Driven by privacy concerns and the visions of deep learning, the last four years have witnessed a paradigm shift in the applicability mechanism of machine learning (ML). An emerging model, called federated learning (FL), is rising above both centralized systems …","http://icaangroup.com/wp-content/uploads/2021/06/09220780-4.pdf","https://scholar.google.com/scholar?q=related:lxmSzw0JmCcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
27,"A Hammoud, H Sami, A Mourad, H Otrok, ...","AI, blockchain, and vehicular edge computing for smart and secure IoV: Challenges and directions",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9125437/","https://scholar.google.com/scholar?cites=16298884971321142998&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 19:56:38","","","","",,,,,27,27.00,5,5,1,"Internet of Things (IoT) is turning into an undeniably developing point of discussion in both research and industrial fields. A key area that is witnessing a quick development in the utilization of IoT devices is the Internet of Vehicles (IoV), which allows information exchange …","https://www.researchgate.net/profile/Hani-Sami-2/publication/340999407_AI_Blockchain_and_Vehicular_Edge_Computing_for_Smart_and_Secure_IoV_Challenges_and_Directions/links/5ea92a3292851cb26762fb28/AI-Blockchain-and-Vehicular-Edge-Computing-for-Smart-and-Secure-IoV-Challenges-and-Directions.pdf","https://scholar.google.com/scholar?q=related:1q6MtoZFMeIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"H Sami, A Mourad","Dynamic on-demand fog formation offering on-the-fly IoT service deployment",2020,"IEEE Transactions on Network and Service …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8947936/","https://scholar.google.com/scholar?cites=12896776782735051752&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 19:56:38","","","","",,,,,25,25.00,13,2,1,"With the increasing number of IoT devices, fog computing has emerged, providing processing resources at the edge for the tremendous amount of sensed data and IoT computation. The advantage of the fog gets eliminated if it is not present near IoT devices …","https://www.academia.edu/download/64624911/DynamicOn-DemandFogFormationOfferingOn-The-FlyIoTServiceDeployment08947936.pdf","https://scholar.google.com/scholar?q=related:6IttYieO-rIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"Q Xu, Z Su, R Lu","Game theory and reinforcement learning based secure edge caching in mobile social networks",2020,"IEEE Transactions on Information Forensics …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9036917/","https://scholar.google.com/scholar?cites=15525374382003166549&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 19:56:38","","","","",,,,,23,23.00,8,3,1,"Edge caching has become one of promising technologies in mobile social networks (MSNs) to proximally provide popular contents for mobile users. However, since caching contents inevitably consume resources (eg, power, bandwidth, storage, etc.), edge caching devices …","https://www.cs.unb.ca/~rlu1/paper/XuSL20.pdf","https://scholar.google.com/scholar?q=related:VZ0_VL41ddcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"S Arisdakessian, OA Wahab, A Mourad, ...","FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory",2020,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9109632/","https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 19:56:38","","","","",,,,,14,14.00,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …","https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf","https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"H Sami, A Mourad, W El-Hajj","Vehicular-OBUs-as-on-demand-fogs: Resource and context aware deployment of containerized micro-services",2020,"IEEE/ACM Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9032323/","https://scholar.google.com/scholar?cites=17947123205686221738&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 19:56:38","","","","",,,,,13,13.00,4,3,1,"Observing the headway in vehicular industry, new applications are developed demanding more resources. For instance, real-time vehicular applications require fast processing of the vast amount of generated data by vehicles in order to maintain service availability and …","https://www.researchgate.net/profile/Hani-Sami-2/publication/339852675_Vehicular-OBUs-As-On-Demand-Fogs_Resource_and_Context_Aware_Deployment_of_Containerized_Micro-Services/links/5e83d92692851c2f5270dbab/Vehicular-OBUs-As-On-Demand-Fogs-Resource-and-Context-Aware-Deployment-of-Containerized-Micro-Services.pdf","https://scholar.google.com/scholar?q=related:qtsYt3f9EPkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"P Farhat, H Sami, A Mourad","Reinforcement R-learning model for time scheduling of on-demand fog placement",2020,"The Journal of Supercomputing","Springer","https://link.springer.com/article/10.1007/s11227-019-03032-z","https://scholar.google.com/scholar?cites=1383698678103651348&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 19:56:38","","10.1007/s11227-019-03032-z","","",,,,,12,12.00,4,3,1,"On the fly deployment of fog nodes near users provides the flexibility of pushing services anywhere and whenever needed. Nevertheless, taking a real-life scenario, the cloud might limit the number of fogs to place for minimizing the complexity of monitoring a large number …","https://www.researchgate.net/profile/Hani-Sami-2/publication/336750483_Reinforcement_R-learning_model_for_time_scheduling_of_on-demand_fog_placement/links/5dd2d92592851c382f49a2c8/Reinforcement-R-learning-model-for-time-scheduling-of-on-demand-fog-placement.pdf","https://scholar.google.com/scholar?q=related:FLSL2J3iMxMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"S AbdulRahman, H Tout, A Mourad, ...","FedMCCS: multicriteria client selection model for optimal IoT federated learning",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9212434/","https://scholar.google.com/scholar?cites=6335911559130138134&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-18 19:56:38","","","","",,,,,10,10.00,3,4,1,"As an alternative centralized systems, which may prevent data to be stored in a central repository due to its privacy and/or abundance, federated learning (FL) is nowadays a game changer addressing both privacy and cooperative learning. It succeeds in keeping training …","https://www.researchgate.net/profile/Sawsan-Abdulrahman/publication/344871700_FedMCCS_Multicriteria_Client_Selection_Model_for_Optimal_IoT_Federated_Learning/links/5f9555a6299bf1b53e43a03d/FedMCCS-Multicriteria-Client-Selection-Model-for-Optimal-IoT-Federated-Learning.pdf","https://scholar.google.com/scholar?q=related:FkY-cv6t7VcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, H Tout, OA Wahab, H Otrok, ...","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9138386/","https://scholar.google.com/scholar?cites=6689443111974663338&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 19:56:38","","","","",,,,,7,7.00,1,5,1,"Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which …","https://www.researchgate.net/profile/Azzam-Mourad/publication/342859892_Ad_Hoc_Vehicular_Fog_Enabling_Cooperative_Low-Latency_Intrusion_Detection/links/5f15e3624585151299aaf71f/Ad-Hoc-Vehicular-Fog-Enabling-Cooperative-Low-Latency-Intrusion-Detection.pdf","https://scholar.google.com/scholar?q=related:qvRuchGt1VwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"X Xu, H Li, W Xu, Z Liu, L Yao, ...","Artificial intelligence for edge service optimization in internet of vehicles: A survey",2021,"Tsinghua Science and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9552656/","https://scholar.google.com/scholar?cites=14206098148278920875&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 19:56:38","","","","",,,,,6,6.00,1,6,1,"The Internet of Vehicles (IoV) plays a crucial role in providing diversified services because of its powerful capability of collecting real-time information. Generally, collected information is transmitted to a centralized resource-intensive cloud platform for service implementation …","https://ieeexplore.ieee.org/iel7/5971803/9552649/09552656.pdf",""
