Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
185,"A Capponi, C Fiandrino, B Kantarci, ...","A survey on mobile crowdsensing systems: Challenges, solutions, and opportunities",2019,"… surveys & tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8703108/","https://scholar.google.com/scholar?cites=12117359491747813840&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 19:59:48","","","","",,,,,185,92.50,46,4,2,"Mobile crowdsensing (MCS) has gained significant attention in recent years and has become an appealing paradigm for urban sensing. For data collection, MCS systems rely on contribution from mobile devices of a large number of participants or a crowd. Smartphones …","https://orbilu.uni.lu/bitstream/10993/39438/1/comst-preprint.pdf","https://scholar.google.com/scholar?q=related:0BlW2UGCKagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
48,"S Abdulrahman, H Tout, H Ould-Slimane, ...","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9220780/","https://scholar.google.com/scholar?cites=2853040318860892567&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 19:59:48","CITATION","","","",,,,,48,48.00,12,4,1,"Driven by privacy concerns and the visions of deep learning, the last four years have witnessed a paradigm shift in the applicability mechanism of machine learning (ML). An emerging model, called federated learning (FL), is rising above both centralized systems …","http://icaangroup.com/wp-content/uploads/2021/06/09220780-4.pdf","https://scholar.google.com/scholar?q=related:lxmSzw0JmCcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"DG Costa, A Damasceno, I Silva","CitySpeed: A crowdsensing-based integrated platform for general-purpose monitoring of vehicular speeds in smart cities",2019,"Smart Cities","mdpi.com","https://www.mdpi.com/405428","https://scholar.google.com/scholar?cites=17500535191464728851&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 19:59:48","","","","",,,,,8,4.00,3,3,2,"The development of crowdsensing-based technologies has allowed for the use of smartphones in large-scale data collection for different scopes of applications, mostly in a transparent and ubiquitous way. When concerning urban areas and smart city initiatives, the …","https://www.mdpi.com/2624-6511/2/1/4/pdf","https://scholar.google.com/scholar?q=related:E1l66ghk3vIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"H Yu, C Liu, Y Ren, N Ji, C Yang","Service node selection optimization for mobile crowd sensing in a road network environment",2020,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209619302505","https://scholar.google.com/scholar?cites=12423756675363361182&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 19:59:48","","","","",,,,,5,5.00,1,5,1,"Mobile crowd sensing (MCS) can be an effective method for urban traffic sensing applications by collecting data in urban road networks through ubiquitous sensor-mounted vehicles. However, due to the limited network resources and the randomness of …","https://www.sciencedirect.com/science/article/am/pii/S2214209619302505","https://scholar.google.com/scholar?q=related:ntHrUt8MaqwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"W Ren, S Tang","EGeoIndis: An effective and efficient location privacy protection framework in traffic density detection",2020,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209619302347","https://scholar.google.com/scholar?cites=11283567036575652844&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 19:59:48","","","","",,,,,5,5.00,3,2,1,"Traffic density detection is a useful measure to infer the environment of road condition. The common methods to achieve traffic density detection is collecting the real time vehicle locations in the areas. But processing data that consist of vehicle locations severely risks car …","","https://scholar.google.com/scholar?q=related:7Btm1m9Il5wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SA Rahman, A Mourad, M El Barachi","An infrastructure-assisted crowdsensing approach for on-demand traffic condition estimation",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8895966/","https://scholar.google.com/scholar?cites=12109604778604014966&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 19:59:48","","","","",,,,,5,2.50,2,3,2,"With the widespread use of smartphones and the continuous increase of their capabilities, a new sensing paradigm has emerged: mobile crowdsensing. The concept of crowdsensing implies the reliance on the crowd to perform sensing tasks and collect data about a …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08895966.pdf","https://scholar.google.com/scholar?q=related:dq0Q_2L1DagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"DN Vadhwani, S Buch","A novel approach for the ITS application to prevent accidents using wireless sensor network, IoT and VANET",2019,"2019 IEEE International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8869157/","https://scholar.google.com/scholar?cites=3781769193581878047&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 19:59:48","","","","",,,,,4,2.00,2,2,2,"The accidents are growing in the cities due uneven management of traffic, faulty roads, speedy vehicle, avoidance of traffic rules, mismanagement of vehicles etc. The paper gives brief review and novel approach for the application of Intelligent Transportation System an …","","https://scholar.google.com/scholar?q=related:H5v2fQuLezQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"H Sami, A Mourad, H Otrok, ...","Demand-Driven Deep Reinforcement Learning for Scalable Fog and Service Placement",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9416796/","https://scholar.google.com/scholar?cites=8998968156978449359&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 19:59:48","","","","",,,,,4,4.00,1,4,1,"The increasing number of Internet of Things (IoT) devices necessitates the need for a more substantial fog computing infrastructure to support the users' demand for services. In this context, the placement problem consists of selecting fog resources and mapping services to …","https://www.researchgate.net/profile/Hani-Sami-2/publication/351080915_Demand-Driven_Deep_Reinforcement_Learning_for_Scalable_Fog_and_Service_Placement/links/6083ac718ea909241e1ee47d/Demand-Driven-Deep-Reinforcement-Learning-for-Scalable-Fog-and-Service-Placement.pdf","https://scholar.google.com/scholar?q=related:z4vANdzB4nwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Ahmed, MT Imtiaz, R Khan, ...","Clustering and association rule mining-based traffic analysis and prediction of Dhaka",2018,"International Journal of …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJKEDM.2018.095524","https://scholar.google.com/scholar?cites=11941038150364481582&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 19:59:48","","10.1504/IJKEDM.2018.095524","","",,,,,3,1.00,1,4,3,"Traffic is one of the major problems for any populated city. Currently, there are many traffic alert systems available and almost all of them work with user submitted inputs to give those alerts. We have worked on developing a system that will not depend on any user's manual …","","https://scholar.google.com/scholar?q=related:Lsjcce4Wt6UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"G Manogaran, M Alazab","Ant-Inspired Recurrent Deep Learning Model for Improving the Service Flow of Intelligent Transportation Systems",2020,"IEEE Transactions on Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9295424/","https://scholar.google.com/scholar?cites=3983476223497699799&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 19:59:48","","","","",,,,,3,3.00,2,2,1,"Intelligent Transportation System (ITS) serves as the on-the wheel communication and service platform for the real-world driving users. Navigation service and traffic information flow among the connected vehicles relies on the available resources and infrastructure …","","https://scholar.google.com/scholar?q=related:14HLGIUmSDcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"H Sami, H Otrok, J Bentahar, ...","AI-based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9380677/","https://scholar.google.com/scholar?cites=1142297934495883516&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-12-18 19:59:48","","","","",,,,,3,3.00,1,4,1,"Currently, researchers have motivated a vision of 6G for empowering the new generation of the Internet of Everything (IoE) services that are not supported by 5G. In the context of 6G, more computing resources are required, a problem that is dealt with by Mobile Edge …","https://www.researchgate.net/profile/Hani-Sami-2/publication/350148832_AI-based_Resource_Provisioning_of_IoE_Services_in_6G_A_Deep_Reinforcement_Learning_Approach/links/6060bea3299bf17367776d24/AI-based-Resource-Provisioning-of-IoE-Services-in-6G-A-Deep-Reinforcement-Learning-Approach.pdf","https://scholar.google.com/scholar?q=related:_CBKVetB2g8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"A Dureja, Suman","Efficient transportation: future aspects of IoV",2020,"International Journal of Vehicle …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJVICS.2020.110994","https://scholar.google.com/scholar?cites=7851101944608141956&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-12-18 19:59:48","","10.1504/IJVICS.2020.110994","","",,,,,2,2.00,1,2,1,"Nowadays, the term Internet of Vehicles (IoV) has gained popularity among researchers. We are in the era of smart things, smart cities, smart homes, smart transport and smart home appliances, which has been realised due to the Internet of Things (IoT). With the advent of …","","https://scholar.google.com/scholar?q=related:hDK_J5-39GwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
