Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:07:24","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"S Wang, Y Ruan, Y Tu, S Wagle, ...","Network-aware optimization of distributed learning for fog computing",2021,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9437529/","https://scholar.google.com/scholar?cites=8086520225350475182&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:07:24","","","","",,,,,34,34.00,7,5,1,"Fog computing promises to enable machine learning tasks to scale to large amounts of data by distributing processing across connected devices. Two key challenges to achieving this goal are (i) heterogeneity in devices' compute resources and (ii) topology constraints on …","https://arxiv.org/pdf/2004.08488","https://scholar.google.com/scholar?q=related:rt0G_UwXOXAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"Y Wang, IL Bennani, X Liu, M Sun, ...","Electricity Consumer Characteristics Identification: A Federated Learning Approach",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9380668/","https://scholar.google.com/scholar?cites=15439520604153405432&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:07:24","","","","",,,,,8,8.00,2,5,1,"Nowadays, smart meters are deployed in millions of residential households to gain significant insights from fine-grained electricity consumption data. The information extracted from smart meter data enables utilities to identify the socio-demographic characteristics of …","https://www.researchgate.net/profile/Yi-Wang-68/publication/350042844_Electricity_Consumer_Characteristics_Identification_A_Federated_Learning_Approach/links/60d2420745851566d5839096/Electricity-Consumer-Characteristics-Identification-A-Federated-Learning-Approach.pdf","https://scholar.google.com/scholar?q=related:-F_j-C8yRNYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"C Li, G Li, PK Varshney","Decentralized Federated Learning via Mutual Knowledge Transfer",2021,"IEEE Internet of Things Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9426904/","https://scholar.google.com/scholar?cites=12696743692167144575&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 21:07:24","","","","",,,,,6,6.00,2,3,1,"In this paper, we investigate the problem of decentralized federated learning (DFL) in Internet of things (IoT) systems, where a number of IoT clients train models collectively for a common task without sharing their private training data in the absence of a central server …","https://arxiv.org/pdf/2012.13063","https://scholar.google.com/scholar?q=related:f-TNJx7lM7AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"N Bouacida, P Mohapatra","Vulnerabilities in Federated Learning",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9411833/","https://scholar.google.com/scholar?cites=8324121567453954904&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 21:07:24","","","","",,,,,4,4.00,2,2,1,"With more regulations tackling the protection of users' privacy-sensitive data in recent years, access to such data has become increasingly restricted. A new decentralized training paradigm, known as Federated Learning (FL), enables multiple clients located at different …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09411833.pdf","https://scholar.google.com/scholar?q=related:WMNCZ3Y4hXMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"S Hu, X Chen, W Ni, E Hossain, ...","Distributed Machine Learning for Wireless Communication Networks: Techniques, Architectures, and Applications",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9446488/","https://scholar.google.com/scholar?cites=4588780567030409525&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-12-18 21:07:24","","","","",,,,,3,3.00,1,5,1,"Distributed machine learning (DML) techniques, such as federated learning, partitioned learning, and distributed reinforcement learning, have been increasingly applied to wireless communications. This is due to improved capabilities of terminal devices, explosively …","https://arxiv.org/pdf/2012.01489","https://scholar.google.com/scholar?q=related:NSkQAp2frj8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"R Kontar, N Shi, X Yue, S Chung, E Byon, ...","The Internet of Federated Things (IoFT): A Vision for the Future and In-depth Survey of Data-driven Approaches for Federated Learning",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2111.05326","https://scholar.google.com/scholar?cites=9502084529494691229&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,6,1,"The Internet of Things (IoT) is on the verge of a major paradigm shift. In the IoT system of the future, IoFT, the cloud will be substituted by the crowd where model training is brought to the edge, allowing IoT devices to collaboratively extract knowledge and build smart …","https://arxiv.org/pdf/2111.05326",""
1,"FPC Lin, S Hosseinalipour, SS Azam, ...","Semi-decentralized federated learning with cooperative D2D local model aggregations",2021,"IEEE Journal on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9562522/","https://scholar.google.com/scholar?cites=16547362381798864297&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"Federated learning has emerged as a popular technique for distributing machine learning (ML) model training across the wireless edge. In this paper, we propose two timescale hybrid federated learning (TT-HF), a semi-decentralized learning architecture that combines …","",""
1,"H Saadat, A Aboumadi, A Mohamed, ...","Hierarchical federated learning for collaborative IDS in IoT applications",2021,"2021 10th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9460304/","https://scholar.google.com/scholar?cites=8403586429678937675&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"As the Internet-of-Things devices are being very widely adopted in all fields, such as smart houses, healthcare, and transportation, extremely huge amounts of data are being gathered, shared, and processed. This fact raises many challenges on how to make the best use of …","",""
1,"A Barros, D Rosário, E Cerqueira, ...","A strategy to the reduction of communication overhead and overfitting in Federated Learning",2021,"Anais do XXVI …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/wgrs/article/view/17181","https://scholar.google.com/scholar?cites=18227015210945288126&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 21:07:24","","","","",,,,,1,1.00,0,4,1,"Federated learning (FL) is a framework to train machine learning models using decentralized data, especially unbalanced and non-iid. Adaptive methods can be used to accelerate convergence, reducing the number of rounds of local computation and …","https://sol.sbc.org.br/index.php/wgrs/article/download/17181/17019/",""
