Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
188,"J Healey, R Picard","Digital processing of affective signals",1998,"Proceedings of the 1998 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/679699/","https://scholar.google.com/scholar?cites=1860779531583333389&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 20:49:50","","","","",,,,,188,8.17,94,2,23,"Affective signal processing algorithms were developed to allow a digital computer to recognize the affective state of a user who is intentionally expressing that state. This paper describes the method used for collecting the training data, the feature extraction algorithms …","","https://scholar.google.com/scholar?q=related:DaRXCSDR0hkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
110,"J Peng, KKR Choo, H Ashman","User profiling in intrusion detection: A review",2016,"Journal of Network and Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804516301412","https://scholar.google.com/scholar?cites=8252791330762552032&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 20:49:50","","","","",,,,,110,22.00,37,3,5,"Intrusion detection systems are important for detecting and reacting to the presence of unauthorised users of a network or system. They observe the actions of the system and its users and make decisions about the legitimacy of the activity and users. Much work on …","","https://scholar.google.com/scholar?q=related:4HKGe_3Nh3IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
103,"Y Ruan, A Durresi","A survey of trust management systems for online social communities–trust modeling, trust inference and attacks",2016,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705116301393","https://scholar.google.com/scholar?cites=4996571602681369462&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 20:49:50","","","","",,,,,103,20.60,52,2,5,"Trust can help participants in online social communities to make decisions; however, it is a challenge for systems to map trust into computational models because of its subjective properties. Also, many online social communities are sparsely connected. Therefore, it is …","https://www.sciencedirect.com/science/article/am/pii/S0950705116301393","https://scholar.google.com/scholar?q=related:dpOgUGZjV0UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
92,"OA Wahab, A Mourad, H Otrok, J Bentahar","CEAP: SVM-based intelligent detection model for clustered vehicular ad hoc networks",2016,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417415008088","https://scholar.google.com/scholar?cites=7230263194545355940&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 20:49:50","","","","",,,,,92,18.40,23,4,5,"The infrastructureless and decentralized nature of Vehicular Ad Hoc Network (VANET) makes it quite vulnerable to different types of malicious attacks. Detecting such attacks has attracted several contributions in the past few years. Nonetheless, the applicability of the …","https://www.researchgate.net/profile/Omar-Wahab/publication/288040297_CEAP_SVM-based_Intelligent_Detection_Model_for_Clustered_Vehicular_Ad_Hoc_Networks/links/5a74bd734585157306aa4bf9/CEAP-SVM-based-Intelligent-Detection-Model-for-Clustered-Vehicular-Ad-Hoc-Networks.pdf","https://scholar.google.com/scholar?q=related:pPx0XxEOV2QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
89,"S Ding, Z Wang, D Wu, DL Olson","Utilizing customer satisfaction in ranking prediction for personalized cloud service selection",2017,"Decision Support Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167923616301506","https://scholar.google.com/scholar?cites=1196075720407112644&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 20:49:50","","","","",,,,,89,22.25,22,4,4,"With the rapid development of cloud computing, cloud service has become an indispensable component of modern information systems where quality of service (QoS) has a direct impact on the system's performance and stability. While scholars have concentrated their …","","https://scholar.google.com/scholar?q=related:xNtV14dQmRAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
78,"OA Wahab, J Bentahar, H Otrok, ...","Towards trustworthy multi-cloud services communities: A trust-based hedonic coalitional game",2016,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7445255/","https://scholar.google.com/scholar?cites=11703777650682109296&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 20:49:50","","","","",,,,,78,15.60,20,4,5,"The prominence of cloud computing led to unprecedented proliferation in the number of web services deployed in cloud data centers. In parallel, service communities have gained recently increasing interest due to their ability to facilitate discovery, composition, and …","https://people.cs.vt.edu/~irchen/6204b/paper/Wahab-TSC17.pdf","https://scholar.google.com/scholar?q=related:cB0Ql8MrbKIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"OA Wahab, J Bentahar, H Otrok, ...","Optimal load distribution for the detection of VM-based DDoS attacks in the cloud",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7902208/","https://scholar.google.com/scholar?cites=11734616421905302260&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 20:49:50","","","","",,,,,58,14.50,15,4,4,"Distributed Denial of Service (DDoS) constitutes a major threat against cloud systems owing to the large financial losses it incurs. This motivated the security research community to investigate numerous detection techniques to limit such attack's effects. Yet, the existing …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8317/(Postprint)%20Optimal.pdf?sequence=3","https://scholar.google.com/scholar?q=related:9IIhi3a72aIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"C Miao, H Yu, Z Shen, C Leung","Balancing quality and budget considerations in mobile crowdsourcing",2016,"Decision Support Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167923616301117","https://scholar.google.com/scholar?cites=2268820271304244995&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 20:49:50","","","","",,,,,58,11.60,15,4,5,"Mobile/spatial crowdsourcing is a class of crowdsourcing applications in which workers travel to specific locations in order to perform tasks. As workers may possess different levels of competence, a major research challenge for spatial crowdsourcing is to control the quality …","","https://scholar.google.com/scholar?q=related:A39LGgR4fB8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
48,"Y Zhong, B Bhargava, Y Lu, ...","A computational dynamic trust model for user authorization",2014,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6750739/","https://scholar.google.com/scholar?cites=12231649739196805525&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 20:49:50","","","","",,,,,48,6.86,12,4,7,"Development of authorization mechanisms for secure information access by a large community of users in an open environment is an important problem in the ever-growing Internet world. In this paper we propose a computational dynamic trust model for user …","http://www.manacinfotech.com/projects/ieee2015java/A%20Computational%20Dynamic%20Trust%20Model.pdf","https://scholar.google.com/scholar?q=related:lTHTuaGMv6kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"Y Wang, R Chen, JH Cho, A Swami, ...","Trust-based service composition and binding with multiple objective optimization in service-oriented mobile ad hoc networks",2015,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7299316/","https://scholar.google.com/scholar?cites=8031343489035449334&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 20:49:50","","","","",,,,,42,7.00,8,5,6,"With the proliferation of fairly powerful mobile devices and ubiquitous wireless technology, we see a transformation from traditional mobile ad hoc networks (MANETs) into a new era of service-oriented MANETs wherein a node can provide and receive services. Requested …","https://people.cs.vt.edu/~irchen/6204b/paper/Wang-TSC17a.pdf","https://scholar.google.com/scholar?q=related:9rMa9VkQdW8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
