Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"A Mourad, H Jebbaoui","SBA-XACML: Set-based approach providing efficient policy decision process for accessing Web services",2015,"Expert systems with applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417414004370","https://scholar.google.com/scholar?cites=1805326213874546177&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:16:08","","","","",,,,,36,6.00,18,2,6,"Policy-based computing is taking an increasing role in providing real-time decisions and governing the systematic interaction among distributed Web services. XACML (eXtensible Access Control Markup Language) has been known as the de facto standard widely used by …","https://www.researchgate.net/profile/Azzam-Mourad/publication/265015972_SBA-XACML_Set-based_approach_providing_efficient_policy_decision_process_for_accessing_Web_services/links/5bd38100299bf1124fa6344f/SBA-XACML-Set-based-approach-providing-efficient-policy-decision-process-for-accessing-Web-services.pdf","https://scholar.google.com/scholar?q=related:AXaxYaDODRkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
33,"AG De Prado, G Ortiz, J Boubeta-Puig","CARED-SOA: A context-aware event-driven service-oriented Architecture",2017,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7874075/","https://scholar.google.com/scholar?cites=16979668624468657703&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:16:08","","","","",,,,,33,8.25,11,3,4,"Currently, context awareness has become essential in software applications and services owing to the high demand by users, especially for mobile computing applications. This need to provide context awareness requires a software infrastructure not only to receive context …","https://ieeexplore.ieee.org/iel7/6287639/7859429/07874075.pdf","https://scholar.google.com/scholar?q=related:J8ZM3abmo-sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"H Jebbaoui, A Mourad, H Otrok, R Haraty","Semantics-based approach for detecting flaws, conflicts and redundancies in XACML policies",2015,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790614003218","https://scholar.google.com/scholar?cites=7472383700090174388&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:16:08","","","","",,,,,26,4.33,7,4,6,"Abstract XACML (eXtensible Access Control Markup Language) policies, which are widely adopted for defining and controlling dynamic access among Web/cloud services, are becoming more complex in order to handle the significant growth in communication and …","http://csm.beirut.lau.edu.lb/~rharaty/pdf/J4.pdf","https://scholar.google.com/scholar?q=related:tDtLhWI9s2cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"A Mourad, H Tout, C Talhi, H Otrok, ...","From model-driven specification to design-level set-based analysis of XACML policies",2016,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615003420","https://scholar.google.com/scholar?cites=17738353775164811685&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:16:08","","","","",,,,,14,2.80,3,5,5,"With lot of hype surrounding policy-based computing, XACML (eXtensible Access Control Markup Language) has become the widely used de facto standard for managing access to open and distributed service-based environments like Web services. However, like any …","https://www.researchgate.net/profile/Azzam-Mourad/publication/283489315_From_model-driven_specification_to_design-level_set-based_analysis_of_XACML_policies/links/5bdd82884585150b2b9adcb0/From-model-driven-specification-to-design-level-set-based-analysis-of-XACML-policies.pdf","https://scholar.google.com/scholar?q=related:pWno1MZKK_YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"L González, G Ortiz","An Event-Driven Integration Platform for Context-Aware Web Services.",2014,"J. Univers. Comput. Sci.","jucs.org","http://jucs.org/jucs_20_8/an_event_driven_integration/jucs_20_08_1071_1088_gonzalez.pdf","https://scholar.google.com/scholar?cites=2800756642377441991&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 21:16:08","","","","",,,,,13,1.86,7,2,7,"Web services are nowadays one of the preferred technologies to implement serviceoriented architectures and to communicate distributed applications. On the other hand, contextawareness is highly demanded for distributed applications. However, even though …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1070.3689&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:xyI5w1NJ3iYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"H Tout, A Mourad, C Talhi, H Otrok","AOMD approach for context-adaptable and conflict-free Web services composition",2015,"Computers & Electrical Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615001329","https://scholar.google.com/scholar?cites=9459858711165513783&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 21:16:08","","","","",,,,,9,1.50,2,4,6,"Abstract BPEL or Business Process Execution Language is so far the most important standard language for effective composition of Web services. However, like most available process orchestration engines, BPEL does not provide automated support for reacting …","https://www.researchgate.net/profile/Azzam-Mourad/publication/275412014_AOMD_approach_for_context-adaptable_and_conflict-free_Web_services_composition/links/5bdd8305a6fdcc3a8dba5119/AOMD-approach-for-context-adaptable-and-conflict-free-Web-services-composition.pdf","https://scholar.google.com/scholar?q=related:N7BnmGArSIMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"L González, G Ortiz","An ESB-based infrastructure for event-driven context-aware web services",2013,"European Conference on Service-Oriented and …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-45364-9_29","https://scholar.google.com/scholar?cites=4667420998290664726&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 21:16:08","","10.1007/978-3-642-45364-9_29","","",,,,,9,1.13,5,2,8,"Web services are nowadays one of the preferred technologies to implement service-oriented architectures and to communicate distributed applications. On the other hand, context-awareness is highly demanded for distributed applications. However, even though there are …","","https://scholar.google.com/scholar?q=related:Fm1QPKsCxkAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"C Canal, M Villari","Advances in Service-Oriented and Cloud Computing",2013,"Workshops of ESOCC 2013. Springer. Málaga, Spain","Springer","https://link.springer.com/content/pdf/10.1007/978-3-642-45364-9.pdf","https://scholar.google.com/scholar?cites=14842192483339104839&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 21:16:08","","10.1007/978-3-642-45364-9","","",,,,,4,0.50,2,2,8,"This volume contains the technical papers presented in the five high-quality workshops associated with ESOCC 2013 (European Conference on Service-Oriented and Cloud Computing, held in Malaga, September 11–13, 2013), focusing on specific topics in service …","","https://scholar.google.com/scholar?q=related:R3JmIW0P-s0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"PT Nkomo, M Coetzee","Engineering Secure Adaptable Web Services Compositions",2016,"International Conference on Information …","core.ac.uk","https://core.ac.uk/download/pdf/301369206.pdf","https://scholar.google.com/scholar?cites=14540225239199978936&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 21:16:08","PDF","","","",,,,,1,0.20,1,2,5,"Abstract Service-oriented architecture defines a paradigm for building applications by assembling autonomous components such as web services to create web service compositions. Web services are executed in complex contexts where unforeseen events …","https://core.ac.uk/download/pdf/301369206.pdf","https://scholar.google.com/scholar?q=related:uBWvUNFByckJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"G Ortiz, S Peinado, AG de Prado, ...","MoDAS: methodology and tool for model-driven adaptable services",2015,"… Computing-ICSOC 2014 …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-22885-3_4","https://scholar.google.com/scholar?cites=988336699276666639&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 21:16:08","","10.1007/978-3-319-22885-3_4","","",,,,,1,0.17,0,4,6,"Context-aware software for mobile and desktop users is an emerging field for software development. Due to the increasing market, most of the industry and scientific proposals in this field focus on solving context-aware adaptation issues for browser-based applications …","","https://scholar.google.com/scholar?q=related:Dyfe1v1Gtw0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
