Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"A Arooj, MS Farooq, A Akram, R Iqbal, ...","Big Data Processing and Analysis in Internet of Vehicles: Architecture, Taxonomy, and Open Research Challenges",2021,"… Methods in Engineering","Springer","https://link.springer.com/article/10.1007/s11831-021-09590-x","https://scholar.google.com/scholar?cites=11845077357991063066&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-18 21:38:45","","10.1007/s11831-021-09590-x","","",,,,,9,9.00,2,5,1,"The extensive progression in the Internet of Vehicles (IoV) and the exponential upsurge in data consumption reflect the importance of big data in IoV. In general, big data has gained a significant attraction in academia and industry to provide valuable business intelligence and …","https://www.researchgate.net/profile/Shoaib-Farooq/publication/351396067_Big_Data_Processing_and_Analysis_in_Internet_of_Vehicles_Architecture_Taxonomy_and_Open_Research_Challenges/links/60afd868a6fdcc647ee321dd/Big-Data-Processing-and-Analysis-in-Internet-of-Vehicles-Architecture-Taxonomy-and-Open-Research-Challenges.pdf","https://scholar.google.com/scholar?q=related:Gm4UZBkrYqQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"Z Yu, D Jin, X Song, C Zhai, D Wang","Internet of vehicle empowered mobile media scenarios: in-vehicle infotainment solutions for the mobility as a service (MaaS)",2020,"Sustainability","mdpi.com","https://www.mdpi.com/823260","https://scholar.google.com/scholar?cites=3677642783615513079&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:38:45","","","","",,,,,8,8.00,2,5,1,"Recently, the commercial potentials and practical values of Mobility as a Service (MaaS) have been witnessed for sustainable development of smart cities in the field of intelligent transportation. Driven by the Internet of Vehicles (IoV), vehicles gradually become mobile …","https://www.mdpi.com/2071-1050/12/18/7448/pdf","https://scholar.google.com/scholar?q=related:93EucKCcCTMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SKA Kim","Enhanced IoV Security Network by Using Blockchain Governance Game",2021,"Mathematics","mdpi.com","https://www.mdpi.com/2227-7390/9/2/109","https://scholar.google.com/scholar?cites=10275373907021608581&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:38:45","","","","",,,,,5,5.00,5,1,1,"This paper deals with the design of the secure network in an Enhanced Internet of Vehicles by using the Blockchain Governance Game (BGG). The BGG is a system model of a stochastic game to find best strategies towards preparation of preventing a network …","https://www.mdpi.com/2227-7390/9/2/109/htm","https://scholar.google.com/scholar?q=related:hTZXjiB2mY4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"X Jiang, Z Ma, FR Yu, T Song, ...","Edge Computing for Video Analytics in the Internet of Vehicles with Blockchain",2020,"Proceedings of the 10th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3416014.3424582","https://scholar.google.com/scholar?cites=10640783702123440463&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-18 21:38:45","","10.1145/3416014.3424582","","",,,,,3,3.00,1,5,1,"In intelligent transportation systems (ITS), video analytics is a potential technology to enhance the safety of the Internet of Vehicles (IoV). However, massive video data transmission and computation-intensive video analytics bring an overwhelming burden for …","","https://scholar.google.com/scholar?q=related:T2nVWGaoq5MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"G Rathee, S Garg, G Kaddoum, BJ Choi, ...","Trusted orchestration for smart decision-making in internet of vehicles",2020,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9178784/","https://scholar.google.com/scholar?cites=1114293390593213733&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-18 21:38:45","","","","",,,,,2,2.00,0,5,1,"Decision-making is of critical significance in Internet-of-Vehicles (IoV), where vehicles need to quickly make decisions in real-time when sharing or transferring the information. In addition, it is necessary to identify the significant factors of an entity while measuring its …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09178784.pdf","https://scholar.google.com/scholar?q=related:JcXfWe_Ddg8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"SM Wang, WM Cheng","Solve the Problem of Urban Parking Through Carpooling System and Blockchain Advertising",2021,"International Conference on Human-Computer …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-78358-7_9","https://scholar.google.com/scholar?cites=12662125024461318643&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:38:45","","10.1007/978-3-030-78358-7_9","","",,,,,1,1.00,1,2,1,"Currently, the problem of urban parking is getting serious. Limited by laws and regulation, cannot go through improving the parking fee to reduce the demands. This research tries to use the internet of things (IoT) and blockchain to provide a carpooling system to reducing the …","",""
1,"S Islam, S Badsha, S Sengupta","Context-Aware Fine-Grained Task Scheduling at Vehicular Edges: An Extreme Reinforcement Learning based Dynamic Approach",2021,"… on a World of Wireless, Mobile …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9469488/","https://scholar.google.com/scholar?cites=6318499998504652337&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:38:45","","","","",,,,,1,1.00,0,3,1,"Vehicular edge computing (VEC), being a novel computing paradigm, promises to provide divergent vehicular edge services, both functional (eg, charging route prediction, emergency messages, etc.) and infotainment (eg video gaming applications, featured movie series …","https://www.researchgate.net/profile/Shafkat-Islam-2/publication/350192284_Context-Aware_Fine-Grained_Task_Scheduling_at_Vehicular_Edges_An_Extreme_Reinforcement_Learning_based_Dynamic_Approach/links/60559d0a299bf17367552e70/Context-Aware-Fine-Grained-Task-Scheduling-at-Vehicular-Edges-An-Extreme-Reinforcement-Learning-based-Dynamic-Approach.pdf","https://scholar.google.com/scholar?q=related:MQ4tlEXSr1cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"K Wang, X Wang, X Liu","A High Reliable Computing Offloading Strategy Using Deep Reinforcement Learning for IoVs in Edge Computing",2021,"Journal of Grid Computing","Springer","https://link.springer.com/article/10.1007/s10723-021-09542-6","https://scholar.google.com/scholar?cites=13433710505514715301&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-12-18 21:38:45","","10.1007/s10723-021-09542-6","","",,,,,1,1.00,0,3,1,"In view of the serious problems of increasing delay energy consumption and decreasing service quality caused by complex network state and massive computing data in Internet of vehicles (IOT), a high reliable computing offloading strategy based on edge computing is …","","https://scholar.google.com/scholar?q=related:pUijqIcgbroJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Hammoud, H Otrok, A Mourad, Z Dziong","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X21001710","",5,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,4,1,"Instability within fog federations is considered as a serious problem that degrades the performance of the provided services. The latter may affect the service availability due to fog providers withdrawing their resources. It may either lead to failures for some users …","http://icaangroup.com/wp-content/uploads/2021/06/4.pdf","https://scholar.google.com/scholar?q=related:1cexCAWo-OYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"E Kapassa, M Themistocleous, K Christodoulou, E Iosif","Blockchain Application in Internet of Vehicles: Challenges, Contributions and Current Limitations",2021,"Future Internet","mdpi.com","https://www.mdpi.com/1999-5903/13/12/313","",6,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,4,1,"Blockchain technology is highly coupled with cryptocurrencies; however, it provides several other potential use cases, related to energy and sustainability, Internet of Things (IoT), smart cities, smart mobility and more. Blockchain can offer security for Electric Vehicle (EV) …","https://www.mdpi.com/1999-5903/13/12/313/pdf",""
0,"A Mazloomi","Reinforcement Learning Frameworks for Server Placement in Multi-Access Edge Computing",2020,"","spectrum.library.concordia.ca","https://spectrum.library.concordia.ca/id/eprint/987784/","",7,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,1,1,"In the IoT era and with the advent of 5G networks, an enormous amount of data is generated, and new applications require more and more computation power and real-time response. Although cloud computing is a reliable solution to provide computation power, the real-time …","https://spectrum.library.concordia.ca/id/eprint/987784/1/Mazloomi_MASc_S2021.pdf",""
0,"Z Hu, D Wang, Z Li, N Zhang, L Ren","Delta Encoding Correction for Mobile Edge Caching in Internet of Vehicles",2021,"IEEE Systems Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9570169/","",8,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,5,1,"As one of the key components of intelligent transportation systems, the Internet of Vehicles enables vehicles to acquire and exchange essential information with each other and other facilities. As an infrastructure that directly connects the vehicles to the Internet, the roadside …","",""
0,"X Wen, Z Guan, D Li, H Lyu, H Li","A Blockchain-based Framework for Information Management in Internet of Vehicles",2021,"2021 8th IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9492256/","",9,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,5,1,"The existing data management solutions for Internet of Vehicles (IoV) data cannot guarantee data source credibility verification and data security. The decentralized technical architecture of blockchain provides new ideas for solving these problems. However, it faces challenges …","",""
0,"A Khelifi, O Aziz, MS Farooq, A Abid, F Bukhari","Social and Economic Contribution of 5G and Blockchain With Green Computing: Taxonomy, Challenges, and Opportunities",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9416465/","",10,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,5,1,"In recent years Fifth Generation (5G) technology is the most recent advancement in a wireless communication network. There is the advent of using the 5G with diverse data structures. The Blockchain (BC) has become an approving adoption for decentralized, peer …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09416465.pdf","https://scholar.google.com/scholar?q=related:ZG4oV42s2_oJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"N Ding, Y Zhao","Lightweight Blockchain Based on Storage Resource Optimization for Internet of Vehicles",2021,"2021 IEEE International Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9564877/","",14,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,2,1,"Lightweight blockchain inherits the advantages of traditional blockchain, while avoiding excessive reliance on computing and storage resources, and has already been applied in IoV system. This paper combines the characteristics of IoV and node distribution, and …","",""
0,"M Hao, D Ye, S Wang, B Tan, R Yu","URLLC resource slicing and scheduling for trustworthy 6G vehicular services: A federated reinforcement learning approach",2021,"Physical Communication","Elsevier","https://www.sciencedirect.com/science/article/pii/S187449072100207X","",15,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,5,1,"In the upcoming 6G era, vehicles will massively connect to the wireless network through edge access points such as roadside units (RSUs). The increasing number of connected vehicles and vehicular services will take 6G vehicular network to a new challenging security …","",""
0,"V Yazdanpanah, EH Gerding, S Stein","Formal Methods to Verify and Ensure Self-coordination Abilities in the Internet of Vehicles",2021,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-87672-2_27","",16,"2021-12-18 21:38:45","","10.1007/978-3-030-87672-2_27","","",,,,,0,0.00,0,3,1,"Abstract The emerging Internet of Vehicles (IoV) is a distributed multiagent network that utilises the potentials for collaboration of vehicles with the aim to improve the reliability and safety of transportation and logistic systems. IoV systems require operational methods to …","",""
0,"L Xia, Y Sun, R Swash, L Mohjazi, L Zhang, ...","Smart and Secure CAV Networks Empowered by AI-Enabled Blockchain: Next Frontier for Intelligent Safe-Driving Assessment",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2104.04572","",17,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,6,1,"Securing a safe-driving circumstance for connected and autonomous vehicles (CAVs) continues to be a widespread concern despite various sophisticated functions delivered by artificial intelligence for in-vehicle devices. Besides, diverse malicious network attacks …","https://arxiv.org/pdf/2104.04572","https://scholar.google.com/scholar?q=related:j8xUmQE3qdQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"SK Kim","Enhanced IoV Security Network by Using Blockchain Governance Game. Mathematics 2021, 9, 109",2021,"","search.proquest.com","https://search.proquest.com/openview/fb076ff1830fbae5122ae9708bbe49d4/1?pq-origsite=gscholar&cbl=2032364","",18,"2021-12-18 21:38:45","","","","",,,,,0,0.00,0,1,1,"This paper deals with the design of the secure network in an Enhanced Internet of Vehicles by using the Blockchain Governance Game (BGG). The BGG is a system model of a stochastic game to find best strategies towards preparation of preventing a network …","","https://scholar.google.com/scholar?q=related:cFuLnee9ep8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"SDR Subburaj, VRV Kumar, P Sivakumar, ...","Fog and Edge Computing for Automotive Applications",2021,"… and Solutions for …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-70183-3_1","",19,"2021-12-18 21:38:45","","10.1007/978-3-030-70183-3_1","","",,,,,0,0.00,0,4,1,"With the rapid increase in the economy, the number of vehicles has grown extensively in the past few years. This leads to a sequence of traffic-related issues, starting with the driver's and passenger's safety, traffic congestion, and transportation delay. Internet of Vehicles (IoV) …","","https://scholar.google.com/scholar?q=related:3YuQpdcPy-IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
