Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"A Saabas, T Uustalu","Type systems for optimizing stack-based code",2007,"Electronic Notes in Theoretical Computer Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S1571066107005312","https://scholar.google.com/scholar?cites=8551480789664467165&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:32:28","","","","",,,,,20,1.43,10,2,14,"We give a uniform type-systematic account of a number of optimizations and the underlying analyses for a bytecode-like stack-based low-level language, including analysis soundness proofs and strongest analysis (principal type inference) algorithms. Specifically, we treat …","https://www.sciencedirect.com/science/article/pii/S1571066107005312/pdf?md5=42a0def4b86b6c523cf392512b8c035b&pid=1-s2.0-S1571066107005312-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:3QiHc3j2rHYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"JA Holgado-Terriza, J Viúdez-Aivar","A flexible Java framework for embedded systems",2009,"Proceedings of the 7th International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1620405.1620409","https://scholar.google.com/scholar?cites=7298953565821820000&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:32:28","","10.1145/1620405.1620409","","",,,,,11,0.92,6,2,12,"Today, several strategies are possible to build a complete embedded application, including software and hardware components with a reusable base to satisfy the increasing demands and requirements of actual embedded systems with shorter time to market. Inspired by …","","https://scholar.google.com/scholar?q=related:YFzhupgXS2UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"M Georg, S Gorinsky","Protecting tfrc from a selfish receiver",2005,"… on Networking and Services-(icas-isns' …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1559909/","https://scholar.google.com/scholar?cites=1762985337086500683&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:32:28","","","","",,,,,9,0.56,5,2,16,"This paper examines operation of TFRC (TCP-friendly rate control) in scenarios where the receiver is untrustworthy and can misbehave to receive data at an unfairly high rate at the expense of competing traffic. Several attacks are considered for a selfish receiver to take …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.299.3218&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:S19DydJhdxgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"L Yan, Z Liang","An accelerator design for speedup of Java execution in consumer mobile devices",2009,"Computers & Electrical Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790608001341","https://scholar.google.com/scholar?cites=4673361898184290254&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:32:28","","","","",,,,,8,0.67,4,2,12,"In today's consumer electronics market, Java has become one of the most important programming languages for the rapid development of mobile applications–spanning from home appliances/controllers, mobile and communication devices, to network-centric applets …","","https://scholar.google.com/scholar?q=related:zq8eyOId20AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"J Loinig, C Steger, R Weiss, ...","Java card performance optimization of secure transaction atomicity based on increasing the class field locality",2009,"2009 Third IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5325352/","https://scholar.google.com/scholar?cites=8941272240061353803&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 21:32:28","","","","",,,,,6,0.50,2,4,12,"Java Cards are embedded systems, very often implemented as smart cards. They are used in banking, e-government, telecommunication, and ticketing. Due to these use cases they have to provide a wide range of security mechanisms and a high performance in relation to …","","https://scholar.google.com/scholar?q=related:Sw_rvLrHFXwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"D Masson, S Midonnet","Handling non-periodic events in real-time java systems",2012,"Distributed, Embedded and Real-time Java …","Springer","https://link.springer.com/chapter/10.1007/978-1-4419-8158-5_3","https://scholar.google.com/scholar?cites=16587317022456669988&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 21:32:28","","10.1007/978-1-4419-8158-5_3","","",,,,,5,0.56,3,2,9,"Most real-time systems consist of a mixture of hard and soft real-time components. Hard real-time tasks are typically periodic, whereas soft real-time tasks are usually non-periodic. The goal of real-time scheduling is to minimize of the response times of soft tasks while …","","https://scholar.google.com/scholar?q=related:JOdR1PL8MeYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"M Saleh, M Debbabi","Modeling security protocols as games",2007,"Third International Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4299783/","https://scholar.google.com/scholar?cites=2449197760769459068&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 21:32:28","","","","",,,,,4,0.29,2,2,14,"We model security protocols as a game tree using concepts of game semantics. The model interprets protocol specifications as strategies over a game tree that represents the type of the protocol. The specifications are written in the simple arrow notation commonly used. The …","http://users.encs.concordia.ca/~debbabi/attachments/article/pdf/Modeling%20Security%20Protocols%20as%20Games.pdf","https://scholar.google.com/scholar?q=related:fINYE2NM_SEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Saabas","Logics for low-level code and proof-preserving program transformations",2008,"","set.ee","http://set.ee/publications/thesis-final.pdf","https://scholar.google.com/scholar?cites=14379748570992777904&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 21:32:28","BOOK","","","",,,,,4,0.31,4,1,13,"Abstract The Proof-Carrying Code (PCC) paradigm has emerged as a way of instilling trust in the code user about the properties of the code that she is about to run. The underlying idea is simple: code is shipped with a proof which attests that it adheres to the requirements …","http://set.ee/publications/thesis-final.pdf","https://scholar.google.com/scholar?q=related:sJp0XSMhj8cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"JA Holgado-Terriza, J Viúdez-Aivar","Javaes, a flexible java framework for embedded systems",2012,"Distributed, Embedded and Real-time …","Springer","https://link.springer.com/chapter/10.1007/978-1-4419-8158-5_13","https://scholar.google.com/scholar?cites=16998228645276724165&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 21:32:28","","10.1007/978-1-4419-8158-5_13","","",,,,,4,0.44,2,2,9,"Today, several strategies can be adopted in order to build a complete embedded application, including the use of software and hardware components with a reusable base to satisfy the increasing demands and requirements of actual embedded systems with shorter …","","https://scholar.google.com/scholar?q=related:xauWdOTW5esJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"I Valdin","Graphics optimization for J2ME compatible mobile phones",2006,"2006 IEEE International Symposium on Consumer …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1689462/","https://scholar.google.com/scholar?cites=13110257843055033670&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 21:32:28","","","","",,,,,3,0.20,3,1,15,"Nowadays the high-resolution color screen becomes an inseparable component of modern mobile phones. Popular games, movies and 3D graphics capabilities require effective image rendering which is a task for both hardware and software engineers. The article is dedicated …","","https://scholar.google.com/scholar?q=related:Rv0SEQz-8LUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
