Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
67,"Y Hollander, M Morley, A Noy","The e language: A fresh separation of concerns",2001,"Proceedings Technology of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/911754/","https://scholar.google.com/scholar?cites=8386286881324763625&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:47:01","","","","",,,,,67,3.35,22,3,20,"The e programming language enjoys widespread use in the microchip industry with applications to specification, modeling, testing and verification of hardware systems and their operating environments. Unique features of e include a combination of object oriented …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.94.854&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:6YnhcXwTYnQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
57,"Y Roumani, JK Nwankpa, YF Roumani","Time series modeling of vulnerabilities",2015,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404815000358","https://scholar.google.com/scholar?cites=2915288043931629286&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:47:01","","","","",,,,,57,9.50,19,3,6,"Vulnerability prediction models forecast future vulnerabilities and can be used to assess security risks and estimate the resources needed for handling potential security breaches. Although several vulnerability prediction models have been proposed, such models have …","","https://scholar.google.com/scholar?q=related:5vZ8tAcvdSgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
33,"BM Shuaibu, NM Norwawi, MH Selamat, ...","Systematic review of web application security development model",2015,"Artificial Intelligence …","Springer","https://link.springer.com/article/10.1007/s10462-012-9375-6","https://scholar.google.com/scholar?cites=4436073281958924016&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:47:01","","10.1007/s10462-012-9375-6","","",,,,,33,5.50,8,4,6,"In recent years, web security has been viewed in the context of securing the web application layer from attacks by unauthorized users. The vulnerabilities existing in the web application layer have been attributed either to using an inappropriate software development model to …","","https://scholar.google.com/scholar?q=related:8E7DiCUZkD0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
28,"R Toledo, A Núñez, E Tanter, ...","Aspectizing Java access control",2011,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5680915/","https://scholar.google.com/scholar?cites=15293214277354583883&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:47:01","","","","",,,,,28,2.80,7,4,10,"It is inevitable that some concerns crosscut a sizeable application, resulting in code scattering and tangling. This issue is particularly severe for security-related concerns: It is difficult to be confident about the security of an application when the implementation of its …","http://repositorio.uchile.cl/bitstream/handle/2250/125674/Toledo_Rodolfo.pdf?sequence=1","https://scholar.google.com/scholar?q=related:S_emu1tpPNQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
20,"TFJM Pasquier, J Bacon, B Shand","FlowR: aspect oriented programming for information flow control in ruby",2014,"Proceedings of the 13th international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2577080.2577090","https://scholar.google.com/scholar?cites=17994631284642239270&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 21:47:01","","10.1145/2577080.2577090","","",,,,,20,2.86,7,3,7,"This paper reports on our experience with providing Information Flow Control (IFC) as a library. Our aim was to support the use of an unmodified Platform as a Service (PaaS) cloud infrastructure by IFC-aware web applications. We discuss how Aspect Oriented …","https://dl.acm.org/doi/pdf/10.1145/2577080.2577090","https://scholar.google.com/scholar?q=related:JlM7UdDFufkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"A Mourad, S Ayoubi, H Yahyaoui, ...","New approach for the dynamic enforcement of Web services security",2010,"… Conference on Privacy …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5593232/","https://scholar.google.com/scholar?cites=906576315459785865&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 21:47:01","","","","",,,,,18,1.64,5,4,11,"We propose in this paper a new approach for the dynamic enforcement of Web services security, which is based on a synergy between Aspect-Oriented Programming (AOP) and composition of Web services. Security policies are specified as aspects. The elaborated …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/5331/(Postprint)%20New.pdf?sequence=3","https://scholar.google.com/scholar?q=related:iVTDDFvOlAwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"R Toledo, É Tanter","Secure and modular access control with aspects",2013,"Proceedings of the 12th annual international …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2451436.2451456","https://scholar.google.com/scholar?cites=15078848088164229760&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 21:47:01","","10.1145/2451436.2451456","","",,,,,17,2.13,9,2,8,"Can access control be fully modularized as an aspect? Most proposals for aspect-oriented access control are limited to factoring out access control checks, still relying on a non-modular and ad hoc infrastructure for permission checking. Recently, we proposed an …","https://www.researchgate.net/profile/Eric-Tanter/publication/262217581_Secure_and_modular_access_control_with_aspects/links/54747a5a0cf245eb436de0a8/Secure-and-modular-access-control-with-aspects.pdf","https://scholar.google.com/scholar?q=related:gGIb7XHUQtEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"H Tout, A Mourad, C Talhi, H Otrok","AOMD approach for context-adaptable and conflict-free Web services composition",2015,"Computers & Electrical Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615001329","https://scholar.google.com/scholar?cites=9459858711165513783&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 21:47:01","","","","",,,,,9,1.50,2,4,6,"Abstract BPEL or Business Process Execution Language is so far the most important standard language for effective composition of Web services. However, like most available process orchestration engines, BPEL does not provide automated support for reacting …","https://www.researchgate.net/profile/Azzam-Mourad/publication/275412014_AOMD_approach_for_context-adaptable_and_conflict-free_Web_services_composition/links/5bdd8305a6fdcc3a8dba5119/AOMD-approach-for-context-adaptable-and-conflict-free-Web-services-composition.pdf","https://scholar.google.com/scholar?q=related:N7BnmGArSIMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, A Soeanu, MA Laverdiere, M Debbabi","New aspect-oriented constructs for security hardening concerns",2009,"computers & security","Elsevier","https://www.sciencedirect.com/science/article/pii/S016740480900011X","https://scholar.google.com/scholar?cites=6630209487192811534&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 21:47:01","","","","",,,,,7,0.58,2,4,12,"In this paper, we present new pointcuts and primitives to Aspect-Oriented Programming (AOP) languages that are needed for systematic hardening of security concerns. The two proposed pointcuts allow to identify particular join points in a program's control-flow graph …","https://www.researchgate.net/profile/Azzam-Mourad/publication/220614642_New_aspect-oriented_constructs_for_security_hardening_concerns/links/5bd37b14299bf1124fa633b3/New-aspect-oriented-constructs-for-security-hardening-concerns.pdf","https://scholar.google.com/scholar?q=related:DmiNdmY8A1wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"MB Shuaibu, RA Ibrahim","Web application development model with security concern in the entire life-cycle",2017,"2017 4th IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8277849/","https://scholar.google.com/scholar?cites=17771836285315724614&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 21:47:01","","","","",,,,,5,1.25,3,2,4,"e-commerce involves a great deal of credit cards, fund transfers, web shopping, and other forms of transmitting private information that needs to remain secure. Although, the knowledge of how to develop a secure e-commerce application is known, the major concern …","","https://scholar.google.com/scholar?q=related:RjWkOPE-ovYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
