Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 23:17:28","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
15,"G Rjoub, J Bentahar, O Abdel Wahab, ...","Deep and reinforcement learning for automated task scheduling in large‐scale cloud computing systems",2020,"Concurrency and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5919","https://scholar.google.com/scholar?cites=2799012743887851992&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 23:17:28","","10.1002/cpe.5919","","",,,,,15,15.00,4,4,1,"Cloud computing is undeniably becoming the main computing and storage platform for today's major workloads. From Internet of things and Industry 4.0 workloads to big data analytics and decision‐making jobs, cloud systems daily receive a massive number of tasks …","https://www.researchgate.net/profile/Gaith-Rjoub/publication/341538799_Deep_and_Reinforcement_Learning_for_Automated_Task_Scheduling_in_Large-Scale_Cloud_Computing_Systems/links/5ec5ef4d299bf1c09acfadcb/Deep-and-Reinforcement-Learning-for-Automated-Task-Scheduling-in-Large-Scale-Cloud-Computing-Systems.pdf","https://scholar.google.com/scholar?q=related:2BE6wUIX2CYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"D Geng, H Zhang, H Wu","Short-term wind speed prediction based on principal component analysis and lstm",2020,"Applied Sciences","mdpi.com","https://www.mdpi.com/753888","https://scholar.google.com/scholar?cites=15490898238714670950&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 23:17:28","","","","",,,,,13,13.00,4,3,1,"An accurate prediction of wind speed is crucial for the economic and resilient operation of power systems with a high penetration level of wind power. Meteorological information such as temperature, humidity, air pressure, and wind level has a significant influence on wind …","https://www.mdpi.com/2076-3417/10/13/4416/pdf","https://scholar.google.com/scholar?q=related:Zu9Pst-5-tYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"G Rjoub, OA Wahab, J Bentahar, A Bataineh","A trust and energy-aware double deep reinforcement learning scheduling strategy for federated learning on IoT devices",2020,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-65310-1_23","https://scholar.google.com/scholar?cites=1827043049266836033&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 23:17:28","","10.1007/978-3-030-65310-1_23","","",,,,,5,5.00,1,4,1,"Federated learning is a revolutionary machine learning approach whose main idea is to train the machine learning model in a distributed fashion over a large number of edge/end devices without having to share the raw data. We consider in this work a federated learning …","","https://scholar.google.com/scholar?q=related:QXLlJPn1WhkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"MN Ba-hutair, A Bouguettaya, ...","Multi-Perspective Trust Management Framework for Crowdsourced IoT Services",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9328204/","https://scholar.google.com/scholar?cites=16788200456966607620&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 23:17:28","","","","",,,,,5,5.00,2,3,1,"We propose a novel generic trust management framework for crowdsourced IoT services. The framework exploits a multi-perspective trust model that captures the inherent characteristics of crowdsourced IoT services. Each perspective is defined by a set of …","https://arxiv.org/pdf/2101.04244","https://scholar.google.com/scholar?q=related:BJOLL16r--gJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"Q Hu, J Shen, K Wang, J Du, Y Du","A Web service clustering method based on topic enhanced Gibbs sampling algorithm for the Dirichlet Multinomial Mixture model and service collaboration graph",2021,"Information Sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0020025521012159","",6,"2021-12-18 23:17:28","","","","",,,,,0,0.00,0,5,1,"A method to enhance Web service clustering is proposed in this paper. Since current service clustering methods usually face low quality of service representation vectors and lack consideration of service collaboration, we try to provide an improved topic model to generate …","",""
0,"OA Wahab, J Bentahar, R Cohen, H Otrok, ...","A two-level solution to fight against dishonest opinions in recommendation-based trust systems",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2006.04803","",7,"2021-12-18 23:17:28","","","","",,,,,0,0.00,0,5,1,"In this paper, we propose a mechanism to deal with dishonest opinions in recommendation-based trust models, at both the collection and processing levels. We consider a scenario in which an agent requests recommendations from multiple parties to build trust toward …","https://arxiv.org/pdf/2006.04803","https://scholar.google.com/scholar?q=related:BeIbZOess6UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Mousa, J Bentahar, O Alam","Multi-dimensional trust for context-aware services computing",2021,"Expert Systems with Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417421000336","",8,"2021-12-18 23:17:28","","","","",,,,,0,0.00,0,3,1,"The paper addresses the problem of trust management of cloud, fog and IoT services in dynamically changing environments. The continuous dynamic environment is one of the challenges that trustworthy services management in the cloud, fog and IoT settings faces …","https://www.researchgate.net/profile/Omar-Alam-3/publication/348456456_Multi-Dimensional_Trust_for_Context-aware_Services_Computing/links/6003661a299bf140889ec5f6/Multi-Dimensional-Trust-for-Context-aware-Services-Computing.pdf","https://scholar.google.com/scholar?q=related:lFFujqclOHsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"VL Hallappanavar, CM Bulla, ...","ANN Based Estimation of Reputation of Newcomer Web Services in Fog Computing",2021,"… Conference on Computer …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9402656/","",9,"2021-12-18 23:17:28","","","","",,,,,0,0.00,0,3,1,"Fog computing is a distributed computing model which stores and computes at the edge of the network with the reason of reducing the network overload and process the gathered information with low latency. By doing so there is improvement in the response time and the …","","https://scholar.google.com/scholar?q=related:82ielkr5dPAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Bataineh","A Trust and Energy-Aware Double Deep Reinforcement Learning Scheduling Strategy for Federated Learning on IoT Devices",,"researchgate.net","","https://www.researchgate.net/profile/Gaith-Rjoub/publication/346929930_A_Trust_and_Energy-Aware_Double_Deep_Reinforcement_Learning_Scheduling_Strategy_for_Federated_Learning_on_IoT_Devices/links/5fd2783245851568d154ca09/A-Trust-and-Energy-Aware-Double-Deep-Reinforcement-Learning-Scheduling-Strategy-for-Federated-Learning-on-IoT-Devices.pdf","",10,"2021-12-18 23:17:28","PDF","","","",,,,,0,0.00,0,1,,"Federated learning is a revolutionary machine learning approach whose main idea is to train the machine learning model in a distributed fashion over a large number of edge/end devices without having to share the raw data. We consider in this work a federated learning …","https://www.researchgate.net/profile/Gaith-Rjoub/publication/346929930_A_Trust_and_Energy-Aware_Double_Deep_Reinforcement_Learning_Scheduling_Strategy_for_Federated_Learning_on_IoT_Devices/links/5fd2783245851568d154ca09/A-Trust-and-Energy-Aware-Double-Deep-Reinforcement-Learning-Scheduling-Strategy-for-Federated-Learning-on-IoT-Devices.pdf","https://scholar.google.com/scholar?q=related:_w1DrIAqyhwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
