Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
196,"A Gal, CW Probst, M Franz","HotpathVM: An effective JIT compiler for resource-constrained devices",2006,"… of the 2nd international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1134760.1134780","https://scholar.google.com/scholar?cites=9936374021873880361&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 23:28:19","","10.1145/1134760.1134780","","",,,,,196,13.07,65,3,15,"We present a just-in-time compiler for a Java VM that is small enough to fit on resource-constrained devices, yet is surprisingly effective. Our system dynamically identifies traces of frequently executed bytecode instructions (which may span several basic blocks across …","https://www.usenix.org/legacy/event/vee06/full_papers/p144-gal.pdf","https://scholar.google.com/scholar?q=related:KU02GYcX5YkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
101,"K Hazelwood, A Klauser","A dynamic binary instrumentation engine for the arm architecture",2006,"… of the 2006 international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1176760.1176793","https://scholar.google.com/scholar?cites=10679745078579629566&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 23:28:19","","10.1145/1176760.1176793","","",,,,,101,6.73,51,2,15,"Dynamic binary instrumentation (DBI) is a powerful technique for analyzing the runtime behavior of software. While numerous DBI frameworks have been developed for general-purpose architectures, work on DBI frameworks for embedded architectures has been fairly …","https://software.intel.com/content/dam/develop/external/us/en/documents/cases06-256665.pdf","https://scholar.google.com/scholar?q=related:_g13tJATNpQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
60,"S Steinhorst, M Lukasiewycz, ...","Smart cells for embedded battery management",2014,"… on Cyber-Physical …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6961244/","https://scholar.google.com/scholar?cites=364234026617088565&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 23:28:19","","","","",,,,,60,8.57,20,3,7,"This paper introduces a novel approach to battery management. In contrast to state-of-the-art solutions where a central Battery Management System (BMS) exists, we propose an Embedded Battery Management (EBM) that entirely decentralizes the monitoring and control …","https://mediatum.ub.tum.de/doc/1250626/file.pdf","https://scholar.google.com/scholar?q=related:NSqf2-oEDgUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
31,"A Guha, K Hazelwood, ML Soffa","Reducing exit stub memory consumption in code caches",2007,"International Conference on High …","Springer","https://link.springer.com/chapter/10.1007/978-3-540-69338-3_7","https://scholar.google.com/scholar?cites=13877673385243906938&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 23:28:19","","10.1007/978-3-540-69338-3_7","","",,,,,31,2.21,10,3,14,"The interest in translation-based virtual execution environments (VEEs) is growing with the recognition of their importance in a variety of applications. However, due to constrained memory and energy resources, developing a VEE for an embedded system presents a …","https://scholar.google.comftp://nozdr.ru/biblio/kolxoz/Cs/CsLn/H/High%20Performance%20Embedded%20Architectures%20and%20Compilers,%202%20conf.,%20HiPEAC%202007(LNCS4367,%20Springer,%202007)(ISBN%209783540693376)(297s).pdf#page=89","https://scholar.google.com/scholar?q=related:ehNbtGpml8AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"M Debbabi, A Mourad, C Talhi, ...","Accelerating embedded Java for mobile devices",2005,"IEEE Communications …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1509971/","https://scholar.google.com/scholar?cites=9264017944406470625&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 23:28:19","","","","",,,,,13,0.81,3,4,16,"With the proliferation of wireless devices, networks, and systems, the deployment of efficient embedded Java virtual machines is becoming a challenging and important research area. Accordingly, a plethora of acceleration techniques have been proposed. In this article we …","https://www.researchgate.net/profile/Azzam-Mourad/publication/3199478_Accelerating_embedded_Java_for_mobile_devices/links/00b7d51471e77e2ab9000000/Accelerating-embedded-Java-for-mobile-devices.pdf","https://scholar.google.com/scholar?q=related:4S8x0TxnkIAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"O Sallenave, R Ducournau","Efficient compilation of. net programs for embedded systems",2010,"Proceedings of the Workshop on the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1925801.1925804","https://scholar.google.com/scholar?cites=5498032223490135235&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 23:28:19","","10.1145/1925801.1925804","","",,,,,8,0.73,4,2,11,"The overhead associated with object-oriented languages has been the major drawback in their adoption by the embedded world. In this paper, we propose a compilation approach based on the closed-world assumption (CWA) that should enable OO technologies such as …","https://core.ac.uk/download/pdf/205386156.pdf","https://scholar.google.com/scholar?q=related:w9THbC3vTEwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Guha, K Hazelwood, ML Soffa","Code lifetime based memory reduction for virtual execution environments",2008,"Workshop on Optimizations …","intercom.virginia.edu","https://www.intercom.virginia.edu/~soffa/research/Comp/guha08odes.pdf","https://scholar.google.com/scholar?cites=117683176393134346&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 23:28:19","PDF","","","",,,,,7,0.54,2,3,13,"The need for adaptability in a rapidly expanding embedded systems market makes it important to design virtual execution environments (VEEs) specifically targeting embedded platforms. We believe the first step in this direction should be to replace the performance …","https://www.intercom.virginia.edu/~soffa/research/Comp/guha08odes.pdf","https://scholar.google.com/scholar?q=related:CtHztDkYogEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"X Shi, M Jin, BQ Cheng, P Guo","Design a high-performance just-in-time compiler for a J2ME JVM on XScale",2008,"… International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4595594/","https://scholar.google.com/scholar?cites=9452157248641697269&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 23:28:19","","","","",,,,,6,0.46,2,4,13,"The just-in-time compilers have been widely adopted in J2SE and J2ME virtual machines. However, it is a big challenge for a JIT compiler to generate high-quality native code under the tight time and memory constraints on embedded systems. This paper presents the …","","https://scholar.google.com/scholar?q=related:9QVsHvDOLIMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"周显军, 李众立, 张俊然","基于 S3C4510B 芯片 KVM 虚拟机的移植和测试",2007,"微计算机信息","cqvip.com","http://www.cqvip.com/qk/90452x/200729/25453941.html","https://scholar.google.com/scholar?cites=12441256207746883993&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-18 23:28:19","","","","",,,,,5,0.36,2,3,14,"基于S3C4510B芯片KVM虚拟机的移植和测试-【维普网】-仓储式在线作品出版平台-www.cqvip.com ﻿ 我的维普 帐户余额 充值记录 下载记录 我的收藏 购物车 充值 客服 首页 | 期刊大全 | 论文选题 | 论文检测 | 在线出版 | 优先出版 | 维普官方天猫店 您的位置：网站首页 > 《中文科技期刊数据库》 …","","https://scholar.google.com/scholar?q=related:mWFgtpo4qKwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"秦娟, 杨文利, 陈镘煚, 郝庭柱, 孙晓薇, 董吉虹","J2ME 移植到嵌入式系统研究",2006,"天津理工大学学报","cqvip.com","http://www.cqvip.com/qk/97118a/200606/23535992.html","https://scholar.google.com/scholar?cites=10667226186184696505&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 23:28:19","","","","",,,,,4,0.27,1,6,15,"J2ME移植到嵌入式系统研究-【维普网】-仓储式在线作品出版平台-www.cqvip.com ﻿ 我的维普 帐户余额 充值记录 下载记录 我的收藏 购物车 充值 客服 首页 | 期刊大全 | 论文选题 | 论文检测 | 在线出版 | 优先出版 | 维普官方天猫店 您的位置：网站首页 > 《中文科技期刊数据库》 > 工程技术 …","","https://scholar.google.com/scholar?q=related:uaJI7rKZCZQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
