Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
253,"F Sakiz, S Sen","A survey of attacks and detection mechanisms on intelligent transportation systems: VANETs and IoV",2017,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870517300562","https://scholar.google.com/scholar?cites=13601267723412168587&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-18 21:52:09","","","","",,,,,253,63.25,127,2,4,"Vehicular ad hoc networks (VANETs) have become one of the most promising and fastest growing subsets of mobile ad hoc networks (MANETs). They are comprised of smart vehicles and roadside units (RSU) which communicate through unreliable wireless media …","https://www.academia.edu/download/56223631/A_survey_of_attacks_and_detection_mechanisms_on_intelligent_transportation_systems__VANETs_and_IoV.pdf","https://scholar.google.com/scholar?q=related:i9_3jO5owbwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
231,"F Tang, Y Kawamoto, N Kato, J Liu","Future intelligent and secure vehicular network toward 6G: Machine-learning approaches",2019,"Proceedings of the IEEE","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8926369/","https://scholar.google.com/scholar?cites=18304121825863031511&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-18 21:52:09","","","","",,,,,231,115.50,58,4,2,"As a powerful tool, the vehicular network has been built to connect human communication and transportation around the world for many years to come. However, with the rapid growth of vehicles, the vehicular network becomes heterogeneous, dynamic, and large scaled …","","https://scholar.google.com/scholar?q=related:11oKPNJNBf4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
99,"S Sharma, A Kaul","A survey on Intrusion Detection Systems and Honeypot based proactive security mechanisms in VANETs and VANET Cloud",2018,"Vehicular communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617302784","https://scholar.google.com/scholar?cites=13069351084350041558&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-18 21:52:09","","","","",,,,,99,33.00,50,2,3,"Vehicular ad-hoc Network (VANET) is an emerging type of Mobile ad-hoc Networks (MANETs) with excellent applications in the intelligent traffic system. Applications in VANETs are life critical since human lives are at stake and therefore, interaction among nodes …","","https://scholar.google.com/scholar?q=related:1u2MG5GpX7UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
79,"M Arif, G Wang, MZA Bhuiyan, T Wang, ...","A survey on security attacks in VANETs: Communication, applications and challenges",2019,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209619302268","https://scholar.google.com/scholar?cites=17515459294304806133&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-18 21:52:09","","","","",,,,,79,39.50,16,5,2,"Over the past few decades, the intelligent transportation system (ITS) have emerged with new technologies and becomes the data-driven ITS, because the substantial amount of data is assembled from the multiple sources. Vehicular Ad hoc networks (VANETs), are a …","","https://scholar.google.com/scholar?q=related:9STaYm1pE_MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"S Sharma, A Kaul","Hybrid fuzzy multi-criteria decision making based multi cluster head dolphin swarm optimized IDS for VANET",2018,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617301080","https://scholar.google.com/scholar?cites=17879921394989717770&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-18 21:52:09","","","","",,,,,58,19.33,29,2,3,"Abstract Existing Vehicle-to-Vehicle (V2V) and Vehicle-to-Infrastructure (V2I) based communication suffers from various security and performance issues, hence Cluster based Communication is preferred nowadays. However, Cluster based Communication adds extra …","","https://scholar.google.com/scholar?q=related:CtlE4MY9IvgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
56,"S Tanwar, J Vora, S Tyagi, N Kumar, ...","A systematic review on security issues in vehicular ad hoc network",2018,"Security and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/spy2.39","https://scholar.google.com/scholar?cites=8589413371263301982&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-18 21:52:09","","10.1002/spy2.39","","",,,,,56,18.67,11,5,3,"Vehicular ad hoc networks (VANETs) have been widely used in intelligent transportation system to provide safety and security alongwith reduction in traffic jam using vehicle‐to‐vehicle (V2V) and vehicle‐to‐roadside (V2R) unit communications. However, one of the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/spy2.39","https://scholar.google.com/scholar?q=related:Xrkj1_O5M3cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
47,"G Chopra, RK Jha, S Jain","A survey on ultra-dense network and emerging technologies: Security challenges and possible solutions",2017,"Journal of Network and Computer Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804517302308","https://scholar.google.com/scholar?cites=9031000155485534725&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-18 21:52:09","","","","",,,,,47,11.75,16,3,4,"The recent advancements in the field of next generation mobile communication provides scope to a variety of new areas by connecting various devices through a common platform for data transfer. The addition of several applications like e-health monitoring, smart homes …","","https://scholar.google.com/scholar?q=related:BXo2CsuOVH0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
38,"AK Malhi, S Batra, HS Pannu","Security of vehicular ad-hoc networks: A comprehensive survey",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404818312872","https://scholar.google.com/scholar?cites=17329275626796687190&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-18 21:52:09","","","","",,,,,38,38.00,13,3,1,"Vehicles equipped with significant computing, communication and sensing (also known as “smart” vehicles), are being focused by Intelligent Transportation Systems (ITS). The primitive target of Vehicular Ad-Hoc Networks (VANETs) is to deliver safer and efficient traffic …","","https://scholar.google.com/scholar?q=related:Vh8NPl70ffAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
38,"J Liang, J Chen, Y Zhu, R Yu","A novel Intrusion Detection System for Vehicular Ad Hoc Networks (VANETs) based on differences of traffic flow and position",2019,"Applied Soft Computing","Elsevier","https://www.sciencedirect.com/science/article/pii/S1568494618306835","https://scholar.google.com/scholar?cites=7455684658709136685&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-18 21:52:09","","","","",,,,,38,19.00,10,4,2,"Vehicle ad hoc networks (VANETs) have attracted great interests from both industry and academia, but a number of issues, particularly security, have not been readily addressed. Intrusion Detection System (IDS) as one of the most important approaches to protect network …","","https://scholar.google.com/scholar?q=related:LQWw97Hpd2cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
37,"GK Rajbahadur, AJ Malton, ...","A survey of anomaly detection for connected vehicle cybersecurity and safety",2018,"2018 IEEE Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8500383/","https://scholar.google.com/scholar?cites=7368898316601272877&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-18 21:52:09","","","","",,,,,37,12.33,12,3,3,"Anomaly detection techniques have been applied to the challenging problem of ensuring both cybersecurity and safety of connected vehicles. We propose a taxonomy of prior research in this domain. Our proposed taxonomy has 3 overarching dimensions subsuming …","https://www.researchgate.net/profile/Ahmed-E-Hassan-2/publication/328460597_A_Survey_of_Anomaly_Detection_for_Connected_Vehicle_Cybersecurity_and_Safety/links/5c06c633458515ae544796b3/A-Survey-of-Anomaly-Detection-for-Connected-Vehicle-Cybersecurity-and-Safety.pdf","https://scholar.google.com/scholar?q=related:LSr-EvqVQ2YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
