Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"F Alam, F Dalvi, S Shaar, N Durrani, H Mubarak, ...","Fighting the COVID-19 infodemic in social media: a holistic perspective and a call to arms",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2007.07996","https://scholar.google.com/scholar?cites=7060862761379519054&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:31","","","","",,,,,29,29.00,5,6,1,"With the outbreak of the COVID-19 pandemic, people turned to social media to read and to share timely information including statistics, warnings, advice, and inspirational stories. Unfortunately, alongside all this useful information, there was also a new blending of …","https://arxiv.org/pdf/2007.07996","https://scholar.google.com/scholar?q=related:TlrPe0U5_WEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"S Cato, T Iida, K Ishida, A Ito, H Katsumata, ...","The bright and dark sides of social media usage during the COVID-19 pandemic: Survey evidence from Japan",2021,"International Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212420920315363","https://scholar.google.com/scholar?cites=12029817468129311150&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:31","","","","",,,,,13,13.00,2,6,1,"The spread of misinformation on the internet regarding the COVID-19 pandemic, such as unproven or fake cures, has been a serious concern. However, the extent to which social media usage affects individuals' health behavior, particularly when reliable information is …","","https://scholar.google.com/scholar?q=related:rvmiJEB_8qYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"S Shaar, F Alam, G Da San Martino, A Nikolov, ...","Findings of the NLP4IF-2021 Shared Tasks on Fighting the COVID-19 Infodemic and Censorship Detection",2021,"Proceedings of the …","aclweb.org","https://www.aclweb.org/anthology/2021.nlp4if-1.12/","https://scholar.google.com/scholar?cites=10816210530979170422&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:31","","","","",,,,,11,11.00,2,5,1,"We present the results and the main findings of the NLP4IF-2021 shared tasks. Task 1 focused on fighting the COVID-19 infodemic in social media, and it was offered in Arabic, Bulgarian, and English. Given a tweet, it asked to predict whether that tweet contains a …","https://www.aclweb.org/anthology/2021.nlp4if-1.12.pdf","https://scholar.google.com/scholar?q=related:dkja0ivmGpYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"Y Bang, E Ishii, S Cahyawijaya, Z Ji, P Fung","Model generalization on COVID-19 fake news detection",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2101.03841","https://scholar.google.com/scholar?cites=9558449906217875572&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:31","","","","",,,,,10,10.00,2,5,1,"Amid the pandemic COVID-19, the world is facing unprecedented infodemic with the proliferation of both fake and real information. Considering the problematic consequences that the COVID-19 fake-news have brought, the scientific community has put effort to tackle …","https://arxiv.org/pdf/2101.03841","https://scholar.google.com/scholar?q=related:dHh7_4tvpoQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"S Alqurashi, B Hamoui, A Alashaikh, A Alhindi, ...","Eating garlic prevents covid-19 infection: Detecting misinformation on the arabic content of twitter",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2101.05626","https://scholar.google.com/scholar?cites=5519368124570208206&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:31","","","","",,,,,6,6.00,1,5,1,"The rapid growth of social media content during the current pandemic provides useful tools for disseminating information which has also become a root for misinformation. Therefore, there is an urgent need for fact-checking and effective techniques for detecting …","https://arxiv.org/pdf/2101.05626","https://scholar.google.com/scholar?q=related:zgefARG8mEwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"W Jo, D Chang, M You, GH Ghim","A social network analysis of the spread of COVID-19 in South Korea and policy implications",2021,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-021-87837-0","https://scholar.google.com/scholar?cites=17009685960409062060&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 16:33:31","HTML","","","",,,,,6,6.00,2,4,1,"This study estimates the COVID-19 infection network from actual data and draws on implications for policy and research. Using contact tracing information of 3283 confirmed patients in Seoul metropolitan areas from January 20, 2020 to July 19, 2020, this study …","https://www.nature.com/articles/s41598-021-87837-0","https://scholar.google.com/scholar?q=related:rJohg0KLDuwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"K Raza, S Qazi","An introduction to computational intelligence in COVID-19: surveillance, prevention, prediction, and diagnosis",2021,"Computational Intelligence Methods in COVID-19 …","Springer","https://link.springer.com/chapter/10.1007/978-981-15-8534-0_1","https://scholar.google.com/scholar?cites=17028496162321399590&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:31","","10.1007/978-981-15-8534-0_1","","",,,,,5,5.00,3,2,1,"Abstract Coronavirus disease 2019 (COVID-19) has been declared as pandemic which took the lives of more than 500 thousand people till mid of 2020 worldwide. Since the coronavirus is highly contagious in nature, COVID-19 is spreading rapidly despite observing social …","","https://scholar.google.com/scholar?q=related:Jv9E7glfUewJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"S Alqurashi, A Alashaikh, E Alanazi","Identifying Information Superspreaders of COVID-19 from Arabic Tweets",2020,"Preprints","researchgate.net","https://www.researchgate.net/profile/Eisa-Alanazi/publication/342865259_Identifying_Information_Superspreaders_of_COVID-19_from_Arabic_Tweets/links/5f09681645851550509c7aa7/Identifying-Information-Superspreaders-of-COVID-19-from-Arabic-Tweets.pdf","https://scholar.google.com/scholar?cites=11195654314465446423&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:31","PDF","","","",,,,,3,3.00,1,3,1,"Since the first confirmed case of COVID-19, information was spreading in large amounts over social media platforms. Information spreading about the COVID-19 pandemic can strongly influence people's behavior. Therefore, identifying information superspreaders (or …","https://www.researchgate.net/profile/Eisa-Alanazi/publication/342865259_Identifying_Information_Superspreaders_of_COVID-19_from_Arabic_Tweets/links/5f09681645851550509c7aa7/Identifying-Information-Superspreaders-of-COVID-19-from-Arabic-Tweets.pdf","https://scholar.google.com/scholar?q=related:F0rIKUj0XpsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"ŞN Karabela, F Coşkun, H Hoşgör","Investigation of the relationships between perceived causes of COVID-19, attitudes towards vaccine and level of trust in information sources from the …",2021,"BMC Public Health","Springer","https://link.springer.com/article/10.1186/s12889-021-11262-1","https://scholar.google.com/scholar?cites=8417880011623301250&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-12-19 16:33:31","HTML","10.1186/s12889-021-11262-1","","",,,,,3,3.00,1,3,1,"The main purpose in this study carried out from the perspective of infodemic was to investigate the relationships between individuals' perceived causes of COVID-19, their attitudes towards vaccine and their levels of trust in information sources in terms of various …","https://link.springer.com/article/10.1186/s12889-021-11262-1","https://scholar.google.com/scholar?q=related:ggCrTkVR0nQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"S Cato, T Iida, K Ishida, A Ito, H Katsumata, ...","Social media infodemics and social distancing under the COVID-19 pandemic: public good provisions under uncertainty",2021,"Global Health …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/16549716.2021.1995958","https://scholar.google.com/scholar?cites=6536274365689337769&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:31","","10.1080/16549716.2021.1995958","","",,,,,2,2.00,0,6,1,"This debate examines the impact of infodemics–an over-abundance of information–on social distancing during the COVID-19 pandemic. Because of its external effects, social distancing behavior (SDB) shares fundamental properties with public goods, whose …","https://www.tandfonline.com/doi/pdf/10.1080/16549716.2021.1995958",""
