Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
253,"F Sakiz, S Sen","A survey of attacks and detection mechanisms on intelligent transportation systems: VANETs and IoV",2017,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870517300562","https://scholar.google.com/scholar?cites=13601267723412168587&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:05","","","","",,,,,253,63.25,127,2,4,"Vehicular ad hoc networks (VANETs) have become one of the most promising and fastest growing subsets of mobile ad hoc networks (MANETs). They are comprised of smart vehicles and roadside units (RSU) which communicate through unreliable wireless media …","https://www.academia.edu/download/56223631/A_survey_of_attacks_and_detection_mechanisms_on_intelligent_transportation_systems__VANETs_and_IoV.pdf","https://scholar.google.com/scholar?q=related:i9_3jO5owbwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
39,"R Baiad, O Alhussein, H Otrok, S Muhaidat","Novel cross layer detection schemes to detect blackhole attack against QoS-OLSR protocol in VANET",2016,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209616300109","https://scholar.google.com/scholar?cites=14416476821346839525&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:05","","","","",,,,,39,7.80,10,4,5,"In this paper, we propose novel cross-layer cooperative schemes for detecting blackhole attack that commonly targets the quality of service secure optimized link state routing protocol (QoS-OLSR) in vehicular ad-hoc networks (VANETs). The QoS-OLSR relies mainly …","","https://scholar.google.com/scholar?q=related:5esHiUmdEcgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
33,"A Patel, N Patel, R Patel","Defending against wormhole attack in MANET",2015,"2015 Fifth International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7280003/","https://scholar.google.com/scholar?cites=9540054704311113707&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:05","","","","",,,,,33,5.50,11,3,6,"In the generation of wireless communication, MANET has become an undividable and acceptable part for communication for mobile equipments. Therefore, interest in research of MANET has been increasing since last several years. Security is a very challenging issue in …","https://www.researchgate.net/profile/Rajan-Patel-7/publication/282604106_Defending_against_Wormhole_Attack_in_MANET/links/5613720808aea9fb51c2b677/Defending-against-Wormhole-Attack-in-MANET.pdf","https://scholar.google.com/scholar?q=related:6xdCTDUVZYQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
28,"R Baiad, H Otrok, S Muhaidat, ...","Cooperative cross layer detection for blackhole attack in VANET-OLSR",2014,"… and Mobile Computing …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6906469/","https://scholar.google.com/scholar?cites=15062469793481368051&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:05","","","","",,,,,28,4.00,7,4,7,"In this paper, we address the problem of detecting blackhole attack targeting the Multi Point Relays (MPRs), using Vehicular Ad hoc networks-Secure Optimized Link State Routing protocol (VANET-OLSR). In the literature, watchdog model was proposed to detect network …","","https://scholar.google.com/scholar?q=related:8yGCCHmkCNEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
20,"D Malik, K Mahajan, MA Rizvi","Security for node isolation attack on olsr by modifying mpr selection process",2014,"2014 First International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6906680/","https://scholar.google.com/scholar?cites=9728597921589607512&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:35:05","","","","",,,,,20,2.86,7,3,7,"Mobile Ad hoc network is consists of mobile nodes and can organize them self without requiring any infrastructure. Due to wireless communication any node can join or leave network which causes lot of security constraint and due to limited battery many researchers …","","https://scholar.google.com/scholar?q=related:WLzz7kPsAocJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"S Khobragade, P Padiya","Detection and prevention of wormhole attack based on delay per hop technique for wireless mobile ad-hoc network",2016,"2016 International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7955657/","https://scholar.google.com/scholar?cites=15277949090365862481&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:35:05","","","","",,,,,8,1.60,4,2,5,"Wormhole attack is the dangerous attack which forms a serious threat in the networks, mostly for ad-hoc wireless routing protocols and wireless security system. In wormhole attack, an attacker node keeps data packets at one location in the network and forward to …","","https://scholar.google.com/scholar?q=related:UXLCa8AtBtQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"Z Hassan, A Mehmood, C Maple, MA Khan, ...","Intelligent Detection of Black Hole Attacks for Secure Communication in Autonomous and Connected Vehicles",2020,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9241834/","https://scholar.google.com/scholar?cites=5222205928474224892&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:35:05","","","","",,,,,5,5.00,1,5,1,"Detection of Black Hole attacks is one of the most challenging and critical routing security issues in vehicular ad hoc networks (VANETs) and autonomous and connected vehicles (ACVs). Malicious vehicles or nodes may exist in the cyber-physical path on which the data …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09241834.pdf","https://scholar.google.com/scholar?q=related:_Cilnp8AeUgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"Y Sahu, MA Rizvi, RK Kapoor","Intruder detection mechanism against DoS attack on OLSR",2016,"2016 Fifth International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7893250/","https://scholar.google.com/scholar?cites=10179170048966923757&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:35:05","","","","",,,,,4,0.80,1,3,5,"In an environment where there is no base station and no static infrastructure Mobile Ad Hoc Network plays a vital role. It is becoming popular technology because of fast growth of wireless devices, dynamically changing network topology. Because of the ad hoc in nature …","","https://scholar.google.com/scholar?q=related:7RX4XDqtQ40J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"G Ezhilarasi, R NAVEENKUMAR, R RAVIKUMAR, ...","improving mpr selection algorithm in olsr Protocol based on dos free transmission in manet mpr selection process",2015,"International Journal of …","","","https://scholar.google.com/scholar?cites=7182591936706221357&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:35:05","CITATION","","","",,,,,2,0.33,1,4,6,"","","https://scholar.google.com/scholar?q=related:LZX1uU-xrWMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"A Khanna, PU Dere","A Review on Intrusion Detection and Security of Wormhole Attacks in MANET",2014,"","Academic Press","","https://scholar.google.com/scholar?cites=13659438317749280371&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:35:05","CITATION","","","",,,,,1,0.14,1,2,7,"","","https://scholar.google.com/scholar?q=related:cx7OeMcSkL0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"MBU Chavan, KA Adoni","Detection of Malicious Nodes Using Path Validation Message and Attacker Find Message in Mobile Ad-Hoc Network",,"noveltyjournals.com","","https://www.noveltyjournals.com/upload/paper/Detection%20of%20Malicious%20Nodes-933.pdf","",11,"2021-12-19 16:35:05","PDF","","","",,,,,0,0.00,0,2,,"Mobile Ad hoc Networks (MANET) are dynamic and self organized networks. Nodes in the network can operate independently. The nodes are wireless devices, can act as source, destination and routers. They cooperatively provide multi-hop communication. MANET …","https://www.noveltyjournals.com/upload/paper/Detection%20of%20Malicious%20Nodes-933.pdf","https://scholar.google.com/scholar?q=related:arZwPtdnqYIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
