Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
155,"YS Can, B Arnrich, C Ersoy","Stress detection in daily life scenarios using smart phones and wearable sensors: A survey",2019,"Journal of biomedical informatics","Elsevier","https://www.sciencedirect.com/science/article/pii/S1532046419300577","https://scholar.google.com/scholar?cites=2707757061097951385&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:32:12","HTML","","","",,,,,155,77.50,52,3,2,"Stress has become a significant cause for many diseases in the modern society. Recently, smartphones, smartwatches and smart wrist-bands have become an integral part of our lives and have reached a widespread usage. This raised the question of whether we can detect …","https://www.sciencedirect.com/science/article/pii/S1532046419300577","https://scholar.google.com/scholar?q=related:mZDMZLPikyUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
83,"R Castaldo, L Montesinos, ...","Ultra-short term HRV features as surrogates of short term HRV: a case study on mental stress detection in real life",2019,"BMC medical …","bmcmedinformdecismak …","https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-019-0742-y","https://scholar.google.com/scholar?cites=11673264866597027086&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:32:12","HTML","10.1186/s12911-019-0742-y","","",,,,,83,41.50,28,3,2,"This paper suggests a method to assess the extent to which ultra-short Heart Rate Variability (HRV) features (less than 5 min) can be considered as valid surrogates of short HRV features (nominally 5 min). Short term HRV analysis has been widely investigated for mental …","https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-019-0742-y","https://scholar.google.com/scholar?q=related:Dj2QbozE_6EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
73,"M Salai, I Vassányi, I Kósa","Stress detection using low cost heart rate sensors",2016,"Journal of healthcare engineering","hindawi.com","https://www.hindawi.com/journals/jhe/2016/5136705/","https://scholar.google.com/scholar?cites=7249799202083831535&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:32:12","HTML","","","",,,,,73,14.60,24,3,5,"The automated detection of stress is a central problem for ambient assisted living solutions. The paper presents the concepts and results of two studies targeted at stress detection with a low cost heart rate sensor, a chest belt. In the device validation study (), we compared …","https://www.hindawi.com/journals/jhe/2016/5136705/","https://scholar.google.com/scholar?q=related:7_4dlfZ1nGQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
47,"MN Rastgoo, B Nakisa, A Rakotonirainy, ...","A critical review of proactive detection of driver stress levels based on multimodal measurements",2018,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3186585","https://scholar.google.com/scholar?cites=4563041682517639164&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:32:12","","10.1145/3186585","","",,,,,47,15.67,12,4,3,"Stress is a major concern in daily life, as it imposes significant and growing health and economic costs on society every year. Stress and driving are a dangerous combination and can lead to life-threatening situations, evidenced by the large number of road traffic crashes …","https://research-repository.griffith.edu.au/bitstream/handle/10072/385639/TJONDRONEGORO224518.pdf?sequence=1","https://scholar.google.com/scholar?q=related:_L_D9TsuUz8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
46,"K Chandel, V Kunwar, S Sabitha, T Choudhury, ...","A comparative study on thyroid disease detection using K-nearest neighbor and Naive Bayes classification techniques",2016,"CSI transactions on …","Springer","https://link.springer.com/content/pdf/10.1007/s40012-016-0100-5.pdf","https://scholar.google.com/scholar?cites=11772665596253514881&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:32:12","","10.1007/s40012-016-0100-5","","",,,,,46,9.20,9,5,5,"Data mining is an important research activity in the field of medical sciences since there is a requirement of efficient methodologies for analyzing and detecting diseases. Data mining applications are used for the management of healthcare, health information, patient care …","","https://scholar.google.com/scholar?q=related:gSwnTPzoYKMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
35,"OV Bitkina, J Kim, J Park, J Park, HK Kim","Identifying traffic context using driving stress: A longitudinal preliminary case study",2019,"Sensors","mdpi.com","https://www.mdpi.com/459310","https://scholar.google.com/scholar?cites=11273235789558986602&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:32:12","","","","",,,,,35,17.50,7,5,2,"Many previous studies have identified that physiological responses of a driver are significantly associated with driving stress. However, research is limited to identifying the effects of traffic conditions (low vs. high traffic) and road types (highway vs. city) on driving …","https://www.mdpi.com/1424-8220/19/9/2152/pdf","https://scholar.google.com/scholar?q=related:ajfi8TiUcpwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"M Muñoz-Organero, ...","Predicting upcoming values of stress while driving",2016,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7744577/","https://scholar.google.com/scholar?cites=15260994259947869966&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:32:12","","","","",,,,,23,4.60,12,2,5,"The levels of stress while driving affect the way we drive and have an impact on the likelihood of having an accident. Different types of sensors, such as heart rate or skin conductivity sensors, have been previously used to measure stress related features …","https://e-archivo.uc3m.es/bitstream/handle/10016/25380/predicting_TITS_2017_ps.pdf?sequence=1","https://scholar.google.com/scholar?q=related:Dtd3V2zxydMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"H Al-Libawy, A Al-Ataby, W Al-Nuaimy, ...","HRV-based operator fatigue analysis and classification using wearable sensors",2016,"… Multi-Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7473750/","https://scholar.google.com/scholar?cites=10768424564112912186&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:32:12","","","","",,,,,23,4.60,6,4,5,"Fatigue assessment and quantification are essential requirements to reduce the risks that occur as a consequence of a fatigued operator. The new wearable device technology offers an accurate measuring ability to one or more of fatigue-related biological data, which helps …","https://livrepository.liverpool.ac.uk/3007443/2/HRV-Based.pdf","https://scholar.google.com/scholar?q=related:Om-KZhYhcZUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"W Seo, N Kim, S Kim, C Lee, SM Park","Deep ECG-respiration network (DeepER net) for recognizing mental stress",2019,"Sensors","mdpi.com","https://www.mdpi.com/493724","https://scholar.google.com/scholar?cites=10949166553948523499&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:32:12","","","","",,,,,23,11.50,5,5,2,"Unmanaged long-term mental stress in the workplace can lead to serious health problems and reduced productivity. To prevent this, it is important to recognize and relieve mental stress in a timely manner. Here, we propose a novel stress detection algorithm based on …","https://www.mdpi.com/1424-8220/19/13/3021/htm","https://scholar.google.com/scholar?q=related:64uwOvhA85cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"S Zepf, J Hernandez, A Schmitt, W Minker, ...","Driver emotion recognition for intelligent vehicles: a survey",2020,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3388790","https://scholar.google.com/scholar?cites=7719364338346480793&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-12-19 16:32:12","","10.1145/3388790","","",,,,,23,23.00,5,5,1,"Driving can occupy a large portion of daily life and often can elicit negative emotional states like anger or stress, which can significantly impact road safety and long-term human health. In recent decades, the arrival of new tools to help recognize human affect has inspired …","","https://scholar.google.com/scholar?q=related:mdT1fvewIGsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
