Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
48,"S Abdulrahman, H Tout, H Ould-Slimane, ...","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9220780/","https://scholar.google.com/scholar?cites=2853040318860892567&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:13","CITATION","","","",,,,,48,48.00,12,4,1,"Driven by privacy concerns and the visions of deep learning, the last four years have witnessed a paradigm shift in the applicability mechanism of machine learning (ML). An emerging model, called federated learning (FL), is rising above both centralized systems …","http://icaangroup.com/wp-content/uploads/2021/06/09220780-4.pdf","https://scholar.google.com/scholar?q=related:lxmSzw0JmCcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"S Arisdakessian, OA Wahab, A Mourad, ...","FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory",2020,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9109632/","https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:13","","","","",,,,,14,14.00,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …","https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf","https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"H Sami, A Mourad, W El-Hajj","Vehicular-OBUs-as-on-demand-fogs: Resource and context aware deployment of containerized micro-services",2020,"IEEE/ACM Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9032323/","https://scholar.google.com/scholar?cites=17947123205686221738&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:13","","","","",,,,,13,13.00,4,3,1,"Observing the headway in vehicular industry, new applications are developed demanding more resources. For instance, real-time vehicular applications require fast processing of the vast amount of generated data by vehicles in order to maintain service availability and …","https://www.researchgate.net/profile/Hani-Sami-2/publication/339852675_Vehicular-OBUs-As-On-Demand-Fogs_Resource_and_Context_Aware_Deployment_of_Containerized_Micro-Services/links/5e83d92692851c2f5270dbab/Vehicular-OBUs-As-On-Demand-Fogs-Resource-and-Context-Aware-Deployment-of-Containerized-Micro-Services.pdf","https://scholar.google.com/scholar?q=related:qtsYt3f9EPkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"S AbdulRahman, H Tout, A Mourad, ...","FedMCCS: multicriteria client selection model for optimal IoT federated learning",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9212434/","https://scholar.google.com/scholar?cites=6335911559130138134&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:13","","","","",,,,,10,10.00,3,4,1,"As an alternative centralized systems, which may prevent data to be stored in a central repository due to its privacy and/or abundance, federated learning (FL) is nowadays a game changer addressing both privacy and cooperative learning. It succeeds in keeping training …","https://www.researchgate.net/profile/Sawsan-Abdulrahman/publication/344871700_FedMCCS_Multicriteria_Client_Selection_Model_for_Optimal_IoT_Federated_Learning/links/5f9555a6299bf1b53e43a03d/FedMCCS-Multicriteria-Client-Selection-Model-for-Optimal-IoT-Federated-Learning.pdf","https://scholar.google.com/scholar?q=related:FkY-cv6t7VcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, H Tout, OA Wahab, H Otrok, ...","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9138386/","https://scholar.google.com/scholar?cites=6689443111974663338&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:13","","","","",,,,,7,7.00,1,5,1,"Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which …","https://www.researchgate.net/profile/Azzam-Mourad/publication/342859892_Ad_Hoc_Vehicular_Fog_Enabling_Cooperative_Low-Latency_Intrusion_Detection/links/5f15e3624585151299aaf71f/Ad-Hoc-Vehicular-Fog-Enabling-Cooperative-Low-Latency-Intrusion-Detection.pdf","https://scholar.google.com/scholar?q=related:qvRuchGt1VwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"ZM Nayeri, T Ghafarian, B Javadi","Application placement in Fog computing with AI approach: Taxonomy and a state of the art survey",2021,"Journal of Network and Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804521000989","https://scholar.google.com/scholar?cites=4194469465855231588&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-12-19 16:34:13","","","","",,,,,6,6.00,2,3,1,"With the increasing use of the Internet of Things (IoT) in various fields and the need to process and store huge volumes of generated data, Fog computing was introduced to complement Cloud computing services. Fog computing offers basic services at the network …","","https://scholar.google.com/scholar?q=related:ZAaGhcG_NToJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"H Sami, A Mourad, H Otrok, ...","Fscaler: Automatic resource scaling of containers in fog clusters using reinforcement learning",2020,"… and Mobile Computing …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9148401/","https://scholar.google.com/scholar?cites=3758340659779259874&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:13","","","","",,,,,5,5.00,1,4,1,"Several studies leverage fog computing as a solution to overcome cloud delays, including computation, network, and data storage. Along with the increase in demands for computing resources in fog infrastructures, heterogeneous fog devices are used towards forming highly …","https://www.researchgate.net/profile/Azzam-Mourad/publication/343244224_FScaler_Automatic_Resource_Scaling_of_Containers_in_Fog_Clusters_Using_Reinforcement_Learning/links/5f95b5c2a6fdccfd7b7f6da9/FScaler-Automatic-Resource-Scaling-of-Containers-in-Fog-Clusters-Using-Reinforcement-Learning.pdf","https://scholar.google.com/scholar?q=related:4s0M4-pOKDQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"H Sami, A Mourad, H Otrok, ...","Demand-Driven Deep Reinforcement Learning for Scalable Fog and Service Placement",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9416796/","https://scholar.google.com/scholar?cites=8998968156978449359&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:13","","","","",,,,,4,4.00,1,4,1,"The increasing number of Internet of Things (IoT) devices necessitates the need for a more substantial fog computing infrastructure to support the users' demand for services. In this context, the placement problem consists of selecting fog resources and mapping services to …","https://www.researchgate.net/profile/Hani-Sami-2/publication/351080915_Demand-Driven_Deep_Reinforcement_Learning_for_Scalable_Fog_and_Service_Placement/links/6083ac718ea909241e1ee47d/Demand-Driven-Deep-Reinforcement-Learning-for-Scalable-Fog-and-Service-Placement.pdf","https://scholar.google.com/scholar?q=related:z4vANdzB4nwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"H Sami, H Otrok, J Bentahar, ...","AI-based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9380677/","https://scholar.google.com/scholar?cites=1142297934495883516&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-12-19 16:34:13","","","","",,,,,3,3.00,1,4,1,"Currently, researchers have motivated a vision of 6G for empowering the new generation of the Internet of Everything (IoE) services that are not supported by 5G. In the context of 6G, more computing resources are required, a problem that is dealt with by Mobile Edge …","https://www.researchgate.net/profile/Hani-Sami-2/publication/350148832_AI-based_Resource_Provisioning_of_IoE_Services_in_6G_A_Deep_Reinforcement_Learning_Approach/links/6060bea3299bf17367776d24/AI-based-Resource-Provisioning-of-IoE-Services-in-6G-A-Deep-Reinforcement-Learning-Approach.pdf","https://scholar.google.com/scholar?q=related:_CBKVetB2g8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"D Alencar, C Both, R Antunes, H Oliveira, ...","Dynamic Microservice Allocation for Virtual Reality Distribution with QoE support",2021,"… on Network and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9419855/","https://scholar.google.com/scholar?cites=12766271663466948453&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-12-19 16:34:13","","","","",,,,,3,3.00,1,5,1,"Virtual Reality (VR) content is gaining popularity and allowing users to immerse themselves in a new world over the Internet. However, the high-demand for resources and the low latency requirements of VR services require changes in the current 5G networks to deliver …","https://www.researchgate.net/profile/Derian-Alencar/publication/351037066_Dynamic_Microservice_Allocation_for_Virtual_Reality_Distribution_with_QoE_support/links/608367892fb9097c0c05e9b5/Dynamic-Microservice-Allocation-for-Virtual-Reality-Distribution-with-QoE-support.pdf","https://scholar.google.com/scholar?q=related:ZScVd3DoKrEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
