Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:17","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SI Popoola, R Ande, B Adebisi, G Gui, ...","Federated deep learning for zero-day botnet attack detection in IoT edge devices",2021,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9499122/","https://scholar.google.com/scholar?cites=17088970588834991867&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:17","","","","",,,,,5,5.00,1,5,1,"Deep Learning (DL) has been widely proposed for botnet attack detection in Internet of Things (IoT) networks. However, the traditional Centralized DL (CDL) method cannot be used to detect previously unknown (zero-day) botnet attack without breaching the data …","https://e-space.mmu.ac.uk/628278/7/FDL_for_Botnet_Attack_Detection_in_IoT_Edge_Devices%20e.pdf",""
1,"T Hiessl","Cohort-based Federated Learning Services for Industrial Collaboration on the Edge",2021,"","techrxiv.org","https://www.techrxiv.org/ndownloader/files/28594518/1","https://scholar.google.com/scholar?cites=9731934880971497249&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:17","PDF","","","",,,,,1,1.00,1,1,1,"Machine Learning (ML) is increasingly applied in industrial manufacturing, but often performance is limited due to insufficient training data. While ML models can benefit from collaboration, due to privacy concerns, individual manufacturers cannot share data directly …","https://www.techrxiv.org/ndownloader/files/28594518/1",""
1,"L Li, M Duan, D Liu, Y Zhang, A Ren, X Chen, ...","FedSAE: A Novel Self-Adaptive Federated Learning Framework in Heterogeneous Systems",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2104.07515","https://scholar.google.com/scholar?cites=11736097342205873390&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:17","","","","",,,,,1,1.00,0,7,1,"Federated Learning (FL) is a novel distributed machine learning which allows thousands of edge devices to train model locally without uploading data concentrically to the server. But since real federated settings are resource-constrained, FL is encountered with systems …","https://arxiv.org/pdf/2104.07515","https://scholar.google.com/scholar?q=related:7kyWK1r-3qIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Duan, D Liu, X Ji, Y Wu, L Liang, ...","Flexible Clustered Federated Learning for Client-Level Data Distribution Shift",2021,"… on Parallel and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9647969/","",5,"2021-12-19 16:35:17","","","","",,,,,0,0.00,0,6,1,"Federated Learning (FL) enables the multiple participating devices to collaboratively contribute to a global neural network model while keeping the training data locally. Unlike the centralized training setting, the non-IID, imbalanced (statistical heterogeneity) and …","https://arxiv.org/pdf/2108.09749",""
0,"O Shahid, S Pouriyeh, RM Parizi, QZ Sheng, ...","Communication Efficiency in Federated Learning: Achievements and Challenges",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2107.10996","",6,"2021-12-19 16:35:17","","","","",,,,,0,0.00,0,5,1,"Federated Learning (FL) is known to perform Machine Learning tasks in a distributed manner. Over the years, this has become an emerging technology especially with various data protection and privacy policies being imposed FL allows performing machine learning …","https://arxiv.org/pdf/2107.10996",""
0,"D Shome, O Waqar, WU Khan","Federated learning and next generation wireless communications: A survey on bidirectional relationship",2021,"arXiv preprint arXiv:2110.07649","arxiv.org","https://arxiv.org/abs/2110.07649","",7,"2021-12-19 16:35:17","","","","",,,,,0,0.00,0,3,1,"In order to meet the extremely heterogeneous requirements of the next generation wireless communication networks, research community is increasingly dependent on using machine learning solutions for real-time decision-making and radio resource management …","https://arxiv.org/pdf/2110.07649",""
0,"M Al-Hawawreh, E Sitnikova, N Aboutorab","Asynchronous Peer-to-Peer Federated Capability-Based Targeted Ransomware Detection Model for Industrial IoT",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9597509/","",8,"2021-12-19 16:35:17","","","","",,,,,0,0.00,0,3,1,"Industrial Internet of Thing (IIoT) systems are considered attractive ransomware targets because they operate critical services that affect human lives and have substantial operational costs. The major concern is with brownfield IIoT systems since they have legacy …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09597509.pdf",""
0,"C Zhou, J Liu, J Jia, J Zhou, Y Zhou, H Dai, ...","Efficient Device Scheduling with Multi-Job Federated Learning",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2112.05928","",9,"2021-12-19 16:35:17","","","","",,,,,0,0.00,0,7,1,"Recent years have witnessed a large amount of decentralized data in multiple (edge) devices of end-users, while the aggregation of the decentralized data remains difficult for machine learning jobs due to laws or regulations. Federated Learning (FL) emerges as an …","https://arxiv.org/pdf/2112.05928",""
0,"EM Campos, PF Saura, A González-Vidal, ...","Evaluating Federated Learning for intrusion detection in Internet of Things: Review and challenges",2021,"Computer Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1389128621005405","",10,"2021-12-19 16:35:17","HTML","","","",,,,,0,0.00,0,4,1,"Abstract The application of Machine Learning (ML) techniques to the well-known intrusion detection systems (IDS) is key to cope with increasingly sophisticated cybersecurity attacks through an effective and efficient detection process. In the context of the Internet of Things …","https://www.sciencedirect.com/science/article/pii/S1389128621005405",""
