Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"UM Malik, MA Javed, S Zeadally, ...","Energy efficient fog computing for 6G enabled massive IoT: Recent trends and future opportunities",2021,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9383089/","https://scholar.google.com/scholar?cites=928603918170490226&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:26","","","","",,,,,14,14.00,4,4,1,"Fog computing is a promising technology that can provide storage and computational services to future 6G networks. To support the massive Internet of Things (IoT) applications in 6G, fog computing will play a vital role. IoT devices and fog nodes have energy limitations …","https://www.researchgate.net/profile/Muhammad-Awais-Javed-3/publication/350122716_Energy_efficient_fog_computing_for_6G_enabled_massive_IoT_Recent_trends_and_future_opportunities/links/60522d13a6fdccbfeae91f0c/Energy-efficient-fog-computing-for-6G-enabled-massive-IoT-Recent-trends-and-future-opportunities.pdf","https://scholar.google.com/scholar?q=related:coWW91cQ4wwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SI Popoola, R Ande, B Adebisi, G Gui, ...","Federated deep learning for zero-day botnet attack detection in IoT edge devices",2021,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9499122/","https://scholar.google.com/scholar?cites=17088970588834991867&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:26","","","","",,,,,5,5.00,1,5,1,"Deep Learning (DL) has been widely proposed for botnet attack detection in Internet of Things (IoT) networks. However, the traditional Centralized DL (CDL) method cannot be used to detect previously unknown (zero-day) botnet attack without breaching the data …","https://e-space.mmu.ac.uk/628278/7/FDL_for_Botnet_Attack_Detection_in_IoT_Edge_Devices%20e.pdf",""
4,"FM Awaysheh, M Alazab, S Garg, ...","Big data resource management & networks: Taxonomy, survey, and future directions",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9478917/","https://scholar.google.com/scholar?cites=10414369828869001586&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:26","","","","",,,,,4,4.00,1,4,1,"Big Data (BD) platforms have a long tradition of leveraging trends and technologies from the broader computer network and communication community. For several years, dedicated servers of homogeneous clusters were employed as the dominant paradigm in BD networks …","",""
4,"A Alwarafy, M Abdallah, BS Ciftler, A Al-Fuqaha, ...","Deep Reinforcement Learning for Radio Resource Allocation and Management in Next Generation Heterogeneous Wireless Networks: A Survey",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2106.00574","https://scholar.google.com/scholar?cites=8421180808473771708&as_sdt=2005&sciodt=0,5&hl=en",40,"2021-12-19 16:33:26","","","","",,,,,4,4.00,1,5,1,"Next generation wireless networks are expected to be extremely complex due to their massive heterogeneity in terms of the types of network architectures they incorporate, the types and numbers of smart IoT devices they serve, and the types of emerging applications …","https://arxiv.org/pdf/2106.00574","https://scholar.google.com/scholar?q=related:vH5q9lML3nQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"L Barbieri, S Savazzi, M Brambilla, M Nicoli","Decentralized federated learning for extended sensing in 6G connected vehicles",2021,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209621000656","https://scholar.google.com/scholar?cites=8077748288264053231&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:26","","","","",,,,,2,2.00,1,4,1,"Research on smart connected vehicles has recently targeted the integration of vehicle-to-everything (V2X) networks with Machine Learning (ML) tools and distributed decision making. Among these convergent paradigms, Federated Learning (FL) allows the vehicles …","",""
2,"S Agrawal, S Sarkar, O Aouedi, G Yenduri, ...","Federated Learning for Intrusion Detection System: Concepts, Challenges and Future Directions",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2106.09527","https://scholar.google.com/scholar?cites=17090790209180623125&as_sdt=2005&sciodt=0,5&hl=en",39,"2021-12-19 16:33:26","","","","",,,,,2,2.00,0,5,1,"The rapid development of the Internet and smart devices trigger surge in network traffic making its infrastructure more complex and heterogeneous. The predominated usage of mobile phones, wearable devices and autonomous vehicles are examples of distributed …","https://arxiv.org/pdf/2106.09527","https://scholar.google.com/scholar?q=related:FWHv9CSvLu0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"D Li, D Han, TH Weng, Z Zheng, H Li, H Liu, ...","Blockchain for federated learning toward secure distributed machine learning systems: a systemic survey",2021,"Soft Computing","Springer","https://link.springer.com/article/10.1007/s00500-021-06496-5","https://scholar.google.com/scholar?cites=8762840775660348289&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:26","HTML","10.1007/s00500-021-06496-5","","",,,,,1,1.00,0,7,1,"Federated learning (FL) is a promising decentralized deep learning technology, which allows users to update models cooperatively without sharing their data. FL is reshaping existing industry paradigms for mathematical modeling and analysis, enabling an increasing …","https://link.springer.com/article/10.1007/s00500-021-06496-5",""
1,"S Math, P Tam, S Kim","Reliable Federated Learning Systems Based on Intelligent Resource Sharing Scheme for Big Data Internet of Things",2021,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9503402/","https://scholar.google.com/scholar?cites=368359739109772335&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:26","","","","",,,,,1,1.00,0,3,1,"Federated learning (FL) is the up-to-date approach for privacy constraints Internet of Things (IoT) applications in next-generation mobile network (NGMN), $5^{\mathrm {th}} $ generation (5G), and $6^{\mathrm {th}} $ generation (6G), respectively. Due to 5G/6G is …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09503402.pdf",""
1,"Y Cui, K Cao, G Cao, M Qiu, ...","Client Scheduling and Resource Management for Efficient Training in Heterogeneous IoT-Edge Federated Learning",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9530450/","https://scholar.google.com/scholar?cites=14056653724306754443&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:26","","","","",,,,,1,1.00,0,5,1,"Federated learning (FL) offers a promising paradigm that empowers numerous IoT devices to implement distributed learning on the premise of ensuring user privacy and data security. However, since FL adopts a synchronous distributed training mode, the heterogeneity of …","",""
1,"V Venkataramanan, S Kaza, ...","DER Forecast using Privacy Preserving Federated Learning",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2107.03248","https://scholar.google.com/scholar?cites=4840671909446455994&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:26","","","","",,,,,1,1.00,0,3,1,"With increasing penetration of Distributed Energy Resources (DERs) in grid edge including renewable generation, flexible loads, and storage, accurate prediction of distributed generation and consumption at the consumer level becomes important. However, DER …","https://arxiv.org/pdf/2107.03248",""
