Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"A Mourad, A Srour, H Harmanai, ...","Critical impact of social networks infodemic on defeating coronavirus COVID-19 pandemic: Twitter-based study and research directions",2020,"… on Network and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9223699/","https://scholar.google.com/scholar?cites=12626121115852659893&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:02","","","","",,,,,41,41.00,10,4,1,"News creation and consumption has been changing since the advent of social media. An estimated 2.95 billion people in 2019 used social media worldwide. The widespread of the Coronavirus COVID-19 resulted with a tsunami of social media. Most platforms were used to …","https://arxiv.org/pdf/2005.08820","https://scholar.google.com/scholar?q=related:tdx0QUL-OK8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"M Arafeh, P Ceravolo, A Mourad, E Damiani, ...","Ontology based recommender system using social network data",2021,"Future Generation …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X20305963","https://scholar.google.com/scholar?cites=3969228426496561356&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:35:02","","","","",,,,,8,8.00,2,5,1,"Abstract Online Social Network (OSN) is considered a key source of information for real-time decision making. However, several constraints lead to decreasing the amount of information that a researcher can have while increasing the time of social network mining procedures. In …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546693/","https://scholar.google.com/scholar?q=related:zNC1WTmIFTcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"SB Abkenar, MH Kashani, M Akbari, ...","Twitter spam detection: A systematic review",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2011.14754","https://scholar.google.com/scholar?cites=7848150727244307597&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:02","","","","",,,,,7,7.00,2,4,1,"Nowadays, with the rise of Internet access and mobile devices around the globe, more people are using social networks for collaboration and receiving real-time information. Twitter, the microblogging that is becoming a critical source of communication and news …","https://arxiv.org/pdf/2011.14754","https://scholar.google.com/scholar?q=related:jdweUYE76mwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"R Krithiga, E Ilavarasan","A Comprehensive Survey of Spam Profile Detection Methods in Online Social Networks",2019,"Journal of Physics: Conference Series","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1742-6596/1362/1/012111/meta","https://scholar.google.com/scholar?cites=14853233920578386734&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:02","","10.1088/1742-6596/1362/1/012111","","",,,,,4,2.00,2,2,2,"Social networks have grown into a popular way for internet surfers to interact with friends in addition to family members, reading news, and also discuss events. Users spend more time on popular social platforms (eg, Facebook, Twitter, etc.) storing and sharing their personal …","https://iopscience.iop.org/article/10.1088/1742-6596/1362/1/012111/pdf","https://scholar.google.com/scholar?q=related:LnvbEY5JIc4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"C Markarian, AN Kassar","Online Deterministic Algorithms for Connected Dominating Set & Set Cover Leasing Problems.",2020,"ICORES","scitepress.org","https://www.scitepress.org/Papers/2020/88667/88667.pdf","https://scholar.google.com/scholar?cites=18322162020062174192&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:02","PDF","","","",,,,,2,2.00,1,2,1,"Connected Dominating Set (CDS) and Set Cover (SC) are classical optimization problems that have been widely studied in both theory and practice, as many variants and in different settings, motivated by applications in wireless and social networks. In this paper, we …","https://www.scitepress.org/Papers/2020/88667/88667.pdf","https://scholar.google.com/scholar?q=related:8Jv1QkhlRf4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"N Johnson, B Turnbull, T Maher, M Reisslein","Semantically Modeling Cyber Influence Campaigns (CICs): Ontology Model and Case Studies",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9311246/","https://scholar.google.com/scholar?cites=2798878269058545019&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:35:02","","","","",,,,,2,2.00,1,4,1,"This paper presents a novel ontological model of Cyber Influence Campaigns (CICs). The model accepts both physical and cyber based actions. The model represents the mechanics, linkages, and structure of tailored data to concurrently analyse both the physical and cyber …","https://ieeexplore.ieee.org/iel7/6287639/9312710/09311246.pdf","https://scholar.google.com/scholar?q=related:e3XL5PSc1yYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"MH Jabardi, AS Hadi","Ontology Meter for Twitter Fake Accounts Detection",2021,"International Journal of Intelligent Engineering and …","inass.org","http://www.inass.org/2021/2021022838.pdf","https://scholar.google.com/scholar?cites=13146309754558737445&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:35:02","PDF","","","",,,,,1,1.00,1,2,1,"One of the most popular social media platforms, Twitter is used by millions of people to share information, broadcast tweets, and follow other users. Twitter is an open application programming interface and thus vulnerable to attack from fake accounts, which are primarily …","http://www.inass.org/2021/2021022838.pdf","https://scholar.google.com/scholar?q=related:Jey50xETcbYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"CBS Reddy, S Chaudhary, SK Kandasamy","Spam, a Digital Pollution and Ways to Eradicate It",,"researchgate.net","","https://www.researchgate.net/profile/Bharath-Chinthapanti/publication/338392405_Spam_A_Digital_Pollution_and_Ways_to_Eradicate_It/links/5e116f21299bf10bc390c3d6/Spam-A-Digital-Pollution-and-Ways-to-Eradicate-It.pdf","https://scholar.google.com/scholar?cites=4700924142625012822&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:35:02","PDF","","","",,,,,1,0.00,0,3,,"Due to the growing popularity of the microblogging and networking sites like twitter, Gmail, Facebook etc., there has been an increase in the number of spammers. Spammers on Twitter seem to be more dangerous than the mail spammers as they exploit the limitation on …","https://www.researchgate.net/profile/Bharath-Chinthapanti/publication/338392405_Spam_A_Digital_Pollution_and_Ways_to_Eradicate_It/links/5e116f21299bf10bc390c3d6/Spam-A-Digital-Pollution-and-Ways-to-Eradicate-It.pdf","https://scholar.google.com/scholar?q=related:Vrw45ZkJPUEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Kodali, V Kandikatla, P Nagati, V Nerendla, ...","Irrelevant Racist Tweets Identification Using Data Mining Techniques",2022,"Computer Networks and …","Springer","https://link.springer.com/chapter/10.1007/978-981-16-3728-5_15","",8,"2021-12-19 16:35:02","","10.1007/978-981-16-3728-5_15","","",,,,,0,0.00,0,5,1,"In recent times, Twitter is one of the major sources to access information. Its feature of the hashtag is something that grabs more attention from the users. One can write one's mind and heart out on Twitter at any given minute. Due to which there is a rapid increase in the …","",""
0,"E Van der Walt, J Eloff","Identity deception detection: requirements and a model",2019,"Information & Computer Security","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/ICS-01-2019-0017/full/html","",9,"2021-12-19 16:35:02","","10.1108/ICS-01-2019-0017","","",,,,,0,0.00,0,2,2,"Purpose This paper aims to describe requirements for a model that can assist in identity deception detection (IDD) on social media platforms (SMPs). The model that was discovered demonstrates the usefulness of the requirements. The aim of the model is to identify humans …","https://repository.up.ac.za/bitstream/handle/2263/72587/VanDerWalt_Identity_2019.pdf?sequence=1","https://scholar.google.com/scholar?q=related:_7WINA2h0lMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
