Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
39,"C Shorten, TM Khoshgoftaar, B Furht","Deep Learning applications for COVID-19",2021,"Journal of big Data","Springer","https://link.springer.com/article/10.1186/s40537-020-00392-9","https://scholar.google.com/scholar?cites=17777612268280748847&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 00:41:42","HTML","10.1186/s40537-020-00392-9","","",,,,,39,39.00,13,3,1,"This survey explores how Deep Learning has battled the COVID-19 pandemic and provides directions for future research on COVID-19. We cover Deep Learning applications in Natural Language Processing, Computer Vision, Life Sciences, and Epidemiology. We describe …","https://link.springer.com/article/10.1186/s40537-020-00392-9","https://scholar.google.com/scholar?q=related:LxuADSvEtvYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"S Shaar, A Nikolov, N Babulkov, F Alam, ...","Overview of CheckThat! 2020 English: Automatic identification and verification of claims in social media",2020,"CLEF (Working …","openreview.net","https://openreview.net/pdf?id=VyRvy9JlZGO","https://scholar.google.com/scholar?cites=16326235794459057143&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 00:41:42","PDF","","","",,,,,26,26.00,5,5,1,"We present an overview of the third edition of the Check-That! Lab at CLEF 2020. The lab featured five tasks in Arabic and English, and here we focus on the three English tasks. Task 1 challenged the participants to predict which tweets from a stream of tweets about COVID …","https://openreview.net/pdf?id=VyRvy9JlZGO","https://scholar.google.com/scholar?q=related:99v_d_RwkuIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
17,"P Nakov, G Da San Martino, T Elsayed, ...","Overview of the CLEF–2021 CheckThat! Lab on Detecting Check-Worthy Claims, Previously Fact-Checked Claims, and Fake News",2021,"… Conference of the Cross …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-85251-1_19","https://scholar.google.com/scholar?cites=4847723372669597080&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 00:41:42","","10.1007/978-3-030-85251-1_19","","",,,,,17,17.00,4,4,1,"We describe the fourth edition of the CheckThat! Lab, part of the 2021 Conference and Labs of the Evaluation Forum (CLEF). The lab evaluates technology supporting tasks related to factuality, and covers Arabic, Bulgarian, English, Spanish, and Turkish. Task 1 asks to …","https://arxiv.org/pdf/2109.12987",""
14,"GK Shahi","Amused: an annotation framework of multi-modal social media data",2020,"arXiv preprint arXiv:2010.00502","arxiv.org","https://arxiv.org/abs/2010.00502","https://scholar.google.com/scholar?cites=13257220271972548945&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 00:41:42","","","","",,,,,14,14.00,14,1,1,"In this paper, we present a semi-automated framework called AMUSED for gathering multi-modal annotated data from the multiple social media platforms. The framework is designed to mitigate the issues of collecting and annotating social media data by cohesively …","https://arxiv.org/pdf/2010.00502","https://scholar.google.com/scholar?q=related:UQEI_Jgb-7cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"S Shaar, M Hasanain, B Hamdan, ZS Ali, ...","Overview of the CLEF-2021 CheckThat! lab task 1 on check-worthiness estimation in tweets and political debates",2021,"Working Notes of …","ceur-ws.org","http://ceur-ws.org/Vol-2936/paper-28.pdf","https://scholar.google.com/scholar?cites=8916393179464133033&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 00:41:42","PDF","","","",,,,,13,13.00,3,5,1,"We present an overview of Task 1 of the fourth edition of the CheckThat! Lab, part of the 2021 Conference and Labs of the Evaluation Forum (CLEF). The task asks to predict which posts in a Twitter stream are worth fact-checking, focusing on COVID-19 and politics in five …","http://ceur-ws.org/Vol-2936/paper-28.pdf",""
11,"S Shaar, F Alam, G Da San Martino, A Nikolov, ...","Findings of the NLP4IF-2021 Shared Tasks on Fighting the COVID-19 Infodemic and Censorship Detection",2021,"Proceedings of the …","aclweb.org","https://www.aclweb.org/anthology/2021.nlp4if-1.12/","https://scholar.google.com/scholar?cites=10816210530979170422&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 00:41:42","","","","",,,,,11,11.00,2,5,1,"We present the results and the main findings of the NLP4IF-2021 shared tasks. Task 1 focused on fighting the COVID-19 infodemic in social media, and it was offered in Arabic, Bulgarian, and English. Given a tweet, it asked to predict whether that tweet contains a …","https://www.aclweb.org/anthology/2021.nlp4if-1.12.pdf","https://scholar.google.com/scholar?q=related:dkja0ivmGpYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"M Hardalov, A Arora, P Nakov, I Augenstein","A survey on stance detection for mis-and disinformation identification",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2103.00242","https://scholar.google.com/scholar?cites=15494956250771254481&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 00:41:42","","","","",,,,,11,11.00,3,4,1,"Detecting attitudes expressed in texts, also known as stance detection, has become an important task for the detection of false information online, be it misinformation (unintentionally false) or disinformation (intentionally false, spread deliberately with …","https://arxiv.org/pdf/2103.00242","https://scholar.google.com/scholar?q=related:0WxwQZ0kCdcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"S Alqurashi, B Hamoui, A Alashaikh, A Alhindi, ...","Eating garlic prevents covid-19 infection: Detecting misinformation on the arabic content of twitter",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2101.05626","https://scholar.google.com/scholar?cites=5519368124570208206&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 00:41:42","","","","",,,,,6,6.00,1,5,1,"The rapid growth of social media content during the current pandemic provides useful tools for disseminating information which has also become a root for misinformation. Therefore, there is an urgent need for fact-checking and effective techniques for detecting …","https://arxiv.org/pdf/2101.05626","https://scholar.google.com/scholar?q=related:zgefARG8mEwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"J Samal","Impact of COVID-19 infodemic on psychological wellbeing and vaccine hesitancy",2021,"The Egyptian Journal of Bronchology","Springer","https://link.springer.com/article/10.1186/s43168-021-00061-2","https://scholar.google.com/scholar?cites=1260972815953613832&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-12-19 00:41:42","HTML","10.1186/s43168-021-00061-2","","",,,,,5,5.00,5,1,1,"With COVID-19 pandemic, the world has witnessed a scenario that is unique compared to any other such pandemic that the world has grappled with. This is primarily owing to the parallel infodemic that the population faced with disinformation and misinformation …","https://link.springer.com/article/10.1186/s43168-021-00061-2","https://scholar.google.com/scholar?q=related:CNRWXhjgfxEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Kaushal, T Vaidhya","Leveraging Event Specific and Chunk Span features to Extract COVID Events from tweets",2020,"arXiv preprint arXiv:2012.10052","arxiv.org","https://arxiv.org/abs/2012.10052","https://scholar.google.com/scholar?cites=16463192114441133965&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 00:41:42","","","","",,,,,4,4.00,2,2,1,"Twitter has acted as an important source of information during disasters and pandemic, especially during the times of COVID-19. In this paper, we describe our system entry for WNUT 2020 Shared Task-3. The task was aimed at automating the extraction of a variety of …","https://arxiv.org/pdf/2012.10052","https://scholar.google.com/scholar?q=related:jZ9GmgACeeQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
