Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:35","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"J Li, W Liang, W Xu, Z Xu, X Jia, ...","Maximizing User Service Satisfaction for Delay-Sensitive IoT Applications in Edge Computing",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9521690/","https://scholar.google.com/scholar?cites=14753172787590815110&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:35","","","","",,,,,1,1.00,0,6,1,"The Internet of Things (IoT) technology provisions unprecedented opportunities to evolve the interconnection among human beings. However, the latency brought by unstable wireless networks and computation failures caused by limited resources on IoT devices prevents …","",""
1,"H Wadhwa, R Aron","TRAM: Technique for resource allocation and management in fog computing environment",2021,"The Journal of Supercomputing","Springer","https://link.springer.com/article/10.1007/s11227-021-03885-3","https://scholar.google.com/scholar?cites=15160655490276332995&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:35","","10.1007/s11227-021-03885-3","","",,,,,1,1.00,1,2,1,"The traditional cloud computing technology provides services to a plethora of applications by providing resources. These services support numerous industries for computational purposes and data storage. However, the obstruction of the cloud computing framework is its …","","https://scholar.google.com/scholar?q=related:wxX_A9h3ZdIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"G Neelakantam, DD Onthoni, PK Sahoo","Fog Computing Enabled Locality Based Product Demand Prediction and Decision Making Using Reinforcement Learning",2021,"Electronics","mdpi.com","https://www.mdpi.com/967796","https://scholar.google.com/scholar?cites=3530740137681533593&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-12-19 16:34:35","","","","",,,,,1,1.00,0,3,1,"Wastage of perishable and non-perishable products due to manual monitoring in shopping malls creates huge revenue loss in supermarket industry. Besides, internal and external factors such as calendar events and weather condition contribute to excess wastage of …","https://www.mdpi.com/2079-9292/10/3/227/pdf","https://scholar.google.com/scholar?q=related:mbq41HK1_zAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Hammoud, H Otrok, A Mourad, Z Dziong","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X21001710","",4,"2021-12-19 16:34:35","","","","",,,,,0,0.00,0,4,1,"Instability within fog federations is considered as a serious problem that degrades the performance of the provided services. The latter may affect the service availability due to fog providers withdrawing their resources. It may either lead to failures for some users …","http://icaangroup.com/wp-content/uploads/2021/06/4.pdf","https://scholar.google.com/scholar?q=related:1cexCAWo-OYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"O Abdul Wahab","Sustaining the Effectiveness of IoT-Driven Intrusion Detection over Time: Defeating Concept and Data Drifts",2021,"","techrxiv.org","https://www.techrxiv.org/articles/preprint/Sustaining_the_Effectiveness_of_IoT-Driven_Intrusion_Detection_over_Time_Defeating_Concept_and_Data_Drifts/13669199","",5,"2021-12-19 16:34:35","","","","",,,,,0,0.00,0,1,1,"This paper addresses the challenge of sustaining the intrusion detection effectiveness of machine learning-based intrusion detection systems in the Internet of Things (IoT) in the presence of concept and data drifts. Data drift is a phenomenon which embodies the change …","https://www.techrxiv.org/articles/preprint/Sustaining_the_Effectiveness_of_IoT-Driven_Intrusion_Detection_over_Time_Defeating_Concept_and_Data_Drifts/13669199/files/26236460.pdf","https://scholar.google.com/scholar?q=related:RDvKEziH22kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"H Siar, M Izadi","Offloading Coalition Formation for Scheduling Scientific Workflow Ensembles in Fog Environments",2021,"Journal of Grid Computing","Springer","https://link.springer.com/article/10.1007/s10723-021-09574-y","",6,"2021-12-19 16:34:35","","10.1007/s10723-021-09574-y","","",,,,,0,0.00,0,2,1,"Fog computing provides a distributed computing paradigm that executes interactive and distributed applications, such as the Internet of Things (IoT) applications. Large-scale scientific applications, often in the form of workflow ensembles, have a distributed and …","",""
0,"VK Quy, NV Hau, DV Anh, LA Ngoc","Smart healthcare IoT applications based on fog computing: architecture, applications and challenges",2021,"Complex & Intelligent Systems","Springer","https://link.springer.com/article/10.1007/s40747-021-00582-9","",7,"2021-12-19 16:34:35","HTML","10.1007/s40747-021-00582-9","","",,,,,0,0.00,0,4,1,"The history of human development has proven that medical and healthcare applications for humanity always are the main driving force behind the development of science and technology. The advent of Cloud technology for the first time allows providing systems …","https://link.springer.com/article/10.1007/s40747-021-00582-9",""
0,"A Bandyopadhyay, V Kumar Singh, S Mukhopadhyay, ...","Matching IoT Devices to the Fog Service Providers: A Mechanism Design Perspective",2020,"Sensors","mdpi.com","https://www.mdpi.com/902954","",8,"2021-12-19 16:34:35","","","","",,,,,0,0.00,0,4,1,"Abstract In the Internet of Things (IoT)+ Fog+ Cloud architecture, with the unprecedented growth of IoT devices, one of the challenging issues that needs to be tackled is to allocate Fog service providers (FSPs) to IoT devices, especially in a game-theoretic environment …","https://www.mdpi.com/1424-8220/20/23/6761/pdf","https://scholar.google.com/scholar?q=related:41ooYLtd8OgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Zhao, Z Zhang","Optimal Route Selection Decision-Making Based on Intelligent Network",2021,"Journal of Mathematics","hindawi.com","https://www.hindawi.com/journals/jmath/2021/9957082/","",9,"2021-12-19 16:34:35","HTML","","","",,,,,0,0.00,0,2,1,"Modern intelligent network provides a lot of convenience for the development of the society, especially for some practical NP-hard optimal problems. In this paper, we study a game case which is a problem of optimal strategy of desert crossing based on intelligent network and …","https://www.hindawi.com/journals/jmath/2021/9957082/",""
0,"I Sarkar, M Adhikari, N Kumar, ...","A Collaborative Computational Offloading Strategy for Latency-sensitive Applications in Fog Networks",2021,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9512280/","",10,"2021-12-19 16:34:35","","","","",,,,,0,0.00,0,4,1,"Network data traffic has expanded exponentially over the past decade, resulting in massive congestion in heterogeneous networks. Nevertheless, it is nearly impossible to run latency-intensive applications to the end-users local processing unit due to limited system …","",""
0,"H Wadhwa, R Aron","A Clustering-Based Optimization of Resource Utilization in Fog Computing",2022,"… of International Conference on Advanced Computing …","Springer","https://link.springer.com/chapter/10.1007/978-981-16-5207-3_29","",11,"2021-12-19 16:34:35","","10.1007/978-981-16-5207-3_29","","",,,,,0,0.00,0,2,1,"The fog computing paradigm is an amalgamation of traditional technologies to assist massive data-generated IoT environments. A derivative of cloud computing that delivers cloud-like services at the edge of the network can be considered. Fog computing helps to …","",""
0,"MERC Abou-Rjeily, R Kfouri","Buffer-Aided Relaying: A Survey on Relay Selection Policies",,"soe.lau.edu.lb","","https://soe.lau.edu.lb/files/AbouRjeili-paper-COM-2020-0532.pdf","",12,"2021-12-19 16:34:35","PDF","","","",,,,,0,0.00,0,2,,"Ever since the idea of buffers was incorporated in wireless communications, buffer-aided relaying has become an emerging breakthrough in the world of transmitting and receiving signals. Equipping the relays with buffers adds a new degree of freedom capable of …","https://soe.lau.edu.lb/files/AbouRjeili-paper-COM-2020-0532.pdf","https://scholar.google.com/scholar?q=related:CaYdvHdsWsEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M El-Rajab, C Abou-Rjeily, R Kfouri","Buffer-aided relaying: a survey on relay selection policies",2021,"IET Communications","IET","https://digital-library.theiet.org/content/journals/10.1049/iet-com.2020.0532?crawler=redirect","",13,"2021-12-19 16:34:35","","10.1049/iet-com.2020.0532","","",,,,,0,0.00,0,3,1,"Ever since the idea of buffers was incorporated in wireless communications, buffer-aided relaying has become an emerging breakthrough in the world of transmitting and receiving signals. Equipping the relays with buffers adds a new degree of freedom capable of …","https://scholar.google.com/scholar?output=instlink&q=info:VoVExVu0SRAJ:scholar.google.com/&hl=en&as_sdt=2005&sciodt=0,5&scillfp=6047552180653707784&oi=lle","https://scholar.google.com/scholar?q=related:VoVExVu0SRAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
