Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
18,"M Ayache, M Erradi, A Khoumsi, ...","Analysis and verification of XACML policies in a medical cloud environment",2016,"… Computing: Practice and …","scpe.org","https://www.scpe.org/index.php/scpe/article/view/1180","https://scholar.google.com/scholar?cites=126943600366095580&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:40","","","","",,,,,18,3.60,5,4,5,"The connectivity of devices, machines and people via Cloud infrastructure can support collaborations among doctors and specialists from different medical organisations. Such collaborations may lead to data sharing and joint tasks and activities. Hence, the …","https://www.scpe.org/index.php/scpe/article/download/1180/479","https://scholar.google.com/scholar?q=related:3IxULoj-wgEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"MA El Hadj, M Ayache, Y Benkaouz, A Khoumsi, ...","Clustering-based Approach for Anomaly Detection in XACML Policies.",2017,"SECRYPT","scitepress.org","https://www.scitepress.org/Papers/2017/64712/64712.pdf","https://scholar.google.com/scholar?cites=17497217953863217113&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:40","PDF","","","",,,,,10,2.50,2,5,4,"The development of distributed applications arises multiple security issues such as access control. Attribute-Based Access Control has been proposed as a generic access control model, which provides more flexibility and promotes information and security sharing …","https://www.scitepress.org/Papers/2017/64712/64712.pdf","https://scholar.google.com/scholar?q=related:2a-aWQab0vIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"F Deng, L Zhang, C Zhang, H Ban, C Wan, M Shi, ...","Establishment of rule dictionary for efficient XACML policy management",2019,"Knowledge-Based …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705119301364","https://scholar.google.com/scholar?cites=4318916721749406914&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:40","","","","",,,,,9,4.50,1,7,2,"In order to improve the evaluation efficiency of the XACML policy, the storage principle of the rule dictionary is analyzed and the XACML policy evaluation engine XDPMOE is proposed. This is a new XACML policy management optimization scheme based on bitmap storage …","","https://scholar.google.com/scholar?q=related:wjReNuDf7zsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"T Kos, M Mernik, T Kosar","A tool support for model-driven development: An industrial case study from a measurement domain",2019,"Applied Sciences","mdpi.com","https://www.mdpi.com/561376","https://scholar.google.com/scholar?cites=2019791632795095138&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:40","","","","",,,,,4,2.00,1,3,2,"End-user programming may utilize Domain-Specific Modeling Languages (DSMLs) to develop applications in the form of models, using only abstractions found in a specific problem domain. Indeed, the productivity benefits reported from Model-Driven Development …","https://www.mdpi.com/2076-3417/9/21/4553/pdf","https://scholar.google.com/scholar?q=related:YtAO6cm9BxwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"B Tay, A Mourad","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9163345/","https://scholar.google.com/scholar?cites=4720395701338293340&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:40","","","","",,,,,4,4.00,2,2,1,"In the current banking systems and business processes, the permission granted to employees is controlled and managed by the configured access control methods, in which static role-based models focus on access to information and functions. The deployed …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09163345.pdf","https://scholar.google.com/scholar?q=related:XMSMceE2gkEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Ait El Hadj, A Khoumsi, Y Benkaouz, ...","Formal Approach to Detect and Resolve Anomalies while Clustering ABAC Policies",2018,"… Transactions on Security …","eprints.eudl.eu","http://eprints.eudl.eu/id/eprint/2094/","https://scholar.google.com/scholar?cites=7664172913249769461&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:40","","","","",,,,,3,1.00,1,4,3,"In big data environments with big number of users and high volume of data, we need to manage the corresponding huge number of security policies. Using Attribute-Based Access Control (ABAC) model to ensure access control might become complex and hard to …","http://eprints.eudl.eu/id/eprint/2094/1/eai.13-7-2018.156003.pdf","https://scholar.google.com/scholar?q=related:9Vdsd6icXGoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"MA El Hadj, Y Benkaouz, A Khoumsi, ...","Access Domain-Based Approach for Anomaly Detection and Resolution in XACML Policies",2017,"… Conference on Innovations …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-76354-5_27","https://scholar.google.com/scholar?cites=11000437267134700921&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:40","","10.1007/978-3-319-76354-5_27","","",,,,,1,0.25,0,4,4,"Access control protects systems' resources against unauthorized access via a set of policy rules. In distributed environments, access control policies might be aggregated from multiple tenants and could be managed by more than one administrator. Therefore, errors in the …","","https://scholar.google.com/scholar?q=related:eV2IYWlnqZgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Erradi","Access Domain-Based Approach for Anomaly Detection and Resolution in XACML Policies",2018,"Innovations in Bio-Inspired Computing and …","books.google.com","https://books.google.com/books?hl=en&lr=&id=DZBQDwAAQBAJ&oi=fnd&pg=PA298&ots=eS1spFSaog&sig=H-I5vYHLH6Cki24Xqi-tIF-KOAg","",8,"2021-12-19 16:34:40","","","","",,,,,0,0.00,0,1,3,"Access control protects systems' resources against unauthorized access via a set of policy rules. In distributed environments, access control policies might be aggregated from multiple tenants and could be managed by more than one administrator. Therefore, errors in the …","","https://scholar.google.com/scholar?q=related:07m2HLK41AoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Ayache, A Khoumsi, M Erradi","Managing Security Policies within Cloud Environments Using Aspect-Oriented State Machines",2019,"… International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8742348/","",9,"2021-12-19 16:34:40","","","","",,,,,0,0.00,0,3,2,"Cloud Computing is the most suitable environment for the collaboration of multiple organizations via its multi-tenancy architecture. However, due to the distributed management of policies within these collaborations, they may contain several anomalies …","","https://scholar.google.com/scholar?q=related:vxogI-BsWMIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"TP Kuang, H Ibrahim, F Sidi, NI Udzir, AA Alwan","An Effective Naming Heterogeneity Resolution for XACML Policy Evaluation in a Distributed Environment",2021,"Symmetry","mdpi.com","https://www.mdpi.com/1400968","",10,"2021-12-19 16:34:40","","","","",,,,,0,0.00,0,5,1,"Policy evaluation is a process to determine whether a request submitted by a user satisfies the access control policies defined by an organization. Naming heterogeneity between the attribute values of a request and a policy is common due to syntactic variations and …","https://www.mdpi.com/2073-8994/13/12/2394/pdf",""
