Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"OA Wahab, J Bentahar, H Otrok, ...","Optimal load distribution for the detection of VM-based DDoS attacks in the cloud",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7902208/","https://scholar.google.com/scholar?cites=11734616421905302260&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:52","","","","",,,,,58,14.50,15,4,4,"Distributed Denial of Service (DDoS) constitutes a major threat against cloud systems owing to the large financial losses it incurs. This motivated the security research community to investigate numerous detection techniques to limit such attack's effects. Yet, the existing …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8317/(Postprint)%20Optimal.pdf?sequence=3","https://scholar.google.com/scholar?q=related:9IIhi3a72aIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"OA Wahab, J Bentahar, H Otrok, ...","I know you are watching me: Stackelberg-based adaptive intrusion detection strategy for insider attacks in the cloud",2017,"2017 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8029829/","https://scholar.google.com/scholar?cites=6680305223107353304&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:52","","","","",,,,,9,2.25,2,4,4,"Insider attacks in which misbehaving Virtual Machines (VMs) take part of the cloud system and learn about its internal vulnerabilities constitute a major threat against cloud resources and infrastructure. This demands setting up continuous and comprehensive security …","https://www.researchgate.net/profile/Omar-Wahab/publication/319637497_I_Know_You_Are_Watching_Me_Stackelberg-Based_Adaptive_Intrusion_Detection_Strategy_for_Insider_Attacks_in_the_Cloud/links/59c5ea8b0f7e9bd2c00568e2/I-Know-You-Are-Watching-Me-Stackelberg-Based-Adaptive-Intrusion-Detection-Strategy-for-Insider-Attacks-in-the-Cloud.pdf","https://scholar.google.com/scholar?q=related:2BqA5jQ2tVwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"I El Mir, EM Kandoussi, M Hanini, ...","A game theoretic approach based virtual machine migration for cloud environment security",2017,"International Journal of …","researchgate.net","https://www.researchgate.net/profile/Iman-El-Mir/publication/322041952_A_Game_Theoretic_approach_based_virtual_machine_migration_for_cloud_environment_security/links/5a4012870f7e9ba8689dfa97/A-Game-Theoretic-approach-based-virtual-machine-migration-for-cloud-environment-security.pdf","https://scholar.google.com/scholar?cites=2305944731356941634&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:52","PDF","","","",,,,,7,1.75,2,4,4,"In cloud computing environment, static configurations can provide for the attackers an environment too easy for exploitation and discovering the network vulnerabilities in order to compromise the network and launching intrusions; while dynamic reconfiguration seeks to …","https://www.researchgate.net/profile/Iman-El-Mir/publication/322041952_A_Game_Theoretic_approach_based_virtual_machine_migration_for_cloud_environment_security/links/5a4012870f7e9ba8689dfa97/A-Game-Theoretic-approach-based-virtual-machine-migration-for-cloud-environment-security.pdf","https://scholar.google.com/scholar?q=related:Qs02CIRcACAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"E Ferrera, R Rossini, D Conzon, ...","Adaptive security framework for resource-constrained internet-of-things platforms",2016,"2016 8th IFIP …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7792431/","https://scholar.google.com/scholar?cites=2093847594419020759&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:52","","","","",,,,,6,1.20,2,4,5,"The aim of this work is to investigate and define a dynamically adjustable security method, suitable especially for Wireless Sensor Networks (WSNs), usually composed by resource constrained devices. In order to support both the high level of security and the need for long …","https://www.researchgate.net/profile/Enrico-Ferrera/publication/310843303_Adaptive_Security_Framework_for_Resource-Constrained_Internet-of-Things_Platforms/links/5adb09ae0f7e9b28593f1fc9/Adaptive-Security-Framework-for-Resource-Constrained-Internet-of-Things-Platforms.pdf","https://scholar.google.com/scholar?q=related:1-MmH0vXDh0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"S Vetha, K Vimala Devi","A trust‐based hypervisor framework for preventing DDoS attacks in cloud",2021,"Concurrency and Computation …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5279","https://scholar.google.com/scholar?cites=12121998393336297734&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:52","","10.1002/cpe.5279","","",,,,,3,3.00,2,2,1,"Summary Distributed Denial of Service (DDoS) attack is one of the major attacks that incur large financial loss in the cloud system. This motivated the research community to develop various detection techniques for controlling the effects of the DDoS attack. However, the …","","https://scholar.google.com/scholar?q=related:BnmqSlD9OagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"R Lyu, M He, Y Zhang, L Jin, X Wang","Network Intrusion Detection Based on an Efficient Neural Architecture Search",2021,"Symmetry","mdpi.com","https://www.mdpi.com/2073-8994/13/8/1453","https://scholar.google.com/scholar?cites=5967410239113545380&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:52","","","","",,,,,1,1.00,0,5,1,"Deep learning has been applied in the field of network intrusion detection and has yielded good results. In malicious network traffic classification tasks, many studies have achieved good performance with respect to the accuracy and recall rate of classification through self …","https://www.mdpi.com/2073-8994/13/8/1453/pdf",""
0,"A Peter Soosai Anandaraj, ...","Improved cuckoo search load distribution (ICS‐LD) and attack detection in cloud environment",2021,"… : Practice and Experience","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5226","",7,"2021-12-19 16:34:52","","10.1002/cpe.5226","","",,,,,0,0.00,0,2,1,"For the purpose of obtaining an answer to a spoofing IP issue and related problems in the cloud computing (CC) environment, a novel path identifier is recommended, in which a new packet approach with a new identifier (ID) is produced to every user or client system. For the …","","https://scholar.google.com/scholar?q=related:-8uFrhn1oHYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"O Abdel Wahab, J Bentahar, H Otrok, A Mourad","I know you are watching me",2017,"","laur.lau.edu.lb","https://laur.lau.edu.lb:8443/xmlui/handle/10725/8322","",8,"2021-12-19 16:34:52","","","","",,,,,0,0.00,0,4,4,"Insider attacks in which misbehaving Virtual Machines (VMs) take part of the cloud system and learn about its internal vulnerabilities constitute a major threat against cloud resources and infrastructure. This demands setting up continuous and comprehensive security …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8322/(Postprint)%20I%20know.pdf?sequence=3","https://scholar.google.com/scholar?q=related:3ywqvINvlo4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"APS Anandaraj, G Indumathi","Enhanced Fuzzy Particle Swarm Optimization Load Distribution (EFPSO-LD) for DDOS Attacks Detection and Prevention in Healthcare Cloud Systems",2020,"Journal of Internet Technology","jit.ndhu.edu.tw","https://jit.ndhu.edu.tw/article/view/2265","",9,"2021-12-19 16:34:52","","","","",,,,,0,0.00,0,2,1,"Abstract Distributed Denial of Service (DDoS) is an attack that threats the availability of the healthcare related cloud services. In order to assure the each and every one time accessibility of patient's data, propose a new solution that allows, firstly, the hypervisor to …","https://jit.ndhu.edu.tw/article/viewFile/2265/2278","https://scholar.google.com/scholar?q=related:Fzi0y8K3aDoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"V Vasanthi, M Chidambaram","LTCHA: LIGHT-WEIGHT TWO-WAY CRYPTOGRAPHIC HASH ALGORITHM FOR CLOUD",2018,"Journal of Engineering Science …","jestec.taylors.edu.my","https://jestec.taylors.edu.my/Vol%2013%20issue%2012%20December%202018/13_12_27.pdf","",10,"2021-12-19 16:34:52","PDF","","","",,,,,0,0.00,0,2,3,"The cryptographic hash algorithms play a significant role in preserving the data security in the wireless networks. The most frequently used hash algorithms such as Message Digest (MD5) and Secure Hash Algorithm (SHA1) need high computational overhead. The energy …","https://jestec.taylors.edu.my/Vol%2013%20issue%2012%20December%202018/13_12_27.pdf","https://scholar.google.com/scholar?q=related:fRlw5bgJfP8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
