Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
48,"S Abdulrahman, H Tout, H Ould-Slimane, ...","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9220780/","https://scholar.google.com/scholar?cites=2853040318860892567&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:42","CITATION","","","",,,,,48,48.00,12,4,1,"Driven by privacy concerns and the visions of deep learning, the last four years have witnessed a paradigm shift in the applicability mechanism of machine learning (ML). An emerging model, called federated learning (FL), is rising above both centralized systems …","http://icaangroup.com/wp-content/uploads/2021/06/09220780-4.pdf","https://scholar.google.com/scholar?q=related:lxmSzw0JmCcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:42","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"I Mohammed, S Tabatabai, A Al-Fuqaha, ...","Budgeted Online Selection of Candidate IoT Clients to Participate in Federated Learning",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9249424/","https://scholar.google.com/scholar?cites=7377057652625695605&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:33:42","","","","",,,,,9,9.00,2,4,1,"Machine learning (ML), and deep learning (DL) in particular, play a vital role in providing smart services to the industry. These techniques, however, suffer from privacy and security concerns since data are collected from clients and then stored and processed at a central …","https://arxiv.org/pdf/2011.09849","https://scholar.google.com/scholar?q=related:deNUiNmSYGYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SI Popoola, R Ande, B Adebisi, G Gui, ...","Federated deep learning for zero-day botnet attack detection in IoT edge devices",2021,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9499122/","https://scholar.google.com/scholar?cites=17088970588834991867&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:42","","","","",,,,,5,5.00,1,5,1,"Deep Learning (DL) has been widely proposed for botnet attack detection in Internet of Things (IoT) networks. However, the traditional Centralized DL (CDL) method cannot be used to detect previously unknown (zero-day) botnet attack without breaching the data …","https://e-space.mmu.ac.uk/628278/7/FDL_for_Botnet_Attack_Detection_in_IoT_Edge_Devices%20e.pdf",""
5,"K Li, H Zhou, Z Tu, W Wang, H Zhang","Distributed Network Intrusion Detection System in Satellite-Terrestrial Integrated Networks Using Federated Learning",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9274426/","https://scholar.google.com/scholar?cites=11993686292999918112&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:42","","","","",,,,,5,5.00,1,5,1,"The existing satellite-terrestrial integrated networks (STINs) suffer from security and privacy concerns due to the limited resources, poor attack resistance and high privacy requirements of satellite networks. Network Intrusion Detection System (NIDS) is intended to provide a …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09274426.pdf","https://scholar.google.com/scholar?q=related:IFK7YSMicqYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"S Chatterjee, MK Hanawal","Federated learning for intrusion detection in IoT security: A hybrid ensemble approach",2021,"arXiv preprint arXiv:2106.15349","arxiv.org","https://arxiv.org/abs/2106.15349","https://scholar.google.com/scholar?cites=4364027082405594723&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:42","","","","",,,,,2,2.00,1,2,1,"Critical role of Internet of Things (IoT) in various domains like smart city, healthcare, supply chain and transportation has made them the target of malicious attacks. Past works in this area focused on centralized Intrusion Detection System (IDS), assuming the existence of a …","https://arxiv.org/pdf/2106.15349",""
2,"M Alazab, SP RM, M Parimala, P Reddy, ...","Federated learning for cybersecurity: concepts, challenges and future directions",2021,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9566732/","https://scholar.google.com/scholar?cites=11773254133698828284&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:42","","","","",,,,,2,2.00,0,5,1,"Federated Learning (FL) is a recent development in Artificial Intelligence (AI) which is based on the concept of decentralized data. Cyber-attacks are frequently happening in various applications that are deployed in real-time scenarios due to which most of the industrialists …","https://www.researchgate.net/profile/Quoc-Viet-Pham/publication/355108958_Federated_Learning_for_Cybersecurity_Concepts_Challenges_and_Future_Directions/links/615e50f850be5507288c3054/Federated-Learning-for-Cybersecurity-Concepts-Challenges-and-Future-Directions.pdf",""
2,"S Agrawal, S Sarkar, O Aouedi, G Yenduri, ...","Federated Learning for Intrusion Detection System: Concepts, Challenges and Future Directions",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2106.09527","https://scholar.google.com/scholar?cites=17090790209180623125&as_sdt=2005&sciodt=0,5&hl=en",29,"2021-12-19 16:33:42","","","","",,,,,2,2.00,0,5,1,"The rapid development of the Internet and smart devices trigger surge in network traffic making its infrastructure more complex and heterogeneous. The predominated usage of mobile phones, wearable devices and autonomous vehicles are examples of distributed …","https://arxiv.org/pdf/2106.09527","https://scholar.google.com/scholar?q=related:FWHv9CSvLu0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"V Kelli, V Argyriou, T Lagkas, G Fragulis, E Grigoriou, ...","IDS for industrial applications: a federated learning approach with active personalization",2021,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/21/20/6743","https://scholar.google.com/scholar?cites=5256116329594283137&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:42","","","","",,,,,1,1.00,0,6,1,"Internet of Things (IoT) is a concept adopted in nearly every aspect of human life, leading to an explosive utilization of intelligent devices. Notably, such solutions are especially integrated in the industrial sector, to allow the remote monitoring and control of critical …","https://www.mdpi.com/1424-8220/21/20/6743/htm",""
1,"L Guo, S Wang, J Yin, Y Wang, J Yang, G Gui","Federated user activity analysis via network traffic and deep neural network in mobile wireless networks",2021,"Physical Communication","Elsevier","https://www.sciencedirect.com/science/article/pii/S1874490721001750","https://scholar.google.com/scholar?cites=6361647113521059180&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:42","","","","",,,,,1,1.00,0,6,1,"User activity analysis (UAA) is a promising technology for network management and network security via network traffic. Recently, deep learning (DL) has been applied into network traffic analysis for outstanding performance. These previously proposed network traffic …","",""
1,"H Saadat, A Aboumadi, A Mohamed, ...","Hierarchical federated learning for collaborative IDS in IoT applications",2021,"2021 10th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9460304/","https://scholar.google.com/scholar?cites=8403586429678937675&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:33:42","","","","",,,,,1,1.00,0,4,1,"As the Internet-of-Things devices are being very widely adopted in all fields, such as smart houses, healthcare, and transportation, extremely huge amounts of data are being gathered, shared, and processed. This fact raises many challenges on how to make the best use of …","",""
1,"H Alrubayyi, G Goteng, M Jaber, ...","A novel negative and positive selection algorithm to detect unknown malware in the iot",2021,"IEEE INFOCOM 2021 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9484483/","https://scholar.google.com/scholar?cites=11223895106016795781&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:33:42","","","","",,,,,1,1.00,0,4,1,"The Internet of Things (IoT) paradigm is a key enabler to many critical applications, thus demands reliable security measures. IoT devices have limited computational power, hence, are inadequate to carry rigorous security mechanisms. This paper proposes the Negative …","",""
0,"L Li, Y Chen, B Lin","Intrusion Detection Analysis of Internet of Things considering Practical Byzantine Fault Tolerance (PBFT) Algorithm",2021,"Wireless Communications and Mobile Computing","hindawi.com","https://www.hindawi.com/journals/wcmc/2021/6856284/","",12,"2021-12-19 16:33:42","HTML","","","",,,,,0,0.00,0,3,1,"In order to improve the security performance and accuracy of the Internet of things in the use process, it is necessary to use the Internet of things intrusion detection method. At present, the problem of inconsistency between the accuracy of detection results and nodes is more …","https://www.hindawi.com/journals/wcmc/2021/6856284/",""
0,"L Batina, N Mentens, M Miettinen, ...","Advanced Attacks and Protection Mechanisms in IoT Devices and Networks",2021,"Security and Privacy …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119607755.ch1","",13,"2021-12-19 16:33:42","","10.1002/9781119607755.ch1","","",,,,,0,0.00,0,4,1,"In the past decade, the Internet of Things (IoT) has emerged as a wonder‐pill to our problems. This chapter gives an overview of physical security threats and protection mechanisms of low‐end IoT devices, focusing on side‐channel analysis (SCA) and fault …","",""
0,"V Ponnusamy, M Humayun, NZ Jhanjhi, ...","Intrusion Detection Systems in Internet of Things and Mobile Ad-Hoc Networks",2022,"COMPUTER …","expert.taylors.edu.my","https://expert.taylors.edu.my/file/rems/publication/109566_8843_1.pdf","",14,"2021-12-19 16:33:42","","","","",,,,,0,0.00,0,4,1,"Internet of Things (IoT) devices work mainly in wireless mediums; requiring different Intrusion Detection System (IDS) kind of solutions to leverage 802.11 header information for intrusion detection. Wireless-specific traffic features with high information gain are primarily …","",""
