Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"A Mourad, H Jebbaoui","SBA-XACML: Set-based approach providing efficient policy decision process for accessing Web services",2015,"Expert systems with applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417414004370","https://scholar.google.com/scholar?cites=1805326213874546177&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:09","","","","",,,,,36,6.00,18,2,6,"Policy-based computing is taking an increasing role in providing real-time decisions and governing the systematic interaction among distributed Web services. XACML (eXtensible Access Control Markup Language) has been known as the de facto standard widely used by …","https://www.researchgate.net/profile/Azzam-Mourad/publication/265015972_SBA-XACML_Set-based_approach_providing_efficient_policy_decision_process_for_accessing_Web_services/links/5bd38100299bf1124fa6344f/SBA-XACML-Set-based-approach-providing-efficient-policy-decision-process-for-accessing-Web-services.pdf","https://scholar.google.com/scholar?q=related:AXaxYaDODRkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"H Jebbaoui, A Mourad, H Otrok, R Haraty","Semantics-based approach for detecting flaws, conflicts and redundancies in XACML policies",2015,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790614003218","https://scholar.google.com/scholar?cites=7472383700090174388&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:09","","","","",,,,,26,4.33,7,4,6,"Abstract XACML (eXtensible Access Control Markup Language) policies, which are widely adopted for defining and controlling dynamic access among Web/cloud services, are becoming more complex in order to handle the significant growth in communication and …","http://csm.beirut.lau.edu.lb/~rharaty/pdf/J4.pdf","https://scholar.google.com/scholar?q=related:tDtLhWI9s2cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"F Deng, S Wang, L Zhang, X Wei, J Yu","Establishment of attribute bitmaps for efficient xacml policy evaluation",2018,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705117305774","https://scholar.google.com/scholar?cites=14945024988393428739&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:09","","","","",,,,,12,4.00,2,5,3,"One of the primary challenges to apply the access control policy language XACML is the performance problem of the policy decision point (PDP), particularly when the PDP experience a great number of policies. The research on improving the PDP evaluation …","","https://scholar.google.com/scholar?q=related:A9eGeAtlZ88J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"F Deng, LY Zhang, BY Zhou, JW Zhang, ...","Elimination of the redundancy related to combining algorithms to improve the PDP evaluation performance",2016,"… Problems in Engineering","hindawi.com","https://www.hindawi.com/journals/mpe/2016/7608408/","https://scholar.google.com/scholar?cites=18093730318691942255&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:09","HTML","","","",,,,,4,0.80,1,5,5,"If there are lots of redundancies in the policies loaded on the policy decision point (PDP) in the authorization access control model, the system will occupy more resources in operation and consumes plenty of evaluation time and storage space. In order to detect and eliminate …","https://www.hindawi.com/journals/mpe/2016/7608408/","https://scholar.google.com/scholar?q=related:bz9ZM9zXGfsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"B Tay, A Mourad","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9163345/","https://scholar.google.com/scholar?cites=4720395701338293340&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:35:09","","","","",,,,,4,4.00,2,2,1,"In the current banking systems and business processes, the permission granted to employees is controlled and managed by the configured access control methods, in which static role-based models focus on access to information and functions. The deployed …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09163345.pdf","https://scholar.google.com/scholar?q=related:XMSMceE2gkEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"BM Tay","Machine learning based approaches for intelligent adaptation and prediction in banking business processes.(c2018)",2018,"","laur.lau.edu.lb","https://laur.lau.edu.lb:8443/xmlui/handle/10725/10451","https://scholar.google.com/scholar?cites=8559117843338658849&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:35:09","","","","",,,,,2,0.67,2,1,3,"Companies, nowadays, rely on systems and applications to automate their business processes and data management. In this context, the notion of integrating machine learning techniques in banking business processes has emerged, where trainable computational …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/10451/Bilal_M_Tay_Thesis_Redacted.pdf?isAllowed=y&sequence=1","https://scholar.google.com/scholar?q=related:IYToklQYyHYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"GK Mostefaoui, Z Maamar, ...","SC-WS: A context-based, aspect-oriented approach for handling security concerns in web services",2014,"International Journal of …","igi-global.com","https://www.igi-global.com/article/sc-ws/114647","https://scholar.google.com/scholar?cites=1241999815968200977&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:35:09","","","","",,,,,1,0.14,0,3,7,"Abstract This paper discusses Aspect-Oriented Programming (AOP) as an efficient way to handle security concerns in Web services. Without AOP, the necessary security code would be mixed with the business logic that a Web service implements. This renders the …","","https://scholar.google.com/scholar?q=related:EZnikUB4PBEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"HS Alqahtani, GK Mostefaoui, Z Maamar","A Context-Based Security Framework for Cloud Services",2014,"Proceedings of the 3rd …","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/2762722.2762748","https://scholar.google.com/scholar?cites=10113738513618084918&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:35:09","","10.5555/2762722.2762748","","",,,,,1,0.14,0,3,7,"This paper discusses the use of Aspect-Oriented Programming (AOP) as an efficient way to handle cloud computing frontend security concerns. Without AOP, the necessary security code would be mixed with the business logic that the cloud service provider implements …","","https://scholar.google.com/scholar?q=related:NqRk35c3W4wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"J Yoo","An Efficient MAC Protocol for Multi-Rate Aware Wireless Mesh Networks",2013,"2013 International Conference on Information Science …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6579341/","",9,"2021-12-19 16:35:09","","","","",,,,,0,0.00,0,1,8,"The multi-rate capability of emerging radio interfaces such as IEEE 802.11 a/b/g has provided the wireless network with vast capacity. Recently, rate adaptation protocols have been developed that dynamically select the data rate according to the channel condition …","","https://scholar.google.com/scholar?q=related:rNwjA0ZW4SEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"Z Maamar, H Yahyaoui, A Mourad, ...","Analyzing social web services' capabilities",2015,"2015 IEEE 24th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7194343/","",10,"2021-12-19 16:35:09","","","","",,,,,0,0.00,0,4,6,"This paper looks into ways of supporting social Web services react to the behaviors that their peers expose at run time. Examples of behaviors include selfishness and unfairness. These reactions are associated with actions packaged into capabilities. A capability allows a social …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/5348/(Postprint)%20Analyzing.pdf?sequence=3","https://scholar.google.com/scholar?q=related:mq0lo-4fKU0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
