Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
67,"Y Hollander, M Morley, A Noy","The e language: A fresh separation of concerns",2001,"Proceedings Technology of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/911754/","https://scholar.google.com/scholar?cites=8386286881324763625&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:31","","","","",,,,,67,3.35,22,3,20,"The e programming language enjoys widespread use in the microchip industry with applications to specification, modeling, testing and verification of hardware systems and their operating environments. Unique features of e include a combination of object oriented …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.94.854&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:6YnhcXwTYnQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"W Hummer, P Gaubatz, M Strembeck, U Zdun, ...","An integrated approach for identity and access management in a SOA context",2011,"Proceedings of the 16th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1998441.1998446","https://scholar.google.com/scholar?cites=16236555684174454863&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:31","","10.1145/1998441.1998446","","",,,,,34,3.40,7,5,10,"In this paper, we present an approach for identity and access management (IAM) in the context of (cross-organizational) service-oriented architectures (SOA). In particular, we defined a domain-specific language (DSL) for role-based access control (RBAC) that allows …","https://eprints.cs.univie.ac.at/2836/1/sacmat09t-hummer.pdf","https://scholar.google.com/scholar?q=related:T2ARq17VU-EJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
26,"H Jebbaoui, A Mourad, H Otrok, R Haraty","Semantics-based approach for detecting flaws, conflicts and redundancies in XACML policies",2015,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790614003218","https://scholar.google.com/scholar?cites=7472383700090174388&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:31","","","","",,,,,26,4.33,7,4,6,"Abstract XACML (eXtensible Access Control Markup Language) policies, which are widely adopted for defining and controlling dynamic access among Web/cloud services, are becoming more complex in order to handle the significant growth in communication and …","http://csm.beirut.lau.edu.lb/~rharaty/pdf/J4.pdf","https://scholar.google.com/scholar?q=related:tDtLhWI9s2cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"W Hummer, P Gaubatz, M Strembeck, U Zdun, ...","Enforcement of entailment constraints in distributed service-based business processes",2013,"Information and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584913001006","https://scholar.google.com/scholar?cites=6343651847190770417&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:31","HTML","","","",,,,,22,2.75,4,5,8,"Context A distributed business process is executed in a distributed computing environment. The service-oriented architecture (SOA) paradigm is a popular option for the integration of software services and execution of distributed business processes. Entailment constraints …","https://www.sciencedirect.com/science/article/pii/S0950584913001006","https://scholar.google.com/scholar?q=related:8XKOsr4tCVgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"H Tout, A Mourad, H Yahyaoui, ...","Towards a BPEL model-driven approach for Web services security",2012,"2012 Tenth Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6297928/","https://scholar.google.com/scholar?cites=12511388928659188329&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:31","","","","",,,,,11,1.22,3,4,9,"By handling the orchestration, composition and interaction of Web services, the Business Process Execution Language (BPEL) has gained tremendous interest. However, such process-based language does not assure a secure environment for Web services …","https://www.academia.edu/download/65743528/Towards_a_BPEL_model-driven_approach_for20210221-18076-yhc6ek.pdf","https://scholar.google.com/scholar?q=related:aWp8Q_Fhoa0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"AA Khan, HT Mouftah","Secured web services for home automation in smart grid environment",2012,"2012 25th IEEE Canadian Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6335018/","https://scholar.google.com/scholar?cites=311170533291430995&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:31","","","","",,,,,10,1.11,5,2,9,"Smart grid aims to empower the current power grid with the integration of two-way communication and computer technology. The smart home contains a network that connects home elements like sensors, appliances and thermostat. In our previous work, we proposed …","","https://scholar.google.com/scholar?q=related:U5RnjfN_UQQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"AB Fadhel, D Bianculli, ...","Model-driven run-time enforcement of complex role-based access control policies",2018,"2018 33rd IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9000068/","https://scholar.google.com/scholar?cites=12148510587263507421&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:34:31","","","","",,,,,5,1.67,2,3,3,"A Role-based Access Control (RBAC) mechanism prevents unauthorized users to perform an operation, according to authorization policies which are defined on the user's role within an enterprise. Several models have been proposed to specify complex RBAC policies …","https://orbilu.uni.lu/bitstream/10993/36218/1/ase2018.pdf","https://scholar.google.com/scholar?q=related:3dvpdwMumKgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Ben Fadhel","Comprehensive Specification and Efficient Enforcement of Role-based Access Control Policies using a Model-driven Approach",2017,"","orbilu.uni.lu","https://orbilu.uni.lu/handle/10993/32665","https://scholar.google.com/scholar?cites=3172720384637593801&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:31","","","","",,,,,4,1.00,4,1,4,"[en] Prohibiting unauthorized access to critical resources and data has become a major requirement for enterprises. Access control (AC) mechanisms manage requests from users to access system resources; the access is granted or denied based on the authorization …","https://orbilu.uni.lu/bitstream/10993/32665/1/Thesis_AmeniBF2017.pdf","https://scholar.google.com/scholar?q=related:yej2SWHEBywJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"NA Tehrani, A Salajegheh","Aspectual patterns for web services adaptation",2015,"International Journal on Web Service …","academia.edu","https://www.academia.edu/download/55457815/6315ijwsc01.pdf","https://scholar.google.com/scholar?cites=12716679544159041116&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:31","PDF","","","",,,,,4,0.67,2,2,6,"The security policies of an application can change at runtime for some reasons such as the changes on the user preferences, the performance reasons or the negotiation of security levels between the interacting parties. If these security policies are embedded in the …","https://www.academia.edu/download/55457815/6315ijwsc01.pdf","https://scholar.google.com/scholar?q=related:XHYTaKu4erAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"H Tout, A Mourad, H Otrok","XrML-RBLicensing approach adapted to the BPEL process of composite web services",2013,"Service Oriented Computing and Applications","Springer","https://link.springer.com/content/pdf/10.1007/s11761-013-0127-5.pdf","https://scholar.google.com/scholar?cites=1243793421017603003&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:34:31","","10.1007/s11761-013-0127-5","","",,,,,4,0.50,1,3,8,"Web service orchestration represents an open and standards-based approach for connecting web services together leading to higher level of business processes. Business Process Execution Language (BPEL) engines are designed to handle this orchestration …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/2676/%28Postprint%29%20XrML.pdf?sequence=3&isAllowed=y","https://scholar.google.com/scholar?q=related:u9u4yYbXQhEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
