Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"A Hammoud, A Mourad, H Otrok, OA Wahab, ...","Cloud federation formation using genetic and evolutionary game theoretical models",2020,"Future Generation …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X19306995","https://scholar.google.com/scholar?cites=12946791495277487391&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:43","","","","",,,,,20,20.00,4,5,1,"This paper proposes an approach based on genetic algorithms and evolutionary game theory in order to study the problem of forming highly profitable federated clouds, while maintaining stability among the members in the presence of dynamic strategies (ie cloud …","http://icaangroup.com/wp-content/uploads/2021/06/2.pdf","https://scholar.google.com/scholar?q=related:HyUQGUU-rLMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"S Sharma, K Singla, G Rathee, H Saini","A hybrid cryptographic technique for file storage mechanism over cloud",2020,"First international conference on …","Springer","https://link.springer.com/chapter/10.1007/978-981-15-0029-9_19","https://scholar.google.com/scholar?cites=8815258485421394249&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:43","","10.1007/978-981-15-0029-9_19","","",,,,,8,8.00,2,4,1,"The cloud is a radical platform that conveys dynamic, virtualization asset pools and high convenience. Since distributed computing lays on web, security issues like information security, protection, secrecy, and verification are experienced. In order to get rid of these, an …","","https://scholar.google.com/scholar?q=related:SUnKIuMWVnoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"MRM Assis, LF Bittencourt","MultiCloud Tournament: A cloud federation approach to prevent Free-Riders by encouraging resource sharing",2020,"Journal of Network and Computer Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804520301685","https://scholar.google.com/scholar?cites=3431447540041066560&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:43","","","","",,,,,6,6.00,3,2,1,"Abstract Organized in associations, Cloud Computing Providers became able to negotiate the acquisition of resources from other providers at more attractive prices, while allowing the marketing of their own idle resources to the other members of the respective Inter-Cloud …","","https://scholar.google.com/scholar?q=related:QCiJaVvzni8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"АЮ Быков, МВ Гришунин, ...","Игровая задача выбора защищаемых объектов и исследование алгоритма поиска седловой точки на основе модификации метода Брауна …",2019,"Вопросы …","cyberleninka.ru","https://cyberleninka.ru/article/n/18350566","https://scholar.google.com/scholar?cites=9542110161184536261&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:43","HTML","","","",,,,,6,3.00,2,3,2,"Представлена игровая постановка задачи выбора объектов для защиты и нападения двух игроков с учетом ограниченных ресурсов защитника и нападающего. Постановка задачи является антагонистической игрой с конечными стратегиями, каждый игрок …","https://cyberleninka.ru/article/n/18350566","https://scholar.google.com/scholar?q=related:xbYMpaJibIQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"KS Gill, S Saxena, A Sharma","GTM-CSec: Game theoretic model for cloud security based on IDS and honeypot",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404820300195","https://scholar.google.com/scholar?cites=7870529129214555890&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:43","","","","",,,,,6,6.00,2,3,1,"Cloud Computing has been adopted by many leading organizations for storage, processing, sharing and to provide other services. It faces several security challenges from its surroundings in terms of regular and sophisticated attacks. These challenges become worse …","","https://scholar.google.com/scholar?q=related:8rYyDYu8OW0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"H Shamseddine, J Nizam, A Hammoud, ...","A novel federated fog architecture embedding intelligent formation",2020,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9220179/","https://scholar.google.com/scholar?cites=4827276806850362191&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:43","","","","",,,,,2,2.00,1,4,1,"Network delays cause disturbance and reduction in the Quality-of-Service (QoS) for Internet-of-Things (IoT) while end-users are running critical real-time services. In parallel, federated fogs are not effective when formed without considering the performance perceived by the …","http://icaangroup.com/wp-content/uploads/2021/06/3.pdf","https://scholar.google.com/scholar?q=related:TzvMCK7u_UIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"M Al-Abbas, SS Saab","The Impact of Collaborative Research: A Case Study in a Developing Country",2020,"2020 4th International Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9254613/","https://scholar.google.com/scholar?cites=11544993287921573425&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:43","","","","",,,,,2,2.00,1,2,1,"Collaborative research has become a viable and strategic engagement for universities and scholars. Researchers often take part in grants and share scarce resources while gaining insight from scholars regardless of their geographical disposition. International collaboration …","","https://scholar.google.com/scholar?q=related:MZ7VNDoOOKAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Hammoud, H Otrok, A Mourad, Z Dziong","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X21001710","",8,"2021-12-19 16:34:43","","","","",,,,,0,0.00,0,4,1,"Instability within fog federations is considered as a serious problem that degrades the performance of the provided services. The latter may affect the service availability due to fog providers withdrawing their resources. It may either lead to failures for some users …","http://icaangroup.com/wp-content/uploads/2021/06/4.pdf","https://scholar.google.com/scholar?q=related:1cexCAWo-OYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"EK Devarakonda","An Acceptable Cloud Computing Model for Public Sectors",2021,"","search.proquest.com","https://search.proquest.com/openview/1eb999a196913d3c68b40eeb341a0461/1?pq-origsite=gscholar&cbl=18750&diss=y","",9,"2021-12-19 16:34:43","","","","",,,,,0,0.00,0,1,1,"Cloud computing enables information technology (IT) leaders to shift from passive business support to active value creators. However, social economic-communication barriers inhibit individual users from strategic use of the cloud. Grounded in the theory of technology …","https://scholarworks.waldenu.edu/cgi/viewcontent.cgi?article=12057&context=dissertations",""
0,"A Mahini, R Berangi, AM Rahmani, H Navidi","Bankruptcy approach to integrity aware resource management in a cloud federation",2021,"Cluster Computing","Springer","https://link.springer.com/article/10.1007/s10586-021-03336-x","",10,"2021-12-19 16:34:43","","10.1007/s10586-021-03336-x","","",,,,,0,0.00,0,4,1,"There has been a debate surrounding cloud federation in recent studies partly because of the cloud providers' profit increases and also because of resource utilization improvement. However, the main part of these studies suffers from the lack of considering integrity issues …","http://research.shahed.ac.ir/WSR/SiteData/PaperFiles/158596_17620967176.pdf",""
0,"MERC Abou-Rjeily, R Kfouri","Buffer-Aided Relaying: A Survey on Relay Selection Policies",,"soe.lau.edu.lb","","https://soe.lau.edu.lb/files/AbouRjeili-paper-COM-2020-0532.pdf","",11,"2021-12-19 16:34:43","PDF","","","",,,,,0,0.00,0,2,,"Ever since the idea of buffers was incorporated in wireless communications, buffer-aided relaying has become an emerging breakthrough in the world of transmitting and receiving signals. Equipping the relays with buffers adds a new degree of freedom capable of …","https://soe.lau.edu.lb/files/AbouRjeili-paper-COM-2020-0532.pdf","https://scholar.google.com/scholar?q=related:CaYdvHdsWsEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M El-Rajab, C Abou-Rjeily, R Kfouri","Buffer-aided relaying: a survey on relay selection policies",2021,"IET Communications","IET","https://digital-library.theiet.org/content/journals/10.1049/iet-com.2020.0532?crawler=redirect","",12,"2021-12-19 16:34:43","","10.1049/iet-com.2020.0532","","",,,,,0,0.00,0,3,1,"Ever since the idea of buffers was incorporated in wireless communications, buffer-aided relaying has become an emerging breakthrough in the world of transmitting and receiving signals. Equipping the relays with buffers adds a new degree of freedom capable of …","https://scholar.google.com/scholar?output=instlink&q=info:VoVExVu0SRAJ:scholar.google.com/&hl=en&as_sdt=2005&sciodt=0,5&scillfp=6047552180653707784&oi=lle","https://scholar.google.com/scholar?q=related:VoVExVu0SRAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"B Annane","Secure policies for the distributed virtual machines in mobile cloud computing",2020,"","etd.uum.edu.my","https://etd.uum.edu.my/8810/","",13,"2021-12-19 16:34:43","","","","",,,,,0,0.00,0,1,1,"Mobile Cloud Computing (MCC) is a combination of cloud computing and mobile computing through wireless technology in order to overcome mobile devices' resource limitations. In MCC, virtualization plays a key role whereas the cloud resources are shared among many …","https://etd.uum.edu.my/8810/2/s901158_01.pdf",""
