Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
15,"M Taghavi, J Bentahar, H Otrok, ...","A blockchain-based model for cloud service quality monitoring",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8873576/","https://scholar.google.com/scholar?cites=2374911829170936911&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:21","","","","",,,,,15,7.50,4,4,2,"This paper introduces a novel blockchain-based decentralized federation model that embodies quality verification for cloud providers who lease computing resources from each other. The blockchain structure removes the barriers of a traditional centralized federation …","","https://scholar.google.com/scholar?q=related:T1ybzrlh9SAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"M Taghavi, J Bentahar, H Otrok, K Bakhtiyari","Cloudchain: A blockchain-based coopetition differential game model for cloud computing",2018,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-03596-9_10","https://scholar.google.com/scholar?cites=6505737367908023499&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:21","","10.1007/978-3-030-03596-9_10","","",,,,,13,4.33,3,4,3,"In this paper, we introduce, design and develop Cloudchain, a blockchain-based cloud federation, to enable cloud service providers to trade their computing resources through smart contracts. Traditional cloud federations have strict challenges that might hinder the …","https://www.researchgate.net/profile/Kaveh-Bakhtiyari/publication/328517305_Cloudchain_A_Blockchain-Based_Coopetition_Differential_Game_Model_for_Cloud_Computing/links/5bd21f8292851c6b278f28c5/Cloudchain-A-Blockchain-Based-Coopetition-Differential-Game-Model-for-Cloud-Computing.pdf","https://scholar.google.com/scholar?q=related:y3wk0KoFSVoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"M Taghavi, J Bentahar, H Otrok","Two-stage game theoretical framework for IaaS market share dynamics",2020,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X18324531","https://scholar.google.com/scholar?cites=2383654868666036659&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:21","","","","",,,,,11,11.00,4,3,1,"In this paper, we consider the problem of cloud market share among Infrastructure as a Service (IaaS) providers in a competitive setting. The public cloud market is dominated by few large providers, which prevents a healthy competition that would benefit the end-users …","https://wvvw.monataghavi.com/download/pub/2019-08-fgcs-gamemarketshare.pdf","https://scholar.google.com/scholar?q=related:szH4UXlxFCEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mousa, J Bentahar, O Alam","Context-aware composite SaaS using feature model",2019,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X1832507X","https://scholar.google.com/scholar?cites=7109521891810217608&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:21","","","","",,,,,7,3.50,2,3,2,"Abstract Software as a Service (SaaS) in cloud computing is delivered in a composite form to effectively address complex levels of user's requirements. Composite SaaS runs in a dynamic distributed cloud environment where the quality of service (QoS) properties of the …","https://www.researchgate.net/profile/Omar-Alam-3/publication/332651602_Context-aware_composite_SaaS_using_feature_model/links/5cd9b0b5a6fdccc9ddaa65ad/Context-aware-composite-SaaS-using-feature-model.pdf","https://scholar.google.com/scholar?q=related:iA42JH4YqmIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"A Mousa, J Bentahar, O Alam","Multi-objective self-adaptive composite saas using feature model",2018,"… on Future Internet of Things and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8457996/","https://scholar.google.com/scholar?cites=9209807682842788210&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:35:21","","","","",,,,,3,1.00,1,3,3,"Composite services of type SaaS run in dynamic distributed environments where the quality of service (QoS) properties of the constituent services may change during execution. To face such dynamism and volatility, adaptation of composite SaaS to the runtime changes is a vital …","https://www.researchgate.net/profile/Omar-Alam-3/publication/327812013_Multi-Objective_Self-Adaptive_Composite_SaaS_Using_Feature_Model/links/5c9bfb4ca6fdccd4603f2b72/Multi-Objective-Self-Adaptive-Composite-SaaS-Using-Feature-Model.pdf","https://scholar.google.com/scholar?q=related:cgGCuUrPz38J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"M Mrabet, YB Saied, LA Saidane","CAN-TM: Chain Augmented Naïve Bayes-based Trust Model for Reliable Cloud Service Selection",2019,"ACM Transactions on Internet …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3341732","https://scholar.google.com/scholar?cites=2319130881452009342&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:35:21","","10.1145/3341732","","",,,,,1,0.50,0,3,2,"The increasing proliferation of Cloud Services (CSs) has made the reliable CS selection problem a major challenge. To tackle this problem, this article introduces a new trust model called Chain Augmented Naïve Bayes-based Trust Model (CAN-TM). This model leverages …","","https://scholar.google.com/scholar?q=related:fueV2D81LyAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"E Ben-Abdallah, K Boukadi, M Hammami","Personalized Cloud Service Review Ranking Approach Based on Probabilistic Ontology",2019,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-20482-2_5","",6,"2021-12-19 16:35:21","","10.1007/978-3-030-20482-2_5","","",,,,,0,0.00,0,3,2,"Online cloud service reviews have recently gained an increasing attention since they can have a significant impact on cloud user'purchasing decision. A large number of cloud users consult these reviews before choosing cloud services. Therefore, identifying the most-helpful …","","https://scholar.google.com/scholar?q=related:nsydbs3L98IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Taghavi","Strategic and Blockchain-based Market Decisions for Cloud Computing",2021,"","spectrum.library.concordia.ca","https://spectrum.library.concordia.ca/id/eprint/988355/","",7,"2021-12-19 16:35:21","","","","",,,,,0,0.00,0,1,1,"The cloud computing market has been in the center of attention for years where cloud providers strive to survive by either competition or cooperation. Some cloud providers choose to compete in the market that is dominated by few large providers and try to …","https://spectrum.library.concordia.ca/id/eprint/988355/1/Taghavi_PhD_F2021.pdf",""
0,"E Ben-Abdallah, K Boukadi, M Hammami, ...","Personalized cloud service review analysis based on modularized ontology",2020,"Online Information …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/OIR-06-2019-0207/full/html","",9,"2021-12-19 16:35:21","","10.1108/OIR-06-2019-0207","","",,,,,0,0.00,0,4,1,"Purpose The purpose of this paper is to analyze cloud reviews according to the end-user context and requirements. Design/methodology/approach propose a comprehensive knowledge base composed of interconnected Web Ontology Language, namely, modular …","","https://scholar.google.com/scholar?q=related:2qO78tFfBGsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"袁敏, 陈卓, 徐冰青","面向数据特征的人机物融合服务分派方法",2021,"软件学报","jos.org.cn","http://www.jos.org.cn/jos/article/pdf/6090?st=article_issue","",10,"2021-12-19 16:35:21","PDF","","","",,,,,0,0.00,0,3,1,"随着工业互联网的不断发展, 大数据和人工智能促成了人机物全面互联. 用户使用服务时产生的任务数据量正呈指数级增长, 在为线上用户推荐服务满足个性化需求的同时, 对于需要通过人机物交互完成的服务, 如何整合线上和线下资源, 并分派合适的人快速 …","http://www.jos.org.cn/jos/article/pdf/6090?st=article_issue",""
