Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
52,"J Kim, J Kim, H Kim, M Shim, E Choi","CNN-based network intrusion detection against denial-of-service attacks",2020,"Electronics","mdpi.com","https://www.mdpi.com/731956","https://scholar.google.com/scholar?cites=6511755711820730096&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:32:30","","","","",,,,,52,52.00,10,5,1,"As cyberattacks become more intelligent, it is challenging to detect advanced attacks in a variety of fields including industry, national defense, and healthcare. Traditional intrusion detection systems are no longer enough to detect these advanced attacks with unexpected …","https://www.mdpi.com/2079-9292/9/6/916/pdf","https://scholar.google.com/scholar?q=related:8A4ys1FnXloJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-12-19 16:32:30","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
37,"R Estrada, R Mizouni, H Otrok, A Ouali, ...","A crowd-sensing framework for allocation of time-constrained and location-based tasks",2017,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7974784/","https://scholar.google.com/scholar?cites=6791786094888435542&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:32:30","","","","",,,,,37,9.25,7,5,4,"Thanks to the capabilities of the built-in sensors of smart devices, mobile crowd-sensing (MCS) has become a promising technique for massive data collection. In this paradigm, the service provider recruits workers (ie common people with smart devices) to perform sensing …","","https://scholar.google.com/scholar?q=related:Vj9DCHhFQV4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
32,"OA Wahab, J Bentahar, H Otrok, ...","Resource-aware detection and defense system against multi-type attacks in the cloud: Repeated bayesian stackelberg game",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8675527/","https://scholar.google.com/scholar?cites=11481231161669133215&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:32:30","","","","",,,,,32,16.00,8,4,2,"Cloud-based systems are subject to various attack types launched by Virtual Machines (VMs) manipulated by attackers having different goals and skills. The existing detection and defense mechanisms might be suitable for simple attack environments but become …","https://www.researchgate.net/profile/Omar-Wahab/publication/332053178_Resource-Aware_Detection_and_Defense_System_Against_Multi-Type_Attacks_in_the_Cloud_Repeated_Bayesian_Stackelberg_Game/links/5ce7a79592851c4eabba3729/Resource-Aware-Detection-and-Defense-System-Against-Multi-Type-Attacks-in-the-Cloud-Repeated-Bayesian-Stackelberg-Game.pdf","https://scholar.google.com/scholar?q=related:nyNvT-mGVZ8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
32,"G Rjoub, J Bentahar, OA Wahab","BigTrustScheduling: Trust-aware big data task scheduling approach in cloud computing environments",2020,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X19304054","https://scholar.google.com/scholar?cites=4713477843268052814&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:32:30","","","","",,,,,32,32.00,11,3,1,"Big data task scheduling in cloud computing environments has gained considerable attention in the past few years, due to the exponential growth in the number of businesses that are relying on cloud-based infrastructure as a backbone for big data storage and …","https://www.researchgate.net/profile/Gaith-Rjoub/publication/337475435_BigTrustScheduling_Trust-aware_big_data_task_scheduling_approach_in_cloud_computing_environments/links/5eda03794585152945371406/BigTrustScheduling-Trust-aware-big-data-task-scheduling-approach-in-cloud-computing-environments.pdf","https://scholar.google.com/scholar?q=related:TqeqGCCjaUEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"A Abusitta, M Bellaiche, ...","An SVM-based framework for detecting DoS attacks in virtualized clouds under changing environment",2018,"Journal of …","journalofcloudcomputing …","https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-018-0109-4","https://scholar.google.com/scholar?cites=1947349434122766651&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:32:30","HTML","10.1186/s13677-018-0109-4","","",,,,,30,10.00,10,3,3,"Cloud Computing enables providers to rent out space on their virtual and physical infrastructures. Denial of Service (DoS) attacks threaten the ability of the cloud to respond to clients requests, which results in considerable economic losses. The existing detection …","https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-018-0109-4","https://scholar.google.com/scholar?q=related:OwlyKv5fBhsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"B Subba, S Biswas, S Karmakar","A game theory based multi layered intrusion detection framework for wireless sensor networks",2018,"International Journal of Wireless …","Springer","https://link.springer.com/article/10.1007/s10776-018-0403-6","https://scholar.google.com/scholar?cites=16979918197941544194&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:32:30","","10.1007/s10776-018-0403-6","","",,,,,22,7.33,7,3,3,"Most of the existing intrusion detection frameworks proposed for wireless sensor networks (WSNs) are computation and energy intensive, which adversely affect the overall lifetime of the WSNs. In addition, some of these frameworks generate a significant volume of IDS traffic …","","https://scholar.google.com/scholar?q=related:AiV_N6PJpOsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"S Arisdakessian, OA Wahab, A Mourad, ...","FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory",2020,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9109632/","https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 16:32:30","","","","",,,,,14,14.00,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …","https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf","https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"A Abusitta, M Bellaiche, ...","A trust-based game theoretical model for cooperative intrusion detection in multi-cloud environments",2018,"2018 21st Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8401625/","https://scholar.google.com/scholar?cites=15995833516771025398&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:32:30","","","","",,,,,13,4.33,4,3,3,"Cloud systems are becoming more complex and vulnerable to attacks. Cyber attacks are also becoming more sophisticated and harder to detect. Therefore, it is increasingly difficult for a single cloud-based intrusion detection system (IDS) to detect all attacks, because of …","https://publications.polymtl.ca/4199/1/2018_Abusitta_Trust-based_game_theoretical_model_cooperative.pdf","https://scholar.google.com/scholar?q=related:9qFsfdWd_N0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"MS Nazir, Y Wang, AJ Mahdi, X Sun, C Zhang, ...","Improving the performance of doubly fed induction generator using fault tolerant control—a hierarchical approach",2020,"Applied Sciences","mdpi.com","https://www.mdpi.com/629770","https://scholar.google.com/scholar?cites=12025382974053277462&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:32:30","","","","",,,,,13,13.00,2,6,1,"The growth of using wind energy on a large scale increases the demand for wind energy conversion machines (WECMs), among these converters, the doubly-fed induction generator (DFIG) is the favorite choice. However, DFIG is very sensitive to wind speed …","https://www.mdpi.com/2076-3417/10/3/924/pdf","https://scholar.google.com/scholar?q=related:Ft95CBq-4qYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
