Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
576,"RH Clayton, O Bernus, EM Cherry, H Dierckx, ...","Models of cardiac tissue electrophysiology: progress, challenges and open questions",2011,"Progress in biophysics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0079610710000362","https://scholar.google.com/scholar?cites=1335665558230336768&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:31:51","","","","",,,,,576,57.60,115,5,10,"Abstract Models of cardiac tissue electrophysiology are an important component of the Cardiac Physiome Project, which is an international effort to build biophysically based multi-scale mathematical models of the heart. Models of tissue electrophysiology can provide a …","http://bioinformatics.bio.uu.nl/pdf/Clayton.pbmb10-0.pdf","https://scholar.google.com/scholar?q=related:AAULob88iRIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
379,"SV Pandit, J Jalife","Rotors and the dynamics of cardiac fibrillation",2013,"Circulation research","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circresaha.111.300158","https://scholar.google.com/scholar?cites=8099494656936372032&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:31:51","","10.1161/circresaha.111.300158","","",,,,,379,47.38,190,2,8,"The objective of this article is to present a broad review of the role of cardiac electric rotors and their accompanying spiral waves in the mechanism of cardiac fibrillation. At the outset, we present a brief historical overview regarding reentry and then discuss the basic concepts …","https://www.ahajournals.org/doi/full/10.1161/circresaha.111.300158","https://scholar.google.com/scholar?q=related:QOfdPnovZ3AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
367,"NA Trayanova","Whole-heart modeling: applications to cardiac electrophysiology and electromechanics",2011,"Circulation research","Am Heart Assoc","https://www.ahajournals.org/doi/abs/10.1161/circresaha.110.223610","https://scholar.google.com/scholar?cites=13207064325998547435&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:31:51","","10.1161/circresaha.110.223610","","",,,,,367,36.70,367,1,10,"Recent developments in cardiac simulation have rendered the heart the most highly integrated example of a virtual organ. We are on the brink of a revolution in cardiac research, one in which computational modeling of proteins, cells, tissues, and the organ …","https://www.ahajournals.org/doi/full/10.1161/CIRCRESAHA.110.223610","https://scholar.google.com/scholar?q=related:65HgzAfrSLcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
192,"MJ Bishop, G Plank, RAB Burton, ...","Development of an anatomically detailed MRI-derived rabbit ventricular model and assessment of its impact on simulations of electrophysiological function",2010,"American Journal …","journals.physiology.org","https://journals.physiology.org/doi/abs/10.1152/ajpheart.00606.2009","https://scholar.google.com/scholar?cites=17601994400865068041&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:31:51","","10.1152/ajpheart.00606.2009","","",,,,,192,17.45,48,4,11,"Recent advances in magnetic resonance (MR) imaging technology have unveiled a wealth of information regarding cardiac histoanatomical complexity. However, methods to faithfully translate this level of fine-scale structural detail into computational whole ventricular models …","https://journals.physiology.org/doi/full/10.1152/ajpheart.00606.2009","https://scholar.google.com/scholar?q=related:CST68aXYRvQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
119,"RH Keldermann, MP Nash, ...","Electromechanical wavebreak in a model of the human left ventricle",2010,"American Journal …","journals.physiology.org","https://journals.physiology.org/doi/abs/10.1152/ajpheart.00862.2009","https://scholar.google.com/scholar?cites=17745462509581600643&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:31:51","","10.1152/ajpheart.00862.2009","","",,,,,119,10.82,40,3,11,"In the present report, we introduce an integrative three-dimensional electromechanical model of the left ventricle of the human heart. Electrical activity is represented by the ionic TP06 model for human cardiac cells, and mechanical activity is represented by the Niederer …","https://journals.physiology.org/doi/full/10.1152/ajpheart.00862.2009","https://scholar.google.com/scholar?q=related:g4efCiKMRPYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
102,"A Carusi, K Burrage, ...","Bridging experiments, models and simulations: an integrative approach to validation in computational cardiac electrophysiology",2012,"American Journal of …","journals.physiology.org","https://journals.physiology.org/doi/full/10.1152/ajpheart.01151.2011?view=long&pmid=22582088","https://scholar.google.com/scholar?cites=4748693885390659618&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:31:51","","10.1152/ajpheart.01151.2011","","",,,,,102,11.33,34,3,9,"Computational models in physiology often integrate functional and structural information from a large range of spatiotemporal scales from the ionic to the whole organ level. Their sophistication raises both expectations and skepticism concerning how computational …","https://journals.physiology.org/doi/full/10.1152/ajpheart.01151.2011","https://scholar.google.com/scholar?q=related:IqDH2e2_5kEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
57,"P Lamata, R Casero, V Carapella, SA Niederer, ...","Images as drivers of progress in cardiac computational modelling",2014,"Progress in biophysics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0079610714000807","https://scholar.google.com/scholar?cites=17569445686149345131&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:31:51","HTML","","","",,,,,57,8.14,11,5,7,"Computational models have become a fundamental tool in cardiac research. Models are evolving to cover multiple scales and physical mechanisms. They are moving towards mechanistic descriptions of personalised structure and function, including effects of natural …","https://www.sciencedirect.com/science/article/pii/S0079610714000807","https://scholar.google.com/scholar?q=related:a29zv8M10_MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
56,"MJ Bishop, G Plank","The role of fine‐scale anatomical structure in the dynamics of reentry in computational models of the rabbit ventricles",2012,"The Journal of physiology","Wiley Online Library","https://physoc.onlinelibrary.wiley.com/doi/abs/10.1113/jphysiol.2012.229062","https://scholar.google.com/scholar?cites=12230506713241705868&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:31:51","","10.1113/jphysiol.2012.229062","","",,,,,56,6.22,28,2,9,"Key points• The specific mechanisms by which fine‐scale structures within the heart may interact with complex excitation wavefronts during cardiac arrhythmias to increase their stability, and how this interaction may differ between species are currently incompletely …","https://physoc.onlinelibrary.wiley.com/doi/pdfdirect/10.1113/jphysiol.2012.229062","https://scholar.google.com/scholar?q=related:jF3NQQ59u6kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
54,"I Adeniran, A El Harchi, JC Hancox, ...","Proarrhythmia in KCNJ2-linked short QT syndrome: insights from modelling",2012,"Cardiovascular …","academic.oup.com","https://academic.oup.com/cardiovascres/article-abstract/94/1/66/272018","https://scholar.google.com/scholar?cites=10598141077581351547&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:31:51","","","","",,,,,54,6.00,14,4,9,"Aims One form of the short QT syndrome (SQT3) has been linked to the D172N gain-in-function mutation to Kir2. 1, which preferentially increases outward current through channels responsible for inward rectifier K+ current (I K1). This study investigated mechanisms by …","https://academic.oup.com/cardiovascres/article/94/1/66/272018","https://scholar.google.com/scholar?q=related:e0q2oCgpFJMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
49,"P Taggart, M Orini, B Hanson, M Hayward, ...","Developing a novel comprehensive framework for the investigation of cellular and whole heart electrophysiology in the in situ human heart: historical perspectives …",2014,"Progress in biophysics …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0079610714000467","https://scholar.google.com/scholar?cites=17433851217833096716&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:31:51","","","","",,,,,49,7.00,10,5,7,"Understanding the mechanisms of fatal ventricular arrhythmias is of great importance. In view of the many electrophysiological differences that exist between animal species and humans, the acquisition of basic electrophysiological data in the intact human heart is …","","https://scholar.google.com/scholar?q=related:DPbzaVB78fEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
