Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
48,"R Mahmud, K Ramamohanarao, R Buyya","Application management in fog computing environments: A taxonomy, review and future directions",2020,"ACM Computing Surveys …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3403955","https://scholar.google.com/scholar?cites=7111718652082667376&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:48","","10.1145/3403955","","",,,,,48,48.00,16,3,1,"The Internet of Things (IoT) paradigm is being rapidly adopted for the creation of smart environments in various domains. The IoT-enabled cyber-physical systems associated with smart city, healthcare, Industry 4.0 and Agtech handle a huge volume of data and require …","https://arxiv.org/pdf/2005.10460","https://scholar.google.com/scholar?q=related:cD_oP2_msWIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"S AbdulRahman, H Tout, A Mourad, ...","FedMCCS: multicriteria client selection model for optimal IoT federated learning",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9212434/","https://scholar.google.com/scholar?cites=6335911559130138134&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:48","","","","",,,,,10,10.00,3,4,1,"As an alternative centralized systems, which may prevent data to be stored in a central repository due to its privacy and/or abundance, federated learning (FL) is nowadays a game changer addressing both privacy and cooperative learning. It succeeds in keeping training …","https://www.researchgate.net/profile/Sawsan-Abdulrahman/publication/344871700_FedMCCS_Multicriteria_Client_Selection_Model_for_Optimal_IoT_Federated_Learning/links/5f9555a6299bf1b53e43a03d/FedMCCS-Multicriteria-Client-Selection-Model-for-Optimal-IoT-Federated-Learning.pdf","https://scholar.google.com/scholar?q=related:FkY-cv6t7VcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"ZM Nayeri, T Ghafarian, B Javadi","Application placement in Fog computing with AI approach: Taxonomy and a state of the art survey",2021,"Journal of Network and Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804521000989","https://scholar.google.com/scholar?cites=4194469465855231588&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:34:48","","","","",,,,,6,6.00,2,3,1,"With the increasing use of the Internet of Things (IoT) in various fields and the need to process and store huge volumes of generated data, Fog computing was introduced to complement Cloud computing services. Fog computing offers basic services at the network …","","https://scholar.google.com/scholar?q=related:ZAaGhcG_NToJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"H Sami, A Mourad, H Otrok, ...","Demand-Driven Deep Reinforcement Learning for Scalable Fog and Service Placement",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9416796/","https://scholar.google.com/scholar?cites=8998968156978449359&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:48","","","","",,,,,4,4.00,1,4,1,"The increasing number of Internet of Things (IoT) devices necessitates the need for a more substantial fog computing infrastructure to support the users' demand for services. In this context, the placement problem consists of selecting fog resources and mapping services to …","https://www.researchgate.net/profile/Hani-Sami-2/publication/351080915_Demand-Driven_Deep_Reinforcement_Learning_for_Scalable_Fog_and_Service_Placement/links/6083ac718ea909241e1ee47d/Demand-Driven-Deep-Reinforcement-Learning-for-Scalable-Fog-and-Service-Placement.pdf","https://scholar.google.com/scholar?q=related:z4vANdzB4nwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"B Tay, A Mourad","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9163345/","https://scholar.google.com/scholar?cites=4720395701338293340&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:48","","","","",,,,,4,4.00,2,2,1,"In the current banking systems and business processes, the permission granted to employees is controlled and managed by the configured access control methods, in which static role-based models focus on access to information and functions. The deployed …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09163345.pdf","https://scholar.google.com/scholar?q=related:XMSMceE2gkEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"H Sami, H Otrok, J Bentahar, ...","AI-based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9380677/","https://scholar.google.com/scholar?cites=1142297934495883516&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:48","","","","",,,,,3,3.00,1,4,1,"Currently, researchers have motivated a vision of 6G for empowering the new generation of the Internet of Everything (IoE) services that are not supported by 5G. In the context of 6G, more computing resources are required, a problem that is dealt with by Mobile Edge …","https://www.researchgate.net/profile/Hani-Sami-2/publication/350148832_AI-based_Resource_Provisioning_of_IoE_Services_in_6G_A_Deep_Reinforcement_Learning_Approach/links/6060bea3299bf17367776d24/AI-based-Resource-Provisioning-of-IoE-Services-in-6G-A-Deep-Reinforcement-Learning-Approach.pdf","https://scholar.google.com/scholar?q=related:_CBKVetB2g8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"A Alharbi, H Alyami, M Poongodi, HT Rauf, ...","Intelligent scaling for 6G IoE services for resource provisioning",2021,"PeerJ Computer …","peerj.com","https://peerj.com/articles/cs-755/","https://scholar.google.com/scholar?cites=15694973505972891634&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:48","HTML","","","",,,,,1,1.00,0,5,1,"The proposed research motivates the 6G cellular networking for the Internet of Everything's (IoE) usage empowerment that is currently not compatible with 5G. For 6G, more innovative technological resources are required to be handled by Mobile Edge Computing (MEC) …","https://peerj.com/articles/cs-755/",""
1,"X Yan, X Xu, Y Zheng, F Dai","Fog Server Placement for Multimodality Data Fusion in Neuroimaging",2020,"… Conference on Machine Learning for Cyber …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-62223-7_20","https://scholar.google.com/scholar?cites=13210629294697183377&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 16:34:48","","10.1007/978-3-030-62223-7_20","","",,,,,1,1.00,0,4,1,"Since the findings of the single modality data are unable to provide sufficient sensitivity and specificity for diagnostic measures, multimodality data fusion is adopted in the neuroimaging to detect the important differences between patients and healthy people. Applying fog …","","https://scholar.google.com/scholar?q=related:kXjLwVmVVbcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Hammoud, H Otrok, A Mourad, Z Dziong","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X21001710","",6,"2021-12-19 16:34:48","","","","",,,,,0,0.00,0,4,1,"Instability within fog federations is considered as a serious problem that degrades the performance of the provided services. The latter may affect the service availability due to fog providers withdrawing their resources. It may either lead to failures for some users …","http://icaangroup.com/wp-content/uploads/2021/06/4.pdf","https://scholar.google.com/scholar?q=related:1cexCAWo-OYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"MD Mahmud","Quality of Service (QoS)-aware Application Management in Fog Computing Environments",2020,"","minerva-access.unimelb.edu.au","https://minerva-access.unimelb.edu.au/handle/11343/238702","",7,"2021-12-19 16:34:48","","","","",,,,,0,0.00,0,1,1,"In recent years, the Internet of Things (IoT) paradigm is being rapidly adopted in the creation of applications for various smart-city, healthcare, Industry 4.0, and Agtech-based Cyber-Physical Systems (CPS). Usually, the IoT-enabled CPSs reside at a multi-hop distance from …","https://minerva-access.unimelb.edu.au/bitstream/handle/11343/238702/880764a6-c53d-ea11-94b5-0050568d7800_Redowan_Mahmud_Final_PhD_Thesis.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:D7IYOiv_MhIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
