Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
37,"H Lin, L Xu, Y Mu, W Wu","A reliable recommendation and privacy-preserving based cross-layer reputation mechanism for mobile cloud computing",2015,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X1400226X","https://scholar.google.com/scholar?cites=6097872347641856196&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:53","","","","",,,,,37,6.17,9,4,6,"Mobile cloud computing (MCC) is gaining popularity due to anywhere anytime data access. However, at the same time it also introduces the new privacy and security threats that have become an obstacle to the widespread use and popularity of MCC. In this paper, we …","","https://scholar.google.com/scholar?q=related:xMDenpf-n1QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
16,"M Kadadha, H Al-Ali, M Al Mufti, ...","Opportunistic mobile social networks: Challenges survey and application in smart campus",2016,"2016 IEEE 12th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7763216/","https://scholar.google.com/scholar?cites=10984122227764264610&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:53","","","","",,,,,16,3.20,4,4,5,"With the high penetration of smart phones in our daily life and the increasing capabilities of these smart devices, a new type of applications has emerged. Lately, Opportunistic Mobile Social Networks (OMSN), which allow users to directly update their social networks while …","","https://scholar.google.com/scholar?q=related:on5cQ_hwb5gJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"S Arisdakessian, OA Wahab, A Mourad, ...","FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory",2020,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9109632/","https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:53","","","","",,,,,14,14.00,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …","https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf","https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"EK Wang, CM Chen, SM Yiu, MM Hassan, ...","Incentive evolutionary game model for opportunistic social networks",2020,"Future Generation …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X19309173","https://scholar.google.com/scholar?cites=10522179261225958197&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:53","","","","",,,,,13,13.00,3,5,1,"Opportunistic social networks transmit messages through the way of nodes cooperation. Because it is a kind of fully open networks, message forwarding is vulnerable to interference from abnormal nodes such as selfish and malicious nodes, who may result in disorder of …","","https://scholar.google.com/scholar?q=related:NftaCEpKBpIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"I Mansour, G Chalhoub, P Lafourcade","Evaluation of secure multi-hop node authentication and key establishment mechanisms for wireless sensor networks",2014,"Journal of sensor and actuator …","mdpi.com","https://www.mdpi.com/79790","https://scholar.google.com/scholar?cites=2912354170157479630&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:53","","","","",,,,,12,1.71,4,3,7,"Designing secure authentication mechanisms in wireless sensor networks in order to associate a node to a secure network is not an easy task due to the limitations of this type of networks. In this paper, we propose different multi-hop node authentication protocols for …","https://www.mdpi.com/2224-2708/3/3/224/pdf","https://scholar.google.com/scholar?q=related:zjZd_K_CaigJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"PF de Araujo-Filho, G Kaddoum, ...","Intrusion detection for cyber–physical systems using generative adversarial networks in fog environment",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9199878/","https://scholar.google.com/scholar?cites=6239621464334317466&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:33:53","","","","",,,,,11,11.00,4,3,1,"Cyber-attacks cyber–physical systems (CPSs) can lead to sensing and actuation misbehavior, severe damages to physical objects, and safety risks. Machine learning algorithms have been proposed for hindering cyber-attacks on CPSs, but the absence of …","","https://scholar.google.com/scholar?q=related:mreMsqmWl1YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"B Qolomany, I Mohammed, A Al-Fuqaha, ...","Trust-based cloud machine learning model selection for industrial IoT and smart city services",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9187421/","https://scholar.google.com/scholar?cites=2669297855711656030&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:33:53","","","","",,,,,10,10.00,3,4,1,"With machine learning (ML) services now used in a number of mission-critical human-facing domains, ensuring the integrity and trustworthiness of ML models becomes all important. In this work, we consider the paradigm where cloud service providers collect big data from …","https://arxiv.org/pdf/2008.05042","https://scholar.google.com/scholar?q=related:Xrhn2UFACyUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"H Lin, J Hu, J Ma, L Xu, L Yang","CRM: A new dynamic cross-layer reputation computation model in wireless networks",2015,"The Computer Journal","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8187823/","https://scholar.google.com/scholar?cites=2064331294066301620&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:53","","","","",,,,,7,1.17,1,5,6,"Multi-hop wireless networks (MWNs) have been widely accepted as an indispensable component of next-generation communication systems due to their broad applications and easy deployment without relying on any infrastructure. Although showing huge benefits …","https://ore.exeter.ac.uk/repository/bitstream/handle/10871/20411/p4-nss-si-13-6-23-minor-revise-final.pdf?sequence=1","https://scholar.google.com/scholar?q=related:tFqL6V_6pRwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, H Tout, OA Wahab, H Otrok, ...","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9138386/","https://scholar.google.com/scholar?cites=6689443111974663338&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:33:53","","","","",,,,,7,7.00,1,5,1,"Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which …","https://www.researchgate.net/profile/Azzam-Mourad/publication/342859892_Ad_Hoc_Vehicular_Fog_Enabling_Cooperative_Low-Latency_Intrusion_Detection/links/5f15e3624585151299aaf71f/Ad-Hoc-Vehicular-Fog-Enabling-Cooperative-Low-Latency-Intrusion-Detection.pdf","https://scholar.google.com/scholar?q=related:qvRuchGt1VwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"JW Wang, JS Pan, CH Chen, ...","Wavelet-based signal approximation with multilevel learning algorithms using genetic neuron selection",1998,"Proceedings Tenth IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/744863/","https://scholar.google.com/scholar?cites=982598908490352871&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:53","","","","",,,,,5,0.22,1,4,23,"Neural networks based on wavelets are constructed to study the function learning problems. Two types of learning algorithms, the overall multilevel learning (OML) and the pyramidal multilevel learning (PML) with genetic neuron selection are comparatively studied for the …","","https://scholar.google.com/scholar?q=related:5whBUYDkog0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
