Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
52,"J Kim, J Kim, H Kim, M Shim, E Choi","CNN-based network intrusion detection against denial-of-service attacks",2020,"Electronics","mdpi.com","https://www.mdpi.com/731956","https://scholar.google.com/scholar?cites=6511755711820730096&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:48","","","","",,,,,52,52.00,10,5,1,"As cyberattacks become more intelligent, it is challenging to detect advanced attacks in a variety of fields including industry, national defense, and healthcare. Traditional intrusion detection systems are no longer enough to detect these advanced attacks with unexpected …","https://www.mdpi.com/2079-9292/9/6/916/pdf","https://scholar.google.com/scholar?q=related:8A4ys1FnXloJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:48","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
15,"G Rjoub, J Bentahar, O Abdel Wahab, ...","Deep and reinforcement learning for automated task scheduling in large‐scale cloud computing systems",2020,"Concurrency and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cpe.5919","https://scholar.google.com/scholar?cites=2799012743887851992&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:48","","10.1002/cpe.5919","","",,,,,15,15.00,4,4,1,"Cloud computing is undeniably becoming the main computing and storage platform for today's major workloads. From Internet of things and Industry 4.0 workloads to big data analytics and decision‐making jobs, cloud systems daily receive a massive number of tasks …","https://www.researchgate.net/profile/Gaith-Rjoub/publication/341538799_Deep_and_Reinforcement_Learning_for_Automated_Task_Scheduling_in_Large-Scale_Cloud_Computing_Systems/links/5ec5ef4d299bf1c09acfadcb/Deep-and-Reinforcement-Learning-for-Automated-Task-Scheduling-in-Large-Scale-Cloud-Computing-Systems.pdf","https://scholar.google.com/scholar?q=related:2BE6wUIX2CYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"N Yousefnezhad, A Malhi, K Främling","Security in product lifecycle of IoT devices: A survey",2020,"Journal of Network and Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804520302538","https://scholar.google.com/scholar?cites=3507305457208340667&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:48","HTML","","","",,,,,13,13.00,4,3,1,"Abstract The Internet of Things (IoT) paradigm is considerably impacted by security challenges, which has lately demanded substantial consideration. Accordingly, certain reviews and surveys have been presented, focusing on disparate IoT-related domains …","https://www.sciencedirect.com/science/article/pii/S1084804520302538","https://scholar.google.com/scholar?q=related:uzCxF7tzrDAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"D Geng, H Zhang, H Wu","Short-term wind speed prediction based on principal component analysis and lstm",2020,"Applied Sciences","mdpi.com","https://www.mdpi.com/753888","https://scholar.google.com/scholar?cites=15490898238714670950&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:48","","","","",,,,,13,13.00,4,3,1,"An accurate prediction of wind speed is crucial for the economic and resilient operation of power systems with a high penetration level of wind power. Meteorological information such as temperature, humidity, air pressure, and wind level has a significant influence on wind …","https://www.mdpi.com/2076-3417/10/13/4416/pdf","https://scholar.google.com/scholar?q=related:Zu9Pst-5-tYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"M Torquato, M Vieira","Moving target defense in cloud computing: A systematic mapping study",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404820300286","https://scholar.google.com/scholar?cites=11196581594596154048&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:48","","","","",,,,,11,11.00,6,2,1,"Abstract Moving Target Defense (MTD) consists of applying system reconfiguration (eg, VM migration, IP shuffling) to dynamically change the available attack surface. MTD makes use of reconfiguration to confuse attackers and nullify their knowledge about the system state. It …","","https://scholar.google.com/scholar?q=related:wJqUZKM_YpsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"KS Huancayo Ramos, MA Sotelo Monge, ...","Benchmark-based reference model for evaluating botnet detection tools driven by traffic-flow analytics",2020,"Sensors","mdpi.com","https://www.mdpi.com/795576","https://scholar.google.com/scholar?cites=8225722253864393682&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:48","","","","",,,,,11,11.00,4,3,1,"Botnets are some of the most recurrent cyber-threats, which take advantage of the wide heterogeneity of endpoint devices at the Edge of the emerging communication environments for enabling the malicious enforcement of fraud and other adversarial tactics, including …","https://www.mdpi.com/1424-8220/20/16/4501/pdf","https://scholar.google.com/scholar?q=related:0tuc4s6iJ3IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"KS Gill, S Saxena, A Sharma","GTM-CSec: Game theoretic model for cloud security based on IDS and honeypot",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404820300195","https://scholar.google.com/scholar?cites=7870529129214555890&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:33:48","","","","",,,,,6,6.00,2,3,1,"Cloud Computing has been adopted by many leading organizations for storage, processing, sharing and to provide other services. It faces several security challenges from its surroundings in terms of regular and sophisticated attacks. These challenges become worse …","","https://scholar.google.com/scholar?q=related:8rYyDYu8OW0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"C Zhong, H Yang, Z Liu, J Wu","Stability of replicator dynamics with bounded continuously distributed time delay",2020,"Mathematics","mdpi.com","https://www.mdpi.com/666430","https://scholar.google.com/scholar?cites=17096865210752012507&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:48","","","","",,,,,5,5.00,1,4,1,"In this paper, we consider evolutionary games and construct a model of replicator dynamics with bounded continuously distributed time delay. In many circumstances, players interact simultaneously while impacts of their choices take place after some time, which implies a …","https://www.mdpi.com/2227-7390/8/3/431/htm","https://scholar.google.com/scholar?q=related:25Cbe1NERO0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"Y Zhou, G Cheng, S Jiang, Y Zhao, Z Chen","Cost-effective moving target defense against DDoS attacks using trilateral game and multi-objective Markov decision processes",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404820302492","https://scholar.google.com/scholar?cites=15028137313067565921&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:33:48","","","","",,,,,5,5.00,1,5,1,"Abstract Moving Target Defense (MTD) has emerged as a game changer to reverse the asymmetric situation between attackers and defenders, and as one of the most effective countermeasures to mitigate DDoS attacks, shuffling-based MTD has gained ever-growing …","https://www.researchgate.net/profile/Yuyang-Zhou-10/publication/343125761_Cost-effective_moving_target_defense_against_DDoS_attacks_using_trilateral_game_and_multi-objective_Markov_decision_processes/links/5f17e98da6fdcc9626a68c0e/Cost-effective-moving-target-defense-against-DDoS-attacks-using-trilateral-game-and-multi-objective-Markov-decision-processes.pdf","https://scholar.google.com/scholar?q=related:YYMvhUOrjtAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
