Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"H Jebbaoui, A Mourad, H Otrok, R Haraty","Semantics-based approach for detecting flaws, conflicts and redundancies in XACML policies",2015,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790614003218","https://scholar.google.com/scholar?cites=7472383700090174388&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:36","","","","",,,,,26,4.33,7,4,6,"Abstract XACML (eXtensible Access Control Markup Language) policies, which are widely adopted for defining and controlling dynamic access among Web/cloud services, are becoming more complex in order to handle the significant growth in communication and …","http://csm.beirut.lau.edu.lb/~rharaty/pdf/J4.pdf","https://scholar.google.com/scholar?q=related:tDtLhWI9s2cJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"F Deng, LY Zhang","Elimination of policy conflict to improve the PDP evaluation performance",2017,"Journal of Network and Computer Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804516303010","https://scholar.google.com/scholar?cites=3781062469340451231&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:36","","","","",,,,,14,3.50,7,2,4,"In the authorization access control model, the Policy Decision Point (PDP) may make an inappropriate authorization decision or the operating efficiency of the network and information system may be influenced, because there might be conflicts in the policies …","","https://scholar.google.com/scholar?q=related:n1GZbkgIeTQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"A Mourad, H Tout, C Talhi, H Otrok, ...","From model-driven specification to design-level set-based analysis of XACML policies",2016,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615003420","https://scholar.google.com/scholar?cites=17738353775164811685&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:36","","","","",,,,,14,2.80,3,5,5,"With lot of hype surrounding policy-based computing, XACML (eXtensible Access Control Markup Language) has become the widely used de facto standard for managing access to open and distributed service-based environments like Web services. However, like any …","https://www.researchgate.net/profile/Azzam-Mourad/publication/283489315_From_model-driven_specification_to_design-level_set-based_analysis_of_XACML_policies/links/5bdd82884585150b2b9adcb0/From-model-driven-specification-to-design-level-set-based-analysis-of-XACML-policies.pdf","https://scholar.google.com/scholar?q=related:pWno1MZKK_YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"F Deng, S Wang, L Zhang, X Wei, J Yu","Establishment of attribute bitmaps for efficient xacml policy evaluation",2018,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705117305774","https://scholar.google.com/scholar?cites=14945024988393428739&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:36","","","","",,,,,12,4.00,2,5,3,"One of the primary challenges to apply the access control policy language XACML is the performance problem of the policy decision point (PDP), particularly when the PDP experience a great number of policies. The research on improving the PDP evaluation …","","https://scholar.google.com/scholar?q=related:A9eGeAtlZ88J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"F Deng, J Lu, SY Wang, J Pan, LY Zhang","A distributed PDP model based on spectral clustering for improving evaluation performance",2019,"World Wide Web","Springer","https://link.springer.com/article/10.1007/s11280-018-0588-8","https://scholar.google.com/scholar?cites=17912272425708847373&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:36","","10.1007/s11280-018-0588-8","","",,,,,11,5.50,2,5,2,"In modern access control systems, the Policy Decision Point (PDP) needs to be more efficient to meet the ever-growing demands of Web access authorization. Present XACML implementations of access control systems follow the same architecture based on ABAC, but …","","https://scholar.google.com/scholar?q=related:DYFmLt4slfgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"F Deng, L Zhang, C Zhang, H Ban, C Wan, M Shi, ...","Establishment of rule dictionary for efficient XACML policy management",2019,"Knowledge-Based …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705119301364","https://scholar.google.com/scholar?cites=4318916721749406914&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:36","","","","",,,,,9,4.50,1,7,2,"In order to improve the evaluation efficiency of the XACML policy, the storage principle of the rule dictionary is analyzed and the XACML policy evaluation engine XDPMOE is proposed. This is a new XACML policy management optimization scheme based on bitmap storage …","","https://scholar.google.com/scholar?q=related:wjReNuDf7zsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"F Marfia, MA Neri, F Pellegrini, M Colombetti","Using OWL reasoning for evaluating XACML policies",2015,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30222-5_16","https://scholar.google.com/scholar?cites=5491671934023660889&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:36","","10.1007/978-3-319-30222-5_16","","",,,,,4,0.67,1,4,6,"We present an approach for evaluating XACML policies using OWL technologies and DL reasoning. We explain how policies can be mapped to an OWL axiomatization, and how it is possible to generate answers to access requests using standard DL reasoning tools, all of …","","https://scholar.google.com/scholar?q=related:WXV2IodWNkwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"F Deng, LY Zhang, BY Zhou, JW Zhang, ...","Elimination of the redundancy related to combining algorithms to improve the PDP evaluation performance",2016,"… Problems in Engineering","hindawi.com","https://www.hindawi.com/journals/mpe/2016/7608408/","https://scholar.google.com/scholar?cites=18093730318691942255&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:36","HTML","","","",,,,,4,0.80,1,5,5,"If there are lots of redundancies in the policies loaded on the policy decision point (PDP) in the authorization access control model, the system will occupy more resources in operation and consumes plenty of evaluation time and storage space. In order to detect and eliminate …","https://www.hindawi.com/journals/mpe/2016/7608408/","https://scholar.google.com/scholar?q=related:bz9ZM9zXGfsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"B Tay, A Mourad","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9163345/","https://scholar.google.com/scholar?cites=4720395701338293340&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:33:36","","","","",,,,,4,4.00,2,2,1,"In the current banking systems and business processes, the permission granted to employees is controlled and managed by the configured access control methods, in which static role-based models focus on access to information and functions. The deployed …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09163345.pdf","https://scholar.google.com/scholar?q=related:XMSMceE2gkEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Mejri, H Yahyaoui, A Mourad, M Chehab","A rewriting system for the assessment of XACML policies relationship",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404820302339","https://scholar.google.com/scholar?cites=17781563511376009332&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:33:36","","","","",,,,,3,3.00,1,4,1,"We propose in this paper a new approach to assess the relationship between XACML policies. Our approach spans over three steps. In the first one, the XACML policies are mapped to terms of a Boolean ring while taking into account XACML policy and rule …","https://arxiv.org/pdf/1605.05887","https://scholar.google.com/scholar?q=related:dFidhs3NxPYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
