Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
169,"S Suriadi, R Andrews, AHM ter Hofstede, MT Wynn","Event log imperfection patterns for process mining: Towards a systematic approach to cleaning event logs",2017,"Information systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306437915301344","https://scholar.google.com/scholar?cites=6925854688080890826&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:14","","","","",,,,,169,42.25,42,4,4,"Process-oriented data mining (process mining) uses algorithms and data (in the form of event logs) to construct models that aim to provide insights into organisational processes. The quality of the data (both form and content) presented to the modeling algorithms is …","https://eprints.qut.edu.au/97670/1/IS_2015_161_Revision%202%20FINAL.pdf","https://scholar.google.com/scholar?q=related:ygsJ4SSUHWAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
64,"AV Uzunov, EB Fernandez, K Falkner","Securing distributed systems using patterns: A survey",2012,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404812000661","https://scholar.google.com/scholar?cites=15863123276166898298&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:14","","","","",,,,,64,7.11,21,3,9,"Driven by expanding scientific computing and business enterprise needs, the last decade has seen a shift toward software paradigms in which distribution plays a central role. The increasing size, complexity and heterogeneity of the corresponding systems is accompanied …","","https://scholar.google.com/scholar?q=related:eqIowJIiJdwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
43,"K Yskout, R Scandariato, ...","Does organizing security patterns focus architectural choices?",2012,"2012 34th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6227155/","https://scholar.google.com/scholar?cites=5331181753740952650&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:14","","","","",,,,,43,4.78,14,3,9,"Security patterns can be a valuable vehicle to design secure software. Several proposals have been advanced to improve the usability of security patterns. They often describe extra annotations to be included in the pattern documentation. This paper presents an empirical …","https://lirias.kuleuven.be/retrieve/180301","https://scholar.google.com/scholar?q=related:SgTGKI8p_EkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
42,"M Bunke, R Koschke, K Sohr","Organizing security patterns related to security and pattern recognition requirements",2012,"International Journal on Advances in …","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.444.52&rep=rep1&type=pdf#page=53","https://scholar.google.com/scholar?cites=12571560098338141267&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:14","PDF","","","",,,,,42,4.67,14,3,9,"Software security is an emerging area in software development. More and more vulnerabilities are published and highlight the endangerment of systems. Hence, software designers and programmers are increasingly faced with the need to apply security solutions …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.444.52&rep=rep1&type=pdf#page=53","https://scholar.google.com/scholar?q=related:U3TrbU0nd64J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
33,"L Zhang, M Wen, B Ashuri","BIM log mining: measuring design productivity",2018,"Journal of Computing in Civil …","ascelibrary.org","https://ascelibrary.org/doi/full/10.1061/(ASCE)CP.1943-5487.0000721","https://scholar.google.com/scholar?cites=10242888040808205119&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:14","","10.1061/(ASCE)CP.1943-5487.0000721","","",,,,,33,11.00,11,3,3,"There has been a long debate on how to measure design productivity. Compared to construction productivity, design productivity is much more difficult to measure because design is an iterative and innovative process. Today, with rapid extension of building …","","https://scholar.google.com/scholar?q=related:P0t4amcMJo4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"R Garg, Y Sabharwal","Software routing and aggregation of messages to optimize the performance of HPCC Randomaccess benchmark",2006,"SC'06: Proceedings of the 2006 ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4090189/","https://scholar.google.com/scholar?cites=13700253148598169909&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:14","","","","",,,,,30,2.00,15,2,15,"The HPC challenge (HPCC) benchmark suite is increasingly being used to evaluate the performance of supercomputers. It augments the traditional LINPACK benchmark by adding six more benchmarks, each designed to measure a specific aspect of the system …","https://www.researchgate.net/profile/Yogish-Sabharwal/publication/220782205_MPI_and_communication---Software_routing_and_aggregation_of_messages_to_optimize_the_performance_of_HPCC_randomaccess_benchmark/links/0912f50a375bd631f1000000/MPI-and-communication---Software-routing-and-aggregation-of-messages-to-optimize-the-performance-of-HPCC-randomaccess-benchmark.pdf","https://scholar.google.com/scholar?q=related:NfEez6YTIb4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
30,"AK Alvi, M Zulkernine","A natural classification scheme for software security patterns",2011,"2011 IEEE Ninth International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6118361/","https://scholar.google.com/scholar?cites=7984699592666439568&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:14","","","","",,,,,30,3.00,15,2,10,"Software security patterns are a proven solution for recurring security problems. Security pattern catalogs are increasing rapidly. This creates difficulty in selecting appropriate software security patterns for a particular recurring security problem. There are several …","https://www.researchgate.net/profile/Aleem-Alvi/publication/220716343_A_Natural_Classification_Scheme_for_Software_Security_Patterns/links/589e601045851598bab443c9/A-Natural-Classification-Scheme-for-Software-Security-Patterns.pdf","https://scholar.google.com/scholar?q=related:kN8Wi_lZz24J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"M Bunke","Software-security patterns: degree of maturity",2015,"Proceedings of the 20th European Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2855321.2855364","https://scholar.google.com/scholar?cites=11338577187468660312&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:33:14","","10.1145/2855321.2855364","","",,,,,25,4.17,25,1,6,"Since Gamma et al. published their design patterns, patterns are very popular in the area of software engineering. They provide best practice to handle recurring problems during the software development phase. Three years later, security patterns appeared and provided …","","https://scholar.google.com/scholar?q=related:WM5qreC3Wp0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
24,"AK Alvi, M Zulkernine","A comparative study of software security pattern classifications",2012,"2012 Seventh International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6329234/","https://scholar.google.com/scholar?cites=8345687669481706582&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:14","","","","",,,,,24,2.67,12,2,9,"Software security patterns can be the building blocks of secure software systems. They provide reliable solutions for recurring security problems. The rapid increase in the number of security patterns creates difficulty in the selection of appropriate security patterns for …","https://www.researchgate.net/profile/Aleem-Alvi/publication/261338535_A_Comparative_Study_of_Software_Security_Pattern_Classifications/links/589e4f9992851c7fb4bb1ebd/A-Comparative-Study-of-Software-Security-Pattern-Classifications.pdf","https://scholar.google.com/scholar?q=related:VpTQ0bfW0XMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"H Guan, H Yang, J Wang","An ontology-based approach to security pattern selection",2016,"International Journal of Automation and …","Springer","https://link.springer.com/content/pdf/10.1007/s11633-016-0950-1.pdf","https://scholar.google.com/scholar?cites=7121504204731308089&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:33:14","","10.1007/s11633-016-0950-1","","",,,,,23,4.60,8,3,5,"Usually, the security requirements are addressed by abstracting the security problems arising in a specific context and providing a well proven solution to them. Security patterns incorporating proven security expertise solution to the recurring security problems have …","http://researchspace.bathspa.ac.uk/7639/1/7639.pdf","https://scholar.google.com/scholar?q=related:Odh1xVeq1GIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
