Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"A Mourad, MA Laverdiere, M Debbabi","An aspect-oriented approach for the systematic security hardening of code",2008,"computers & security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404808000126","https://scholar.google.com/scholar?cites=7734691561114950806&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:33:57","","","","",,,,,34,2.62,11,3,13,"In this paper, we present an aspect-oriented approach for the systematic security hardening of source code. It aims at allowing developers to perform software security hardening by providing an abstraction over the actions required to improve the security of the program …","https://www.researchgate.net/profile/Azzam-Mourad/publication/222419958_An_aspect-oriented_approach_for_the_systematic_security_hardening_of_code/links/5bd382404585150b2b8a1906/An-aspect-oriented-approach-for-the-systematic-security-hardening-of-code.pdf","https://scholar.google.com/scholar?q=related:ltx3o_4kV2sJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
28,"M Viroli, J Beal, F Damiani, G Audrito, R Casadei, ...","From distributed coordination to field calculus and aggregate computing",2019,"Journal of Logical and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S235222081930032X","https://scholar.google.com/scholar?cites=375106871577517632&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:33:57","","","","",,,,,28,14.00,5,6,2,"Aggregate computing is an emerging approach to the engineering of complex coordination for distributed systems, based on viewing system interactions in terms of information propagating through collectives of devices, rather than in terms of individual devices and …","https://drive.google.com/file/d/1wH-Fs3V9E-AQQNcPBeiRu9pk5Ps0ZHBo/view","https://scholar.google.com/scholar?q=related:QJ4vWbalNAUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"A Mourad, MA Laverdière, ...","A high-level aspect-oriented-based framework for software security hardening",2008,"… Security Journal: A Global …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/19393550801911230","https://scholar.google.com/scholar?cites=14790589914843503732&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:33:57","","10.1080/19393550801911230","","",,,,,22,1.69,7,3,13,"In this paper, we present an aspect-oriented approach and propose a high-level language called SHL (Security Hardening Language) for the systematic security hardening of software. The primary contribution of this proposition is providing the software architects with …","","https://scholar.google.com/scholar?q=related:dNy45Cm7Qs0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
21,"A Mourad, MA Laverdiere, ...","Towards an aspect oriented approach for the security hardening of code",2007,"… Conference on Advanced …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4221122/","https://scholar.google.com/scholar?cites=8924190352554842868&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:33:57","","","","",,,,,21,1.50,7,3,14,"In this paper, we present an approach revolving around aspect-oriented software development (AOSD) for the systematic security hardening of source code. It provides an abstraction over the actions required to improve the security of the program. Security …","https://www.researchgate.net/profile/Azzam-Mourad/publication/4250296_Towards_an_Aspect_Oriented_Approach_for_the_Security_Hardening_of_Code/links/02bfe51463a5c75f18000000/Towards-an-Aspect-Oriented-Approach-for-the-Security-Hardening-of-Code.pdf","https://scholar.google.com/scholar?q=related:9Nr_39cX2XsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
15,"SF Wen","Software security in open source development: A systematic literature review",2017,"2017 21st Conference of Open Innovations …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8250205/","https://scholar.google.com/scholar?cites=12515244754973555762&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:33:57","","","","",,,,,15,3.75,15,1,4,"Despite the security community's emphasis on the importance of building secure open source software (OSS), the number of new vulnerabilities found in OSS is increasing. In addition, software security is about the people that develop and use those applications and …","https://www.fruct.org/publications/fruct21/files/Wen.pdf","https://scholar.google.com/scholar?q=related:MvxEycsUr60J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"D Mouheb, M Debbabi, M Pourzandi, L Wang, M Nouh, ...","Aspect-oriented security hardening of UML design models",2015,"","Springer","https://link.springer.com/content/pdf/10.1007/978-3-319-16106-8.pdf","https://scholar.google.com/scholar?cites=17381841608590375039&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:33:57","BOOK","10.1007/978-3-319-16106-8","","",,,,,9,1.50,2,6,6,"In the coming years, information technology will continue to transform the way we think, work, communicate, and learn. The tremendous success of Internet-related technologies (web services, voice over IP, mobile telephony, etc.) coupled with advances both in …","","https://scholar.google.com/scholar?q=related:fzgintm0OPEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"MA Laverdière, A Mourad, A Soeanu, ...","Control flow based pointcuts for security hardening concerns",2007,"… Conference on Trust …","Springer","https://link.springer.com/chapter/10.1007/978-0-387-73655-6_20","https://scholar.google.com/scholar?cites=15375421260069650897&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:33:57","","10.1007/978-0-387-73655-6_20","","",,,,,8,0.57,2,4,14,"In this paper, we present two new control flow based point-cuts to Aspect-Oriented Programming (AOP) languages that are needed for systematic hardening of security concerns. They allow to identify particular join points in a program's control flow graph …","https://link.springer.com/content/pdf/10.1007/978-0-387-73655-6_20.pdf","https://scholar.google.com/scholar?q=related:0cFwbix4YNUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, A Soeanu, MA Laverdiere, M Debbabi","New aspect-oriented constructs for security hardening concerns",2009,"computers & security","Elsevier","https://www.sciencedirect.com/science/article/pii/S016740480900011X","https://scholar.google.com/scholar?cites=6630209487192811534&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:33:57","","","","",,,,,7,0.58,2,4,12,"In this paper, we present new pointcuts and primitives to Aspect-Oriented Programming (AOP) languages that are needed for systematic hardening of security concerns. The two proposed pointcuts allow to identify particular join points in a program's control-flow graph …","https://www.researchgate.net/profile/Azzam-Mourad/publication/220614642_New_aspect-oriented_constructs_for_security_hardening_concerns/links/5bd37b14299bf1124fa633b3/New-aspect-oriented-constructs-for-security-hardening-concerns.pdf","https://scholar.google.com/scholar?q=related:DmiNdmY8A1wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"A Mourad, D Alhadidi, M Debbabi","Cross-language weaving approach targeting software security hardening",2008,"2008 Sixth Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4641276/","https://scholar.google.com/scholar?cites=15185173285277666713&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:33:57","","","","",,,,,2,0.15,1,3,13,"In this paper, we propose an approach for systematic security hardening of software based on aspect-oriented programming and Gimple language. We also present the first steps towards a formal specification for Gimple weaving together with the implementation …","https://www.researchgate.net/profile/Azzam-Mourad/publication/220919990_Cross-Language_Weaving_Approach_Targeting_Software_Security_Hardening/links/02bfe51463a5b8f942000000/Cross-Language-Weaving-Approach-Targeting-Software-Security-Hardening.pdf","https://scholar.google.com/scholar?q=related:mQ26AaaSvNIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"R Charpentier, M Debbabi","Security evaluation and hardening of free and open source software (FOSS)",2010,"","apps.dtic.mil","https://apps.dtic.mil/sti/citations/ADA546462","https://scholar.google.com/scholar?cites=2003332130266932039&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:33:57","","","","",,,,,2,0.18,1,2,11,"Recently, Free and Open Source Software FOSS emerged as an alternative to Commercial Off The Shelf COTS software. Now, FOSS are perceived as a viable long-term solution that deserves careful consideration because of its potential for significant cost savings, improved …","https://apps.dtic.mil/sti/pdfs/ADA546462.pdf","https://scholar.google.com/scholar?q=related:R-OvV_VDzRsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
