Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"T Dbouk, A Mourad, H Otrok, H Tout, ...","A novel ad-hoc mobile edge cloud offering security services through intelligent resource-aware offloading",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8823954/","https://scholar.google.com/scholar?cites=5805424266565913959&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:01","","","","",,,,,30,15.00,6,5,2,"While the usage of smart devices is increasing, security attacks and malware affecting such terminals are briskly evolving as well. Mobile security suites exist to defend devices against malware and other intrusions. However, they require extensive resources not continuously …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/12695/%28Postprint%29%20A%20Novel.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:Zw0Yq5wCkVAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"H Sami, A Mourad","Dynamic on-demand fog formation offering on-the-fly IoT service deployment",2020,"IEEE Transactions on Network and Service …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8947936/","https://scholar.google.com/scholar?cites=12896776782735051752&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:01","","","","",,,,,25,25.00,13,2,1,"With the increasing number of IoT devices, fog computing has emerged, providing processing resources at the edge for the tremendous amount of sensed data and IoT computation. The advantage of the fog gets eliminated if it is not present near IoT devices …","https://www.academia.edu/download/64624911/DynamicOn-DemandFogFormationOfferingOn-The-FlyIoTServiceDeployment08947936.pdf","https://scholar.google.com/scholar?q=related:6IttYieO-rIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
20,"H Tout, C Talhi, N Kara, A Mourad","Smart mobile computation offloading: Centralized selective and multi-objective approach",2017,"Expert Systems with Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417417301586","https://scholar.google.com/scholar?cites=7942960575433757770&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:01","","","","",,,,,20,5.00,5,4,4,"Although mobile devices have been considerably upgraded to more powerful terminals, yet their lightness feature still impose intrinsic limitations in their computation capability, storage capacity and battery lifetime. With the ability to release and augment the limited resources of …","https://www.researchgate.net/profile/Azzam-Mourad/publication/314491788_Smart_Mobile_Computation_Offloading_Centralized_Selective_and_Multi-Objective_Approach/links/5bdd81ada6fdcc3a8dba50c7/Smart-Mobile-Computation-Offloading-Centralized-Selective-and-Multi-Objective-Approach.pdf","https://scholar.google.com/scholar?q=related:SlSpS48QO24J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"S Arisdakessian, OA Wahab, A Mourad, ...","FoGMatch: an intelligent multi-criteria IoT-Fog scheduling approach using game theory",2020,"IEEE/ACM …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9109632/","https://scholar.google.com/scholar?cites=17236252303596050863&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:01","","","","",,,,,14,14.00,4,4,1,"Cloud computing has long been the main backbone that Internet of Things (IoT) devices rely on to accommodate their storage and analytical needs. However, the fact that cloud systems are often located quite far from the IoT devices and the emergence of delay-critical IoT …","https://www.researchgate.net/profile/Sarhad-Arisdakessian-2/publication/341958501_FoGMatch_An_Intelligent_Multi-Criteria_IoT-Fog_Scheduling_Approach_Using_Game_Theory/links/5ee328c5458515814a582f5c/FoGMatch-An-Intelligent-Multi-Criteria-IoT-Fog-Scheduling-Approach-Using-Game-Theory.pdf","https://scholar.google.com/scholar?q=related:r9nZBiZ4M-8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"H Sami, A Mourad, W El-Hajj","Vehicular-OBUs-as-on-demand-fogs: Resource and context aware deployment of containerized micro-services",2020,"IEEE/ACM Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9032323/","https://scholar.google.com/scholar?cites=17947123205686221738&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:01","","","","",,,,,13,13.00,4,3,1,"Observing the headway in vehicular industry, new applications are developed demanding more resources. For instance, real-time vehicular applications require fast processing of the vast amount of generated data by vehicles in order to maintain service availability and …","https://www.researchgate.net/profile/Hani-Sami-2/publication/339852675_Vehicular-OBUs-As-On-Demand-Fogs_Resource_and_Context_Aware_Deployment_of_Containerized_Micro-Services/links/5e83d92692851c2f5270dbab/Vehicular-OBUs-As-On-Demand-Fogs-Resource-and-Context-Aware-Deployment-of-Containerized-Micro-Services.pdf","https://scholar.google.com/scholar?q=related:qtsYt3f9EPkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"S AbdulRahman, H Tout, A Mourad, ...","FedMCCS: multicriteria client selection model for optimal IoT federated learning",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9212434/","https://scholar.google.com/scholar?cites=6335911559130138134&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:34:01","","","","",,,,,10,10.00,3,4,1,"As an alternative centralized systems, which may prevent data to be stored in a central repository due to its privacy and/or abundance, federated learning (FL) is nowadays a game changer addressing both privacy and cooperative learning. It succeeds in keeping training …","https://www.researchgate.net/profile/Sawsan-Abdulrahman/publication/344871700_FedMCCS_Multicriteria_Client_Selection_Model_for_Optimal_IoT_Federated_Learning/links/5f9555a6299bf1b53e43a03d/FedMCCS-Multicriteria-Client-Selection-Model-for-Optimal-IoT-Federated-Learning.pdf","https://scholar.google.com/scholar?q=related:FkY-cv6t7VcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mousa, J Bentahar, O Alam","Context-aware composite SaaS using feature model",2019,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X1832507X","https://scholar.google.com/scholar?cites=7109521891810217608&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:01","","","","",,,,,7,3.50,2,3,2,"Abstract Software as a Service (SaaS) in cloud computing is delivered in a composite form to effectively address complex levels of user's requirements. Composite SaaS runs in a dynamic distributed cloud environment where the quality of service (QoS) properties of the …","https://www.researchgate.net/profile/Omar-Alam-3/publication/332651602_Context-aware_composite_SaaS_using_feature_model/links/5cd9b0b5a6fdccc9ddaa65ad/Context-aware-composite-SaaS-using-feature-model.pdf","https://scholar.google.com/scholar?q=related:iA42JH4YqmIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, H Tout, OA Wahab, H Otrok, ...","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9138386/","https://scholar.google.com/scholar?cites=6689443111974663338&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:01","","","","",,,,,7,7.00,1,5,1,"Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which …","https://www.researchgate.net/profile/Azzam-Mourad/publication/342859892_Ad_Hoc_Vehicular_Fog_Enabling_Cooperative_Low-Latency_Intrusion_Detection/links/5f15e3624585151299aaf71f/Ad-Hoc-Vehicular-Fog-Enabling-Cooperative-Low-Latency-Intrusion-Detection.pdf","https://scholar.google.com/scholar?q=related:qvRuchGt1VwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"H Sami, A Mourad, H Otrok, ...","Fscaler: Automatic resource scaling of containers in fog clusters using reinforcement learning",2020,"… and Mobile Computing …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9148401/","https://scholar.google.com/scholar?cites=3758340659779259874&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-19 16:34:01","","","","",,,,,5,5.00,1,4,1,"Several studies leverage fog computing as a solution to overcome cloud delays, including computation, network, and data storage. Along with the increase in demands for computing resources in fog infrastructures, heterogeneous fog devices are used towards forming highly …","https://www.researchgate.net/profile/Azzam-Mourad/publication/343244224_FScaler_Automatic_Resource_Scaling_of_Containers_in_Fog_Clusters_Using_Reinforcement_Learning/links/5f95b5c2a6fdccfd7b7f6da9/FScaler-Automatic-Resource-Scaling-of-Containers-in-Fog-Clusters-Using-Reinforcement-Learning.pdf","https://scholar.google.com/scholar?q=related:4s0M4-pOKDQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Salehan, H Deldari, S Abrishami","An online context-aware mechanism for computation offloading in ubiquitous and mobile cloud environments",2019,"The Journal of Supercomputing","Springer","https://link.springer.com/article/10.1007/s11227-019-02743-7","https://scholar.google.com/scholar?cites=10552167238424779903&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:01","","10.1007/s11227-019-02743-7","","",,,,,4,2.00,1,3,2,"In ubiquitous environments today, there are numerous sensors that generate a large amount of data. The results of processing this massive data can be applied through peripheral actuators in the surrounding environment of users. On the other hand, users are more …","","https://scholar.google.com/scholar?q=related:f9zSEDLUcJIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"H Tout, N Kara, C Talhi, A Mourad","Proactive machine learning-based solution for advanced manageability of multi-persona mobile computing",2019,"Computers & Electrical Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790617338028","https://scholar.google.com/scholar?cites=3683191481014767093&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:34:01","","","","",,,,,3,1.50,1,4,2,"Latest mobile virtualization techniques have opened the door for multi-persona mobility to overcome security and privacy concerns of bring-your-own devices practice. Multi-persona allows a physical device to co-host multiple virtual phones with impenetrable walls among …","https://www.researchgate.net/profile/Azzam-Mourad/publication/337664665_Proactive_machine_learning-based_solution_for_advanced_manageability_of_multi-persona_mobile_computing/links/5f95b3b6458515b7cf9eaf94/Proactive-machine-learning-based-solution-for-advanced-manageability-of-multi-persona-mobile-computing.pdf","https://scholar.google.com/scholar?q=related:9U2hOSNTHTMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"C Fiandrino","Energy-efficient communications in cloud, mobile cloud and fog computing",2016,"","orbilu.uni.lu","https://orbilu.uni.lu/handle/10993/28841","https://scholar.google.com/scholar?cites=5604737590095332286&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:34:01","","","","",,,,,2,0.40,2,1,5,"[en] This thesis studies the problem of energy efficiency of communications in distributed computing paradigms, including cloud computing, mobile cloud computing and fog/edge computing. Distributed computing paradigms have significantly changed the way of doing …","https://orbilu.uni.lu/bitstream/10993/28841/1/claudio-thesis.pdf","https://scholar.google.com/scholar?q=related:vkPpnCQHyE0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"S Benmakrelouf, N Kara, H Tout, R Rabipour, ...","Resource needs prediction in virtualized systems: Generic proactive and self-adaptive solution",2019,"Journal of Network and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804519303030","https://scholar.google.com/scholar?cites=11838277756413799146&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 16:34:01","","","","",,,,,2,1.00,0,5,2,"Resource management of virtualized systems in cloud data centers is a critical and challenging task due to the fluctuating workloads and complex applications in such environments. Over-provisioning is a common practice to meet service level agreement …","","https://scholar.google.com/scholar?q=related:6upzx-UCSqQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"M Al-Abbas, SS Saab","The Impact of Collaborative Research: A Case Study in a Developing Country",2020,"2020 4th International Symposium on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9254613/","https://scholar.google.com/scholar?cites=11544993287921573425&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-12-19 16:34:01","","","","",,,,,2,2.00,1,2,1,"Collaborative research has become a viable and strategic engagement for universities and scholars. Researchers often take part in grants and share scarce resources while gaining insight from scholars regardless of their geographical disposition. International collaboration …","","https://scholar.google.com/scholar?q=related:MZ7VNDoOOKAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"AM Rahmani, M Mohammadi, AH Mohammed, ...","Towards Data and Computation Offloading in Mobile Cloud Computing: Taxonomy, Overview, and Future Directions",2021,"Wireless Personal …","Springer","https://link.springer.com/article/10.1007/s11277-021-08202-y","https://scholar.google.com/scholar?cites=382781981719617373&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-12-19 16:34:01","","10.1007/s11277-021-08202-y","","",,,,,2,2.00,1,4,1,"The rapid developments in the mobile application context illuminate the demand for more resources and processing power at Smart Mobile Devices (SMDs). Mobile Cloud Computing (MCC) enables the SMDs to offload their workloads on the remote cloud servers and benefit …","","https://scholar.google.com/scholar?q=related:XV_RLi_qTwUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"H Tout, A Mourad, N Kara, ...","Multi-persona mobility: Joint cost-effective and resource-aware mobile-edge computation offloading",2021,"IEEE/ACM Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9385940/","https://scholar.google.com/scholar?cites=7591574387156647410&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-12-19 16:34:01","","","","",,,,,1,1.00,0,4,1,"Multi-persona mobile computing has begun to make its way to determine the battle about practical strategy for adopting personal devices in workplace. Though its competency, multi-persona performance and viability are critically threatened by the limited resources of mobile …","https://www.researchgate.net/profile/Azzam-Mourad/publication/350362452_Multi-Persona_Mobility_Joint_Cost-Effective_and_Resource-Aware_Mobile-Edge_Computation_Offloading/links/6065985ca6fdccad3f6288d7/Multi-Persona-Mobility-Joint-Cost-Effective-and-Resource-Aware-Mobile-Edge-Computation-Offloading.pdf","https://scholar.google.com/scholar?q=related:8v1s6K6wWmkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Hammoud, H Otrok, A Mourad, Z Dziong","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X21001710","",15,"2021-12-19 16:34:01","","","","",,,,,0,0.00,0,4,1,"Instability within fog federations is considered as a serious problem that degrades the performance of the provided services. The latter may affect the service availability due to fog providers withdrawing their resources. It may either lead to failures for some users …","http://icaangroup.com/wp-content/uploads/2021/06/4.pdf","https://scholar.google.com/scholar?q=related:1cexCAWo-OYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Sharafeddine","Three-tier offloading model for energy-efficient mobile computation.(c2018)",2018,"","laur.lau.edu.lb","https://laur.lau.edu.lb:8443/xmlui/handle/10725/8630","",16,"2021-12-19 16:34:01","","","","",,,,,0,0.00,0,1,3,"Integrating the smart phone in our daily life where many info's and tools can be accessed, is a new horizon for achieving a better quality of life. Accessing and analyzing data at the right time with the right price is the core of human need. We are targeting a professional …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8630/Aziza_Sharafeddine_Thesis_Redacted.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:9VUUDeZLJWUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
