Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"F Deng, LY Zhang","Elimination of policy conflict to improve the PDP evaluation performance",2017,"Journal of Network and Computer Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S1084804516303010","https://scholar.google.com/scholar?cites=3781062469340451231&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:08","","","","",,,,,14,3.50,7,2,4,"In the authorization access control model, the Policy Decision Point (PDP) may make an inappropriate authorization decision or the operating efficiency of the network and information system may be influenced, because there might be conflicts in the policies …","","https://scholar.google.com/scholar?q=related:n1GZbkgIeTQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"A Mourad, H Tout, C Talhi, H Otrok, ...","From model-driven specification to design-level set-based analysis of XACML policies",2016,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615003420","https://scholar.google.com/scholar?cites=17738353775164811685&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:08","","","","",,,,,14,2.80,3,5,5,"With lot of hype surrounding policy-based computing, XACML (eXtensible Access Control Markup Language) has become the widely used de facto standard for managing access to open and distributed service-based environments like Web services. However, like any …","https://www.researchgate.net/profile/Azzam-Mourad/publication/283489315_From_model-driven_specification_to_design-level_set-based_analysis_of_XACML_policies/links/5bdd82884585150b2b9adcb0/From-model-driven-specification-to-design-level-set-based-analysis-of-XACML-policies.pdf","https://scholar.google.com/scholar?q=related:pWno1MZKK_YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"F Deng, S Wang, L Zhang, X Wei, J Yu","Establishment of attribute bitmaps for efficient xacml policy evaluation",2018,"Knowledge-Based Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705117305774","https://scholar.google.com/scholar?cites=14945024988393428739&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:08","","","","",,,,,12,4.00,2,5,3,"One of the primary challenges to apply the access control policy language XACML is the performance problem of the policy decision point (PDP), particularly when the PDP experience a great number of policies. The research on improving the PDP evaluation …","","https://scholar.google.com/scholar?q=related:A9eGeAtlZ88J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"F Deng, J Lu, SY Wang, J Pan, LY Zhang","A distributed PDP model based on spectral clustering for improving evaluation performance",2019,"World Wide Web","Springer","https://link.springer.com/article/10.1007/s11280-018-0588-8","https://scholar.google.com/scholar?cites=17912272425708847373&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:08","","10.1007/s11280-018-0588-8","","",,,,,11,5.50,2,5,2,"In modern access control systems, the Policy Decision Point (PDP) needs to be more efficient to meet the ever-growing demands of Web access authorization. Present XACML implementations of access control systems follow the same architecture based on ABAC, but …","","https://scholar.google.com/scholar?q=related:DYFmLt4slfgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"F Deng, L Zhang, C Zhang, H Ban, C Wan, M Shi, ...","Establishment of rule dictionary for efficient XACML policy management",2019,"Knowledge-Based …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950705119301364","https://scholar.google.com/scholar?cites=4318916721749406914&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:08","","","","",,,,,9,4.50,1,7,2,"In order to improve the evaluation efficiency of the XACML policy, the storage principle of the rule dictionary is analyzed and the XACML policy evaluation engine XDPMOE is proposed. This is a new XACML policy management optimization scheme based on bitmap storage …","","https://scholar.google.com/scholar?q=related:wjReNuDf7zsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"NM Hoang, HX Son","A dynamic solution for fine-grained policy conflict resolution",2019,"Proceedings of the 3rd International Conference …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3309074.3309097","https://scholar.google.com/scholar?cites=16414308316480690404&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-19 16:34:08","","10.1145/3309074.3309097","","",,,,,7,3.50,4,2,2,"Access control is a security technique that specifies access rights to resources in a cloud computing environment. As information in cloud systems nowadays become more complex, it plays an important role in authenticating and authorizing users and preventing an attacker …","","https://scholar.google.com/scholar?q=related:5FiSdXJWy-MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"F Deng, LY Zhang, BY Zhou, JW Zhang, ...","Elimination of the redundancy related to combining algorithms to improve the PDP evaluation performance",2016,"… Problems in Engineering","hindawi.com","https://www.hindawi.com/journals/mpe/2016/7608408/","https://scholar.google.com/scholar?cites=18093730318691942255&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:08","HTML","","","",,,,,4,0.80,1,5,5,"If there are lots of redundancies in the policies loaded on the policy decision point (PDP) in the authorization access control model, the system will occupy more resources in operation and consumes plenty of evaluation time and storage space. In order to detect and eliminate …","https://www.hindawi.com/journals/mpe/2016/7608408/","https://scholar.google.com/scholar?q=related:bz9ZM9zXGfsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"B Tay, A Mourad","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9163345/","https://scholar.google.com/scholar?cites=4720395701338293340&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 16:34:08","","","","",,,,,4,4.00,2,2,1,"In the current banking systems and business processes, the permission granted to employees is controlled and managed by the configured access control methods, in which static role-based models focus on access to information and functions. The deployed …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09163345.pdf","https://scholar.google.com/scholar?q=related:XMSMceE2gkEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Munakami","Developing an ABAC-based grant proposal workflow management system",2016,"","scholarworks.boisestate.edu","http://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=2259&context=td","https://scholar.google.com/scholar?cites=17370858371597456351&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:08","PDF","","","",,,,,3,0.60,3,1,5,"In the advent of the digital transformation, online business processes need to be automated and modeled as workflows. A workflow typically involves a sequence of coordinated tasks and shared data that need to be secured and protected from unauthorized access. In other …","http://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=2259&context=td","https://scholar.google.com/scholar?q=related:39OveqevEfEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Teimourikia, G Marilli, M Fugini","Context-based risk-adaptive security model and conflict management",2016,"International Conference on Database …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-44403-1_8","https://scholar.google.com/scholar?cites=16696570634362362897&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:08","","10.1007/978-3-319-44403-1_8","","",,,,,3,0.60,1,3,5,"In dynamic and risk-prone environments, security rules should be flexible enough to permit the treatment of risks, and to manage privileges on resources based on the situation at hand. For this purpose, we define safety-centric contexts based on risk description that is provided …","","https://scholar.google.com/scholar?q=related:ERxjnIcitucJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Mejri, H Yahyaoui, A Mourad, M Chehab","A rewriting system for the assessment of XACML policies relationship",2020,"Computers & Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404820302339","https://scholar.google.com/scholar?cites=17781563511376009332&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:34:08","","","","",,,,,3,3.00,1,4,1,"We propose in this paper a new approach to assess the relationship between XACML policies. Our approach spans over three steps. In the first one, the XACML policies are mapped to terms of a Boolean ring while taking into account XACML policy and rule …","https://arxiv.org/pdf/1605.05887","https://scholar.google.com/scholar?q=related:dFidhs3NxPYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"W Wan, J Bentahar, H Yahyaoui, AB Hamza","Verifying concurrent probabilistic systems using probabilistic-epistemic logic specifications",2016,"Applied Intelligence","Springer","https://link.springer.com/article/10.1007/s10489-016-0790-2","https://scholar.google.com/scholar?cites=1134585110324631256&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:34:08","","10.1007/s10489-016-0790-2","","",,,,,2,0.40,1,4,5,"In this paper, we address the problem of verifying probabilistic and epistemic properties in concurrent probabilistic systems expressed in PCTLK. PCTLK is an extension of the Probabilistic Computation Tree Logic (PCTL) augmented with Knowledge (K). In fact, PCTLK …","","https://scholar.google.com/scholar?q=related:2NZYhCXbvg8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
