Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
46,"A Shakarami, M Ghobaei-Arani, M Masdari, ...","A survey on the computation offloading approaches in mobile edge/cloud computing environment: a stochastic-based perspective",2020,"Journal of Grid …","Springer","https://link.springer.com/article/10.1007/s10723-020-09530-2","https://scholar.google.com/scholar?cites=14652103041294285472&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:23","","10.1007/s10723-020-09530-2","","",,,,,46,46.00,12,4,1,"Fast growth of produced data from deferent smart devices such as smart mobiles, IoT/IIoT networks, and vehicular networks running different specific applications such as Augmented Reality (AR), Virtual Reality (VR), and positioning systems, demand more and more …","https://www.researchgate.net/profile/Mohammad-Masdari-2/publication/343537905_A_Survey_on_the_Computation_Offloading_Approaches_in_Mobile_EdgeCloud_Computing_Environment_A_Stochastic-based_Perspective/links/5f44c1eb458515b7294f3141/A-Survey-on-the-Computation-Offloading-Approaches-in-Mobile-Edge-Cloud-Computing-Environment-A-Stochastic-based-Perspective.pdf","https://scholar.google.com/scholar?q=related:oDrE_BW6VssJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"H Sami, A Mourad","Dynamic on-demand fog formation offering on-the-fly IoT service deployment",2020,"IEEE Transactions on Network and Service …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8947936/","https://scholar.google.com/scholar?cites=12896776782735051752&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:23","","","","",,,,,25,25.00,13,2,1,"With the increasing number of IoT devices, fog computing has emerged, providing processing resources at the edge for the tremendous amount of sensed data and IoT computation. The advantage of the fog gets eliminated if it is not present near IoT devices …","https://www.academia.edu/download/64624911/DynamicOn-DemandFogFormationOfferingOn-The-FlyIoTServiceDeployment08947936.pdf","https://scholar.google.com/scholar?q=related:6IttYieO-rIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
13,"H Sami, A Mourad, W El-Hajj","Vehicular-OBUs-as-on-demand-fogs: Resource and context aware deployment of containerized micro-services",2020,"IEEE/ACM Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9032323/","https://scholar.google.com/scholar?cites=17947123205686221738&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:23","","","","",,,,,13,13.00,4,3,1,"Observing the headway in vehicular industry, new applications are developed demanding more resources. For instance, real-time vehicular applications require fast processing of the vast amount of generated data by vehicles in order to maintain service availability and …","https://www.researchgate.net/profile/Hani-Sami-2/publication/339852675_Vehicular-OBUs-As-On-Demand-Fogs_Resource_and_Context_Aware_Deployment_of_Containerized_Micro-Services/links/5e83d92692851c2f5270dbab/Vehicular-OBUs-As-On-Demand-Fogs-Resource-and-Context-Aware-Deployment-of-Containerized-Micro-Services.pdf","https://scholar.google.com/scholar?q=related:qtsYt3f9EPkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
12,"P Farhat, H Sami, A Mourad","Reinforcement R-learning model for time scheduling of on-demand fog placement",2020,"The Journal of Supercomputing","Springer","https://link.springer.com/article/10.1007/s11227-019-03032-z","https://scholar.google.com/scholar?cites=1383698678103651348&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:23","","10.1007/s11227-019-03032-z","","",,,,,12,12.00,4,3,1,"On the fly deployment of fog nodes near users provides the flexibility of pushing services anywhere and whenever needed. Nevertheless, taking a real-life scenario, the cloud might limit the number of fogs to place for minimizing the complexity of monitoring a large number …","https://www.researchgate.net/profile/Hani-Sami-2/publication/336750483_Reinforcement_R-learning_model_for_time_scheduling_of_on-demand_fog_placement/links/5dd2d92592851c382f49a2c8/Reinforcement-R-learning-model-for-time-scheduling-of-on-demand-fog-placement.pdf","https://scholar.google.com/scholar?q=related:FLSL2J3iMxMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"MA Mohammed, AA Kamil, RA Hasan, ...","An Effective Context Sensitive Offloading System for Mobile Cloud Environments using Support Value-based Classification",2019,"… Computing: Practice and …","scpe.org","https://scpe.org/index.php/scpe/article/view/1570","https://scholar.google.com/scholar?cites=10755935800742583818&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:23","","","","",,,,,10,5.00,3,4,2,"Mobile cloud computing (MCC) has drawn significant research attention recently due to the popularity and capability of portable devices. This paper presents an MCC offloading system based on internet offloading choices. This system guarantees the conservation of battery life …","https://scpe.org/index.php/scpe/article/download/1570/609","https://scholar.google.com/scholar?q=related:Ch4rlp_CRJUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"Q Tan, Y Liu, Q Ye","The impact of clean development mechanism on energy-water-carbon nexus optimization in Hebei, China: A hierarchical model based discussion",2020,"Journal of environmental management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301479720303753","https://scholar.google.com/scholar?cites=1437113994922156172&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:23","","","","",,,,,8,8.00,3,3,1,"Clean development mechanism (CDM) is an important principle in CO 2 emissions mitigation since it was proposed. However, there will be a long way for the large-scale application of CDM in China, for thermal power is still in the dominant position, while …","","https://scholar.google.com/scholar?q=related:jOATcZCn8RMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"M Masoudi, C Cavdar","Device vs edge computing for mobile services: Delay-aware decision making to minimize power consumption",2020,"IEEE Transactions on Mobile …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9107488/","https://scholar.google.com/scholar?cites=18306049547075840434&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:23","","","","",,,,,8,8.00,4,2,1,"A promising technique to provide mobile applications with high computation resources is to offload the processing task to the cloud. Utilizing the abundant processing capabilities of the clouds, mobile edge computing enables mobile devices with limited batteries to run …","https://arxiv.org/pdf/1711.03771","https://scholar.google.com/scholar?q=related:suknzhInDP4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, H Tout, OA Wahab, H Otrok, ...","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2020,"IEEE Internet of Things …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9138386/","https://scholar.google.com/scholar?cites=6689443111974663338&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:34:23","","","","",,,,,7,7.00,1,5,1,"Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which …","https://www.researchgate.net/profile/Azzam-Mourad/publication/342859892_Ad_Hoc_Vehicular_Fog_Enabling_Cooperative_Low-Latency_Intrusion_Detection/links/5f15e3624585151299aaf71f/Ad-Hoc-Vehicular-Fog-Enabling-Cooperative-Low-Latency-Intrusion-Detection.pdf","https://scholar.google.com/scholar?q=related:qvRuchGt1VwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SA Rahman, A Mourad, M El Barachi","An infrastructure-assisted crowdsensing approach for on-demand traffic condition estimation",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8895966/","https://scholar.google.com/scholar?cites=12109604778604014966&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:34:23","","","","",,,,,5,2.50,2,3,2,"With the widespread use of smartphones and the continuous increase of their capabilities, a new sensing paradigm has emerged: mobile crowdsensing. The concept of crowdsensing implies the reliance on the crowd to perform sensing tasks and collect data about a …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08895966.pdf","https://scholar.google.com/scholar?q=related:dq0Q_2L1DagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Salehan, H Deldari, S Abrishami","An online context-aware mechanism for computation offloading in ubiquitous and mobile cloud environments",2019,"The Journal of Supercomputing","Springer","https://link.springer.com/article/10.1007/s11227-019-02743-7","https://scholar.google.com/scholar?cites=10552167238424779903&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:23","","10.1007/s11227-019-02743-7","","",,,,,4,2.00,1,3,2,"In ubiquitous environments today, there are numerous sensors that generate a large amount of data. The results of processing this massive data can be applied through peripheral actuators in the surrounding environment of users. On the other hand, users are more …","","https://scholar.google.com/scholar?q=related:f9zSEDLUcJIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
