Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"A Mourad, H Tout, C Talhi, H Otrok, ...","From model-driven specification to design-level set-based analysis of XACML policies",2016,"Computers & Electrical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615003420","https://scholar.google.com/scholar?cites=17738353775164811685&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:35:12","","","","",,,,,14,2.80,3,5,5,"With lot of hype surrounding policy-based computing, XACML (eXtensible Access Control Markup Language) has become the widely used de facto standard for managing access to open and distributed service-based environments like Web services. However, like any …","https://www.researchgate.net/profile/Azzam-Mourad/publication/283489315_From_model-driven_specification_to_design-level_set-based_analysis_of_XACML_policies/links/5bdd82884585150b2b9adcb0/From-model-driven-specification-to-design-level-set-based-analysis-of-XACML-policies.pdf","https://scholar.google.com/scholar?q=related:pWno1MZKK_YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"M Anisetti, C Ardagna, E Damiani, ...","Test-based security certification of composite services",2018,"ACM Transactions on the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3267468","https://scholar.google.com/scholar?cites=7281518481500954483&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:35:12","","10.1145/3267468","","",,,,,14,4.67,4,4,3,"The diffusion of service-based and cloud-based systems has created a scenario where software is often made available as services, offered as commodities over corporate networks or the global net. This scenario supports the definition of business processes as …","https://air.unimi.it/bitstream/2434/620179/2/main.pdf","https://scholar.google.com/scholar?q=related:c19O03omDWUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
9,"H Tout, A Mourad, C Talhi, H Otrok","AOMD approach for context-adaptable and conflict-free Web services composition",2015,"Computers & Electrical Engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045790615001329","https://scholar.google.com/scholar?cites=9459858711165513783&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:35:12","","","","",,,,,9,1.50,2,4,6,"Abstract BPEL or Business Process Execution Language is so far the most important standard language for effective composition of Web services. However, like most available process orchestration engines, BPEL does not provide automated support for reacting …","https://www.researchgate.net/profile/Azzam-Mourad/publication/275412014_AOMD_approach_for_context-adaptable_and_conflict-free_Web_services_composition/links/5bdd8305a6fdcc3a8dba5119/AOMD-approach-for-context-adaptable-and-conflict-free-Web-services-composition.pdf","https://scholar.google.com/scholar?q=related:N7BnmGArSIMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"A Fuchs, S Gürgens","Preserving confidentiality in component compositions",2013,"International Conference on Software Composition","Springer","https://link.springer.com/chapter/10.1007/978-3-642-39614-4_3","https://scholar.google.com/scholar?cites=6978588216563277195&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:35:12","","10.1007/978-3-642-39614-4_3","","",,,,,5,0.63,3,2,8,"The preservation of any security property for the composition of components in software engineering is typically regarded a non-trivial issue. Amongst the different possible properties, confidentiality however poses the most challenging one. The naive approach of …","https://link.springer.com/content/pdf/10.1007/978-3-642-39614-4_3.pdf","https://scholar.google.com/scholar?q=related:ix37QQLt2GAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"C Ke, Z Huang, X Cheng","Privacy Disclosure Checking Method Applied on Collaboration Interactions Among SaaS Services",2017,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7936456/","https://scholar.google.com/scholar?cites=10506249830026738217&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:35:12","","","","",,,,,5,1.25,2,3,4,"As a new software paradigm, cloud computing provides services dynamically according to user requirements. However, it tends to disclose personal information due to collaborative computing and transparent interactions among software as a service (SaaS) services. We …","https://ieeexplore.ieee.org/iel7/6287639/6514899/07936456.pdf","https://scholar.google.com/scholar?q=related:KXpAUI6yzZEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"C Ke, Z Huang, F Xiao, L Liu","Privacy Data Decomposition and Discretization Method for SaaS Services",2017,"Mathematical Problems in Engineering","hindawi.com","https://www.hindawi.com/journals/mpe/2017/4785142/","https://scholar.google.com/scholar?cites=7648574322383873246&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:35:12","HTML","","","",,,,,3,0.75,1,4,4,"In cloud computing, user functional requirements are satisfied through service composition. However, due to the process of interaction and sharing among SaaS services, user privacy data tends to be illegally disclosed to the service participants. In this paper, we propose a …","https://www.hindawi.com/journals/mpe/2017/4785142/","https://scholar.google.com/scholar?q=related:3mTdg9IxJWoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"DP Dang, X Jiang, N Wang, YT YAO, ...","Concurrency Control of Real-Time Web Service Transactions.",2018,"Journal of Information …","search.ebscohost.com","http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10162364&AN=127352726&h=VNyWgh4k5q0Ln%2BTzqKdhd5ZZLXOSqJfobWgzhGSeVdcSbd9Gf6Y2MKi8Lnl3dscie%2BbCPMmGpjSiIv8sKETYbA%3D%3D&crl=c","https://scholar.google.com/scholar?cites=18082484124101104000&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:35:12","","","","",,,,,1,0.33,0,5,3,"Transactional property is crucial to the success of web service composite applications. In the dynamic and open web service environment, maintaining consistency is a new challenge. In this study, we propose a flexible web service transaction model FleWeSeT, which supports …","","https://scholar.google.com/scholar?q=related:gNGveYHj8foJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"C Ke, Z Huang, L Liu","Composite Service-Oriented Minimum Privacy Disclosure Method",2017,"DEStech Transactions on Computer …","dpi-proceedings.com","https://www.dpi-proceedings.com/index.php/dtcse/article/view/17518","",8,"2021-12-19 16:35:12","","","","",,,,,0,0.00,0,3,4,"Abstract Service composition has become a main application to satisfy user functional requirements. To assure user privacy information not being disclosed, using the user minimum privacy data set when providing application, is a research focus of privacy …","https://www.dpi-proceedings.com/index.php/dtcse/article/download/17518/17025","https://scholar.google.com/scholar?q=related:ih10EA_xERkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"H Tout, A Mourad, C Talhi, H Otrok, H Yahyaoui","Model-driven specification and design-level analysis of XACML policies",2020,"","laur.lau.edu.lb","https://laur.lau.edu.lb:8443/xmlui/handle/10725/12115","",9,"2021-12-19 16:35:12","","","","",,,,,0,0.00,0,5,1,"Throughout the recent years, Web services security has been the target of many researchers. Particularly, by integrating policies and rules to govern the Web services behaviors at runtime, researchers have been able to prove the capability of policy …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/12115/%28Postprint%29%20Model.pdf?sequence=3&isAllowed=y","https://scholar.google.com/scholar?q=related:TDwv4xQ6ZXYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"A Farah, B Saida, OC Mourad","On the security of business processes: classification of approaches, comparison, and research directions",2021,"2021 International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9628908/","",10,"2021-12-19 16:35:12","","","","",,,,,0,0.00,0,3,1,"Business processes are at the heart of companies and evolve constantly to cope with the business needs. Considering the speed at which these changes occur, securing companies' business processes has become much more critical. Indeed, business processes are …","",""
