Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"A Mourad, MA Laverdière, ...","A high-level aspect-oriented-based framework for software security hardening",2008,"… Security Journal: A Global …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/19393550801911230","https://scholar.google.com/scholar?cites=14790589914843503732&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:18","","10.1080/19393550801911230","","",,,,,22,1.69,7,3,13,"In this paper, we present an aspect-oriented approach and propose a high-level language called SHL (Security Hardening Language) for the systematic security hardening of software. The primary contribution of this proposition is providing the software architects with …","","https://scholar.google.com/scholar?q=related:dNy45Cm7Qs0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"PF de Araujo-Filho, G Kaddoum, ...","Intrusion detection for cyber–physical systems using generative adversarial networks in fog environment",2020,"IEEE Internet of …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9199878/","https://scholar.google.com/scholar?cites=6239621464334317466&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:18","","","","",,,,,11,11.00,4,3,1,"Cyber-attacks cyber–physical systems (CPSs) can lead to sensing and actuation misbehavior, severe damages to physical objects, and safety risks. Machine learning algorithms have been proposed for hindering cyber-attacks on CPSs, but the absence of …","","https://scholar.google.com/scholar?q=related:mreMsqmWl1YJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"A Mourad, MA Laverdiere, M Debbabi","A High-Level Aspect-Oriented based Language for Software Security Hardening.",2007,"SECRYPT","scitepress.org","https://www.scitepress.org/papers/2007/21284/21284.pdf","https://scholar.google.com/scholar?cites=3970080242782111466&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:18","PDF","","","",,,,,10,0.71,3,3,14,"In this paper, we propose an aspect-oriented language, called SHL (Security Hardening Language), for specifying systematically the security hardening solutions. This language constitutes our new achievement towards developing our security hardening framework …","https://www.scitepress.org/papers/2007/21284/21284.pdf","https://scholar.google.com/scholar?q=related:6gbTSPKOGDcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
8,"MA Laverdière, A Mourad, A Soeanu, ...","Control flow based pointcuts for security hardening concerns",2007,"… Conference on Trust …","Springer","https://link.springer.com/chapter/10.1007/978-0-387-73655-6_20","https://scholar.google.com/scholar?cites=15375421260069650897&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:18","","10.1007/978-0-387-73655-6_20","","",,,,,8,0.57,2,4,14,"In this paper, we present two new control flow based point-cuts to Aspect-Oriented Programming (AOP) languages that are needed for systematic hardening of security concerns. They allow to identify particular join points in a program's control flow graph …","https://link.springer.com/content/pdf/10.1007/978-0-387-73655-6_20.pdf","https://scholar.google.com/scholar?q=related:0cFwbix4YNUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"A Mourad, A Soeanu, MA Laverdiere, M Debbabi","New aspect-oriented constructs for security hardening concerns",2009,"computers & security","Elsevier","https://www.sciencedirect.com/science/article/pii/S016740480900011X","https://scholar.google.com/scholar?cites=6630209487192811534&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:18","","","","",,,,,7,0.58,2,4,12,"In this paper, we present new pointcuts and primitives to Aspect-Oriented Programming (AOP) languages that are needed for systematic hardening of security concerns. The two proposed pointcuts allow to identify particular join points in a program's control-flow graph …","https://www.researchgate.net/profile/Azzam-Mourad/publication/220614642_New_aspect-oriented_constructs_for_security_hardening_concerns/links/5bd37b14299bf1124fa633b3/New-aspect-oriented-constructs-for-security-hardening-concerns.pdf","https://scholar.google.com/scholar?q=related:DmiNdmY8A1wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"D Alhadidi, N Belblidia, M Debbabi, ...","λ_saop: a security AOP calculus",2009,"The Computer …","academic.oup.com","https://academic.oup.com/comjnl/article-abstract/52/7/824/375270","https://scholar.google.com/scholar?cites=12861551132473576051&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:18","","","","",,,,,6,0.50,2,4,12,"This paper presents an aspect-oriented calculus for security called λ_SAOP. It is based on the λ_calculus and contains pointcuts that are relevant to security hardening of applications. The main contribution of the paper is a semantics for λ_SAOP advice weaving in the …","https://www.researchgate.net/profile/Mourad-Debbabi/publication/220458508_l-SAOP_A_security_AOP_calculus/links/55b93fc708aec0e5f43c30f2/l-SAOP-A-security-AOP-calculus.pdf","https://scholar.google.com/scholar?q=related:c0qcj5xofbIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"A Mourad, MA Laverdiere, M Debbabi","New Primitives to AOP Weaving Capabilities for Security Hardening Concerns.",2007,"WOSIS","researchgate.net","https://www.researchgate.net/profile/Azzam-Mourad/publication/221399840_New_Primitives_to_AOP_Weaving_Capabilities_for_Security_Hardening_Concerns/links/02bfe51463a5b4f4a7000000/New-Primitives-to-AOP-Weaving-Capabilities-for-Security-Hardening-Concerns.pdf","https://scholar.google.com/scholar?cites=12515526711366106298&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:18","PDF","","","",,,,,4,0.29,1,3,14,"In this paper, we present two new primitives to Aspect-Oriented Programming (AOP) languages that are needed for systematic hardening of security concerns. These primitives are called exportParameter and importParameter and are used to pass parameters between …","https://www.researchgate.net/profile/Azzam-Mourad/publication/221399840_New_Primitives_to_AOP_Weaving_Capabilities_for_Security_Hardening_Concerns/links/02bfe51463a5b4f4a7000000/New-Primitives-to-AOP-Weaving-Capabilities-for-Security-Hardening-Concerns.pdf","https://scholar.google.com/scholar?q=related:urzj3zsVsK0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"A Mourad, D Alhadidi, M Debbabi","Cross-language weaving approach targeting software security hardening",2008,"2008 Sixth Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4641276/","https://scholar.google.com/scholar?cites=15185173285277666713&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:18","","","","",,,,,2,0.15,1,3,13,"In this paper, we propose an approach for systematic security hardening of software based on aspect-oriented programming and Gimple language. We also present the first steps towards a formal specification for Gimple weaving together with the implementation …","https://www.researchgate.net/profile/Azzam-Mourad/publication/220919990_Cross-Language_Weaving_Approach_Targeting_Software_Security_Hardening/links/02bfe51463a5b8f942000000/Cross-Language-Weaving-Approach-Targeting-Software-Security-Hardening.pdf","https://scholar.google.com/scholar?q=related:mQ26AaaSvNIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"VO Safonov","Aspect-Oriented Programming and Aspect .NET as Security and Privacy Tools for Web and 3D Web Programming",2010,"Security in Virtual Worlds, 3D Webs, and Immersive …","books.google.com","https://books.google.com/books?hl=en&lr=&id=l80csHRl07sC&oi=fnd&pg=PA221&ots=JyilsVtulD&sig=V23cOOxkSNFF0FBTYeL1T3XQg5I","https://scholar.google.com/scholar?cites=17844837269399697925&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:34:18","","","","",,,,,2,0.18,2,1,11,"This chapter covers the use of aspect-oriented programming (AOP) and Aspect .NET, an AOP toolkit for the .NET platform, to implement Web and 3D Web security and privacy. In this chapter the author shows that AOP is quite suitable as a trustworthy software development …","","https://scholar.google.com/scholar?q=related:BXo4VfOYpfcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"R Charpentier, M Debbabi","Security evaluation and hardening of free and open source software (FOSS)",2010,"","apps.dtic.mil","https://apps.dtic.mil/sti/citations/ADA546462","https://scholar.google.com/scholar?cites=2003332130266932039&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:34:18","","","","",,,,,2,0.18,1,2,11,"Recently, Free and Open Source Software FOSS emerged as an alternative to Commercial Off The Shelf COTS software. Now, FOSS are perceived as a viable long-term solution that deserves careful consideration because of its potential for significant cost savings, improved …","https://apps.dtic.mil/sti/pdfs/ADA546462.pdf","https://scholar.google.com/scholar?q=related:R-OvV_VDzRsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"G Harit, S Chaudhury, G Garg, ...","A framework for video representation and transcoding using appearance spaces",2003,"… on Multimedia and Expo …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1221381/","https://scholar.google.com/scholar?cites=3543216926642660287&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:34:18","","","","",,,,,2,0.11,1,4,18,"We present a novel scheme for object-based video sequence presentation using appearance spaces. Our scheme enables fully automatic extraction of semantic video objects for a class of sequences, and their supervised organization in an object-class …","http://eprint.iitd.ac.in/bitstream/handle/12345678/2019/haritfre2003.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:v-OvogUJLDEJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"MA Laverdière-Papineau","Towards systematic software security hardening",2008,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=z4FfBLvScTUC&oi=fnd&pg=PR8&ots=hV7XkU11po&sig=0GpsDYdwMM6jk8_5kiUr8helXmo","https://scholar.google.com/scholar?cites=6180049245882218408&as_sdt=2005&sciodt=0,5&hl=en",12,"2021-12-19 16:34:18","BOOK","","","",,,,,2,0.15,2,1,13,"In this thesis, we report our research on systematic security hardening. We see how the software development industry is currently relying on highly-qualiﬁed security experts in order to manually improve existing software, which is a costly and error-prone approach. In …","https://books.google.com/books?hl=en&lr=&id=z4FfBLvScTUC&oi=fnd&pg=PR8&ots=hV7XkU11po&sig=0GpsDYdwMM6jk8_5kiUr8helXmo","https://scholar.google.com/scholar?q=related:qPc6uwvyw1UJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"VO Safonov","Aspect-Oriented Programming and Aspect. NET as Security and Privacy Tool for Web and 3D Web Programming",2011,"Security in Virtual Worlds, 3D Webs, and Immersive …","igi-global.com","https://www.igi-global.com/chapter/aspect-oriented-programming-aspect-net/49524","https://scholar.google.com/scholar?cites=8102621645022003757&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-12-19 16:34:18","","","","",,,,,2,0.20,2,1,10,"This chapter covers the use of aspect-oriented programming (AOP) and Aspect .NET, an AOP toolkit for the .NET platform, to implement Web and 3D Web security and privacy. In this chapter the author shows that AOP is quite suitable as a trustworthy software development …","","https://scholar.google.com/scholar?q=related:LYLt5HRLcnAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
