Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"R Contreras, A Zisman, A Marconi, ...","PRadapt: A framework for dynamic monitoring of adaptable service-based systems",2012,"2012 4th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6225939/","https://scholar.google.com/scholar?cites=4994008356471120379&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:58","","","","",,,,,7,0.78,2,4,9,"Existing approaches for monitoring service-based systems assume that monitor rules are pre-defined and known in advance. However, adaptation of service-based systems may trigger the need to adapt the associated monitor rules in order to verify the correct behavior …","","https://scholar.google.com/scholar?q=related:-yHLDCRITkUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"PAS Neto, G Vargas-Solar, US da Costa, ...","Designing service-based applications in the presence of non-functional properties: A mapping study",2016,"Information and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584915001573","https://scholar.google.com/scholar?cites=7862237325712439651&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:58","","","","",,,,,7,1.40,2,4,5,"Context The development of distributed software systems has become an important problem for the software engineering community. Service-based applications are a common solution for this kind of systems. Services provide a uniform mechanism for discovering, integrating …","","https://scholar.google.com/scholar?q=related:YznoGjFHHG0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"AR Contreras, K Mahbub","MORPED: Monitor rules for proactive error detection based on run-time and historical data",2014,"The Fifth International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6814690/","https://scholar.google.com/scholar?cites=15256207553576934305&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:58","","","","",,,,,5,0.71,3,2,7,"Existing approaches for monitoring Service-based Systems assume monitor rules are pre-defined and known in advance. Furthermore, in most of the cases, monitor rules are associated to a set of actions, triggered by the deviations from the expected behaviour, to …","","https://scholar.google.com/scholar?q=related:oZuVavDvuNMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Thirumaran, P Dhavachelvan, ...","A COLLABORATIVE FRAMEWORK FOR MANAGING RUN-TIME CHANGES IN ENTERPRISE WEB SERVICES",2012,"International Journal of …","search.proquest.com","https://search.proquest.com/openview/3d9b2d3a417aeab42d01f097ed6f0ee6/1.pdf?pq-origsite=gscholar&cbl=646382","https://scholar.google.com/scholar?cites=3651948621682981054&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:58","","","","",,,,,3,0.33,1,3,9,"In a business atmosphere changes are ever occurring incidents which are supported by Information Technologies and there should be proper management techniques to handle these changes effectively. Also business processes must be aligned to IT to ensure the …","","https://scholar.google.com/scholar?q=related:vjhkLexTrjIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Thirumaran, P Dhavachelvan, D Aishwarya, ...","Evaluation of change factors for web service change management",2012,"Procedia …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2212017312005658","https://scholar.google.com/scholar?cites=15922630026324177308&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:58","","","","",,,,,3,0.33,1,4,9,"Abstract Service oriented architecture (SOA) is a smart designing principle which has been evolved for integrating business tasks. Business activities that have to be designed based on SOA are implemented via web services. Using web services (WS) one can exchange …","https://www.sciencedirect.com/science/article/pii/S2212017312005658/pdf?md5=27ae0638b17c48a5abbf0292fa571d0e&pid=1-s2.0-S2212017312005658-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:nHEFsaWL-NwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"M Thirumaran, P Dhavachelvan, ...","Business workflow growth rate analysis using cellular automata",2012,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2393216.2393270","https://scholar.google.com/scholar?cites=7616051666689786905&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:58","","10.1145/2393216.2393270","","",,,,,2,0.22,1,3,9,"In highly competitive and fast changing world, various business enterprises and IT organizations must adapt to the needs of their clients and quickly respond to the emergency changes imposed by them. But most of the present business trends foster at highly …","","https://scholar.google.com/scholar?q=related:GQQRqKOmsWkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"M Lethrech, A Kenzi, I Elmagrouni, M Nassar, ...","CADSSO: A DEVELOPMENT APPROACH FOR CONTEXT-AWARE SERVICE ORIENTED SYSTEMS.",2015,"Journal of Theoretical & …","","","https://scholar.google.com/scholar?cites=16362600899833575146&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:58","CITATION","","","",,,,,1,0.17,0,5,6,"","","https://scholar.google.com/scholar?q=related:6jYRXNOiE-MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Thirumaran, M Jannani","A Finite State Machine based Evaluation of Business Policy Enforcement in Long Term Composed Services",,"Citeseer","","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1039.9605&rep=rep1&type=pdf","",8,"2021-12-19 16:34:58","PDF","","","",,,,,0,0.00,0,2,,"Web services are dynamically evolving entities which provide machine to machine interoperable interaction over a network. With the evolution of Service Oriented Enterprises (SOEs) and dynamic business environment, Web services have attained greater attraction …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1039.9605&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:soIXH7KKm54J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Thirumaran, D Ponnurangam, GNV Kiran, ...","A novel framework for enterprise web services change management",2012,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2345396.2345401","",9,"2021-12-19 16:34:58","","10.1145/2345396.2345401","","",,,,,0,0.00,0,4,9,"Business logic might be constantly improved or changed in order to provide enhanced services or to reduce cost. As a result, the software applications employed must be continuously updated to comply with the changes in their functional features. Changes in …","","https://scholar.google.com/scholar?q=related:5LwNWF3-83kJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"PA Souza Neto, G Vargas-Solar, US da Costa, ...","Designing service-based applications in the presence of non-functional properties",2016,"Information and …","dl.acm.org","https://dl.acm.org/doi/abs/10.1016/j.infsof.2015.09.004","",10,"2021-12-19 16:34:58","","10.1016/j.infsof.2015.09.004","","",,,,,0,0.00,0,4,5,"ContextThe development of distributed software systems has become an important problem for the software engineering community. Service-based applications are a common solution for this kind of systems. Services provide a uniform mechanism for discovering, integrating …","","https://scholar.google.com/scholar?q=related:nnu7hSR5XpsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Thirumaran, P Dhavachelvan, ...","A collaborative framework for evaluation of run-time changes in enterprise web services",2012,"Proceedings of the CUBE …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2381716.2381793","",11,"2021-12-19 16:34:58","","10.1145/2381716.2381793","","",,,,,0,0.00,0,3,9,"Increasing market demand and technology in today's world has made change management an inevitable one. To remain competitive, organizations must be able to respond to change in a timely and cost effective manner. Although there are many change management issues …","","https://scholar.google.com/scholar?q=related:-b5J_1zOjaYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Thirumaran, M Jannani","A Formal Approach for the Verification of Order of Execution in Long Term Composed Services",,"","","","",12,"2021-12-19 16:34:58","CITATION","","","",,,,,0,0.00,0,2,,"","","https://scholar.google.com/scholar?q=related:pW2wRPIS1EMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
