Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"N Ammar, Z Malik, E Bertino, ...","Xacml policy evaluation with dynamic context handling",2015,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7065271/","https://scholar.google.com/scholar?cites=16725534983844459907&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:55","","","","",,,,,11,1.83,3,4,6,"Some fairly recent research has focused on providing XACML-based solutions for dynamic privacy policy management. In this regard, a number of works have provided enhancements to the performance of XACML policy enforcement point (PEP) component, but very few have …","https://www.cs.nmt.edu/~rezgui/Papers/2015/IEEE_Trans_Know_Data_Engin_2015.pdf","https://scholar.google.com/scholar?q=related:g_VqvnMJHegJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
7,"ÖM Ilhan, D Thatmann, A Küpper","A performance analysis of the XACML decision process and the impact of caching",2015,"2015 11th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7400569/","https://scholar.google.com/scholar?cites=18060993083132398308&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:55","","","","",,,,,7,1.17,2,3,6,"Whenever multiple service providers and high demanding service customers communicate with each other, the need of compliance to legal regulations and enterprise guidelines increases the expectations on technologies and systems used to ensure security and data …","https://www.researchgate.net/profile/Dirk_Thatmann/publication/283307011_A_Performance_Analysis_of_the_XACML_Decision_Process_and_the_Impact_of_Caching/links/56813d2c08ae051f9aec34e2/A-Performance-Analysis-of-the-XACML-Decision-Process-and-the-Impact-of-Caching.pdf","https://scholar.google.com/scholar?q=related:5MrkkoSJpfoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"M Kwak, G Leroy, JD Martinez","A pilot study of a predicate-based vector space model for a biomedical search engine",2011,"2011 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6112537/","https://scholar.google.com/scholar?cites=5831290925147965593&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:55","","","","",,,,,6,0.60,2,3,10,"A search engine that supports finding precise biomedical statements, but also complementary, and contrasting information would greatly help biomedical researchers. We propose the use of predicates in a search engine's underlying data structure to accomplish …","","https://scholar.google.com/scholar?q=related:mUhnbzPo7FAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"GL Camillo, CM Westphall, J Werner, CB Westphall","Preserving privacy with fine-grained authorization in an identity management system",2017,"ICN 2017","academia.edu","https://www.academia.edu/download/52796922/icn_2017_full.pdf#page=87","https://scholar.google.com/scholar?cites=3529064035885057210&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:55","PDF","","","",,,,,4,1.00,1,4,4,"In policy-based management, service providers want to enforce fine-grained policies for their resources and services. Besides the assurance of digital identity, service providers usually need personal data for evaluation of access control policies. The disclosure of …","https://www.academia.edu/download/52796922/icn_2017_full.pdf#page=87","https://scholar.google.com/scholar?q=related:ugSJ-ArB-TAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"G Katsikogiannis, S Mitropoulos, ...","UACS: towards unified access control services",2015,"2015 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7394314/","https://scholar.google.com/scholar?cites=8408976183497086688&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:55","","","","",,,,,3,0.50,1,3,6,"Due to the growing concerns in access management techniques and the numerous access controls that have been proposed in the recent years, as well as because of the emerging cloud computing era, there is an increasing interest in advanced and secure access control …","https://www.researchgate.net/profile/Sarandis-Mitropoulos/publication/304297392_UACS_Towards_unified_access_control_services/links/5f19cb76a6fdcc9626ad154d/UACS-Towards-unified-access-control-services.pdf","https://scholar.google.com/scholar?q=related:4FYQRkmvsnQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"N Ammar, Z Malik, A Rezgui, ...","XACML policy evaluation with dynamic context handling",2016,"2016 IEEE 32nd …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7498430/","https://scholar.google.com/scholar?cites=9672183618258307122&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:55","","","","",,,,,1,0.20,0,4,5,"We provided an XACML-based implementation of a semantic-based privacy management framework that incorporates context into dynamic rule evaluation and decision enforcement. Our evaluation results are promising, and we believe that future enhancements on the …","https://www.cs.nmt.edu/~rezgui/Papers/2015/ICDE_TKDE16.pdf","https://scholar.google.com/scholar?q=related:MoijYMF_OoYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"N Ammar","Dynamic privacy management in services-based interactions",2016,"","search.proquest.com","https://search.proquest.com/openview/1864f2cfd5fa737c2cc90ecad0809164/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=5242396549315883948&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:55","BOOK","","","",,,,,1,0.20,1,1,5,"Technology advancements have enabled the distribution and sharing of users personal data over several data sources. Each data source is potentially managed by a different organization, which may expose its data as a Web service. Using such Web services …","http://digitalcommons.wayne.edu/cgi/viewcontent.cgi?article=2423&context=oa_dissertations","https://scholar.google.com/scholar?q=related:rPO03eK7wEgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"Y Li, F Deng","A Graph and Clustering-Based Framework for Efficient XACML Policy Evaluation",2020,"International Journal of Cooperative Information …","World Scientific","https://www.worldscientific.com/doi/abs/10.1142/S0218843020400018","https://scholar.google.com/scholar?cites=9657970713284946059&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:34:55","","10.1142/S0218843020400018","","",,,,,1,1.00,1,2,1,"EXtensible Access Control Markup Language (XACML) is one of the standardized languages for specifying access control policies. Policies described by the XACML are used to express the security requirement in the network and information system when we study …","","https://scholar.google.com/scholar?q=related:i6h5kDEBCIYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"H Meng, X Yuan, J Zhang, ...","Direct Volume Rendering and Clipping Technology of Radar Beams",2011,"… Conference on Virtual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6092728/","",8,"2021-12-19 16:34:55","","","","",,,,,0,0.00,0,4,10,"The 3D shape of radar beams is drawn by direct volume rendering (DVR) algorithm based on 3D texture. Two procedures based on graphical processing unit (GPU) are explored to optimize the algorithm. In order to probe into the internal details of radar beams, three …","","https://scholar.google.com/scholar?q=related:biiOa_XBzRQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"F Zhang, B Butler, B Jennings","An Access Control Implementation Targeting Resource-constrained Environments",2019,"2019 15th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9012689/","",9,"2021-12-19 16:34:55","","","","",,,,,0,0.00,0,3,2,"As more and more services are deployed on devices near the network edge, security operations (such as authentication and authorization) need to move with them. Typically, edge devices have fewer resources than data center servers and so the security operations …","https://dl.ifip.org/db/conf/cnsm/cnsm2019/1570563936.pdf","https://scholar.google.com/scholar?q=related:JI8xfSykW6gJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
