Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"SA Rahman, A Mourad, M El Barachi, ...","A novel on-demand vehicular sensing framework for traffic condition monitoring",2018,"Vehicular …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617301778","https://scholar.google.com/scholar?cites=1897232371788300371&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:34:28","","","","",,,,,24,8.00,6,4,3,"With the increased need for mobility and the overcrowding of cities, the area of Intelligent Transportation aims at improving the efficiency, safety, and productivity of transportation systems by relying on communication and sensing technologies. One of the main …","https://www.researchgate.net/profile/Azzam-Mourad/publication/324253421_A_novel_on-demand_vehicular_sensing_framework_for_traffic_condition_monitoring/links/5bd37c1c299bf1124fa633cb/A-novel-on-demand-vehicular-sensing-framework-for-traffic-condition-monitoring.pdf","https://scholar.google.com/scholar?q=related:U0DQSMpSVBoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"J Chen, J Yang","Maximizing coverage quality with budget constrained in mobile crowd-sensing network for environmental monitoring applications",2019,"Sensors","mdpi.com","https://www.mdpi.com/468766","https://scholar.google.com/scholar?cites=8896131408994905751&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:34:28","","","","",,,,,14,7.00,7,2,2,"Abstract The Mobile Crowd-sensing Network is a novel cyber–physical–social network which has received great attention recently and can be used as a powerful tool to monitor the phenomenon of the field of interest. Due to the limited budget, how to choose …","https://www.mdpi.com/1424-8220/19/10/2399/pdf","https://scholar.google.com/scholar?q=related:ly5W_GFodXsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"AS Bataineh, R Mizouni, J Bentahar, ...","Toward monetizing personal data: A two-sided market analysis",2020,"Future Generation …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X19301414","https://scholar.google.com/scholar?cites=13222009380538934474&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:34:28","","","","",,,,,14,14.00,4,4,1,"With the increasing popularity of social mobile applications and mobile crowd sensing, holders of smart devices are generating a huge amount of personal data. Nowadays, a wide variety of domains ranging from health-care applications to pollution monitoring are …","https://www.researchgate.net/profile/Ahmed-Batineh/publication/338699164_Toward_Monetizing_Personal_Data_A_Two-Sided_Market_Analysis/links/5f91db0e458515b7cf96a45c/Toward-Monetizing-Personal-Data-A-Two-Sided-Market-Analysis.pdf","https://scholar.google.com/scholar?q=related:yuTnd3oDfrcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
10,"T Lei, AA Mohamed, C Claudel","An IMU-based traffic and road condition monitoring system",2018,"HardwareX","Elsevier","https://www.sciencedirect.com/science/article/pii/S2468067218300683","https://scholar.google.com/scholar?cites=4805695146339173682&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:34:28","HTML","","","",,,,,10,3.33,3,3,3,"This paper presents a new type of wireless platform designed for real-time traffic estimation and road surface monitoring. The sensor platform is built around a 32-bit ARM Cortex M4 micro-controller and a LSM9DS0 Inertial Measurement Unit module. This platform is mainly …","https://www.sciencedirect.com/science/article/pii/S2468067218300683","https://scholar.google.com/scholar?q=related:MoVdIEZCsUIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
6,"TN Nguyen, S Zeadally","Mobile crowd-sensing applications: Data redundancies, challenges, and solutions",2021,"ACM Transactions on Internet Technology …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3431502","https://scholar.google.com/scholar?cites=11404811231459171162&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:34:28","","10.1145/3431502","","",,,,,6,6.00,3,2,1,"Conventional data collection methods that use Wireless Sensor Networks (WSNs) suffer from disadvantages such as deployment location limitation, geographical distance, as well as high construction and deployment costs of WSNs. Recently, various efforts have been …","","https://scholar.google.com/scholar?q=related:WluCxWMHRp4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
5,"SA Rahman, A Mourad, M El Barachi","An infrastructure-assisted crowdsensing approach for on-demand traffic condition estimation",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8895966/","https://scholar.google.com/scholar?cites=12109604778604014966&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:34:28","","","","",,,,,5,2.50,2,3,2,"With the widespread use of smartphones and the continuous increase of their capabilities, a new sensing paradigm has emerged: mobile crowdsensing. The concept of crowdsensing implies the reliance on the crowd to perform sensing tasks and collect data about a …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08895966.pdf","https://scholar.google.com/scholar?q=related:dq0Q_2L1DagJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"JM Nava Auza, JR Boisson de Marca, G Lima Siqueira","Design of a local information incentive mechanism for Mobile Crowdsensing",2019,"Sensors","mdpi.com","https://www.mdpi.com/473442","https://scholar.google.com/scholar?cites=567057025956267633&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:34:28","","","","",,,,,4,2.00,1,3,2,"The world of telecommunications has seen the growing popularity of mobile devices and its massive technological advancements and innovations (eg, smartphones, smart watches, among others). One critical particularity is that these devices have a series of built-in sensors …","https://www.mdpi.com/1424-8220/19/11/2532/pdf","https://scholar.google.com/scholar?q=related:cUaDV1yX3gcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"H Sedghani, D Ardagna, M Passacantando, ...","An incentive mechanism based on a Stackelberg game for mobile crowdsensing systems with budget constraint",2021,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870521001505","https://scholar.google.com/scholar?cites=17263332320728779369&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:34:28","","","","",,,,,1,1.00,0,4,1,"The adoption of smart device technologies is steadily increasing. Most of the smart devices in use today have built-in sensors which measure motion, direction, and various environmental conditions. Sensors are able to provide raw data with different quality and …","",""
0,"W Abou-zbiba, H El Gadi, H El Bakkali, ...","A Novel Mobile CrowdSensing Architecture for Road Safety",2020,"The Proceedings of the …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-66840-2_24","",9,"2021-12-19 16:34:28","","10.1007/978-3-030-66840-2_24","","",,,,,0,0.00,0,4,1,"Abstract Intelligent Transportation Systems have become an essential part of today's transportation systems as they aim to enhance efficiency, safety and mobility. They rely particularly on various communication and sensing technologies to achieve their objectives …","","https://scholar.google.com/scholar?q=related:ZMQrAFiGau8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"P Millán Marco","Improving the routing layer of ad hoc networks through prediction techniques",2018,"","tdx.cat","https://www.tdx.cat/handle/10803/663301","",10,"2021-12-19 16:34:28","","","","",,,,,0,0.00,0,1,3,"Everyday becomes more evident the key role that mobile computing and wireless technologies play in our daily activities. Being always connected, anytime, and anywhere is today more a necessity than a luxury. The ubiquitous computing scenarios created based on …","https://www.tdx.cat/bitstream/handle/10803/663301/TESI.pdf?sequence=1","https://scholar.google.com/scholar?q=related:YfMuGmMKg8AJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
