Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
100,"T Wang, H Luo, W Jia, A Liu, ...","MTES: An intelligent trust evaluation scheme in sensor-cloud-enabled industrial Internet of Things",2019,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8769947/","https://scholar.google.com/scholar?cites=1382113443019342483&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:32:26","","","","",,,,,100,50.00,20,5,2,"As an enabler for smart industrial Internet of Things (IoT), sensor cloud facilitates data collection, processing, analysis, storage, and sharing on demand. However, compromised or malicious sensor nodes may cause the collected data to be invalid or even endanger the …","http://csc.sjtu.edu.cn/doc/2020-1.pdf","https://scholar.google.com/scholar?q=related:k8J1itpALhMJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
58,"OA Wahab, J Bentahar, H Otrok, ...","Optimal load distribution for the detection of VM-based DDoS attacks in the cloud",2017,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7902208/","https://scholar.google.com/scholar?cites=11734616421905302260&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:32:26","","","","",,,,,58,14.50,15,4,4,"Distributed Denial of Service (DDoS) constitutes a major threat against cloud systems owing to the large financial losses it incurs. This motivated the security research community to investigate numerous detection techniques to limit such attack's effects. Yet, the existing …","https://laur.lau.edu.lb:8443/xmlui/bitstream/handle/10725/8317/(Postprint)%20Optimal.pdf?sequence=3","https://scholar.google.com/scholar?q=related:9IIhi3a72aIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
46,"T Zhang","Data offloading in mobile edge computing: A coalition and pricing based approach",2017,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8226751/","https://scholar.google.com/scholar?cites=9970507284466714446&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:32:26","","","","",,,,,46,11.50,46,1,4,"Mobile edge computing (MEC) that affords service to the vicinity of mobile devices (MDs) has become a key technology for future network. Offloading big data to the MEC server for preprocessing is an attractive approach of MDs. In this paper, we investigate data offloading …","https://ieeexplore.ieee.org/iel7/6287639/6514899/08226751.pdf","https://scholar.google.com/scholar?q=related:TkcVmYxbXooJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
44,"M Anisetti, CA Ardagna, E Damiani, ...","A semi-automatic and trustworthy scheme for continuous cloud service certification",2017,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7831357/","https://scholar.google.com/scholar?cites=14795046122807300061&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:32:26","","","","",,,,,44,11.00,11,4,4,"Traditional assurance solutions for software-based systems rely on static verification techniques and assume continuous availability of trusted third parties. With the advent of cloud computing, these solutions become ineffective since services/applications are flexible …","https://air.unimi.it/bitstream/2434/474533/2/TSC0223.pdf","https://scholar.google.com/scholar?q=related:3Q9zqQ-QUs0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
41,"OA Wahab, A Mourad, H Otrok, ...","Federated machine learning: Survey, multi-level classification, desirable criteria and future directions in communication and networking systems",2021,"… Surveys & Tutorials","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9352033/","https://scholar.google.com/scholar?cites=1781264658118235065&as_sdt=2005&sciodt=0,5&hl=en",23,"2021-12-19 16:32:26","","","","",,,,,41,41.00,10,4,1,"The communication and networking field is hungry for machine learning decision-making solutions to replace the traditional model-driven approaches that proved to be not rich enough for seizing the ever-growing complexity and heterogeneity of the modern systems in …","http://www.mosaic-lab.org/uploads/papers/6088b6ef-8073-40b6-bcca-ae5c39a7e61f.pdf","https://scholar.google.com/scholar?q=related:uVMY3sRSuBgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
25,"U Ahmed, I Raza, SA Hussain","Trust evaluation in cross-cloud federation: Survey and requirement analysis",2019,"ACM Computing Surveys (CSUR)","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3292499","https://scholar.google.com/scholar?cites=10026905312183248016&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:32:26","","10.1145/3292499","","",,,,,25,12.50,8,3,2,"Cross-Cloud Federation (CCF) is beneficial for heterogeneous Cloud Service Providers (CSPs) for leasing additional resources from each other. Despite the benefits of on-demand scalability and enhanced service footprints for better service quality, the adoption of CCF is …","http://acm.mementodepot.org/pubs/journals/csur/3309872/3292499/3292499.pdf","https://scholar.google.com/scholar?q=related:kOQosUG5JosJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
24,"Y Zeng, M Qiu, Z Ming, M Liu","Senior2local: A machine learning based intrusion detection method for vanets",2018,"International conference on smart …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-05755-8_41","https://scholar.google.com/scholar?cites=8047533652224412462&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:32:26","","10.1007/978-3-030-05755-8_41","","",,,,,24,8.00,6,4,3,"Abstract Vehicular Ad-hoc Network (VANET) is a heterogeneous network of resource-constrained nodes such as smart vehicles and Road Side Units (RSUs) communicating in a high mobility environment. Concerning the potentially malicious misbehaves in VANETs …","https://drive.google.com/file/d/1ag2PXKAmdYJitQFMAhwGCnnVcZ6SCDfK/view","https://scholar.google.com/scholar?q=related:LovWEjiVrm8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"Q Xu, Z Su, R Lu","Game theory and reinforcement learning based secure edge caching in mobile social networks",2020,"IEEE Transactions on Information Forensics …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9036917/","https://scholar.google.com/scholar?cites=15525374382003166549&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:32:26","","","","",,,,,23,23.00,8,3,1,"Edge caching has become one of promising technologies in mobile social networks (MSNs) to proximally provide popular contents for mobile users. However, since caching contents inevitably consume resources (eg, power, bandwidth, storage, etc.), edge caching devices …","https://www.cs.unb.ca/~rlu1/paper/XuSL20.pdf","https://scholar.google.com/scholar?q=related:VZ0_VL41ddcJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
22,"N Drawel, H Qu, J Bentahar, E Shakshuki","Specification and automatic verification of trust-based multi-agent systems",2020,"Future Generation Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X17321349","https://scholar.google.com/scholar?cites=2040845531643546227&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:32:26","","","","",,,,,22,22.00,6,4,1,"We present a new logic-based framework for modeling and automatically verifying trust in Multi-Agent Systems (MASs). We start by refining TCTL, a temporal logic of trust that extends the Computation Tree Logic (CTL) to enable reasoning about trust with preconditions. A new …","https://spectrum.library.concordia.ca/983457/1/bentahar-fgcs-2018.pdf","https://scholar.google.com/scholar?q=related:c4oOuzKKUhwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
18,"W Li, J Cao, K Hu, J Xu, R Buyya","A trust-based agent learning model for service composition in mobile cloud computing environments",2019,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8664162/","https://scholar.google.com/scholar?cites=9224649027827313706&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:32:26","","","","",,,,,18,9.00,4,5,2,"Mobile cloud computing has the features of resource constraints, openness, and uncertainty which leads to the high uncertainty on its quality of service (QoS) provision and serious security risks. Therefore, when faced with complex service requirements, an efficient and …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08664162.pdf","https://scholar.google.com/scholar?q=related:KqxMoWqJBIAJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
