Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
253,"F Sakiz, S Sen","A survey of attacks and detection mechanisms on intelligent transportation systems: VANETs and IoV",2017,"Ad Hoc Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1570870517300562","https://scholar.google.com/scholar?cites=13601267723412168587&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-12-19 16:31:41","","","","",,,,,253,63.25,127,2,4,"Vehicular ad hoc networks (VANETs) have become one of the most promising and fastest growing subsets of mobile ad hoc networks (MANETs). They are comprised of smart vehicles and roadside units (RSU) which communicate through unreliable wireless media …","https://www.academia.edu/download/56223631/A_survey_of_attacks_and_detection_mechanisms_on_intelligent_transportation_systems__VANETs_and_IoV.pdf","https://scholar.google.com/scholar?q=related:i9_3jO5owbwJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
142,"OA Wahab, J Bentahar, H Otrok, A Mourad","A survey on trust and reputation models for Web services: Single, composite, and communities",2015,"Decision Support Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167923615000809","https://scholar.google.com/scholar?cites=5290994742990588926&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-12-19 16:31:41","","","","",,,,,142,23.67,36,4,6,"Web service selection constitutes nowadays a major challenge that is still attracting the research community to work on and investigate. The problem arises since decision makers (1) cannot blindly trust the service or its provider, and (2) ignore the environment within …","https://www.academia.edu/download/39514781/Survey.pdf","https://scholar.google.com/scholar?q=related:_stplK9jbUkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
133,"L Liu, C Chen, T Qiu, M Zhang, S Li, B Zhou","A data dissemination scheme based on clustering and probabilistic broadcasting in VANETs",2018,"Vehicular Communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209617302668","https://scholar.google.com/scholar?cites=9883402846129206959&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-12-19 16:31:41","","","","",,,,,133,44.33,22,6,3,"Abstract VANETs (Vehicular Ad hoc Networks) have attracted tremendous attentions due to their high applicability and commercial value. However, the frequent topology changes caused by the fast mobility of nodes create many challenges to the efficient data delivery in …","","https://scholar.google.com/scholar?q=related:r7adJ4bmKIkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
96,"MH Eiza, T Owens, Q Ni","Secure and robust multi-constrained QoS aware routing algorithm for VANETs",2015,"IEEE Transactions on Dependable …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7008438/","https://scholar.google.com/scholar?cites=7137025011729884676&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-12-19 16:31:41","","","","",,,,,96,16.00,32,3,6,"Secure QoS routing algorithms are a fundamental part of wireless networks that aim to provide services with QoS and security guarantees. In vehicular ad hoc networks (VANETs), vehicles perform routing functions, and at the same time act as end-systems thus routing …","http://researchonline.ljmu.ac.uk/id/eprint/2081/1/TDSCSI-2014-06-0158.pdf","https://scholar.google.com/scholar?q=related:BOY8QW_OC2MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
92,"OA Wahab, A Mourad, H Otrok, J Bentahar","CEAP: SVM-based intelligent detection model for clustered vehicular ad hoc networks",2016,"Expert Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417415008088","https://scholar.google.com/scholar?cites=7230263194545355940&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-12-19 16:31:41","","","","",,,,,92,18.40,23,4,5,"The infrastructureless and decentralized nature of Vehicular Ad Hoc Network (VANET) makes it quite vulnerable to different types of malicious attacks. Detecting such attacks has attracted several contributions in the past few years. Nonetheless, the applicability of the …","https://www.researchgate.net/profile/Omar-Wahab/publication/288040297_CEAP_SVM-based_Intelligent_Detection_Model_for_Clustered_Vehicular_Ad_Hoc_Networks/links/5a74bd734585157306aa4bf9/CEAP-SVM-based-Intelligent-Detection-Model-for-Clustered-Vehicular-Ad-Hoc-Networks.pdf","https://scholar.google.com/scholar?q=related:pPx0XxEOV2QJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
89,"MH Eiza, T Owens, Q Ni, Q Shi","Situation-aware QoS routing algorithm for vehicular ad hoc networks",2015,"IEEE Transactions on vehicular …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7286854/","https://scholar.google.com/scholar?cites=3605525728180629607&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-12-19 16:31:41","","","","",,,,,89,14.83,22,4,6,"A wide range of services has been developed for vehicular ad hoc networks (VANETs), ranging from safety to infotainment applications. An essential requirement for such services is that they are offered with quality of service (QoS) guarantees in terms of service reliability …","https://ieeexplore.ieee.org/iel7/25/4356907/07286854.pdf","https://scholar.google.com/scholar?q=related:Z_C8AIxmCTIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
82,"HR Arkian, RE Atani, A Diyanat, ...","A cluster-based vehicular cloud architecture with learning-based resource management",2015,"The Journal of …","Springer","https://link.springer.com/article/10.1007/s11227-014-1370-z","https://scholar.google.com/scholar?cites=5300028473215175279&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-12-19 16:31:41","","10.1007/s11227-014-1370-z","","",,,,,82,13.67,21,4,6,"Recent advances in wireless communication technologies have made it possible to implement Intelligent Transportation Systems (ITS) to have more safety in roads and eliminating the excessive cost of traffic collisions. However, there are some resource …","https://www.researchgate.net/profile/Reza-Ebrahimi-Atani/publication/270591239_A_cluster-based_vehicular_cloud_architecture_with_learning-based_resource_management/links/5505ab060cf2d60c0e6c7f01/A-cluster-based-vehicular-cloud-architecture-with-learning-based-resource-management.pdf","https://scholar.google.com/scholar?q=related:b0pyzdB7jUkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
76,"RS Bali, N Kumar","Secure clustering for efficient data dissemination in vehicular cyber–physical systems",2016,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X15002836","https://scholar.google.com/scholar?cites=16351283218528349049&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-12-19 16:31:41","","","","",,,,,76,15.20,38,2,5,"From the past few years, there has been tremendous growth with respect to the usage of Internet-enabled devices for computing and storage across the globe. These devices have the capabilities of computing as well as communication facilities for smooth execution of …","","https://scholar.google.com/scholar?q=related:eSswVnRt6-IJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
55,"HR Arkian, RE Atani, A Pourkhalili, S Kamali","Cluster-based traffic information generalization in vehicular ad-hoc networks",2014,"Vehicular communications","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214209614000424","https://scholar.google.com/scholar?cites=9190269095812612586&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-12-19 16:31:41","","","","",,,,,55,7.86,14,4,7,"Abstract Vehicular Ad-hoc Network (VANET) is an emerging field of wireless networks providing different applications such as traffic information for participant vehicles and related authorities. However, deploying of such applications is mainly depending on the market …","","https://scholar.google.com/scholar?q=related:6kEp7gxlin8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
50,"Q Ding, B Sun, X Zhang","A traffic-light-aware routing protocol based on street connectivity for urban vehicular ad hoc networks",2016,"IEEE Communications Letters","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7482694/","https://scholar.google.com/scholar?cites=16107685942424207530&as_sdt=2005&sciodt=0,5&hl=en",11,"2021-12-19 16:31:41","","","","",,,,,50,10.00,17,3,5,"In urban vehicular ad hoc networks (VANETs), the network topology changes rapidly due to high mobility and uneven distribution of vehicles, thus the street connectivity is hard to estimate. Conventional routing protocols consider the street density as a decisive factor of …","","https://scholar.google.com/scholar?q=related:qoC_vwX_id8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
48,"R Ghebleh","A comparative classification of information dissemination approaches in vehicular ad hoc networks from distinctive viewpoints: A survey",2018,"Computer Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S1389128617304218","https://scholar.google.com/scholar?cites=727180325550584365&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-12-19 16:31:41","","","","",,,,,48,16.00,48,1,3,"Vehicular ad hoc networks (VANET) have received tremendous attention due to their potential impact on scientific research and their numerous attractive applications. With the aim of getting the intelligent communication for vehicular networks, VANETs can significantly …","https://www.academia.edu/download/56170580/1-s2.0-S1389128617304218-main.pdf","https://scholar.google.com/scholar?q=related:LXIYQKd2FwoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
45,"A Mchergui, T Moulahi, B Alaya, S Nasri","A survey and comparative study of QoS aware broadcasting techniques in VANET",2017,"Telecommunication Systems","Springer","https://link.springer.com/article/10.1007/s11235-017-0280-9","https://scholar.google.com/scholar?cites=5076696147756796455&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-12-19 16:31:41","","10.1007/s11235-017-0280-9","","",,,,,45,11.25,11,4,4,"Vehicular ad hoc networks are a special type of MANET providing vehicle to vehicle and vehicle to roadside wireless communications. Vehicular ad-hoc network (VANET) have been designed in order to assist drivers on the road with a variety of applications especially in …","http://dl.programstore.ir/files/Uploades/Afradars/Papers/A%20survey%20and%20comparative%20study%20of%20QoS%20aware%20broadcasting.pdf","https://scholar.google.com/scholar?q=related:J0qjtz8MdEYJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
