Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hoque, M.S., Jamil, N., Amin, N., Rahim, A.A.A., Jidin, R.B.","57220806665;36682671900;7102424614;57224225526;6508169028;","Forecasting number of vulnerabilities using long short-term neural memory network",2021,"International Journal of Electrical and Computer Engineering","11","5",,"4381","4391",,,"10.11591/ijece.v11i5.pp4381-4391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107269642&doi=10.11591%2fijece.v11i5.pp4381-4391&partnerID=40&md5=723ac43cd37c4b8c277a0e118de6c6a1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85107269642
"Freitas De Araujo-Filho, P., Kaddoum, G., Campelo, D.R., Gondim Santos, A., Macedo, D., Zanchettin, C.","57222149630;24587843100;6507199723;57204641223;57204640204;8145364800;","Intrusion Detection for Cyber-Physical Systems Using Generative Adversarial Networks in Fog Environment",2021,"IEEE Internet of Things Journal","8","8","9199878","6247","6256",,6,"10.1109/JIOT.2020.3024800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099780317&doi=10.1109%2fJIOT.2020.3024800&partnerID=40&md5=afd7c04fc6354a71bc0c1acddfa439dd",Article,"Final","",Scopus,2-s2.0-85099780317
"Mejri, M., Yahyaoui, H., Mourad, A., Chehab, M.","6602661138;6602992340;9275987400;57215326520;","A rewriting system for the assessment of XACML policies relationship",2020,"Computers and Security","97",,"101957","","",,2,"10.1016/j.cose.2020.101957","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088304492&doi=10.1016%2fj.cose.2020.101957&partnerID=40&md5=3196ccadfd1321fcabd5d59f48eca78b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85088304492
"Islambouli, R., Sweidan, Z., Mourad, A., Abou-Rjeily, C.","57208273417;57214664773;9275987400;13003908400;","Towards Trust-Aware IoT Hashing Offloading in Mobile Edge Computing",2020,"2020 International Wireless Communications and Mobile Computing, IWCMC 2020",,,"9148480","2216","2221",,,"10.1109/IWCMC48107.2020.9148480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089662389&doi=10.1109%2fIWCMC48107.2020.9148480&partnerID=40&md5=22d71927de3bc59784d251e63580411a",Conference Paper,"Final","",Scopus,2-s2.0-85089662389
"Tay, B., Mourad, A.","57218880756;9275987400;","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","8",,"9163345","153403","153412",,2,"10.1109/ACCESS.2020.3015616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090546587&doi=10.1109%2fACCESS.2020.3015616&partnerID=40&md5=c542e8951cb8fc8789b874cf28b1ae2e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85090546587
"Roumani, Y., Nwankpa, J.K., Roumani, Y.F.","56035107300;55037519200;22954305300;","Time series modeling of vulnerabilities",2015,"Computers and Security","51",,,"32","40",,34,"10.1016/j.cose.2015.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926062216&doi=10.1016%2fj.cose.2015.03.003&partnerID=40&md5=52630c5f17dfbcbf5fd0b43aba05d737",Article,"Final","",Scopus,2-s2.0-84926062216
"Mouheb, D., Debbabi, M., Pourzandi, M., Wang, L., Nouh, M., Ziarati, R., Alhadidi, D., Talhi, C., Lima, V.","35248936000;57203104171;15066054500;35206654500;57207921670;37016915200;24477041800;9275987500;35248721600;","Aspect-oriented security hardening of UML design models",2015,"Aspect-Oriented Security Hardening of UML Design Models",,,,"1","237",,5,"10.1007/978-3-319-16106-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943807369&doi=10.1007%2f978-3-319-16106-8&partnerID=40&md5=b24141d04a0bbc3d329f7d3414567ac8",Book,"Final","",Scopus,2-s2.0-84943807369
"Pavlich-Mariscal, J.A., Franky, M.C., Lopez, A.","8840228300;55606683900;55626339300;","Towards security assurance in round-trip engineering: A type-based approach",2013,"Electronic Notes in Theoretical Computer Science","292",,,"83","94",,1,"10.1016/j.entcs.2013.02.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875180468&doi=10.1016%2fj.entcs.2013.02.007&partnerID=40&md5=c2c11e6acf92e062747d85e6530c59de",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84875180468
"Matsui, A.A.M., Michalsky, S., Gerosa, M.A.","35302585500;36986961800;10043515400;","Using virtual machine security to reinforce components constraints",2012,"Proceedings - 38th EUROMICRO Conference on Software Engineering and Advanced Applications, SEAA 2012",,,"6328141","138","141",,,"10.1109/SEAA.2012.72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869816721&doi=10.1109%2fSEAA.2012.72&partnerID=40&md5=bc61eba08ca31b624d14d4744586e513",Conference Paper,"Final","",Scopus,2-s2.0-84869816721
"Mourad, A., Otrok, H., Yahyaoui, H., Baajour, L.","9275987400;20436645500;6602992340;36634052700;","Toward an abstract language on top of XACML for web services security",2011,"2011 International Conference for Internet Technology and Secured Transactions, ICITST 2011",,,"6148453","254","259",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857467067&partnerID=40&md5=64877ab106a5db5a2e0fff5f597609fa",Conference Paper,"Final","",Scopus,2-s2.0-84857467067
"Mourad, A., Otrok, H., Baajour, L.","9275987400;20436645500;36634052700;","New Approach Targeting Security Patterns Development and Deployment",2011,"Information Security Journal","20","4-5",,"231","244",,1,"10.1080/19393555.2011.607220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860859394&doi=10.1080%2f19393555.2011.607220&partnerID=40&md5=308c7eaa114e8a016f48ece04fa9bc8d",Article,"Final","",Scopus,2-s2.0-84860859394
"Mourad, A., Otrok, H., Baajour, L.","9275987400;20436645500;36634052700;","A novel approach for the development and deployment of security patterns",2010,"Proceedings - SocialCom 2010: 2nd IEEE International Conference on Social Computing, PASSAT 2010: 2nd IEEE International Conference on Privacy, Security, Risk and Trust",,,"5591424","914","919",,3,"10.1109/SocialCom.2010.135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649248232&doi=10.1109%2fSocialCom.2010.135&partnerID=40&md5=eeb05894156509bbdd26c462046f7486",Conference Paper,"Final","",Scopus,2-s2.0-78649248232
"Mourad, A., Ayoubi, S., Yahyaoui, H., Otrok, H.","9275987400;57217415539;6602992340;20436645500;","New approach for the dynamic enforcement of web services security",2010,"PST 2010: 2010 8th International Conference on Privacy, Security and Trust",,,"5593232","189","196",,8,"10.1109/PST.2010.5593232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78549284586&doi=10.1109%2fPST.2010.5593232&partnerID=40&md5=6da85477c795b9272df9d79afb93ea96",Conference Paper,"Final","",Scopus,2-s2.0-78549284586
"Pavlich-Mariscal, J.A., Demurjian, S.A., Michel, L.D.","8840228300;6603876241;7101851590;","A framework for security assurance of access control enforcement code",2010,"Computers and Security","29","7",,"770","784",,12,"10.1016/j.cose.2010.03.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956395450&doi=10.1016%2fj.cose.2010.03.004&partnerID=40&md5=758276e98d90849f70f8eb1145e65d2d",Article,"Final","",Scopus,2-s2.0-77956395450
"Pavlich-Mariscal, J.A., Demurjian, S.A., Michel, L.D.","8840228300;6603876241;7101851590;","A framework of composable access control features: Preserving separation of access control concerns from models to code",2010,"Computers and Security","29","3",,"350","379",,21,"10.1016/j.cose.2009.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949562741&doi=10.1016%2fj.cose.2009.11.005&partnerID=40&md5=14629603c03d0fc84ef031df7df45fa0",Article,"Final","",Scopus,2-s2.0-77949562741
"Cannon, B., Wohlstadter, E.","35147717600;6602516501;","Enforcing security for desktop clients using authority aspects",2009,"Proceedings of the 8th ACM International Conference on Aspect-Oriented Software Development, AOSD'09",,,,"255","266",,12,"10.1145/1509239.1509275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450267827&doi=10.1145%2f1509239.1509275&partnerID=40&md5=e5d1844385b72d46b1af225767f02c2a",Conference Paper,"Final","",Scopus,2-s2.0-70450267827
"Mourad, A., Alhadidi, D., Debbabi, M.","9275987400;24477041800;57203104171;","Towards language-independent approach for security concerns weaving",2008,"SECRYPT 2008 - International Conference on Security and Cryptography, Proceedings",,,,"460","465",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58049186365&partnerID=40&md5=13c27a48000d495dd37b6d04fef84d5c",Conference Paper,"Final","",Scopus,2-s2.0-58049186365
