Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Xu, X., Li, H., Xu, W., Liu, Z., Yao, L., Dai, F.","55706201200;57217165881;57283972300;57284620300;57226650439;55434920100;","Artificial intelligence for edge service optimization in Internet of Vehicles: A survey",2022,"Tsinghua Science and Technology","27","2",,"270","287",,1,"10.26599/TST.2020.9010025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116349405&doi=10.26599%2fTST.2020.9010025&partnerID=40&md5=055fb991daa10fddc4fdd2107a4f1477",Review,"Final","",Scopus,2-s2.0-85116349405
"David, D.S., Anam, M., Kaliappan, C., Selvi, S.A.M., Sharma, D.K., Dadheech, P., Sengan, S.","57196702736;57225170127;57279136700;57279998000;57219005491;57189097825;55008255500;","Cloud security service for identifying unauthorized user behaviour",2022,"Computers, Materials and Continua","70","2",,"2581","2600",,,"10.32604/cmc.2022.020213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116052098&doi=10.32604%2fcmc.2022.020213&partnerID=40&md5=b9c7fc99ce95474a6ff3abd13854354c",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85116052098
"Bondada, P., Samanta, D., Chaudhry, S.A., Zikria, Y.B., Ishmanov, F.","57368252100;15124952700;55270209500;24825945700;24773020200;","Efficient neighbour feedback based trusted multi authenticated node routing model for secure data transmission",2021,"Sustainability (Switzerland)","13","23","13296","","",,,"10.3390/su132313296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120906906&doi=10.3390%2fsu132313296&partnerID=40&md5=8d82a0fc52d78d6668857de26c9c3c38",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85120906906
"Simpson, S.V., Nagarajan, G.","57222164603;36933359700;","A fuzzy based Co-Operative Blackmailing Attack detection scheme for Edge Computing nodes in MANET-IOT environment",2021,"Future Generation Computer Systems","125",,,"544","563",,,"10.1016/j.future.2021.06.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109820901&doi=10.1016%2fj.future.2021.06.052&partnerID=40&md5=4bc5075b8fec69c7435bead25163676f",Article,"Final","",Scopus,2-s2.0-85109820901
"Chen, Q., Huang, M.","57204186735;25623006400;","Rough fuzzy model based feature discretization in intelligent data preprocess",2021,"Journal of Cloud Computing","10","1","5","","",,1,"10.1186/s13677-020-00216-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099782543&doi=10.1186%2fs13677-020-00216-4&partnerID=40&md5=7908ece24296fa18ccabd89655a06e3b",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099782543
"Tout, H., Mourad, A., Kara, N., Talhi, C.","55442989700;9275987400;55394092400;9275987500;","Multi-Persona Mobility: Joint Cost-Effective and Resource-Aware Mobile-Edge Computation Offloading",2021,"IEEE/ACM Transactions on Networking","29","3","9385940","1408","1421",,,"10.1109/TNET.2021.3066558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103292797&doi=10.1109%2fTNET.2021.3066558&partnerID=40&md5=8a279198658d330390b5fd68193a0211",Article,"Final","",Scopus,2-s2.0-85103292797
"Chaudhry, J.A., Saleem, K., Alazab, M., Zeeshan, H.M.A., Al-Muhtadi, J., Rodrigues, J.J.P.C.","15020447100;24766676700;36661792200;57151398600;6602495413;25930566300;","Data Security through Zero-Knowledge Proof and Statistical Fingerprinting in Vehicle-to-Healthcare Everything (V2HX) Communications",2021,"IEEE Transactions on Intelligent Transportation Systems","22","6","9387630","3869","3879",,1,"10.1109/TITS.2021.3066487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103271199&doi=10.1109%2fTITS.2021.3066487&partnerID=40&md5=0367b9e6990c35f1249b139674fa7dfe",Article,"Final","",Scopus,2-s2.0-85103271199
"Liang, G., Wang, Q., Xin, J., Li, M., Xu, W.","57188923905;57226562044;57189843810;57222131359;57221159691;","Survey of Mobile Edge Computing Resource Allocation [移动边缘计算资源分配综述]",2021,"Journal of Cyber Security","6","3",,"227","256",,,"10.19363/J.cnki.cn10-1380/tn.2021.05.15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107148423&doi=10.19363%2fJ.cnki.cn10-1380%2ftn.2021.05.15&partnerID=40&md5=0a7e776ba83caeae4d1ca555651f832f",Review,"Final","",Scopus,2-s2.0-85107148423
"Abdulrahman, S., Tout, H., Ould-Slimane, H., Mourad, A., Talhi, C., Guizani, M.","57222335060;55442989700;35105790000;9275987400;9275987500;7004750176;","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2021,"IEEE Internet of Things Journal","8","7","9220780","5476","5497",,20,"10.1109/JIOT.2020.3030072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103307200&doi=10.1109%2fJIOT.2020.3030072&partnerID=40&md5=ca401ca2e34efdf0c58dbc1ebffb8e2d",Article,"Final","",Scopus,2-s2.0-85103307200
"Abdulrahman, S., Tout, H., Mourad, A., Talhi, C.","57222335060;55442989700;9275987400;9275987500;","FedMCCS: Multicriteria Client Selection Model for Optimal IoT Federated Learning",2021,"IEEE Internet of Things Journal","8","6","9212434","4723","4735",,2,"10.1109/JIOT.2020.3028742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102363246&doi=10.1109%2fJIOT.2020.3028742&partnerID=40&md5=e8e533f1264b695e7c097057bc334263",Article,"Final","",Scopus,2-s2.0-85102363246
"Mourad, A., Tout, H., Wahab, O.A., Otrok, H., Dbouk, T.","9275987400;55442989700;55798635800;20436645500;57193493257;","Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection",2021,"IEEE Internet of Things Journal","8","2","9138386","829","843",,3,"10.1109/JIOT.2020.3008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8",Article,"Final","",Scopus,2-s2.0-85099123407
"Li, B., He, Q., Chen, F., Dai, H., Jin, H., Xiang, Y., Yang, Y.","56668931300;55217854300;55714472600;55601181100;56434989100;57114147900;10042024700;","Cooperative Assurance of Cache Data Integrity for Mobile Edge Computing",2021,"IEEE Transactions on Information Forensics and Security","16",,,"4648","4662",,,"10.1109/TIFS.2021.3111747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114730461&doi=10.1109%2fTIFS.2021.3111747&partnerID=40&md5=1e709a986487eff43ba1fe714c18d83d",Article,"Final","",Scopus,2-s2.0-85114730461
"Saha, S., Habib, M.A., Adhikary, T., Razzaque, M.A., Rahman, M.M., Altaf, M., Hassan, M.M.","55633814700;56789573700;55205082800;56638742700;57212184310;57226141599;57201949986;","Quality-of-Experience-Aware Incentive Mechanism for Workers in Mobile Device Cloud",2021,"IEEE Access","9",,"9462933","95162","95179",,,"10.1109/ACCESS.2021.3091844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110646962&doi=10.1109%2fACCESS.2021.3091844&partnerID=40&md5=f1d846e7e6a6b0c03cde8c04c6a42d7b",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85110646962
"Kaddoura, S., Haraty, R.A., Al Kontar, K., Alfandi, O.","56966791900;6602296150;57218686477;24528586500;","A parallelized database damage assessment approach after cyberattack for healthcare systems",2021,"Future Internet","13","4","90","","",,1,"10.3390/fi13040090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104388583&doi=10.3390%2ffi13040090&partnerID=40&md5=88bbf399623149df3ec0c24993fe109d",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85104388583
"Al-Abbas, M., Saab, S.S.","57215588077;7004275222;","On the Impact of Multi-Authorship Scholarly Publications",2020,"Proceedings of IEEE International Conference on Advent Trends in Multidisciplinary Research and Innovation, ICATMRI 2020",,,"9398438","","",,,"10.1109/ICATMRI51801.2020.9398438","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104669217&doi=10.1109%2fICATMRI51801.2020.9398438&partnerID=40&md5=7c643d3a24320c81d9f1ec841dcb260e",Conference Paper,"Final","",Scopus,2-s2.0-85104669217
"El-Rajab, M., Abou-Rjeily, C., Kfouri, R.","57215538011;13003908400;57222165817;","Buffer-aided relaying: A survey on relay selection policies",2020,"IET Communications","14","21",,"3715","3734",,,"10.1049/iet-com.2020.0532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101768179&doi=10.1049%2fiet-com.2020.0532&partnerID=40&md5=2c71a20fba89eea9473d01bff6ceeca3",Review,"Final","",Scopus,2-s2.0-85101768179
"Marvi, M., Aijaz, A., Khurram, M.","56725590700;55032300000;55325981700;","Toward an Automated Data Offloading Framework for Multi-RAT 5G Wireless Networks",2020,"IEEE Transactions on Network and Service Management","17","4","9205892","2584","2597",,1,"10.1109/TNSM.2020.3026948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097759546&doi=10.1109%2fTNSM.2020.3026948&partnerID=40&md5=1ca54aa8be796661760dae55c725e4fe",Article,"Final","",Scopus,2-s2.0-85097759546
"Al-Abbas, M., Saab, S.S.","57215588077;7004275222;","The Impact of Collaborative Research: A Case Study in a Developing Country",2020,"4th International Symposium on Multidisciplinary Studies and Innovative Technologies, ISMSIT 2020 - Proceedings",,,"9254613","","",,1,"10.1109/ISMSIT50672.2020.9254613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097682784&doi=10.1109%2fISMSIT50672.2020.9254613&partnerID=40&md5=ea68e3b6f1979233805f60288439159a",Conference Paper,"Final","",Scopus,2-s2.0-85097682784
"Arisdakessian, S., Wahab, O.A., Mourad, A., Otrok, H., Kara, N.","57218917207;55798635800;9275987400;20436645500;55394092400;","FoGMatch: An Intelligent Multi-Criteria IoT-Fog Scheduling Approach Using Game Theory",2020,"IEEE/ACM Transactions on Networking","28","4","9109632","1779","1789",,10,"10.1109/TNET.2020.2994015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090768645&doi=10.1109%2fTNET.2020.2994015&partnerID=40&md5=8c3920b37db687ffbc0d28aad5fd3cd5",Article,"Final","",Scopus,2-s2.0-85090768645
"Sami, H., Mourad, A.","57211430573;9275987400;","Dynamic On-Demand Fog Formation Offering On-the-Fly IoT Service Deployment",2020,"IEEE Transactions on Network and Service Management","17","2","8947936","1026","1039",,15,"10.1109/TNSM.2019.2963643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083704763&doi=10.1109%2fTNSM.2019.2963643&partnerID=40&md5=f1aab3b690eb7f6ad4ff615609d902bd",Article,"Final","",Scopus,2-s2.0-85083704763
"Sami, H., Mourad, A., El-Hajj, W.","57211430573;9275987400;21833644200;","Vehicular-OBUs-As-On-Demand-Fogs: Resource and Context Aware Deployment of Containerized Micro-Services",2020,"IEEE/ACM Transactions on Networking","28","2","9032323","778","790",,13,"10.1109/TNET.2020.2973800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083724639&doi=10.1109%2fTNET.2020.2973800&partnerID=40&md5=0a47e7dd60662a13a62b7d2176b7c75c",Article,"Final","",Scopus,2-s2.0-85083724639
