Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Abualola, H., Otrok, H.","57189460442;20436645500;","Stable coalitions for urban-VANET: A hedonic game approach",2021,"Vehicular Communications","30",,"100355","","",,1,"10.1016/j.vehcom.2021.100355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103394733&doi=10.1016%2fj.vehcom.2021.100355&partnerID=40&md5=74696d683ecdf20b7b846bc07d0a654c",Article,"Final","",Scopus,2-s2.0-85103394733
"Mokdad, L., Fourneau, J.-M., Abdelli, A., Ben Othman, J.","13613055400;7003667083;15057478400;57189042083;","Performance evaluation of a solution for composite service selection problem with multiple consumers",2021,"Simulation Modelling Practice and Theory","109",,"102271","","",,2,"10.1016/j.simpat.2021.102271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102562895&doi=10.1016%2fj.simpat.2021.102271&partnerID=40&md5=b6062969b7f821ef17a73464a4ea61bd",Article,"Final","",Scopus,2-s2.0-85102562895
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Chung, B.C., Cho, D.-H.","55557137700;14122842200;","Learning-Based Resource Partitioning in Heterogeneous Networks with Multiple Network Operators",2021,"IEEE Communications Letters","25","3","9253681","869","873",,,"10.1109/LCOMM.2020.3037232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098773330&doi=10.1109%2fLCOMM.2020.3037232&partnerID=40&md5=e7708c1c78c319e0f3f6c4ab245ed586",Article,"Final","",Scopus,2-s2.0-85098773330
"Wahab, O.A., Bentahar, J., Otrok, H., Mourad, A.","55798635800;8961304900;20436645500;9275987400;","Resource-Aware Detection and Defense System against Multi-Type Attacks in the Cloud: Repeated Bayesian Stackelberg Game",2021,"IEEE Transactions on Dependable and Secure Computing","18","2","8675527","605","622",,23,"10.1109/TDSC.2019.2907946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063671623&doi=10.1109%2fTDSC.2019.2907946&partnerID=40&md5=b969c836382f22d6826f52d5f7cdb117",Article,"Final","",Scopus,2-s2.0-85063671623
"Goudarzi, E.V., Houshmand, M., Valilai, O.F., Ghezavati, V., Bamdad, S.","57314785400;56239941400;57221673999;24402704900;54583217300;","Equilibrial service composition model in Cloud manufacturing (ESCM) based on non-cooperative and cooperative game theory for healthcare service equipping",2021,"PeerJ Computer Science","7",,"e410","","",,1,"10.7717/peerj-cs.410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109400311&doi=10.7717%2fpeerj-cs.410&partnerID=40&md5=f1a4908a374b6c241dee257d5b56ce3b",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85109400311
"Abualola, H., Otrok, H., Barada, H., Al-Qutayri, M., Al-Hammadi, Y.","57189460442;20436645500;6603345338;6602401716;57219191220;","Matching game theoretical model for stable relay selection in a UAV-assisted internet of vehicles",2021,"Vehicular Communications","27",,"100290","","",,8,"10.1016/j.vehcom.2020.100290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091086846&doi=10.1016%2fj.vehcom.2020.100290&partnerID=40&md5=d2b7e712a804e6029171ee1f9f8e215c",Article,"Final","",Scopus,2-s2.0-85091086846
"Goodarzi, E.V., Houshmand, M., Valilai, O.F., Ghezavati, V., Bamdad, S.","57215427395;56239941400;57221673999;24402704900;54583217300;","Manufacturing cloud service composition based on the non-cooperative and cooperative game theory",2020,"IEEE International Conference on Industrial Engineering and Engineering Management","2020-December",,"9309921","1122","1125",,2,"10.1109/IEEM45057.2020.9309921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099749898&doi=10.1109%2fIEEM45057.2020.9309921&partnerID=40&md5=1fd7041ea7558d2aad8c6b516a5618ab",Conference Paper,"Final","",Scopus,2-s2.0-85099749898
"Agis, R.A., Gottifredi, S., García, A.J.","57190249497;35755983000;57212029771;","An event-driven behavior trees extension to facilitate non-player multi-agent coordination in video games",2020,"Expert Systems with Applications","155",,"113457","","",,2,"10.1016/j.eswa.2020.113457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084066533&doi=10.1016%2fj.eswa.2020.113457&partnerID=40&md5=6c793ea9c6b177ca10feba71ad9f1e61",Article,"Final","",Scopus,2-s2.0-85084066533
"Taghavi, M., Bentahar, J., Otrok, H., Bakhtiyari, K.","45662087400;8961304900;20436645500;54413825200;","A Blockchain-Based Model for Cloud Service Quality Monitoring",2020,"IEEE Transactions on Services Computing","13","2","8873576","276","288",,6,"10.1109/TSC.2019.2948010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083232874&doi=10.1109%2fTSC.2019.2948010&partnerID=40&md5=67b0d9d5d4f57ce37d5aa89f1c112908",Article,"Final","",Scopus,2-s2.0-85083232874
