Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mikavica, B., Kostić-Ljubisavljević, A.","56027396300;42961532300;","Blockchain-based solutions for security, privacy, and trust management in vehicular networks: a survey",2021,"Journal of Supercomputing","77","9",,"9520","9575",,3,"10.1007/s11227-021-03659-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100815458&doi=10.1007%2fs11227-021-03659-x&partnerID=40&md5=9b86babe1bba6ec47564915ce64aa631",Article,"Final","",Scopus,2-s2.0-85100815458
"Karpagam, M., Shyam Kumar, M., Monikavishnuvarthini, A., Sowmiya, M.","57188550269;57224306346;57224322806;57224320640;","Vehicular ADHOC Network Based Safety Improvement",2021,"Journal of Physics: Conference Series","1916","1","012205","","",,,"10.1088/1742-6596/1916/1/012205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107389386&doi=10.1088%2f1742-6596%2f1916%2f1%2f012205&partnerID=40&md5=7666790a4fa16037d233e03eea670db8",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85107389386
"Stępień, K., Poniszewska-Marańda, A.","7005150343;8717200400;","Security measures with enhanced behavior processing and footprint algorithm against sybil and bogus attacks in vehicular ad hoc network",2021,"Sensors","21","10","3538","","",,1,"10.3390/s21103538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105920537&doi=10.3390%2fs21103538&partnerID=40&md5=d8396bd66ebe5e6c31d85d1d5d9520c4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105920537
"Liu, Y., Xue, H., Zhuang, W., Wang, F., Xu, L., Yin, G.","57192570761;57224167845;56338038400;57315251100;57191205293;24781523700;","CT2-MDS: Cooperative trust-aware tolerant misbehaviour detection system for connected and automated vehicles",2021,"IET Intelligent Transport Systems",,,,"","",,,"10.1049/itr2.12139","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119678740&doi=10.1049%2fitr2.12139&partnerID=40&md5=b84c10f9751eefb0c64de349b11a8d42",Article,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85119678740
"Kashinath, S.A., Mostafa, S.A., Lim, D., Mustapha, A., Hafit, H., Darman, R.","57222712288;37036085800;57222715023;57200530694;37041232100;57191244935;","A general framework of multiple coordinative data fusion modules for real-time and heterogeneous data sources",2021,"Journal of Intelligent Systems","30","1",,"947","965",,,"10.1515/jisys-2021-0083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112812504&doi=10.1515%2fjisys-2021-0083&partnerID=40&md5=110917e9f52052caa6c997a059801c41",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85112812504
"Sumithra, S., Vadivel, R.","57204731491;36995073800;","Traffic Condition Aware Customized Beacon Broadcasting (TCA-CBB) Method for Efficient Broadcasting in VANET",2021,"Journal of Engineering Science and Technology Review","14","2",,"23","33",,1,"10.25103/jestr.142.04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111265957&doi=10.25103%2fjestr.142.04&partnerID=40&md5=b5d8fcd7c55ef7f240521035c9861c8a",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85111265957
"Sultan, S., Javaid, Q., Malik, A.J., Al-Turjman, F., Attique, M.","57225146254;14631940000;18135128000;20336944100;55755354900;","Collaborative-trust approach toward malicious node detection in vehicular ad hoc networks",2021,"Environment, Development and Sustainability",,,,"","",,2,"10.1007/s10668-021-01632-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109313081&doi=10.1007%2fs10668-021-01632-5&partnerID=40&md5=2177c021a6010a1f797994da43c055a9",Article,"Article in Press","",Scopus,2-s2.0-85109313081
"Khan, S., Sharma, I., Aslam, M., Khan, M.Z., Khan, S.","57222573193;57223140002;57223137996;57203529114;57222573110;","Security challenges of location privacy in vanets and state-of-the-art solutions: A survey",2021,"Future Internet","13","4","96","","",,1,"10.3390/fi13040096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104978229&doi=10.3390%2ffi13040096&partnerID=40&md5=0416dd70bd8404b050cb6555b2993ed8",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85104978229
"Kashinath, S.A., Mostafa, S.A., Mustapha, A., Mahdin, H., Lim, D., Mahmoud, M.A., Mohammed, M.A., Al-Rimy, B.A.S., Fudzee, M.F.M., Yang, T.J.","57222712288;37036085800;57200530694;35759460000;57222715023;55247787300;57192089894;57200494876;34971036200;57222713457;","Review of data fusion methods for real-time and multi-sensor traffic flow analysis",2021,"IEEE Access","9",,"9389771","51258","51276",,8,"10.1109/ACCESS.2021.3069770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103782712&doi=10.1109%2fACCESS.2021.3069770&partnerID=40&md5=6a6594a5ec94d3973e3f529ac3015f60",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85103782712
"Boughanja, M., Mazri, T.","57210173069;56338133100;","A comparative study of detection algorithm in vanet network",2021,"Advances in Science, Technology and Innovation",,,,"181","189",,1,"10.1007/978-3-030-53440-0_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101075828&doi=10.1007%2f978-3-030-53440-0_20&partnerID=40&md5=4341ec5b9c14afec6145fa1070f33751",Book Chapter,"Final","",Scopus,2-s2.0-85101075828
"Ranaweera, M., Seneviratne, A., Rey, D., Saberi, M., Dixit, V.V.","57211891419;7006232519;55504438400;55639326600;24757946400;","Detection of anomalous vehicles using physics of traffic",2021,"Vehicular Communications","27",,"100304","","",,,"10.1016/j.vehcom.2020.100304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092012205&doi=10.1016%2fj.vehcom.2020.100304&partnerID=40&md5=92a24322d325460ffc9a2d82b67f1c84",Article,"Final","",Scopus,2-s2.0-85092012205
"Prabakeran, S., Sethukarasi, T.","57204786561;56884807400;","Optimal solution for malicious node detection and prevention using hybrid chaotic particle dragonfly swarm algorithm in VANETs",2020,"Wireless Networks","26","8",,"5897","5917",,3,"10.1007/s11276-020-02413-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087496711&doi=10.1007%2fs11276-020-02413-0&partnerID=40&md5=6ada84aeddd9e1acea8f86e2e42bd6e0",Article,"Final","",Scopus,2-s2.0-85087496711
"Padmapriya, S., Valli, R., Jayekumar, M.","57006627100;57211665137;57201392127;","Monitoring Algorithm in Malicious Vehicular Adhoc Networks",2020,"2020 International Conference on System, Computation, Automation and Networking, ICSCAN 2020",,,"9262314","","",,,"10.1109/ICSCAN49426.2020.9262314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098247731&doi=10.1109%2fICSCAN49426.2020.9262314&partnerID=40&md5=3ab377a833a55a216f00721d0f06876f",Conference Paper,"Final","",Scopus,2-s2.0-85098247731
"Manale, B., Tomader, M.","57210173069;56338133100;","A Survey of Intrusion Detection Algorithm in VANET",2020,"PervasiveHealth: Pervasive Computing Technologies for Healthcare",,,,"","",,,"10.1145/3386723.3387830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117539049&doi=10.1145%2f3386723.3387830&partnerID=40&md5=6885049d17afdf14f00e548fb9e8b48b",Conference Paper,"Final","",Scopus,2-s2.0-85117539049
