Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Al-Hilo, A., Samir, M., Assi, C., Sharafeddine, S., Ebrahimi, D.","57212562572;57211662580;6603706480;15766288700;55431322200;","UAV-Assisted Content Delivery in Intelligent Transportation Systems-Joint Trajectory Planning and Cache Management",2021,"IEEE Transactions on Intelligent Transportation Systems","22","8","9190025","5155","5167",,4,"10.1109/TITS.2020.3020220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110753386&doi=10.1109%2fTITS.2020.3020220&partnerID=40&md5=dd10238ab468e02936514646d276565a",Article,"Final","",Scopus,2-s2.0-85110753386
"Kadadha, M., Otrok, H.","57189467039;20436645500;","A blockchain-enabled relay selection for QoS-OLSR in urban VANET: A Stackelberg game model",2021,"Ad Hoc Networks","117",,"102502","","",,2,"10.1016/j.adhoc.2021.102502","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103796421&doi=10.1016%2fj.adhoc.2021.102502&partnerID=40&md5=c4a8c64ba17b4b7596a0f35a27dabc06",Article,"Final","",Scopus,2-s2.0-85103796421
"Liu, J., Huang, S., Xu, H., Li, D., Zhong, N., Liu, H.","55705906900;57204834938;57221647792;54919647100;57204092635;55072479500;","Cooperation promotion from the perspective of behavioral economics: An incentive mechanism based on loss aversion in vehicular Ad-hoc networks",2021,"Electronics (Switzerland)","10","3","225","1","25",,1,"10.3390/electronics10030225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099687815&doi=10.3390%2felectronics10030225&partnerID=40&md5=fa9db8e4956fd2deebc1f29278434fcf",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099687815
"Sultana, R., Grover, J., Tripathi, M.","57200531922;36536965300;56038579300;","Security of SDN-based vehicular ad hoc networks: State-of-the-art and challenges",2021,"Vehicular Communications","27",,"100284","","",,4,"10.1016/j.vehcom.2020.100284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090063956&doi=10.1016%2fj.vehcom.2020.100284&partnerID=40&md5=1c05137bbe178b4807c39cdc4d0146a6",Review,"Final","",Scopus,2-s2.0-85090063956
"Hassan, Z., Mehmood, A., Maple, C., Khan, M.A., Aldegheishem, A.","57201689974;24315003500;6603067743;56505846300;55850984600;","Intelligent detection of black hole attacks for secure communication in autonomous and connected vehicles",2020,"IEEE Access","8",,,"199618","199628",,2,"10.1109/ACCESS.2020.3034327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102800433&doi=10.1109%2fACCESS.2020.3034327&partnerID=40&md5=04846e976aa586f5cddb518456caa762",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85102800433
"Rehman, G.U., Ghani, A., Zubair, M., Saeed, M.I., Singh, D.","57216964756;55366311900;57217570952;16231049800;35230651200;","SOS: Socially omitting selfishness in IoT for smart and connected communities",2020,"International Journal of Communication Systems",,,,"","",,2,"10.1002/dac.4455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087917056&doi=10.1002%2fdac.4455&partnerID=40&md5=72210e3a8ad9d66520a443732420b230",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85087917056
"Ghaleb, F.A., Aizaini Maarof, M., Zainal, A., Rassam, M.A., Saeed, F., Alsaedi, M.","55985339600;57211134648;6603913023;54956011900;54892561900;57192215779;","Context-aware data-centric misbehaviour detection scheme for vehicular ad hoc networks using sequential analysis of the temporal and spatial correlation of the consistency between the cooperative awareness messages",2019,"Vehicular Communications","20",,"100186","","",,13,"10.1016/j.vehcom.2019.100186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072754011&doi=10.1016%2fj.vehcom.2019.100186&partnerID=40&md5=0277fd257c235da838bd0631e85c4c3e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85072754011
"Wang, J., He, N., Mei, F., Tian, D., Ge, Y.","55978424200;57205629719;26428840300;8656246600;57214520096;","Optimization and non-cooperative game of anonymity updating in vehicular networks",2019,"Ad Hoc Networks","88",,,"81","97",,3,"10.1016/j.adhoc.2019.01.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060862382&doi=10.1016%2fj.adhoc.2019.01.009&partnerID=40&md5=4acb4f5da57573c92c80894b71d0df07",Article,"Final","",Scopus,2-s2.0-85060862382
"Subba, B., Biswas, S., Karmakar, S.","57191331069;15842810300;22734464300;","A Game Theory Based Multi Layered Intrusion Detection Framework for Wireless Sensor Networks",2018,"International Journal of Wireless Information Networks","25","4",,"399","421",,15,"10.1007/s10776-018-0403-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046039427&doi=10.1007%2fs10776-018-0403-6&partnerID=40&md5=dfcaac0e463bea396c70dfcc9c474fb3",Article,"Final","",Scopus,2-s2.0-85046039427
"Abusitta, A., Bellaiche, M., Dagenais, M.","22933740900;25031178700;7102288193;","An SVM-based framework for detecting DoS attacks in virtualized clouds under changing environment",2018,"Journal of Cloud Computing","7","1","9","","",,23,"10.1186/s13677-018-0109-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045509330&doi=10.1186%2fs13677-018-0109-4&partnerID=40&md5=48d22d51fb907a845d8d247ae055d4e3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85045509330
"Dash, D.","36243085800;","Approximation algorithm for data gathering from mobile sensors",2018,"Pervasive and Mobile Computing","46",,,"34","48",,6,"10.1016/j.pmcj.2018.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058394824&doi=10.1016%2fj.pmcj.2018.02.006&partnerID=40&md5=1a773f0229de9fb1eb2794d86ba03b81",Article,"Final","",Scopus,2-s2.0-85058394824
"Hua, L.C., Anisi, M.H., Yee, P.L., Alam, M.","57196451109;24469576200;15063439600;55538864000;","Social networking-based cooperation mechanisms in vehicular ad-hoc network—a survey",2017,"Vehicular Communications","10",,,"57","73",,18,"10.1016/j.vehcom.2017.11.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033362027&doi=10.1016%2fj.vehcom.2017.11.001&partnerID=40&md5=13964a5765d397f56e8f3d91893c5b3c",Review,"Final","",Scopus,2-s2.0-85033362027
"Sakiz, F., Sen, S.","57190737896;26026084000;","A survey of attacks and detection mechanisms on intelligent transportation systems: VANETs and IoV",2017,"Ad Hoc Networks","61",,,"33","50",,167,"10.1016/j.adhoc.2017.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017598555&doi=10.1016%2fj.adhoc.2017.03.006&partnerID=40&md5=e455460af1eceb2501570a584e6f3204",Short Survey,"Final","",Scopus,2-s2.0-85017598555
