Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hammoud, A., Otrok, H., Mourad, A., Dziong, Z.","57196650892;20436645500;9275987400;6603795154;","Stable federated fog formation: An evolutionary game theoretical approach",2021,"Future Generation Computer Systems","124",,,"21","32",,,"10.1016/j.future.2021.05.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107019507&doi=10.1016%2fj.future.2021.05.021&partnerID=40&md5=ddcca67272d51868a709a2b631d2d5d7",Article,"Final","",Scopus,2-s2.0-85107019507
"Sami, H., Otrok, H., Bentahar, J., Mourad, A.","57211430573;20436645500;8961304900;9275987400;","AI-Based Resource Provisioning of IoE Services in 6G: A Deep Reinforcement Learning Approach",2021,"IEEE Transactions on Network and Service Management","18","3","9380677","3527","3540",,2,"10.1109/TNSM.2021.3066625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103212239&doi=10.1109%2fTNSM.2021.3066625&partnerID=40&md5=8022c846785a944692e9ae79c5429fd6",Article,"Final","",Scopus,2-s2.0-85103212239
"Manogaran, G., Alazab, M.","57189873309;36661792200;","Ant-Inspired Recurrent Deep Learning Model for Improving the Service Flow of Intelligent Transportation Systems",2021,"IEEE Transactions on Intelligent Transportation Systems","22","6","9295424","3654","3663",,2,"10.1109/TITS.2020.3037902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098767951&doi=10.1109%2fTITS.2020.3037902&partnerID=40&md5=e9b1bf6da0d42ab0534ffe8bb2ce6725",Article,"Final","",Scopus,2-s2.0-85098767951
"Abdulrahman, S., Tout, H., Ould-Slimane, H., Mourad, A., Talhi, C., Guizani, M.","57222335060;55442989700;35105790000;9275987400;9275987500;7004750176;","A survey on federated learning: The journey from centralized to distributed on-site learning and beyond",2021,"IEEE Internet of Things Journal","8","7","9220780","5476","5497",,20,"10.1109/JIOT.2020.3030072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103307200&doi=10.1109%2fJIOT.2020.3030072&partnerID=40&md5=ca401ca2e34efdf0c58dbc1ebffb8e2d",Article,"Final","",Scopus,2-s2.0-85103307200
"Prehofer, C., Abbasi, P.","6603414090;57306407000;","A new service model for vehicle sensing data collection",2021,"International Conference on Computer Graphics, Visualization, Computer Vision and Image Processing 2021, CGVCVIP 2021, Connected Smart Cities 2021, CSC 2021 and Big Data Analytics, Data Mining and Computational Intelligence 2021, BIGDACI 2021 - Held at the 15th Multi-Conference on Computer Science and Information Systems, MCCSIS 2021",,,,"78","86",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117706482&partnerID=40&md5=02ee8ddd8fe6662e0db3e2acf2134c0c",Conference Paper,"Final","",Scopus,2-s2.0-85117706482
"Liu, B., Wang, Z., Qin, J., Jiang, Y., Chen, X., Wang, E., Xiong, S.","56016667400;57211351281;57218596976;57221965473;57221938662;57198495811;57203905556;","A novel framework for message dissemination with consideration of destination prediction in VFC",2021,"Neural Computing and Applications",,,,"","",,,"10.1007/s00521-021-05754-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100787355&doi=10.1007%2fs00521-021-05754-9&partnerID=40&md5=d6e7ef6582790b4fce0545de33ed644f",Article,"Article in Press","",Scopus,2-s2.0-85100787355
"Liu, B., Wang, Z., Chen, X.","56016667400;57211351281;57221938662;","A novel message dissemination scheme based on pub/sub model and vehicular fog computing",2020,"ISPCE-CN 2020 - IEEE International Symposium on Product Compliance Engineering-Asia 2020",,,"9321850","","",,,"10.1109/ISPCE-CN51288.2020.9321850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100691869&doi=10.1109%2fISPCE-CN51288.2020.9321850&partnerID=40&md5=904799fda6ececb72421198edd9c81a3",Conference Paper,"Final","",Scopus,2-s2.0-85100691869
"Xie, X., Fang, Z., Wang, Y., Zhang, F., Zhang, D.","57205885895;57194171911;56103302800;56794921400;54685570200;","RISC: Resource-Constrained Urban Sensing Task Scheduling Based on Commercial Fleets",2020,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","4","2","62","","",,2,"10.1145/3397337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089756779&doi=10.1145%2f3397337&partnerID=40&md5=cb27e3c70e9dc85f052d9cf99022d220",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85089756779
"Yu, H., Liu, C., Ren, Y., Ji, N., Yang, C.","56555441900;57212922113;57037561200;57209908471;57209909402;","Service node selection optimization for mobile crowd sensing in a road network environment",2020,"Vehicular Communications","22",,"100203","","",,3,"10.1016/j.vehcom.2019.100203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075370305&doi=10.1016%2fj.vehcom.2019.100203&partnerID=40&md5=b950cee1d08434fa2278b63df4233908",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85075370305
"Dureja, A., Suman","57193119899;57201646330;","Efficient transportation: Future aspects of IoV",2020,"International Journal of Vehicle Information and Communication Systems","5","3",,"290","308",,1,"10.1504/IJVICS.2020.110996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095976243&doi=10.1504%2fIJVICS.2020.110996&partnerID=40&md5=7b7fd86fe267eaf52008e6cef326b571",Article,"Final","",Scopus,2-s2.0-85095976243
