Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Abdel-Basset, M., Moustafa, N., Hawash, H., Ding, W.","57217514491;56816761200;57220765014;57367686600;","Federated Learning for Privacy-Preserving Internet of Things",2022,"Studies in Computational Intelligence","997",,,"215","228",,,"10.1007/978-3-030-89025-4_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120906742&doi=10.1007%2f978-3-030-89025-4_9&partnerID=40&md5=b450d37ca0cb5de6cdbc5b683f6731a9",Book Chapter,"Final","",Scopus,2-s2.0-85120906742
"Lin, F.P.-C., Hosseinalipour, S., Azam, S.S., Brinton, C.G., Michelusi, N.","57190666071;56925107100;57219792163;35770243900;37122487900;","Semi-Decentralized Federated Learning with Cooperative D2D Local Model Aggregations",2021,"IEEE Journal on Selected Areas in Communications","39","12",,"3851","3869",,1,"10.1109/JSAC.2021.3118344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115675732&doi=10.1109%2fJSAC.2021.3118344&partnerID=40&md5=bf6085e73a5ebceb895d977d66c91519",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85115675732
"Roig, P.J., Alcaraz, S., Gilly, K., Bernad, C., Juiz, C.","57194394505;8238875500;8238875800;57316365100;6602910973;","Modeling of a generic edge computing application design",2021,"Sensors","21","21","7276","","",,,"10.3390/s21217276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118229123&doi=10.3390%2fs21217276&partnerID=40&md5=311b304a6c10a0bd49c132eded4a27b3",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118229123
"Wang, S., Ruan, Y., Tu, Y., Wagle, S., Brinton, C.G., Joe-Wong, C.","57211256020;57205680816;57207774326;57189049765;35770243900;47962256600;","Network-Aware Optimization of Distributed Learning for Fog Computing",2021,"IEEE/ACM Transactions on Networking","29","5",,"2019","2032",,,"10.1109/TNET.2021.3075432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107197161&doi=10.1109%2fTNET.2021.3075432&partnerID=40&md5=ec9f1e33235e392d946bdaead0597573",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85107197161
"Khan, M.A., Alkaabi, N.","35190505200;57226133678;","Rebirth of distributed AI—A review of ehealth research",2021,"Sensors","21","15","4999","","",,,"10.3390/s21154999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110780976&doi=10.3390%2fs21154999&partnerID=40&md5=a232cf0d217ab1571a3ad816858e430c",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85110780976
"Shi, Y., Zhou, Y., Shi, Y.","57215898372;35732808900;55695283900;","Over-the-Air Decentralized Federated Learning",2021,"IEEE International Symposium on Information Theory - Proceedings","2021-July",,,"455","460",,1,"10.1109/ISIT45174.2021.9517780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115053001&doi=10.1109%2fISIT45174.2021.9517780&partnerID=40&md5=f5a2d4827e8c62b584e3c0f2d146bb49",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85115053001
"Guberović, E., Lipić, T., Čavrak, I.","57203011006;42961793000;6507337548;","Dew intelligence: Federated learning perspective",2021,"Proceedings - 2021 IEEE 45th Annual Computers, Software, and Applications Conference, COMPSAC 2021",,,,"1819","1824",,,"10.1109/COMPSAC51774.2021.00274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115843928&doi=10.1109%2fCOMPSAC51774.2021.00274&partnerID=40&md5=61066c23a224bce4bc2b2ceb968c17cf",Conference Paper,"Final","",Scopus,2-s2.0-85115843928
"Wu, S., Yu, M., Ahmed, M.A.M., Qian, Y., Tao, Y.","55579930700;57226387157;57226385506;57226376237;35303876600;","FL-MAC-RDP: Federated Learning over Multiple Access Channels with Rényi Differential Privacy",2021,"International Journal of Theoretical Physics","60","7",,"2668","2682",,,"10.1007/s10773-021-04867-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111400579&doi=10.1007%2fs10773-021-04867-0&partnerID=40&md5=db5ef5578e7ff257f538aad53747a215",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85111400579
"Khan, L.U., Saad, W., Han, Z., Hossain, E., Hong, C.S.","57214757171;57203259001;55767186700;6701362398;56623778200;","Federated learning for internet of things: Recent advances, taxonomy, and open challenges",2021,"IEEE Communications Surveys and Tutorials","23","3","9460016","1759","1799",,8,"10.1109/COMST.2021.3090430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110950194&doi=10.1109%2fCOMST.2021.3090430&partnerID=40&md5=51bef8e77cbb70edcd2b39c4075ee839",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85110950194
"Hu, S., Chen, X., Ni, W., Hossain, E., Wang, X.","55475616700;56353143300;35956974500;6701362398;57218519379;","Distributed machine learning for wireless communication networks: Techniques, architectures, and applications",2021,"IEEE Communications Surveys and Tutorials","23","3","9446488","1458","1493",,,"10.1109/COMST.2021.3086014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107342714&doi=10.1109%2fCOMST.2021.3086014&partnerID=40&md5=a53155d5a4eb0a4e671d99630e5927db",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85107342714
"Jiang, Y., Zhang, K., Qian, Y., Hu, R.Q.","57221663675;55695066400;36246407400;7202640793;","Efficient and Privacy-preserving Distributed Learning in Cloud-Edge Computing Systems",2021,"WiseML 2021 - Proceedings of the 3rd ACM Workshop on Wireless Security and Machine Learning",,,,"25","30",,,"10.1145/3468218.3469044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118795096&doi=10.1145%2f3468218.3469044&partnerID=40&md5=be65aecb3c06bb18685dca90c0506622",Conference Paper,"Final","",Scopus,2-s2.0-85118795096
"He, W., Guo, S., Qiu, X., Chen, L., Zhang, S.","57201116529;36182369500;8716927300;57214364740;57225150202;","Node selection method in federated learning based on deep reinforcement learning [基于DRL的联邦学习节点选择方法]",2021,"Tongxin Xuebao/Journal on Communications","42","6",,"62","71",,,"10.11959/j.issn.1000-436x.2021111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109288458&doi=10.11959%2fj.issn.1000-436x.2021111&partnerID=40&md5=22b439a3d120f48a7c6ca24de84b1cad",Article,"Final","",Scopus,2-s2.0-85109288458
"Saadat, H., Aboumadi, A., Mohamed, A., Erbad, A., Guizani, M.","57245184700;57245278000;55763482600;24528481900;7004750176;","Hierarchical Federated Learning for Collaborative IDS in IoT Applications",2021,"2021 10th Mediterranean Conference on Embedded Computing, MECO 2021",,,"9460304","","",,1,"10.1109/MECO52532.2021.9460304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114206052&doi=10.1109%2fMECO52532.2021.9460304&partnerID=40&md5=961708e77198e85f440ca9bb6be6097c",Conference Paper,"Final","",Scopus,2-s2.0-85114206052
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Yu, B., Mao, W., Lv, Y., Zhang, C., Xie, Y.","55533168800;57250340800;57366428100;50662338200;57202398492;","A survey on federated learning in data mining",2021,"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery",,,,"","",,,"10.1002/widm.1443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120791299&doi=10.1002%2fwidm.1443&partnerID=40&md5=04a5397568e7c5509bcf40aefb0fd6ca",Review,"Article in Press","",Scopus,2-s2.0-85120791299
"Kontar, R., Shi, N., Yue, X., Chung, S., Byon, E., Chowdhury, M., Jin, J., Kontar, W., Masoud, N., Nouiehed, M., Okwudire, C.E., Raskutti, G., Saigal, R., Singh, K., Ye, Z.-S.","57191495988;57226463984;57219507814;57195399564;25627564600;36102149200;57203610267;57220028959;55845050600;57192212186;24332545000;23010252600;7006154684;56531139000;35089089900;","The Internet of Federated Things (IoFT)",2021,"IEEE Access","9",,,"156071","156113",,,"10.1109/ACCESS.2021.3127448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119445922&doi=10.1109%2fACCESS.2021.3127448&partnerID=40&md5=194f14195f0deb63c4dd014609d44e79",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85119445922
"Ferrag, M.A., Friha, O., Maglaras, L., Janicke, H., Shu, L.","56115001200;57222149351;8313447200;14028408400;35248927000;","Federated Deep Learning for Cyber Security in the Internet of Things: Concepts, Applications, and Experimental Analysis",2021,"IEEE Access","9",,,"138509","138542",,,"10.1109/ACCESS.2021.3118642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117499443&doi=10.1109%2fACCESS.2021.3118642&partnerID=40&md5=1668a2fd744c273fa7ba528a1540d234",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117499443
"Luo, J., Hu, Y., Bai, Y.","55482581700;57226883415;57226884654;","Bibliometric Analysis of the Blockchain Scientific Evolution: 2014-2020",2021,"IEEE Access","9",,"9464300","120227","120246",,,"10.1109/ACCESS.2021.3092192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113207191&doi=10.1109%2fACCESS.2021.3092192&partnerID=40&md5=a1d3861750d50cbb3906e40f8d1c7860",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85113207191
"Dirir, A.M., Salah, K., Svetinovic, D.","57194349729;35617663600;9042909100;","Towards Blockchain-Based Fair and Trustworthy Federated Learning Systems",2021,"Studies in Computational Intelligence","965",,,"157","171",,,"10.1007/978-3-030-70604-3_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108207072&doi=10.1007%2f978-3-030-70604-3_7&partnerID=40&md5=d65a693752d741599d9548b8072828cd",Book Chapter,"Final","",Scopus,2-s2.0-85108207072
"Bouacida, N., Mohapatra, P.","57188926320;24725118000;","Vulnerabilities in Federated Learning",2021,"IEEE Access","9",,"9411833","63229","63249",,2,"10.1109/ACCESS.2021.3075203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104666396&doi=10.1109%2fACCESS.2021.3075203&partnerID=40&md5=43454a83236e87a2983cfaf3bbb0cb37",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85104666396
