Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Muralidharan, C., Anitha, R.","57212108129;55903131700;","Trusted cloud broker for estimating the reputation of cloud providers in federated cloud environment",2022,"Concurrency and Computation: Practice and Experience","34","1","e6537","","",,,"10.1002/cpe.6537","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111500597&doi=10.1002%2fcpe.6537&partnerID=40&md5=bb8d1b74e729847ad57195bb68f10c01",Article,"Final","",Scopus,2-s2.0-85111500597
"Li, Y.-M., Lin, L.-F., Lien, M.Y.","16031396700;35763297500;57226577507;","An appraisal mechanism for a social marketplace",2021,"Information and Management","58","7","103511","","",,,"10.1016/j.im.2021.103511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111969392&doi=10.1016%2fj.im.2021.103511&partnerID=40&md5=fe8ccf6fe8afc5b7412ca9aa62bc407f",Article,"Final","",Scopus,2-s2.0-85111969392
"Li, F., Du, T.C., Wei, Y.","56975576000;7103145047;35178508400;","With whom should I work? Ratings consideration for partner selection in a P2P supply chain network",2021,"Transportation Research Part E: Logistics and Transportation Review","152",,"102386","","",,,"10.1016/j.tre.2021.102386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107762173&doi=10.1016%2fj.tre.2021.102386&partnerID=40&md5=1ef9fba3db3ff28ba2557ed1efb6ef89",Article,"Final","",Scopus,2-s2.0-85107762173
"Mousa, A., Bentahar, J., Alam, O.","57191036087;8961304900;35190182600;","Multi-dimensional trust for context-aware services computing",2021,"Expert Systems with Applications","172",,"114592","","",,,"10.1016/j.eswa.2021.114592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100550931&doi=10.1016%2fj.eswa.2021.114592&partnerID=40&md5=24e2a9a1e83f9e7b7963bfb5cd2f3d06",Article,"Final","",Scopus,2-s2.0-85100550931
"Agate, V., De Paola, A., Re, G.L., Morana, M.","6603244203;56264996200;56604754300;33368212700;","A Simulation Software for the Evaluation of Vulnerabilities in Reputation Management Systems",2021,"ACM Transactions on Computer Systems","37","1-4","3458510","","",,1,"10.1145/3458510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109081422&doi=10.1145%2f3458510&partnerID=40&md5=c227cdf1ed861ff0803b5df79f4dd03a",Article,"Final","",Scopus,2-s2.0-85109081422
"Mao, C., Lin, R., Towey, D., Wang, W., Chen, J., He, Q.","7201499723;57193350599;8362064600;57194601382;55317488200;55217854300;","Trustworthiness prediction of cloud services based on selective neural network ensemble learning",2021,"Expert Systems with Applications","168",,"114390","","",,1,"10.1016/j.eswa.2020.114390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097354982&doi=10.1016%2fj.eswa.2020.114390&partnerID=40&md5=547379fc244fdd693b2a7cc84a19de19",Article,"Final","",Scopus,2-s2.0-85097354982
"Wahab, O.A., Mourad, A., Otrok, H., Taleb, T.","55798635800;9275987400;20436645500;6602641627;","Federated Machine Learning: Survey, Multi-Level Classification, Desirable Criteria and Future Directions in Communication and Networking Systems",2021,"IEEE Communications Surveys and Tutorials","23","2","9352033","1342","1397",,15,"10.1109/COMST.2021.3058573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100831147&doi=10.1109%2fCOMST.2021.3058573&partnerID=40&md5=5d8de4ee2b9043e9cbd84ba24e20dabb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100831147
"Vetha, S., Vimala Devi, K.","57191493364;24451159100;","A trust-based hypervisor framework for preventing DDoS attacks in cloud",2021,"Concurrency and Computation: Practice and Experience","33","3","e5279","","",,3,"10.1002/cpe.5279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063935139&doi=10.1002%2fcpe.5279&partnerID=40&md5=1256803c78fbef4f372db7b7b16dd623",Article,"Final","",Scopus,2-s2.0-85063935139
"Peter Soosai Anandaraj, A., Indumathi, G.","57207684696;57204717131;","Improved cuckoo search load distribution (ICS-LD) and attack detection in cloud environment",2021,"Concurrency and Computation: Practice and Experience","33","3","e5226","","",,1,"10.1002/cpe.5226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062719742&doi=10.1002%2fcpe.5226&partnerID=40&md5=5a39daed0b09b4bc49be2cecef4c1c8f",Conference Paper,"Final","",Scopus,2-s2.0-85062719742
"Khokhar, R.H., Iqbal, F., Fung, B.C.M., Bentahar, J.","56147960600;35788088300;9737587400;8961304900;","Enabling Secure Trustworthiness Assessment and Privacy Protection in Integrating Data for Trading Person-Specific Information",2021,"IEEE Transactions on Engineering Management","68","1","9020020","149","169",,1,"10.1109/TEM.2020.2974210","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081407270&doi=10.1109%2fTEM.2020.2974210&partnerID=40&md5=3abfa51dc67dc38fe1a41149c6d9ea73",Article,"Final","",Scopus,2-s2.0-85081407270
