Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Tay, B., Mourad, A.","57218880756;9275987400;","Intelligent Performance-Aware Adaptation of Control Policies for Optimizing Banking Teller Process Using Machine Learning",2020,"IEEE Access","8",,"9163345","153403","153412",,2,"10.1109/ACCESS.2020.3015616","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090546587&doi=10.1109%2fACCESS.2020.3015616&partnerID=40&md5=c542e8951cb8fc8789b874cf28b1ae2e",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85090546587
"Khalifa, F., Chouraqui, S.","57218381261;13805704500;","Applying aspect oriented programming in distributed application engineering",2020,"International Journal of Advanced Computer Science and Applications","11","7",,"226","232",,,"10.14569/IJACSA.2020.0110729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088955643&doi=10.14569%2fIJACSA.2020.0110729&partnerID=40&md5=7100d98f98be230e07d3569add9e7dde",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85088955643
"Elfirdoussi, S., Jarir, Z.","55360329200;57222267957;","An integrated approach towards service composition life cycle: A transportation process case study",2019,"Journal of Industrial Information Integration","15",,,"138","146",,7,"10.1016/j.jii.2019.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062374743&doi=10.1016%2fj.jii.2019.01.001&partnerID=40&md5=821302387cc9b4aa6deb228c9e7db2e6",Article,"Final","",Scopus,2-s2.0-85062374743
"Naseri, A., Jafari Navimipour, N.","57202847030;55897274300;","A new agent-based method for QoS-aware cloud service composition using particle swarm optimization algorithm",2019,"Journal of Ambient Intelligence and Humanized Computing","10","5",,"1851","1864",,78,"10.1007/s12652-018-0773-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049581140&doi=10.1007%2fs12652-018-0773-8&partnerID=40&md5=dc3efc327ca82d42a16a1a28bb2cf784",Article,"Final","",Scopus,2-s2.0-85049581140
"Souri, A., Rahmani, A.M., Jafari Navimipour, N.","56901126500;57204588830;55897274300;","Formal verification approaches in the web service composition: A comprehensive analysis of the current challenges for future research",2018,"International Journal of Communication Systems","31","17","e3808","","",,32,"10.1002/dac.3808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052935698&doi=10.1002%2fdac.3808&partnerID=40&md5=35cb73760e22cca151c15c30080a170f",Article,"Final","",Scopus,2-s2.0-85052935698
"Hamzei, M., Jafari Navimipour, N.","57203417848;55897274300;","Toward Efficient Service Composition Techniques in the Internet of Things",2018,"IEEE Internet of Things Journal","5","5","8434362","3774","3787",,64,"10.1109/JIOT.2018.2861742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051639415&doi=10.1109%2fJIOT.2018.2861742&partnerID=40&md5=35a77133274bbd95853ca9af625505a5",Article,"Final","",Scopus,2-s2.0-85051639415
"Nabli, H., Cherif, S., Ben Djmeaa, R., Ben Amor, I.A.","57194511675;56589665700;57194509217;57211053446;","SADICO: Self-adaptive approach to the web service composition",2018,"Smart Innovation, Systems and Technologies","76",,,"254","267",,5,"10.1007/978-3-319-59480-4_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020434447&doi=10.1007%2f978-3-319-59480-4_26&partnerID=40&md5=f61db9a048559e8eda725318d9f3bdf6",Conference Paper,"Final","",Scopus,2-s2.0-85020434447
"Vakili, A., Navimipour, N.J.","57192938408;55897274300;","Comprehensive and systematic review of the service composition mechanisms in the cloud environments",2017,"Journal of Network and Computer Applications","81",,,"24","36",,101,"10.1016/j.jnca.2017.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009286694&doi=10.1016%2fj.jnca.2017.01.005&partnerID=40&md5=577084d8ee99c73772c996d61b67d29a",Review,"Final","",Scopus,2-s2.0-85009286694
"Wan, W., Bentahar, J., Yahyaoui, H., Ben Hamza, A.","57206300881;8961304900;6602992340;24476936500;","Verifying concurrent probabilistic systems using probabilistic-epistemic logic specifications",2016,"Applied Intelligence","45","3",,"747","776",,2,"10.1007/s10489-016-0790-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987794614&doi=10.1007%2fs10489-016-0790-2&partnerID=40&md5=2cfa07a614c848d7877c0eb7df44f668",Article,"Final","",Scopus,2-s2.0-84987794614
"Mourad, A., Tout, H., Talhi, C., Otrok, H., Yahyaoui, H.","9275987400;55442989700;9275987500;20436645500;6602992340;","From model-driven specification to design-level set-based analysis of XACML policies",2016,"Computers and Electrical Engineering","52",,,"65","79",,9,"10.1016/j.compeleceng.2015.09.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952845717&doi=10.1016%2fj.compeleceng.2015.09.021&partnerID=40&md5=d6b73d908a6bcb37bb48328747c54ae1",Article,"Final","",Scopus,2-s2.0-84952845717
"Neffati, O.S., Kaabi, R.S., Kraiem, N.","57190380074;8607578200;6506179983;","A methodological approach for the dynamic adaptation of web services to the context",2016,"ICEIS 2016 - Proceedings of the 18th International Conference on Enterprise Information Systems","2",,,"614","624",,,"10.5220/0005873206140624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979620069&doi=10.5220%2f0005873206140624&partnerID=40&md5=9194dc9c9c16f9a486c33b7bb59dd5b2",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-84979620069
