Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hoque, M.S., Jamil, N., Amin, N., Rahim, A.A.A., Jidin, R.B.","57220806665;36682671900;7102424614;57224225526;6508169028;","Forecasting number of vulnerabilities using long short-term neural memory network",2021,"International Journal of Electrical and Computer Engineering","11","5",,"4381","4391",,,"10.11591/ijece.v11i5.pp4381-4391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107269642&doi=10.11591%2fijece.v11i5.pp4381-4391&partnerID=40&md5=723ac43cd37c4b8c277a0e118de6c6a1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85107269642
"Washizaki, H., Xia, T., Kamata, N., Fukazawa, Y., Kanuka, H., Kato, T., Yoshino, M., Okubo, T., Ogata, S., Kaiya, H., Hazeyama, A., Tanaka, T., Yoshioka, N., Priyalakshmi, G.","8905784000;57190739798;57207758889;7101986896;36141879100;55483142900;23399094200;36053580600;24829845100;7005774962;23389161100;55977474600;8105005200;57195474281;","Systematic literature review of security pattern research",2021,"Information (Switzerland)","12","1","36","1","27",,,"10.3390/info12010036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099813256&doi=10.3390%2finfo12010036&partnerID=40&md5=e72440fb0ec56380ea032e710c61dbea",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85099813256
"Laszka, A., Abbas, W., Vorobeychik, Y., Koutsoukos, X.","57294198700;56028274300;8913948800;6603632868;","Integrating redundancy, diversity, and hardening to improve security of industrial internet of things",2020,"Cyber-Physical Systems","6","1",,"1","32",,2,"10.1080/23335777.2019.1624620","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079787773&doi=10.1080%2f23335777.2019.1624620&partnerID=40&md5=d5a2110d388657f05dcba3d77bc34912",Article,"Final","",Scopus,2-s2.0-85079787773
"Ma, X.-X., Liu, X.-Z., Xie, B., Yu, P., Zhang, T., Bu, L., Li, X.-D.","7404550517;22035687800;7201872787;55223076700;7404374507;55842321000;35173053900;","Software Development Methods: Review and Outlook [软件开发方法发展回顾与展望]",2019,"Ruan Jian Xue Bao/Journal of Software","30","1",,"3","21",,11,"10.13328/j.cnki.jos.005650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061866175&doi=10.13328%2fj.cnki.jos.005650&partnerID=40&md5=724fd60f73e10830a7e2c2e0d68cdedf",Review,"Final","",Scopus,2-s2.0-85061866175
"Shuaibu, M.B., Ibrahim, R.A.","57203171622;57203173090;","Web application development model with security concern in the entire life-cycle",2018,"4th IEEE International Conference on Engineering Technologies and Applied Sciences, ICETAS 2017","2018-January",,,"1","6",,2,"10.1109/ICETAS.2017.8277849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050801951&doi=10.1109%2fICETAS.2017.8277849&partnerID=40&md5=d0cb4a077148d0229bdb767feacf31cf",Conference Paper,"Final","",Scopus,2-s2.0-85050801951
"Ali, N., Jutla, D., Bodorik, P.","36937630100;6602076736;57203202954;","PIP: An injection pattern for inserting privacy patterns and services in software",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9484",,,"144","157",,2,"10.1007/978-3-319-31456-3_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961208256&doi=10.1007%2f978-3-319-31456-3_8&partnerID=40&md5=297508aa2031f93f18fe3093883c5b0b",Conference Paper,"Final","",Scopus,2-s2.0-84961208256
"Maamar, Z., Yahyaoui, H., Mourad, A., Sellami, M.","57131369600;6602992340;9275987400;24497123500;","Analyzing social web services' capabilities",2015,"Proceedings - 2015 IEEE 24th International Conference on Enabling Technologies: Infrastructures for Collaborative Enterprises, WETICE 2015",,,"7194343","122","127",,,"10.1109/WETICE.2015.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943791115&doi=10.1109%2fWETICE.2015.11&partnerID=40&md5=bfb618a12bb19650d0faf0cafe99e0e9",Conference Paper,"Final","",Scopus,2-s2.0-84943791115
"Roumani, Y., Nwankpa, J.K., Roumani, Y.F.","56035107300;55037519200;22954305300;","Time series modeling of vulnerabilities",2015,"Computers and Security","51",,,"32","40",,34,"10.1016/j.cose.2015.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926062216&doi=10.1016%2fj.cose.2015.03.003&partnerID=40&md5=52630c5f17dfbcbf5fd0b43aba05d737",Article,"Final","",Scopus,2-s2.0-84926062216
"Tout, H., Mourad, A., Talhi, C., Otrok, H.","55442989700;9275987400;9275987500;20436645500;","AOMD approach for context-adaptable and conflict-free Web services composition",2015,"Computers and Electrical Engineering","44",,,"200","217",,11,"10.1016/j.compeleceng.2015.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931005951&doi=10.1016%2fj.compeleceng.2015.04.004&partnerID=40&md5=22dfbf31687443920813dba7c9488131",Article,"Final","",Scopus,2-s2.0-84931005951
"Musa Shuaibu, B., Md Norwawi, N., Selamat, M.H., Al-Alwani, A.","55440565900;24528833400;6602837383;55440372000;","Systematic review of web application security development model",2015,"Artificial Intelligence Review","43","2",,"259","276",,12,"10.1007/s10462-012-9375-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921999989&doi=10.1007%2fs10462-012-9375-6&partnerID=40&md5=65323f21ba9a805d4ad9cbb4af21c524",Article,"Final","",Scopus,2-s2.0-84921999989
