Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Temurnikar, A., Verma, P., Dhiman, G.","57219149925;57196515632;23049229800;","A PSO enable multi-hop clustering algorithm for VANET",2022,"International Journal of Swarm Intelligence Research","13","2","20220401.oa7","","",,1,"10.4018/IJSIR.20220401.oa7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114197943&doi=10.4018%2fIJSIR.20220401.oa7&partnerID=40&md5=1e4007e4ac4de617d3f9c47f37a72d67",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85114197943
"Gonçalves, F., Macedo, J., Santos, A.","57193414087;7007114241;57206249809;","An intelligent hierachical security framework for vanets",2021,"Information (Switzerland)","12","11","455","","",,,"10.3390/info12110455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118932609&doi=10.3390%2finfo12110455&partnerID=40&md5=4780f112d6cee58e3b15e83e953419b5",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85118932609
"Santos, F., Aquino, A.L.L., Madeira, E.R.M., Cabral, R.S.","57217088649;26427578700;8840081100;35795079300;","Temporal complex networks modeling applied to vehicular ad-hoc networks",2021,"Journal of Network and Computer Applications","192",,"103168","","",,,"10.1016/j.jnca.2021.103168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112799086&doi=10.1016%2fj.jnca.2021.103168&partnerID=40&md5=efbdf342c882d2f736fef79f14c5f4d8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85112799086
"Sharma, S., Kaul, A., Ahmed, S., Sharma, S.","57213924268;57200529936;57200178626;57216200757;","A detailed tutorial survey on VANETs: Emerging architectures, applications, security issues, and solutions",2021,"International Journal of Communication Systems","34","14","e4905","","",,,"10.1002/dac.4905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111864095&doi=10.1002%2fdac.4905&partnerID=40&md5=dda221c4b82457e391513091bef88a14",Article,"Final","",Scopus,2-s2.0-85111864095
"Anbalagan, S., Bashir, A.K., Raja, G., Dhanasekaran, P., Vijayaraghavan, G., Tariq, U., Guizani, M.","57193726056;57193954653;55805878400;57219165823;57220184122;14827558600;7004750176;","Machine-Learning-Based Efficient and Secure RSU Placement Mechanism for Software-Defined-IoV",2021,"IEEE Internet of Things Journal","8","18","9390178","13950","13957",,2,"10.1109/JIOT.2021.3069642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103773575&doi=10.1109%2fJIOT.2021.3069642&partnerID=40&md5=6a12f830cc5d2da7ed6db376bbb22f57",Article,"Final","",Scopus,2-s2.0-85103773575
"Tang, F., Mao, B., Kato, N., Gui, G.","57192684949;57192679807;7403474407;24168616700;","Comprehensive survey on machine learning in vehicular network: Technology, applications and challenges",2021,"IEEE Communications Surveys and Tutorials","23","3","9463461","2027","2057",,3,"10.1109/COMST.2021.3089688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112415778&doi=10.1109%2fCOMST.2021.3089688&partnerID=40&md5=e40d2b00190152660a21b9776d5f6284",Article,"Final","",Scopus,2-s2.0-85112415778
"Shu, J., Zhou, L., Zhang, W., Du, X., Guizani, M.","56103718300;57221851255;35263372000;57205479965;7004750176;","Collaborative Intrusion Detection for VANETs: A Deep Learning-Based Distributed SDN Approach",2021,"IEEE Transactions on Intelligent Transportation Systems","22","7","9216536","4519","4530",,3,"10.1109/TITS.2020.3027390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110641244&doi=10.1109%2fTITS.2020.3027390&partnerID=40&md5=9a0970b12ef1f7122669e3cdb2aa4862",Article,"Final","",Scopus,2-s2.0-85110641244
"Najafi, M., Khoukhi, L., Lemercier, M.","57195477598;55978551900;27867881600;","Decentralized Reputation Model based on Bayes' Theorem in Vehicular Networks",2021,"IEEE International Conference on Communications",,,,"","",,1,"10.1109/ICC42927.2021.9500491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115700603&doi=10.1109%2fICC42927.2021.9500491&partnerID=40&md5=883398f61a263a72207a16f200575034",Conference Paper,"Final","",Scopus,2-s2.0-85115700603
"Khatri, S., Vachhani, H., Shah, S., Bhatia, J., Chaturvedi, M., Tanwar, S., Kumar, N.","57214676609;57216411123;57225903865;55062577500;55504420000;56576145100;57206866080;","Machine learning models and techniques for VANET based traffic management: Implementation issues and challenges",2021,"Peer-to-Peer Networking and Applications","14","3",,"1778","1805",,6,"10.1007/s12083-020-00993-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091161302&doi=10.1007%2fs12083-020-00993-4&partnerID=40&md5=426dba58abf95fd82969f46bdd8295ef",Article,"Final","",Scopus,2-s2.0-85091161302
"Sumithra, S., Vadivel, R.","57204731491;36995073800;","Ensemble miscellaneous classifiers based misbehavior detection model for vehicular ad-hoc network security",2021,"International Journal of Computer Networks and Applications","8","2",,"90","107",,,"10.22247/ijcna/2021/208890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105700114&doi=10.22247%2fijcna%2f2021%2f208890&partnerID=40&md5=3baa54844470d4f595a885a9c2fb1d84",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85105700114
