Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wu, G., Deng, X., Liu, B.","57195515526;23388169700;55787363800;","Managing urban citizens' panic levels and preventive behaviours during COVID-19 with pandemic information released by social media",2022,"Cities","120",,"103490","","",,,"10.1016/j.cities.2021.103490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120411296&doi=10.1016%2fj.cities.2021.103490&partnerID=40&md5=359efaa5146329c7a3797abb04e3d946",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85120411296
"Durazzi, F., Müller, M., Salathé, M., Remondini, D.","57221321649;57208566686;12780442200;8988871200;","Clusters of science and health related Twitter users become more isolated during the COVID-19 pandemic",2021,"Scientific Reports","11","1","19655","","",,,"10.1038/s41598-021-99301-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116358918&doi=10.1038%2fs41598-021-99301-0&partnerID=40&md5=6bec70d7f7283022cdbf596084c6c059",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116358918
"Jo, W., Chang, D., You, M., Ghim, G.-H.","57210916078;56154228700;55882778100;57223180578;","A social network analysis of the spread of COVID-19 in South Korea and policy implications",2021,"Scientific Reports","11","1","8581","","",,5,"10.1038/s41598-021-87837-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104754380&doi=10.1038%2fs41598-021-87837-0&partnerID=40&md5=7826f366c79cbbf303fa07f4fd4f275f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85104754380
"Magarini, F.M., Pinelli, M., Sinisi, A., Ferrari, S., De Fazio, G.L., Galeazzi, G.M.","57209411969;57222477987;57196188441;35315499000;57267286100;55664023400;","Irrational beliefs about COVID-19: A scoping review",2021,"International Journal of Environmental Research and Public Health","18","19","9839","","",,,"10.3390/ijerph18199839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115436108&doi=10.3390%2fijerph18199839&partnerID=40&md5=fffd21b2616afddcc94c8c4ab0dd1601",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115436108
"Liu, S., Li, J., Liu, J.","57210804881;57226750789;7410115775;","Leveraging transfer learning to analyze opinions, attitudes, and behavioral intentions toward COVID-19 vaccines: Social media content and temporal analysis",2021,"Journal of Medical Internet Research","23","8","e30251","","",,1,"10.2196/30251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112520899&doi=10.2196%2f30251&partnerID=40&md5=0a934cdd176cbdd18b9873ca0bc2882b",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85112520899
"Cabezas, J., Moctezuma, D., Fernández-Isabel, A., de Diego, I.M.","57220408058;54956635800;50661283100;14832344700;","Detecting emotional evolution on twitter during the COVID-19 pandemic using text analysis",2021,"International Journal of Environmental Research and Public Health","18","13","6981","","",,1,"10.3390/ijerph18136981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108827998&doi=10.3390%2fijerph18136981&partnerID=40&md5=9ac8e1cf803dc356b5997e9731b9ed1c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108827998
"Herrera-Peco, I., Jiménez-Gómez, B., Peña Deudero, J.J., Benitez De Gracia, E., Ruiz-Núñez, C.","23972665600;57222530070;55392809200;57218315181;57224677889;","Healthcare professionals’ role in social media public health campaigns: Analysis of spanish pro vaccination campaign on twitter",2021,"Healthcare (Switzerland)","9","6","662","","",,1,"10.3390/healthcare9060662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108160888&doi=10.3390%2fhealthcare9060662&partnerID=40&md5=f655a9b3511dab8ba70537a8b2251c70",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108160888
"Cato, S., Iida, T., Ishida, K., Ito, A., Katsumata, H., McElwain, K.M., Shoji, M.","25638141300;57220882094;56573304000;57194266416;57219501911;23477842700;7201821506;","The bright and dark sides of social media usage during the COVID-19 pandemic: Survey evidence from Japan",2021,"International Journal of Disaster Risk Reduction","54",,"102034","","",,8,"10.1016/j.ijdrr.2020.102034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098936193&doi=10.1016%2fj.ijdrr.2020.102034&partnerID=40&md5=645f8f3ecc25b8784a8be986ee279925",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85098936193
"Motahari-Nezhad, H., Shekofteh, M., Andalib-Kondori, M.","57201500924;26422608300;57226752761;","Social media as a platform for information and support for coronavirus: analysis ofCOVID-19 Facebook groups",2021,"Global Knowledge, Memory and Communication",,,,"","",,,"10.1108/GKMC-11-2020-0183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112583454&doi=10.1108%2fGKMC-11-2020-0183&partnerID=40&md5=6bc9f7c15a7944d5e8888a945e7009ba",Article,"Article in Press","",Scopus,2-s2.0-85112583454
"Zutshi, A., Raj, A.","57223094019;57224554822;","Tackling the Infodemic: Analysis Using Transformer Based Models",2021,"Communications in Computer and Information Science","1402 CCIS",,,"93","105",,1,"10.1007/978-3-030-73696-5_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104714887&doi=10.1007%2f978-3-030-73696-5_10&partnerID=40&md5=7928ce4d01f9c36eac97101682bff085",Conference Paper,"Final","",Scopus,2-s2.0-85104714887
